Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Tranolithus orionatus,Reinhardtites anthophorus,Quadrum trifidum,Quadrum gothicum,Prediscosphaera cretacea,Micula staurophora,Micula concava,Microrhabdulus decoratus,Manivitella pemmatoidea,Lithraphidites carniolensis,Glaukolithus diplogrammus,Eiffellithus eximius,Cylindralithus sp. cf. C. serratus,Cribrosphaerella ehrenbergii,Cretarhabdus surirellus,Cretarhabdus crenulatus,Ceratolithoides aculeus,Ahmuellerella octoradiata,Tetrapodorhabdus decorus,Zeugrhabdotus embergeri,Reinhardtites levis,Quadrum sissinghii,Calculites obscurus,Broinsonia enormis,Rhagodiscus angustus,Microrhabdulus stradneri,Chiastozygus litterarius,Arkhangelskiella cymbiformis,Zygodiscus spiralis,Eiffellithus turriseiffelii,Biscutum constans,Kamptnerius magnificus,Micula praemurus,Micula murus,Prediscosphaera grandis,Ceratolithoides kamptneri,Micula prinsii,Cribrosphaerella daniae,Thoracosphaera sp.,Sphenolithus abies/neoabies,Reticulofenestra spp. small,Reticulofenestra pseudoumbilica,Reticulofenestra gartneri,Helicosphaera kamptneri,Discoaster surculus,Discoaster pentaradiatus,Discoaster hamatus,Discoaster berggrenii,Coccolithus pelagicus,Catinaster calyculus,Calcidiscus macintyrei,Calcidiscus leptoporus,Discoaster variabilis,Discoaster loeblichii,Discoaster bollii,Discoaster bellus,Helicosphaera recta,Discoaster quinqueramus,Discoaster neorectus,Discoaster neohamatus,Discoaster brouweri,Amaurolithus primus,Amaurolithus delicatus,Triquetrorhabdulus rugosus,Amaurolithus amplificus,Ceratolithus acutus,Amaurolithus tricorniculatus,Reticulofenestra doronicoides,Ceratolithus rugosus,Pseudoemiliania lacunosa,Syracosphaera histrica,Helicosphaera sellii,Discoaster triradiatus,Discoaster tamalis,Discoaster asymmetricus,Syracosphaera pulchra,Ceratolithus cristatus,Rhabdosphaera stylifera,Rhabdosphaera clavigera,Pontosphaera japonica,Scyphosphaera pulcherrima,Gephyrocapsa spp.,Umbilicosphaera mirabilis,Gephyrocapsa caribbeanica,Scyphosphaera apsteinii,Umbilicosphaera sibogae,Gephyrocapsa oceanica,Orthorhabdus serratus,Ceratolithus telesmus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,              ,108, 661,A,  4,H, 5,  80.00,     27.4000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,C                      ,                   ,                        ,                  ,                     ,R                    ,                    ,R                     ,F                     ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,C                            ,                    ,F                       ,                      ,R                   ,                      ,                  ,                       ,                     ,R                     ,                       ,F                      ,                     ,                         ,A                ,R                        ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,CN13a         ,108, 661,A,  4,H, 6,  80.00,     28.9000,Manivit  ,Nannofossils                                 ,C              ,P                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,C                      ,                   ,                        ,                  ,                     ,R                    ,                    ,R                     ,F                     ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,F                  ,                   ,                      ,                          ,                       ,                   ,                            ,A                            ,R                   ,F                       ,R                     ,R                   ,R                     ,                  ,                       ,R                    ,                      ,F                      ,R                      ,F                    ,R                        ,A                ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,108, 661,A,  4,H, 7,  40.00,     30.0000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,A                          ,                               ,A                        ,C                      ,                   ,                        ,                  ,                     ,R                    ,                    ,F                     ,F                     ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,F                  ,                   ,                      ,                          ,                       ,                   ,                            ,C                            ,                    ,C                       ,R                     ,F                   ,F                     ,                  ,                       ,R                    ,R                     ,                       ,R                      ,R                    ,                         ,A                ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,108, 661,A,  5,H, 4,  80.00,     35.4000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,A                          ,                               ,A                        ,C                      ,                   ,R                       ,                  ,                     ,R                    ,                    ,F                     ,F                     ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,F                  ,                   ,                      ,                          ,                       ,                   ,                            ,C                            ,                    ,C                       ,                      ,R                   ,R                     ,                  ,                       ,F                    ,R                     ,F                      ,F                      ,F                    ,                         ,A                ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12c         ,108, 661,A,  5,H, 6,  80.00,     38.4000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,A                          ,                               ,A                        ,A                      ,R                  ,F                       ,                  ,                     ,R                    ,                    ,F                     ,F                     ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,C                  ,                   ,                      ,                          ,                       ,                   ,                            ,C                            ,R                   ,C                       ,                      ,R                   ,R                     ,                  ,                       ,F                    ,                      ,                       ,F                      ,R                    ,R                        ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12c         ,108, 661,A,  6,H, 2,  80.00,     41.9000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,A                          ,                               ,A                        ,C                      ,F                  ,F                       ,                  ,                     ,R                    ,                    ,C                     ,F                     ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,C                  ,                   ,                      ,                          ,                       ,                   ,                            ,F                            ,R                   ,F                       ,R                     ,F                   ,R                     ,R                 ,                       ,F                    ,R                     ,C                      ,R                      ,R                    ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12c         ,108, 661,A,  7,H, 4,  24.00,     53.8400,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,A                          ,                               ,A                        ,C                      ,C                  ,C                       ,                  ,                     ,F                    ,                    ,F                     ,F                     ,R                    ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,C                  ,                   ,                      ,                          ,                       ,                   ,                            ,C                            ,                    ,F                       ,                      ,R                   ,R                     ,F                 ,R                      ,R                    ,R                     ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12b         ,108, 661,A,  7,H, 4,  90.00,     54.5000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,A                          ,F                              ,A                        ,C                      ,C                  ,C                       ,                  ,                     ,F                    ,                    ,C                     ,F                     ,F                    ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,C                  ,                   ,                      ,                          ,                       ,                   ,                            ,F                            ,R                   ,F                       ,R                     ,R                   ,R                     ,R                 ,R                      ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,CN12a         ,108, 661,A,  7,H, 6,  90.00,     57.5000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,C                          ,A                          ,F                              ,A                        ,C                      ,C                  ,C                       ,                  ,                     ,F                    ,                    ,C                     ,F                     ,F                    ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,A                  ,                   ,                      ,                          ,                       ,                   ,                            ,C                            ,                    ,R                       ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,CN11          ,108, 661,A,  8,H, 6,  90.00,     67.0000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,C                          ,A                          ,F                              ,A                        ,F                      ,C                  ,C                       ,                  ,                     ,F                    ,                    ,C                     ,F                     ,F                    ,                     ,                 ,                 ,F                  ,                       ,                    ,                     ,C                  ,                   ,R                     ,                          ,                       ,                   ,                            ,C                            ,R                   ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10b             ,              ,108, 661,A,  8,H, 6, 150.00,     67.6000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,C                          ,A                          ,C                              ,A                        ,C                      ,C                  ,C                       ,                  ,                     ,F                    ,                    ,C                     ,F                     ,F                    ,                     ,                 ,                 ,F                  ,                       ,                    ,                     ,C                  ,                   ,                      ,                          ,                       ,R                  ,R                           ,C                            ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10a             ,              ,108, 661,A,  9,H, 1,  10.00,     68.2000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,C                          ,A                          ,C                              ,A                        ,C                      ,C                  ,C                       ,                  ,                     ,F                    ,                    ,C                     ,F                     ,F                    ,                     ,                 ,                 ,R                  ,                       ,                    ,                     ,C                  ,                   ,R                     ,R                         ,                       ,R                  ,R                           ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,CN10a         ,108, 661,A,  9,H, 1,  90.00,     69.0000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,C                          ,A                          ,C                              ,A                        ,F                      ,C                  ,F                       ,                  ,                     ,R                    ,                    ,F                     ,F                     ,F                    ,                     ,                 ,                 ,F                  ,R                      ,                    ,                     ,C                  ,                   ,                      ,                          ,R                      ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,CN10a         ,108, 661,A,  9,H, 4,  50.00,     73.1000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,C                          ,A                          ,C                              ,A                        ,F                      ,C                  ,F                       ,                  ,                     ,F                    ,                    ,F                     ,F                     ,C                    ,                     ,                 ,                 ,F                  ,R                      ,                    ,                     ,F                  ,                   ,R                     ,R                         ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,              ,108, 661,A,  9,H,CC,  22.00,     77.3600,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,C                          ,A                          ,A                              ,A                        ,F                      ,F                  ,R                       ,                  ,                     ,F                    ,                    ,F                     ,F                     ,F                    ,                     ,                 ,                 ,R                  ,F                      ,                    ,F                    ,R                  ,R                  ,R                     ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
