Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster tamalis,Discoaster pentaradiatus,Discoaster brouweri,Discoaster asymmetricus,Discoaster surculus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Helicosphaera sellii,Helicosphaera inversa,Helicosphaera carteri,Coccolithus pelagicus,Ceratolithus cristatus,Calcidiscus macintyrei,Calcidiscus leptoporus,Gephyrocapsa spp. (small),Florisphaera profunda,Discoaster triradiatus,Gephyrocapsa spp. medium,Gephyrocapsa spp. (large),Braarudosphaera bigelowii,Gephyrocapsa sp.3 medium,Scyphosphaera spp.,Helicosphaera wallichii,Discoaster berggrenii,Pontosphaera spp.,Syracosphaera spp.,Emiliania huxleyi,Gephyrocapsa omega,Ceratolithus telesmus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1062,A,  5,H,CC,  19.00,     40.5200,Raffi    ,Nannofossils                                 ,A              ,G                 ,                  ,                        ,                   ,                       ,                   ,                        ,                       ,                    ,                     ,+                    ,                     ,                      ,                      ,A                     ,A                        ,A                    ,                      ,A                       ,                         ,                         ,                        ,                  ,C                      ,                     ,                 ,                  ,-                ,                  ,                     ,age: >0.26 <0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1062,A,  6,H,CC,  17.00,     49.9800,Raffi    ,Nannofossils                                 ,A              ,M                 ,                  ,                        ,                   ,                       ,                   ,-                       ,                       ,                    ,                     ,                     ,                     ,                      ,                      ,                      ,C                        ,                     ,                      ,A                       ,                         ,                         ,                        ,                  ,                       ,                     ,                 ,                  ,-                ,                  ,                     ,strong reworking of Pliocene and Miocene nannos - age:>0.26 <0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1062,A,  7,H,CC,  34.00,     59.6900,Raffi    ,Nannofossils                                 ,A              ,G                 ,                  ,                        ,                   ,                       ,                   ,R                       ,                       ,                    ,F                    ,+                    ,F                    ,                      ,                      ,                      ,A                        ,                     ,                      ,A                       ,                         ,                         ,                        ,                  ,C                      ,                     ,                 ,                  ,                 ,                  ,                     ,Reworking of late Miocene nannos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1062,A,  8,H,CC,  25.00,     68.6500,Raffi    ,Nannofossils                                 ,A              ,VG                ,                  ,                        ,                   ,                       ,                   ,C                       ,                       ,                    ,                     ,+                    ,                     ,+                     ,                      ,                      ,A                        ,                     ,                      ,D                       ,                         ,                         ,                        ,                  ,+                      ,                     ,                 ,                  ,                 ,                  ,                     ,Pliocene an Miocene reworking -age: >0.46 <0.96-1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1062,A,  9,H,CC,  40.00,     78.3400,Raffi    ,Nannofossils                                 ,A              ,G                 ,                  ,                        ,                   ,                       ,                   ,A                       ,                       ,                    ,                     ,+                    ,                     ,                      ,                      ,C                     ,C                        ,A                    ,                      ,C                       ,                         ,                         ,C                       ,                  ,+                      ,                     ,                 ,A                 ,                 ,                  ,                     ,age: >0.46 <0.96-1.0 Ma- no dissolution. Dilution by clay minerals
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,A, 10,H,CC,  57.00,     88.0700,Raffi    ,Nannofossils                                 ,A              ,G                 ,                  ,                        ,                   ,                       ,                   ,A                       ,                       ,                    ,                     ,                     ,                     ,                      ,                      ,                      ,A                        ,                     ,                      ,A                       ,                         ,                         ,A                       ,                  ,                       ,                     ,A                ,                  ,                 ,                  ,                     ,no evident reworking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,A, 11,H,CC,  28.00,     97.5600,Raffi    ,Nannofossils                                 ,A              ,G                 ,                  ,+                       ,                   ,                       ,                   ,A                       ,                       ,                    ,                     ,C                    ,                     ,                      ,                      ,                      ,                         ,                     ,                      ,A                       ,                         ,                         ,C                       ,+                 ,C                      ,-                    ,                 ,                  ,                 ,                  ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,A, 12,H,CC,  17.00,    106.6400,Raffi    ,Nannofossils                                 ,A              ,M                 ,                  ,                        ,                   ,                       ,                   ,A                       ,A                      ,                    ,                     ,                     ,                     ,                      ,                      ,C                     ,C                        ,                     ,                      ,C                       ,                         ,                         ,                        ,                  ,                       ,                     ,                 ,                  ,                 ,                  ,                     ,> 0.46    < 1.0  -  dissolved :(
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,A, 13,H,CC,   0.00,    115.6600,Raffi    ,Nannofossils                                 ,A              ,M                 ,                  ,                        ,                   ,                       ,                   ,A                       ,A                      ,                    ,                     ,F                    ,                     ,F                     ,                      ,C                     ,A                        ,A                    ,                      ,                        ,                         ,                         ,-                       ,                  ,                       ,                     ,                 ,                  ,                 ,                  ,                     ,> 1.0    < 1.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,A, 14,H,CC,  14.00,    124.1600,Raffi    ,Nannofossils                                 ,A              ,G                 ,                  ,                        ,                   ,                       ,                   ,A                       ,A                      ,-                   ,                     ,C                    ,F                    ,                      ,                      ,A                     ,A                        ,                     ,                      ,A                       ,F                        ,                         ,A                       ,                  ,                       ,                     ,                 ,                  ,                 ,                  ,                     ,> 1.24    < 1.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,A, 15,H,CC,   0.00,    135.1700,Raffi    ,Nannofossils                                 ,A              ,M                 ,                  ,                        ,                   ,                       ,                   ,A                       ,                       ,F                   ,F                    ,A                    ,F                    ,F                     ,F                     ,A                     ,C                        ,                     ,                      ,-                       ,-                        ,R                        ,                        ,                  ,                       ,                     ,                 ,                  ,                 ,                  ,                     ,> 1.67   < 1.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,A, 16,H,CC,  35.00,    144.5500,Raffi    ,Nannofossils                                 ,A              ,G                 ,                  ,2                       ,R                  ,                       ,-                  ,A                       ,A                      ,R                   ,R                    ,C                    ,                     ,                      ,F                     ,C                     ,A                        ,A                    ,4                     ,                        ,                         ,                         ,                        ,                  ,                       ,                     ,                 ,                  ,                 ,                  ,                     ,~ 1.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,A, 17,H,CC,   0.00,    153.9100,Raffi    ,Nannofossils                                 ,A              ,G                 ,                  ,8                       ,F                  ,                       ,                   ,A                       ,A                      ,F                   ,R                    ,C                    ,F                    ,F                     ,F                     ,C                     ,                         ,                     ,                      ,                        ,                         ,                         ,                        ,                  ,                       ,                     ,                 ,                  ,                 ,                  ,                     ,> 1.95   < 2.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,A, 18,H,CC,   0.00,    163.4000,Raffi    ,Nannofossils                                 ,R              ,                  ,                  ,                        ,                   ,                       ,                   ,F                       ,                       ,                    ,                     ,                     ,                     ,                      ,                      ,                      ,                         ,                     ,                      ,                        ,                         ,                         ,                        ,                  ,                       ,                     ,                 ,                  ,                 ,                  ,                     ,mostly barren!!!!!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,A, 19,H,CC,   0.00,    172.6600,Raffi    ,Nannofossils                                 ,A              ,G                 ,                  ,C                       ,F                  ,                       ,A                  ,                        ,                       ,                    ,                     ,                     ,                     ,                      ,                      ,                      ,                         ,                     ,                      ,                        ,                         ,                         ,                        ,                  ,                       ,                     ,                 ,                  ,                 ,                  ,                     ,> 2.53   < 2.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,A, 20,H,CC,  33.00,    180.6400,Raffi    ,Nannofossils                                 ,A              ,G                 ,C                 ,F                       ,C                  ,C                      ,                   ,                        ,                       ,                    ,                     ,                     ,                     ,                      ,                      ,                      ,                         ,                     ,                      ,                        ,                         ,                         ,                        ,                  ,                       ,                     ,                 ,                  ,                 ,                  ,                     ,> 2.83    < 3.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
