Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Placolithus (unidentified taxa)	Coccolithus pelagicus	Reticulofenestra "small"	Pontosphaera sp.	Pontosphaera japonica	Helicosphaera carteri	Gephyrocapsa caribbeanica	Dictyococcites productus	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa oceanica	Gephyrocapsa aperta	Calcidiscus macintyrei	Reticulofenestra asanoi	Braarudosphaera bigelowii	Helicosphaera wallichii	Helicosphaera colombiana	Emiliania huxleyi	Comment
  SR	                 	                 	                  	              	128	 798	A	  8	H	 2	  83.00	     66.4300	Muza     	Nannofossils                                 	H              	M                 	                               	V                    	                        	R               	                     	                     	V                        	                        	R                     	F                       	                    	V                    	                   	                      	                       	                         	R                      	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  8	H	 3	   5.00	     67.1500	Muza     	Nannofossils                                 	V              	M                 	                               	V                    	                        	F               	                     	C                    	V                        	                        	                      	F                       	                    	A                    	V                  	                      	                       	F                        	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  8	H	 3	  83.00	     67.9300	Muza     	Nannofossils                                 	V              	M                 	                               	V                    	                        	F               	                     	F                    	V                        	                        	                      	F                       	                    	A                    	V                  	                      	                       	                         	R                      	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  8	H	 4	   5.00	     68.6500	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	C                       	F               	                     	F                    	C                        	                        	R                     	                        	                    	A                    	A                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  8	H	 4	  83.00	     69.4300	Muza     	Nannofossils                                 	A              	M                 	                               	A                    	                        	                	                     	                     	A                        	                        	F                     	                        	                    	A                    	A                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

