Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sp. A,Sphenolithus neoabies,Sphenolithus abies,Rhabdosphaera clavigera,Reticulofenestra minutula,Reticulofenestra haqii,Pontosphaera multipora,Neosphaera coccolithomorpha,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera carteri,Florisphaera profunda,Discoaster variabilis,Discoaster surculus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster intercalaris,Discoaster challengeri,Discoaster brouweri,Discoaster berggrenii,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Amaurolithus tricorniculatus,Triquetrorhabdulus rugosus,Triquetrorhabdulus farnsworthii,Reticulofenestra producta,Reticulofenestra gelida,Discoaster triradiatus,Schyphosphaera sp.,Reticulofenestra perplexa,Reticulofenestra minuta,Ericsonia formosa,Discoaster asymmetricus,Cyclicargolithus floridanus,Ceratolithus rugosus,Reticulofenestra pseudoumbilica,Ceratolithus armatus,Ceratolithus acutus,Amaurolithus primus,Amaurolithus delicatus,Syracosphaera spp.,Reticulofenestra umbilica,Pontosphaera spp.,Pontosphaera japonica,Ceratolithus separatus,Ceratolithus spp.,Reticulofenestra bisecta,Micula decussata,Helicosphaera sellii,Calciosolenia murrayi,Pseudoemiliania cf. P. lacunosa,Discoaster blackstockae,Braarudosphaera bigelowii,Pseudoemiliania lacunosa,Oolithotus fragilis,Umbilicosphaera sibogae var. foliosa,Reticulofenestra asanoi,Gephyrocapsa spp. medium,Gephyrocapsa spp. (small),Ceratolithus cristatus,Pontosphaera discopora,Gephyrocapsa oceanica ss,Gephyrocapsa caribbeanica,Umbilicosphaera sibogae var. sibogae,Gephyrocapsa margerelii/muellerae,Umbilicosphaera hulburtiana,Umbellosphaera irregularis,Helicosphaera pavimentum,Tetralithoides quadrilaminata,Reinhardtites anthophorus,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14b             ,              ,164, 991,A,  1,H, 5,  80.00,      6.8000,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,R                      ,F                        ,                      ,                      ,R                          ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,R                    ,                      ,F                     ,                            ,                          ,                               ,R                        ,                       ,                      ,R                 ,                         ,C                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,C                 ,                         ,                 ,                     ,                      ,                 ,                        ,                ,                    ,R                    ,                               ,                       ,R                        ,rR                      ,                   ,F                                   ,                       ,A                       ,D                        ,                      ,                      ,C                       ,C                        ,R                                   ,A                                ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14b             ,              ,164, 991,A,  1,H, 6,  80.00,      8.3000,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,F                      ,                         ,                      ,R                     ,R                          ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,                     ,                      ,F                     ,                            ,                          ,                               ,C                        ,                       ,                      ,                  ,                         ,C                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,C                 ,                         ,                 ,F                    ,                      ,                 ,                        ,                ,                    ,F                    ,                               ,                       ,                         ,                        ,                   ,F                                   ,                       ,A                       ,A                        ,R                     ,                      ,C                       ,C                        ,R                                   ,A                                ,                           ,R                         ,R                       ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14b             ,              ,164, 991,A,  1,H,CC,  26.00,      8.9800,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,R                      ,                         ,                      ,R                     ,R                          ,                        ,                       ,C                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,R                    ,                      ,C                     ,                            ,                          ,                               ,F                        ,                       ,                      ,                  ,                         ,C                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,F                 ,                         ,                 ,                     ,                      ,                 ,                        ,                ,                    ,C                    ,                               ,                       ,R                        ,                        ,                   ,F                                   ,                       ,C                       ,D                        ,R                     ,R                     ,C                       ,                         ,F                                   ,F                                ,                           ,                          ,R                       ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14b             ,              ,164, 991,A,  2,H, 1,  14.00,      9.2400,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,R                      ,F                        ,                      ,                      ,                           ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,F                    ,                      ,F                     ,                            ,                          ,                               ,C                        ,                       ,                      ,R                 ,                         ,C                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,F                 ,                         ,                 ,R                    ,                      ,                 ,                        ,                ,                    ,F                    ,                               ,                       ,                         ,                        ,                   ,F                                   ,                       ,F                       ,D                        ,                      ,                      ,C                       ,                         ,R                                   ,F                                ,R                          ,R                         ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14a             ,              ,164, 991,A,  2,H, 1,  74.00,      9.8400,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,R                      ,                         ,                      ,R                     ,                           ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,                     ,                      ,R                     ,                            ,                          ,                               ,F                        ,                       ,                      ,                  ,                         ,A                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,F                 ,                         ,                 ,                     ,                      ,                 ,                        ,                ,                    ,R                    ,                               ,                       ,                         ,F                       ,R                  ,R                                   ,                       ,C                       ,A                        ,                      ,                      ,C                       ,A                        ,R                                   ,C                                ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14a             ,              ,164, 991,A,  2,H, 2,  80.00,     11.4000,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,R                      ,                         ,                      ,                      ,R                          ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,                     ,                      ,F                     ,                            ,                          ,                               ,C                        ,                       ,                      ,R                 ,                         ,A                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,F                 ,                         ,R                ,R                    ,                      ,                 ,                        ,                ,                    ,R                    ,                               ,                       ,                         ,C                       ,                   ,F                                   ,                       ,C                       ,A                        ,                      ,R                     ,A                       ,C                        ,R                                   ,                                 ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN13b             ,              ,164, 991,A,  2,H, 3,  64.00,     12.7400,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,F                      ,                         ,                      ,                      ,                           ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,                     ,                      ,F                     ,                            ,                          ,                               ,                         ,                       ,                      ,R                 ,                         ,A                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,F                 ,                         ,                 ,R                    ,                      ,                 ,                        ,                ,                    ,                     ,                               ,                       ,                         ,C                       ,                   ,R                                   ,R                      ,                        ,D                        ,                      ,                      ,                        ,                         ,R                                   ,                                 ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN13b             ,              ,164, 991,A,  2,H, 4,  80.00,     14.4000,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,F                      ,                         ,                      ,                      ,R                          ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,                     ,                      ,F                     ,                            ,                          ,                               ,                         ,                       ,                      ,                  ,                         ,A                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,F                 ,                         ,                 ,R                    ,                      ,                 ,                        ,                ,                    ,                     ,                               ,                       ,R                        ,C                       ,                   ,F                                   ,C                      ,                        ,D                        ,                      ,                      ,                        ,                         ,R                                   ,                                 ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN13b             ,              ,164, 991,A,  2,H, 6,  80.00,     17.4000,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,R                      ,C                        ,                      ,R                     ,                           ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,                     ,                      ,F                     ,                            ,                          ,                               ,                         ,                       ,                      ,R                 ,                         ,A                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,F                 ,                         ,                 ,R                    ,                      ,                 ,                        ,                ,                    ,R                    ,                               ,                       ,                         ,C                       ,                   ,F                                   ,C                      ,                        ,D                        ,                      ,                      ,                        ,                         ,R                                   ,                                 ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN13b             ,              ,164, 991,A,  2,H,CC,  26.00,     18.7200,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,R                      ,F                        ,                      ,R                     ,R                          ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,R                    ,                      ,R                     ,                            ,                          ,                               ,F                        ,                       ,                      ,R                 ,                         ,C                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,F                 ,                         ,R                ,R                    ,                      ,                 ,                        ,                ,                    ,                     ,                               ,                       ,R                        ,C                       ,                   ,                                    ,C                      ,R                       ,D                        ,                      ,                      ,rR                      ,R                        ,                                    ,                                 ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN13b             ,              ,164, 991,A,  3,H, 2,  74.00,     20.8400,Okada    ,Nannofossils                                 ,A              ,M                 ,                     ,                     ,                  ,                       ,F                        ,                      ,R                     ,                           ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,                     ,                      ,F                     ,                            ,                          ,                               ,C                        ,                       ,                      ,R                 ,                         ,A                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,F                 ,                         ,                 ,R                    ,                      ,                 ,                        ,                ,                    ,                     ,                               ,                       ,                         ,F                       ,                   ,F                                   ,                       ,A                       ,C                        ,                      ,R                     ,                        ,                         ,                                    ,                                 ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN13b             ,              ,164, 991,A,  3,H, 4,  74.00,     23.8400,Okada    ,Nannofossils                                 ,C              ,M                 ,                     ,                     ,                  ,                       ,F                        ,                      ,                      ,                           ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,                     ,                      ,F                     ,                            ,                          ,                               ,C                        ,                       ,                      ,                  ,                         ,A                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,                  ,                         ,                 ,                     ,                      ,                 ,                        ,                ,                    ,F                    ,                               ,                       ,                         ,C                       ,                   ,                                    ,F                      ,C                       ,A                        ,                      ,                      ,                        ,                         ,                                    ,                                 ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN13b             ,              ,164, 991,A,  3,H, 5,  74.00,     25.3400,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                  ,R                      ,F                        ,                      ,R                     ,                           ,                        ,                       ,F                    ,A                    ,                     ,                   ,                       ,                        ,                       ,                      ,                   ,                     ,                     ,                      ,                      ,                            ,                          ,                               ,                         ,                       ,                      ,                  ,                         ,A                      ,                 ,                       ,                           ,                    ,                               ,                    ,                   ,                   ,                      ,C                 ,                         ,F                ,R                    ,                      ,                 ,                        ,                ,                    ,                     ,                               ,                       ,R                        ,A                       ,R                  ,F                                   ,F                      ,F                       ,D                        ,R                     ,                      ,                        ,                         ,                                    ,                                 ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,CN11b             ,              ,164, 991,A,  3,H, 6,  74.00,     26.8400,Okada    ,Nannofossils                                 ,A              ,G                 ,F                    ,                     ,F                 ,                       ,                         ,C                     ,R                     ,F                          ,                        ,                       ,F                    ,A                    ,                     ,R                  ,                       ,C                       ,R                      ,R                     ,F                  ,                     ,C                    ,F                     ,R                     ,                            ,                          ,                               ,                         ,C                      ,                      ,                  ,                         ,A                      ,                 ,R                      ,                           ,                    ,C                              ,                    ,                   ,                   ,                      ,                  ,                         ,                 ,R                    ,                      ,R                ,                        ,                ,R                   ,                     ,F                              ,                       ,                         ,F                       ,                   ,                                    ,                       ,                        ,                         ,                      ,                      ,                        ,                         ,                                    ,                                 ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,CN11b             ,              ,164, 991,A,  3,H,CC,  20.00,     28.5600,Okada    ,Nannofossils                                 ,A              ,M                 ,F                    ,R                    ,C                 ,                       ,C                        ,F                     ,R                     ,F                          ,                        ,                       ,F                    ,A                    ,                     ,R                  ,                       ,F                       ,                       ,                      ,R                  ,                     ,C                    ,R                     ,F                     ,                            ,                          ,                               ,A                        ,R                      ,                      ,                  ,                         ,A                      ,                 ,                       ,                           ,                    ,R                              ,                    ,                   ,                   ,                      ,R                 ,                         ,                 ,R                    ,                      ,                 ,                        ,                ,R                   ,                     ,F                              ,                       ,                         ,F                       ,R                  ,                                    ,                       ,                        ,                         ,                      ,                      ,                        ,                         ,                                    ,                                 ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,CN11a             ,              ,164, 991,A,  4,H, 2,  70.00,     30.3000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                    ,                     ,F                 ,R                      ,A                        ,                      ,R                     ,F                          ,                        ,                       ,F                    ,A                    ,                     ,R                  ,                       ,C                       ,R                      ,                      ,                   ,                     ,C                    ,F                     ,F                     ,                            ,                          ,                               ,F                        ,F                      ,                      ,R                 ,R                        ,A                      ,                 ,R                      ,                           ,                    ,F                              ,                    ,                   ,                   ,                      ,F                 ,                         ,                 ,R                    ,                      ,R                ,                        ,                ,R                   ,R                    ,C                              ,                       ,                         ,                        ,                   ,                                    ,                       ,                        ,                         ,                      ,                      ,                        ,                         ,                                    ,                                 ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,CN11a             ,              ,164, 991,A,  4,H, 4,  74.00,     33.3400,Okada    ,Nannofossils                                 ,A              ,G                 ,F                    ,                     ,C                 ,R                      ,A                        ,                      ,R                     ,F                          ,                        ,                       ,F                    ,A                    ,R                    ,R                  ,                       ,C                       ,R                      ,                      ,F                  ,                     ,C                    ,F                     ,F                     ,                            ,                          ,                               ,C                        ,F                      ,                      ,R                 ,R                        ,D                      ,                 ,R                      ,                           ,                    ,R                              ,                    ,                   ,                   ,                      ,F                 ,                         ,                 ,R                    ,R                     ,R                ,                        ,                ,                    ,R                    ,F                              ,                       ,R                        ,                        ,                   ,                                    ,                       ,                        ,                         ,                      ,                      ,                        ,                         ,                                    ,                                 ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,CN11a             ,              ,164, 991,A,  4,H, 6,  70.00,     36.3000,Okada    ,Nannofossils                                 ,A              ,G                 ,F                    ,R                    ,F                 ,R                      ,A                        ,                      ,R                     ,F                          ,                        ,                       ,F                    ,A                    ,R                    ,R                  ,                       ,C                       ,R                      ,                      ,R                  ,                     ,C                    ,F                     ,F                     ,                            ,                          ,                               ,                         ,F                      ,                      ,                  ,R                        ,D                      ,                 ,R                      ,                           ,                    ,F                              ,                    ,                   ,                   ,                      ,                  ,                         ,                 ,                     ,R                     ,R                ,                        ,                ,                    ,                     ,F                              ,R                      ,                         ,                        ,                   ,                                    ,                       ,                        ,                         ,                      ,                      ,                        ,                         ,                                    ,                                 ,                           ,                          ,                        ,                             ,                         ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data991A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
