Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudoemiliania lacunosa	Helicosphaera wallichii	Helicosphaera sellii	Gephyrocapsa spp. (small)	Gephyrocapsa spp. (large)	Gephyrocapsa sp. medium	Coccolithus pelagicus	Ceratolithus cristatus	Calcidiscus leptoporus	Helicosphaera carteri	Reticulofenestra asanoi	Florisphaera profunda	Gephyrocapsa omega	Braarudosphaera bigelowii	Pontosphaera spp.	Helicosphaera inversa	Emiliania huxleyi	Ceratolithus telesmus	Gephyrocapsa spp. medium	Comment
  IR	                 	Pleistocene      	                  	              	172	1058	A	  6	H	 5	  36.00	     53.8600	Raffi    	Nannofossils                                 	C              	G                 	R                       	+                      	                    	A                        	                         	                       	+                    	+                     	+                     	+                    	                       	                     	                  	                         	                 	+                    	                 	                     	A                       	Cretaceous forms reworked

  IR	                 	Pleistocene      	                  	              	172	1058	A	  6	H	 5	  70.00	     54.2000	Raffi    	Nannofossils                                 	A              	VG                	-                       	+                      	                    	A                        	                         	                       	+                    	+                     	+                     	+                    	                       	                     	                  	                         	                 	F                    	                 	                     	A                       	Cretaceous forms reworked

  IR	                 	Pleistocene      	                  	              	172	1058	A	  6	H	 5	 115.00	     54.6500	Raffi    	Nannofossils                                 	A              	G                 	R                       	+                      	r                   	A                        	                         	                       	                     	+                     	+                     	+                    	                       	                     	                  	                         	                 	F                    	                 	                     	A                       	Cretaceous forms reworked

  IR	                 	Pleistocene      	                  	              	172	1058	A	  6	H	 6	  36.00	     55.3600	Raffi    	Nannofossils                                 	A              	G                 	R                       	                       	                    	A                        	                         	                       	+                    	+                     	+                     	                     	                       	                     	                  	                         	                 	F                    	                 	                     	A                       	       

  IR	                 	Pleistocene      	                  	              	172	1058	A	  6	H	 6	  85.00	     55.8500	Raffi    	Nannofossils                                 	A              	G                 	F                       	+                      	                    	A                        	                         	                       	C                    	+                     	+                     	+                    	                       	                     	                  	                         	                 	F                    	                 	                     	A                       	       

  IR	                 	Pleistocene      	                  	              	172	1058	A	  6	H	CC	  29.00	     57.6800	Raffi    	Nannofossils                                 	A              	G                 	C                       	+                      	                    	A                        	                         	C                      	F                    	+                     	+                     	                     	                       	                     	+                 	                         	                 	F                    	-                	+                    	                        	Terrigenous input

  IR	                 	Pleistocene      	                  	              	172	1058	A	  7	H	CC	  35.00	     67.2700	Raffi    	Nannofossils                                 	C              	G                 	R                       	+                      	                    	C                        	                         	C                      	+                    	+                     	+                     	+                    	                       	                     	C                 	                         	                 	+                    	                 	                     	                        	Terrigenous input and diatom fragments

  IR	                 	Pleistocene      	                  	              	172	1058	A	  8	H	CC	  34.00	     76.7700	Raffi    	Nannofossils                                 	A              	G                 	A                       	C                      	                    	A                        	                         	C                      	C                    	+                     	+                     	+                    	                       	                     	C                 	                         	+                	                     	                 	                     	                        	Terrigenous input - few fragments of Diatoms

  IR	                 	Pleistocene      	                  	              	172	1058	A	  9	H	CC	  28.00	     86.1700	Raffi    	Nannofossils                                 	A              	G                 	A                       	C                      	                    	A                        	                         	C                      	+                    	+                     	+                     	+                    	                       	                     	C                 	R                        	                 	                     	                 	                     	                        	Terrigenous input and abundant Diatoms

  IR	                 	                 	                  	              	172	1058	A	 12	H	CC	  24.00	    115.0500	Raffi    	Nannofossils                                 	C              	G                 	C                       	                       	                    	A                        	                         	F                      	                     	                      	F                     	                     	A                      	                     	                  	                         	                 	                     	                 	                     	                        	> 0.46< 0.96- F - diatom frags- many R asanoi > 6 um

  IR	                 	                 	                  	              	172	1058	A	 13	H	CC	  19.00	    124.6400	Raffi    	Nannofossils                                 	A              	G                 	A                       	                       	                    	F                        	-                        	-                      	                     	                      	F                     	                     	A                      	A                    	                  	                         	                 	                     	                 	                     	                        	> 0.96< 1.24

  IR	                 	                 	                  	              	172	1058	A	 14	H	CC	  21.00	    134.0000	Raffi    	Nannofossils                                 	A              	G                 	A                       	                       	                    	A                        	-                        	-                      	                     	R                     	C                     	C                    	F                      	                     	                  	                         	                 	                     	                 	                     	                        	> 0.96< 1.24- A - diatom frags- reworked D variabilis

  IR	                 	                 	                  	              	172	1058	A	 15	H	CC	  21.00	    143.4900	Raffi    	Nannofossils                                 	A              	G                 	A                       	R                      	2                   	A                        	F5                       	C                      	F                    	                      	                      	F                    	                       	                     	                  	                         	                 	                     	                 	                     	                        	> 1.24/1.25 ?< 1.58- F - diatom frags

  IR	                 	                 	                  	              	172	1058	A	 16	H	CC	  12.00	    152.7500	Raffi    	Nannofossils                                 	A              	G                 	C                       	F                      	A                   	A                        	C                        	A                      	C                    	F                     	C                     	                     	                       	                     	                  	                         	                 	                     	                 	                     	                        	> 1.25 < 1.58- F - diatom frags- Sph. abies (?) reworked

