Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina hispidocostata,Loxostomum spp.,Cibicidoides spp.,Bolivina spp.,Tritaxa spp.,Sphaeroidina bulloides,Sigmoilina obesa,Planulina wuellerstorfi,Loxostomoides spp.,Bulimina marginata,Anomalinoides spp.,Globocassidulina subglobosa,Textularia spp.,Miliolids species,Bigenerina nodosaria,Nodosariid taxa,Elphidium spp.,Uvigerina spp.,Martinottiella communis,Hoeglundina elegans,Cancris auricula,Comment
  IR,                 ,                 ,                  ,              ,182,1132,B,  6,H,CC,   8.00,     52.3500,Holbourn ,Benthic Foraminifers                         ,A              ,VG                ,R                       ,F              ,F                ,             ,R           ,R                     ,F               ,                       ,F                 ,                  ,F                 ,                           ,C              ,                 ,C                   ,R              ,              ,              ,                       ,F                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B,  7,H,CC,  13.00,     64.1100,Holbourn ,Benthic Foraminifers                         ,A              ,VG                ,                        ,F              ,F                ,             ,F           ,R                     ,F               ,                       ,F                 ,R                 ,F                 ,                           ,C              ,                 ,C                   ,R              ,              ,R             ,R                      ,F                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B,  8,H,CC,   6.00,     73.3200,Holbourn ,Benthic Foraminifers                         ,A              ,G                 ,R                       ,F              ,F                ,             ,F           ,R                     ,F               ,                       ,F                 ,R                 ,F                 ,                           ,A              ,                 ,F                   ,R              ,              ,R             ,R                      ,F                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B,  9,H,CC,  17.00,     82.9000,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,F                       ,F              ,F                ,             ,            ,R                     ,R               ,F                      ,C                 ,R                 ,R                 ,R                          ,R              ,C                ,                    ,R              ,F             ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 10,H,CC,  13.00,     91.6500,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,R                       ,F              ,F                ,             ,            ,R                     ,R               ,F                      ,F                 ,                  ,R                 ,R                          ,R              ,C                ,                    ,R              ,F             ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 11,H,CC,   0.00,    101.7400,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,F                       ,F              ,F                ,             ,            ,R                     ,R               ,F                      ,F                 ,R                 ,R                 ,                           ,R              ,C                ,                    ,F              ,              ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 12,H,CC,   4.00,    111.1000,Holbourn ,Benthic Foraminifers                         ,A              ,G                 ,                        ,F              ,F                ,             ,R           ,R                     ,F               ,                       ,F                 ,R                 ,F                 ,                           ,C              ,                 ,F                   ,               ,              ,R             ,F                      ,F                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 13,H,CC,   0.00,    121.0500,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,F                       ,F              ,F                ,             ,R           ,R                     ,R               ,F                      ,F                 ,R                 ,                  ,R                          ,R              ,C                ,                    ,F              ,R             ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 14,H,CC,   6.00,    129.6000,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,R                       ,F              ,F                ,             ,            ,R                     ,R               ,                       ,F                 ,                  ,R                 ,R                          ,R              ,C                ,                    ,R              ,F             ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 15,H,CC,  14.00,    139.1700,Holbourn ,Benthic Foraminifers                         ,A              ,G                 ,R                       ,F              ,F                ,             ,R           ,R                     ,F               ,                       ,F                 ,R                 ,R                 ,R                          ,C              ,F                ,F                   ,               ,              ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 16,H,CC,  12.00,    149.9300,Holbourn ,Benthic Foraminifers                         ,A              ,G                 ,R                       ,F              ,F                ,             ,R           ,R                     ,F               ,                       ,F                 ,                  ,F                 ,                           ,C              ,F                ,F                   ,               ,              ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 17,H,CC,   9.00,    159.0800,Holbourn ,Benthic Foraminifers                         ,A              ,G                 ,R                       ,F              ,F                ,             ,            ,R                     ,F               ,                       ,F                 ,R                 ,R                 ,R                          ,C              ,F                ,F                   ,               ,              ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 18,H,CC,   0.00,    168.3600,Holbourn ,Benthic Foraminifers                         ,C              ,M                 ,                        ,F              ,F                ,             ,            ,                      ,                ,F                      ,F                 ,                  ,R                 ,                           ,               ,                 ,                    ,               ,              ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 19,X,CC,  13.00,    171.2600,Holbourn ,Benthic Foraminifers                         ,C              ,M                 ,                        ,F              ,F                ,             ,            ,                      ,                ,F                      ,F                 ,R                 ,R                 ,R                          ,               ,                 ,                    ,               ,              ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 21,X,CC,  28.00,    188.6300,Holbourn ,Benthic Foraminifers                         ,C              ,M                 ,C                       ,C              ,F                ,             ,F           ,F                     ,F               ,F                      ,C                 ,R                 ,R                 ,                           ,               ,                 ,                    ,               ,              ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 22,X,CC,  33.00,    199.4200,Holbourn ,Benthic Foraminifers                         ,R              ,P                 ,R                       ,F              ,F                ,F            ,            ,                      ,                ,                       ,                  ,                  ,                  ,                           ,               ,                 ,                    ,               ,              ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 23,X,CC,  18.00,    208.8900,Holbourn ,Benthic Foraminifers                         ,R              ,P                 ,F                       ,F              ,F                ,F            ,            ,                      ,                ,                       ,                  ,                  ,                  ,                           ,               ,                 ,                    ,               ,              ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 24,X,CC,  33.00,    217.9000,Holbourn ,Benthic Foraminifers                         ,R              ,P                 ,R                       ,F              ,F                ,F            ,            ,                      ,                ,                       ,                  ,                  ,                  ,                           ,               ,                 ,                    ,               ,              ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 25,X,CC,  48.00,    222.9100,Holbourn ,Benthic Foraminifers                         ,R              ,P                 ,F                       ,F              ,F                ,F            ,            ,                      ,                ,                       ,                  ,                  ,                  ,                           ,               ,                 ,                    ,               ,              ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 26,X,CC,  25.00,    236.5500,Holbourn ,Benthic Foraminifers                         ,R              ,P                 ,R                       ,F              ,F                ,F            ,            ,                      ,                ,                       ,                  ,                  ,                  ,                           ,               ,                 ,                    ,               ,              ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1132,B, 27,X,CC,  34.00,    241.8000,Holbourn ,Benthic Foraminifers                         ,R              ,P                 ,R                       ,F              ,F                ,F            ,            ,                      ,                ,                       ,                  ,                  ,                  ,                           ,               ,                 ,                    ,               ,              ,              ,                       ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
