Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia truncatulinoides (sin.)	Truncorotalia truncatulinoides (dex.)	Truncorotalia crassaformis	Pulleniatina obliquiloculata	Globoconella inflata	Sphaeroidinella dehiscens	Neogloboquadrina pachyderma	Menardella menardii (sinistral)	Truncorotalia crassaformis hessi	Menardella menardii (dextral)	Globoturborotalita rubescens	Globorotalia tumida	Globigerinella calida	Globigerina falconensis	Globigerina bulloides	Globigerina bermudezi	Hastigerina pelagica	Globorotalia tumida flexuosa	Hirsutella hirsuta	Comment
  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  4	H	 2	  70.00	     25.0000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                                    	R                                    	                          	A                           	A                   	                         	                           	                               	                                	                             	                            	                   	                     	                       	                     	                     	                    	                            	+                 	no flexuosa

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  4	H	 3	  70.00	     26.5000	Chaisson 	Planktonic Foraminifers                      	R              	G                 	+                                    	                                     	                          	                            	+                   	                         	                           	                               	                                	                             	                            	                   	                     	                       	                     	                     	                    	                            	                  	very small forams

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  4	H	 4	  70.00	     28.0000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	A                                    	                                     	                          	A                           	A                   	                         	                           	R                              	                                	                             	                            	+                  	                     	                       	                     	                     	                    	F                           	A                 	>0.068

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  4	H	CC	  32.00	     33.0300	Chaisson 	Planktonic Foraminifers                      	A              	VG                	R                                    	R                                    	R                         	R                           	R                   	-                        	-                          	R                              	                                	-                            	-                           	-                  	R                    	-                      	-                    	R                    	R                   	R                           	R                 	63-250 micron fraction is hugesorting>0.068 Ma

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  5	H	CC	  41.00	     42.6400	Chaisson 	Planktonic Foraminifers                      	A              	VG                	R                                    	F                                    	-                         	-                           	R                   	-                        	-                          	-                              	                                	-                            	-                           	R                  	-                    	-                      	-                    	-                    	R                   	R                           	R                 	ostracods, rads and pyrite large % of forams 63-250 micron fraction

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  6	H	CC	  30.00	     52.0100	Chaisson 	Planktonic Foraminifers                      	A              	VG                	-                                    	-                                    	R                         	-                           	F                   	-                        	R                          	R                              	                                	-                            	R                           	R                  	-                    	R                      	-                    	-                    	-                   	R                           	R                 	size sorted rare mica and ostracods

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  7	H	CC	  29.00	     61.4900	Chaisson 	Planktonic Foraminifers                      	F              	G                 	F                                    	                                     	                          	R                           	F                   	                         	                           	+                              	                                	                             	R                           	                   	                     	                       	                     	                     	                    	                            	R                 	pyrite burrows rads mica

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  8	H	CC	  32.00	     71.0000	Chaisson 	Planktonic Foraminifers                      	C              	VG                	F                                    	R                                    	                          	                            	A                   	                         	                           	                               	                                	                             	                            	                   	                     	                       	                     	                     	                    	                            	F                 	mica pyrite

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	  9	H	CC	  23.00	     80.4300	Chaisson 	Planktonic Foraminifers                      	C              	VG                	                                     	                                     	A                         	+                           	+                   	+                        	                           	A                              	                                	                             	                            	F                  	                     	                       	                     	                     	                    	F                           	                  	       

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	 10	H	 1	  70.00	     80.5000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	F                                    	-                                    	-                         	-                           	+                   	R                        	R                          	-                              	                                	-                            	-                           	-                  	R                    	-                      	-                    	-                    	                    	                            	                  	concentration of inflata - by dissolution?

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	 10	H	 2	  70.00	     82.0000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	-                                    	R                                    	-                         	-                           	F                   	-                        	R                          	-                              	                                	-                            	F                           	R                  	-                    	-                      	-                    	-                    	-                   	                            	                  	sorted

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	 10	H	 3	  70.00	     83.5000	Chaisson 	Planktonic Foraminifers                      	F              	G                 	R                                    	F                                    	R                         	-                           	F                   	-                        	R                          	-                              	                                	-                            	F                           	R                  	                     	F                      	F                    	-                    	                    	                            	                  	some sorting; disproportionate number of small spms.

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	 10	H	 4	  70.00	     85.0000	Chaisson 	Planktonic Foraminifers                      	F              	G                 	                                     	A                                    	                          	                            	A                   	                         	                           	                               	                                	                             	                            	                   	                     	                       	                     	                     	                    	                            	                  	       

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	 10	H	 5	  70.00	     86.5000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                                    	F                                    	R                         	-                           	F                   	-                        	F                          	-                              	R                               	-                            	R                           	-                  	R                    	F                      	R                    	-                    	                    	                            	                  	sorted; many small forams

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	 10	H	CC	  32.00	     89.9200	Chaisson 	Planktonic Foraminifers                      	C              	G                 	                                     	A                                    	R                         	                            	+                   	R                        	+                          	A                              	                                	                             	                            	                   	                     	                       	                     	                     	                    	                            	                  	no flexuosa >0.401

  IR	                 	Pleistocene      	                  	N22           	172	1059	A	 11	H	CC	  27.00	     99.4300	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                                    	+                                    	+                         	F                           	A                   	                         	                           	                               	                                	                             	                            	                   	                     	                       	                     	                     	                    	                            	                  	       

