Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudoemiliania lacunosa	Helicosphaera wallichii	Helicosphaera carteri	Gephyrocapsa spp. medium	Gephyrocapsa spp. (small)	Gephyrocapsa spp. (large)	Gephyrocapsa sp.3 medium	Florisphaera profunda	Coccolithus pelagicus	Ceratolithus cristatus	Calcidiscus leptoporus	Helicosphaera inversa	Gephyrocapsa omega	Ceratolithus telesmus	Syracosphaera spp.	Discoaster pentaradiatus	Helicosphaera sellii	Emiliania huxleyi	Scyphosphaera spp.	Pontosphaera spp.	Gephyrocapsa sp. medium	Comment
  IR	                 	                 	                  	              	172	1059	A	  8	H	CC	  32.00	     71.0000	Raffi    	Nannofossils                                 	A              	G                 	                        	                       	F                    	C                       	A                        	                         	                        	                     	                     	R                     	C                     	                     	                  	                     	                  	                        	                    	                 	                  	                 	                       	> 0.26			 < 0.46

  IR	                 	                 	                  	              	172	1059	A	  9	H	CC	  23.00	     80.4300	Raffi    	Nannofossils                                 	A              	G                 	-                       	                       	F                    	-                       	D                        	                         	                        	A                    	A                    	                      	F                     	F11                  	                  	                     	                  	                        	9                   	                 	                  	                 	                       	>0.26    < 0.46

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 1	  40.00	     80.2000	Raffi    	Nannofossils                                 	A              	G                 	-                       	+                      	+                    	A                       	A                        	                         	                        	                     	+                    	+                     	+                     	C                    	                  	                     	                  	                        	                    	                 	                  	                 	                       	few reworked Cretaceous and Paleogene nannofossils

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 1	  65.00	     80.4500	Raffi    	Nannofossils                                 	C              	G                 	+                       	+                      	+                    	A                       	A                        	                         	                        	                     	+                    	+                     	+                     	+                    	                  	                     	                  	                        	                    	                 	                  	                 	                       	reworked Cretaceous nannofossils

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 1	 118.00	     80.9800	Raffi    	Nannofossils                                 	A              	G                 	-                       	R                      	R                    	A                       	A                        	                         	                        	                     	R                    	+                     	+                     	                     	                  	                     	                  	r                       	                    	                 	                  	                 	                       	reworking of Cretaceous and Neogene nannofossils - abundat clay minerals

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 2	  40.00	     81.7000	Raffi    	Nannofossils                                 	A              	G                 	-                       	+                      	+                    	A                       	A                        	                         	                        	                     	                     	+                     	+                     	+                    	                  	                     	                  	                        	                    	                 	                  	                 	                       	Abundant terrigenous imput - reworked Cretaceous nannofossils

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 2	  65.00	     81.9500	Raffi    	Nannofossils                                 	C              	M                 	-                       	R                      	R                    	F                       	F                        	                         	                        	                     	R                    	                      	                      	                     	R                 	                     	F                 	                        	                    	                 	                  	                 	                       	abundant terrigenous input

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 2	 115.00	     82.4500	Raffi    	Nannofossils                                 	A              	G                 	R                       	+                      	+                    	A                       	A                        	                         	                        	                     	                     	+                     	+                     	+                    	                  	                     	                  	                        	                    	                 	                  	                 	                       	abundant terrigenous input

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 3	  40.00	     83.2000	Raffi    	Nannofossils                                 	A              	G                 	-                       	F                      	+                    	A                       	A                        	                         	                        	                     	F                    	                      	+                     	R                    	                  	+                    	                  	                        	                    	                 	                  	                 	                       	abundant terrigenous input

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 3	  65.00	     83.4500	Raffi    	Nannofossils                                 	A              	G                 	R                       	+                      	+                    	A                       	A                        	                         	                        	                     	F                    	+                     	A                     	                     	                  	                     	                  	                        	                    	                 	                  	                 	                       	       

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 3	 115.00	     83.9500	Raffi    	Nannofossils                                 	A              	G                 	R                       	R                      	+                    	A                       	A                        	                         	                        	                     	R                    	                      	R                     	                     	                  	                     	                  	                        	                    	                 	                  	                 	                       	       

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 4	  40.00	     84.7000	Raffi    	Nannofossils                                 	A              	G                 	R                       	+                      	+                    	A                       	A                        	                         	                        	                     	+                    	+                     	+                     	                     	                  	                     	                  	                        	                    	                 	                  	                 	                       	abundant terrigenous input

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 4	  65.00	     84.9500	Raffi    	Nannofossils                                 	A              	G                 	R                       	+                      	+                    	A                       	A                        	                         	                        	                     	R                    	+                     	+                     	                     	                  	                     	                  	                        	                    	                 	                  	                 	                       	       

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 4	 115.00	     85.4500	Raffi    	Nannofossils                                 	A              	G                 	R                       	+                      	+                    	A                       	A                        	                         	                        	                     	                     	+                     	A                     	                     	                  	                     	                  	                        	                    	                 	                  	                 	                       	reworked Eocene nannofossils

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 5	  40.00	     86.2000	Raffi    	Nannofossils                                 	A              	G                 	F                       	+                      	+                    	A                       	A                        	                         	                        	                     	R                    	                      	C                     	F                    	-                 	                     	                  	                        	                    	                 	                  	                 	                       	       

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 5	  65.00	     86.4500	Raffi    	Nannofossils                                 	A              	G                 	F                       	R                      	+                    	C                       	C                        	                         	                        	                     	R                    	+                     	+                     	                     	F                 	                     	                  	                        	                    	                 	                  	                 	                       	common reworked Paleogene nannofossils

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 5	 115.00	     86.9500	Raffi    	Nannofossils                                 	A              	G                 	C                       	+                      	+                    	A                       	A                        	                         	                        	                     	R                    	+                     	+                     	+                    	                  	                     	                  	                        	                    	                 	                  	                 	                       	       

  IR	                 	Pleistocene      	                  	              	172	1059	A	 10	H	 6	  39.00	     87.6900	Raffi    	Nannofossils                                 	A              	G                 	C                       	F                      	R                    	A                       	A                        	                         	                        	                     	R                    	                      	A                     	R                    	                  	                     	                  	                        	                    	                 	                  	                 	                       	       

  IR	                 	                 	                  	              	172	1059	A	 10	H	CC	  32.00	     89.9200	Raffi    	Nannofossils                                 	A              	G                 	C                       	                       	C                    	A                       	A                        	                         	                        	                     	                     	                      	F                     	                     	                  	                     	                  	                        	                    	                 	                  	                 	                       	> 0.46         < 0.96

  IR	                 	                 	                  	              	172	1059	A	 11	H	CC	  27.00	     99.4300	Raffi    	Nannofossils                                 	A              	G                 	A                       	R                      	F                    	C                       	A                        	-                        	F                       	A                    	F                    	R                     	F                     	                     	                  	                     	                  	                        	                    	                 	                  	                 	                       	> 0.46      < 0.96

