Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Eucyrtidium calvertense,Didymocyrtis antepenultima,Diartus petterssoni,Stichocorys peregrina,Stichocorys delmontensis,Sphaeropyle robusta,Saturnalis circularis,Didymocyrtis penultima,Theocorythium vetulum,Stylacontarium acquilonium,Amphirhopalum ypsilon,Lamprocyrtis heteroporos,Stylatractus universus,Didymocyrtis tetrathalamus tetrathalamus,Eucyrtidium matuyamai,Botryostrobus aquilonaris,Comment
  IR,                 ,                 ,S. langii (N Pac) ,S. langii (N Pac),,191,1179,C,  8,H,CC,  12.00,    115.7400,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,                          ,                   ,                     ,                        ,                   ,                     ,                      ,C                    ,F                         ,F                    ,                        ,                      ,                                        ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,S. langii (N Pac) ,S. langii (N Pac),,191,1179,C, 10,H,CC,  24.00,    134.5700,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,                          ,                   ,C                    ,                        ,                   ,                     ,                      ,                     ,                          ,                     ,                        ,                      ,                                        ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,S. langii (N Pac) ,S. langii (N Pac),,191,1179,C, 11,H,CC,   0.00,    143.8400,rads     ,Radiolarians                                 ,A              ,G                 ,C                      ,                          ,                   ,C                    ,                        ,                   ,C                    ,                      ,C                    ,                          ,                     ,                        ,                      ,                                        ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,S. langii (N Pac) ,S. langii (N Pac),,191,1179,C, 12,H,CC,  25.00,    153.8700,rads     ,Radiolarians                                 ,F              ,M                 ,                       ,                          ,                   ,C                    ,                        ,                   ,                     ,                      ,                     ,                          ,                     ,                        ,                      ,                                        ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. penultima (RN8),S. peregrina (N Pac),191,1179,C, 13,H,CC,   0.00,    162.8900,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,                          ,                   ,C                    ,C                       ,                   ,C                    ,C                     ,                     ,                          ,                     ,                        ,                      ,                                        ,                     ,                         ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. penultima (RN8),S. peregrina (N Pac),191,1179,C, 14,H,CC,  26.00,    172.8700,rads     ,Radiolarians                                 ,C              ,M                 ,                       ,                          ,                   ,                     ,                        ,C                  ,C                    ,                      ,                     ,                          ,                     ,                        ,                      ,                                        ,                     ,                         ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. penultima (RN8),S. peregrina (N Pac),191,1179,C, 15,H,CC,   0.00,    181.9400,rads     ,Radiolarians                                 ,C              ,M                 ,C                      ,                          ,                   ,C                    ,C                       ,                   ,                     ,                      ,                     ,                          ,                     ,                        ,                      ,                                        ,                     ,                         ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. penultima (RN8),S. peregrina (N Pac),191,1179,C, 16,H,CC,  17.00,    191.7900,rads     ,Radiolarians                                 ,C              ,M                 ,C                      ,                          ,                   ,-                    ,C                       ,                   ,                     ,                      ,                     ,                          ,                     ,                        ,                      ,                                        ,                     ,                         ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. penultima (RN8),S. peregrina (N Pac),191,1179,C, 17,H,CC,  18.00,    201.0800,rads     ,Radiolarians                                 ,C              ,M                 ,C                      ,                          ,                   ,                     ,C                       ,                   ,                     ,                      ,                     ,                          ,                     ,                        ,                      ,                                        ,                     ,                         ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,191,1179,C, 18,H,CC,  13.00,    210.7100,cur      ,Radiolarians                                 ,A              ,M                 ,C                      ,                          ,                   ,A                    ,C                       ,                   ,                     ,                      ,                     ,                          ,                     ,                        ,                      ,                                        ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. antepenultima RN7,D. antepenultima RN7,191,1179,C, 20,H,CC,  18.00,    229.7200,rads     ,Radiolarians                                 ,A              ,G                 ,C                      ,C                         ,C                  ,                     ,                        ,                   ,                     ,                      ,                     ,                          ,                     ,                        ,                      ,                                        ,                     ,                         ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. antepenultima RN7,D. antepenultima RN7,191,1179,C, 21,H,CC,   0.00,    238.9400,rads     ,Radiolarians                                 ,A              ,G                 ,C                      ,C                         ,C                  ,                     ,                        ,                   ,                     ,                      ,                     ,                          ,                     ,                        ,                      ,                                        ,                     ,                         ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
