Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paragloborotalia nympha	Paragloborotalia nana	Paragloborotalia continuosa	Globoturborotalita woodi	Globoturborotalita decoraperta	Globorotalia praescitula	Globorotalia panda	Globorotalia miozea	Globigerinita uvula	Globigerinita glutinata	Globigerina bulloides	Paragloborotalia mayeri	Globorotalia miotumida	Globorotalia juanai	Globorotalia conoidea	Orbulina universa	Globoturborotalita apertura	Globorotalia scitula	Globorotalia conomiozea	Globorotalia challengeri	Neogloboquadrina pachyderma (sinistral)	Globorotalia sphericomiozea	Globorotalia puncticuloides	Globigerina falconensis	Globorotalia puncticulata	Globorotalia crassula	Globorotalia crassaformis	Globigerina umbilicata	Globorotalia crassaconica	Globigerinella obesa	Globigerinella aequilateralis	Globorotalia inflata	Globorotalia hirsuta	Globorotalia crassacarina	Comment
  IR	                 	                 	                  	SN12b         	189	1171	B	  6	H	CC	  13.00	     52.0400	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                     	                           	                        	                              	                        	                  	                   	+                  	+                      	+                    	                       	                      	                   	                     	+                	                           	                    	                       	+                       	+                                      	                           	+                          	+                      	+                        	+                    	+                        	                      	                         	                    	                             	                    	                    	                         	       

  IR	                 	                 	                  	SN12b         	189	1171	B	  7	H	 5	  23.00	     58.0300	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                     	                           	                        	                              	                        	                  	                   	+                  	+                      	+                    	                       	                      	                   	                     	+                	                           	                    	                       	+                       	+                                      	+                          	+                          	+                      	+                        	                     	                         	                      	                         	                    	                             	                    	                    	                         	       

  IR	                 	                 	                  	SN12b         	189	1171	B	  7	H	 5	  41.00	     58.2100	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                     	                           	                        	                              	                        	                  	                   	+                  	+                      	+                    	                       	                      	                   	                     	+                	                           	                    	                       	+                       	+                                      	+                          	+                          	+                      	                         	                     	                         	                      	                         	                    	                             	                    	                    	                         	       

  IR	                 	                 	                  	SN9           	189	1171	B	  7	H	CC	  15.00	     60.7400	forams   	Planktonic Foraminifers                      	C              	G                 	                       	                     	+                          	                        	                              	                        	                  	                   	                   	+                      	+                    	                       	+                     	+                  	+                    	+                	                           	+                   	+                      	+                       	                                       	                           	                           	                       	                         	                     	                         	                      	                         	                    	                             	                    	                    	                         	Much fragmentation

  IR	                 	                 	                  	SN9           	189	1171	B	  8	H	CC	  14.00	     70.7500	forams   	Planktonic Foraminifers                      	C              	M                 	                       	                     	+                          	                        	+                             	                        	+                 	+                  	+                  	+                      	+                    	                       	+                     	                   	+                    	+                	+                          	                    	                       	                        	                                       	                           	                           	                       	                         	                     	                         	                      	                         	                    	                             	                    	                    	                         	       

  IR	                 	                 	                  	SN8           	189	1171	B	  9	H	CC	   8.00	     80.2300	forams   	Planktonic Foraminifers                      	C              	G                 	+                      	                     	+                          	+                       	+                             	                        	+                 	+                  	                   	                       	+                    	                       	+                     	                   	+                    	+                	+                          	                    	                       	                        	                                       	                           	                           	                       	                         	                     	                         	                      	                         	                    	                             	                    	                    	                         	       

  IR	                 	                 	                  	SN8           	189	1171	B	 10	H	CC	  14.00	     89.7700	forams   	Planktonic Foraminifers                      	C              	G                 	+                      	+                    	+                          	+                       	+                             	                        	+                 	+                  	+                  	+                      	+                    	                       	                      	                   	+                    	                 	                           	                    	                       	                        	                                       	                           	                           	                       	                         	                     	                         	                      	                         	                    	                             	                    	                    	                         	       

  IR	                 	                 	                  	SN7           	189	1171	B	 11	H	CC	  13.00	     97.9300	forams   	Planktonic Foraminifers                      	C              	M                 	+                      	+                    	+                          	+                       	                              	                        	+                 	+                  	                   	                       	+                    	+                      	+                     	+                  	+                    	                 	                           	                    	                       	                        	                                       	                           	                           	                       	                         	                     	                         	                      	                         	                    	                             	                    	                    	                         	       

  IR	                 	                 	                  	SN7           	189	1171	B	 12	H	CC	  11.00	    109.0600	forams   	Planktonic Foraminifers                      	C              	M                 	+                      	+                    	+                          	+                       	+                             	+                       	+                 	+                  	+                  	+                      	+                    	                       	                      	                   	                     	                 	                           	                    	                       	                        	                                       	                           	                           	                       	                         	                     	                         	                      	                         	                    	                             	                    	                    	                         	P. mayeri rare

