Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina connecta,Sphenolithus heteromorphus,Cyclicargolithus abisectus,Braarudosphaera bigelowii,Zeaglobigerina woodi,Tenuitella minutissima,Zeaglobigerina druryi,Sphenolithus moriformis,Neogloboquadrina continuosa,Globigerinoides trilobus,Globigerinoides sicanus,Globigerinoides ruber,Globigerinoides quadrilobatus,Fohsella peripheroronda,Cyclicargolithus floridanus,Coronocyclus nitescens,Calcidiscus premacintyrei,Calcidiscus leptoporus,Tenuitellinata juvenilis,Pontosphaera pachymorpha,Neogloboquadrina nympha,Helicosphaera euphratis,Helicosphaera carteri,Globorotaloides suteri,Globoquadrina dehiscens,Praeorbulina glomerosa,Orbulina suturalis,Globorotalia conica,Discoaster deflandrei,Dictyococcites antarcticus,Coccolithus miopelagicus,Subbotina angiporoides,Sphenolithus abies,Reticulofenestra haqii,Micrantholithus pinguis,Helicosphaera perch-nielseniae,Globorotalia sp. cf. juanai,Globoconella conoidea,Globigerinita glutinata,Globigerina quinqueloba,Globigerina bulloides,Discoaster variabilis,Calcidiscus macintyrei,Globorotalia puncticulata,Syracosphaera pulchra,Scyphosphaera spp.,Orbulina universa,Neogloboquadrina pachyderma (dextral),Helicosphaera sellii,Helicosphaera kamptneri,Globorotalia tosaensis,Globorotalia inflata,Globorotalia crassaformis,Gephyrocapsa aperta,Pontosphaera japonica,Globorotalia crassula,Globigerina falconensis,Dictyococcites productus,Small Gephyrocapsa spp.,Globorotalia truncatulinoides,Globorotalia sp. cf. tosaensis,Gephyrocapsa caribbeanica,Coccolithus pelagicus,Pseudoemiliania lacunosa,Reticulofenestra minutula,Umbilicosphaera sibogae,Globigerinella siphonifera,Neogloboquadrina dutertrei,Zeaglobigerina rubescens,Gephyrocapsa oceanica,Reticulofenestra minuta,Dictyococcites sp.,Reticulofenestra asanoi,Globorotalia scitula,Globigerinella obesa,Scapholithus fossilis,Rhabdosphaera clavigera,Globorotalia ungulata,Tritaxa spp.,Rosalina spp.,Patellina corrugata,Miliolids species,Loxostomum spp.,Loxostomoides spp.,Hoeglundina elegans,Globorotalia tumida,Cibicidoides spp.,Globigerinoides tenellus,Textularia spp.,Sphaeroidina bulloides,Bigenerina nodosaria,Uvigerina spp.,Umbellosphaera irregularis,Helicosphaera hyalina,Bulimina marginata,Sigmoilina obesa,Globorotalia hirsuta,Martinottiella communis,Helicosphaera inversa,Gephyrocapsa omega,Emiliania huxleyi,Helicosphaera wallichii,Elphidium spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1131,A,  5,H,CC,  14.00,     40.4900,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,                       ,                          ,                          ,R                        ,                    ,                      ,                     ,                       ,                           ,P                       ,                       ,P                    ,                             ,                       ,                           ,                      ,                         ,C                     ,                        ,                        ,                       ,                       ,F                    ,                      ,                       ,                      ,                  ,                   ,                     ,                          ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,P                      ,P                      ,P                    ,                     ,                      ,                         ,                     ,                  ,P                ,P                                    ,                    ,                       ,                      ,F                   ,                         ,                   ,                     ,                     ,P                      ,                        ,                       ,P                            ,                              ,A                        ,R                    ,                        ,                         ,                       ,P                         ,P                         ,                        ,                     ,                       ,                  ,                       ,                    ,P                   ,                     ,                       ,                     ,            ,C            ,F                  ,F                ,R              ,F                 ,R                  ,                   ,F                ,                        ,F              ,R                     ,                    ,              ,                          ,                     ,                  ,                ,                    ,                       ,                     ,                  ,                 ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1131,A,  6,H,CC,  15.00,     51.1900,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,                       ,                          ,                          ,R                        ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,P                    ,                             ,                       ,                           ,                      ,                         ,C                     ,                        ,                        ,                       ,                       ,R                    ,                      ,                       ,                      ,                  ,                   ,                     ,                          ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,                       ,P                      ,F                    ,                     ,                      ,                         ,                     ,                  ,P                ,P                                    ,                    ,                       ,                      ,F                   ,                         ,                   ,                     ,                     ,F                      ,                        ,C                      ,P                            ,                              ,C                        ,R                    ,                        ,                         ,                       ,                          ,                          ,                        ,                     ,C                      ,                  ,                       ,                    ,P                   ,                     ,R                      ,                     ,R           ,C            ,R                  ,F                ,F              ,R                 ,F                  ,                   ,F                ,                        ,R              ,R                     ,R                   ,R             ,R                         ,R                    ,R                 ,                ,                    ,                       ,                     ,                  ,                 ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1131,A,  7,H,CC,   0.00,     59.6800,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,                       ,                          ,                          ,                         ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,P                    ,                             ,                       ,                           ,                      ,                         ,C                     ,                        ,                        ,                       ,                       ,F                    ,                      ,                       ,                      ,                  ,                   ,                     ,                          ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,P                      ,P                      ,P                    ,                     ,                      ,                         ,                     ,                  ,P                ,P                                    ,                    ,                       ,                      ,F                   ,                         ,                   ,                     ,                     ,F                      ,C                       ,C                      ,P                            ,                              ,                         ,C                    ,                        ,                         ,                       ,                          ,                          ,                        ,                     ,F                      ,                  ,                       ,                    ,P                   ,                     ,                       ,                     ,            ,C            ,F                  ,F                ,F              ,F                 ,F                  ,                   ,F                ,                        ,R              ,R                     ,R                   ,              ,                          ,                     ,                  ,                ,                    ,                       ,                     ,                  ,                 ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,182,1131,A,  8,X,CC,  15.00,     66.8700,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                       ,                          ,                          ,R                        ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,P                    ,                             ,                       ,                           ,                      ,                         ,R                     ,                        ,                        ,                       ,                       ,F                    ,                      ,                       ,                      ,                  ,                   ,                     ,                          ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,                       ,                       ,P                    ,                     ,                      ,                         ,                     ,                  ,P                ,P                                    ,                    ,                       ,                      ,F                   ,                         ,                   ,                     ,                     ,P                      ,                        ,A                      ,P                            ,                              ,R                        ,                     ,                        ,                         ,                       ,                          ,                          ,                        ,R                    ,                       ,                  ,                       ,                    ,P                   ,                     ,                       ,                     ,            ,             ,                   ,                 ,               ,                  ,                   ,                   ,                 ,P                       ,               ,                      ,                    ,              ,                          ,                     ,                  ,                ,                    ,                       ,                     ,                  ,                 ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1131,A,  9,X,CC,  18.00,     74.0300,Li       ,Planktonic Foraminifers                      ,F              ,P                 ,                       ,                          ,                          ,R                        ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,P                    ,                             ,                       ,                           ,                      ,                         ,F                     ,                        ,                        ,                       ,                       ,F                    ,                      ,                       ,                      ,                  ,                   ,                     ,                          ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,                       ,P                      ,P                    ,                     ,                      ,                         ,                     ,                  ,                 ,P                                    ,                    ,                       ,                      ,F                   ,                         ,                   ,                     ,                     ,P                      ,                        ,                       ,                             ,                              ,F                        ,C                    ,                        ,                         ,                       ,                          ,                          ,                        ,                     ,                       ,                  ,                       ,P                   ,                    ,                     ,                       ,                     ,            ,             ,                   ,                 ,               ,                  ,                   ,                   ,                 ,                        ,               ,                      ,                    ,              ,                          ,                     ,                  ,                ,                    ,                       ,                     ,                  ,                 ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN20              ,NN21          ,182,1131,A, 10,X,CC,  15.00,     84.2500,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                          ,                          ,R                        ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,P                    ,                             ,                       ,                           ,                      ,                         ,                      ,                        ,                        ,                       ,                       ,F                    ,                      ,                       ,                      ,                  ,                   ,                     ,                          ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,                       ,                       ,                     ,                     ,                      ,                         ,                     ,                  ,                 ,P                                    ,                    ,                       ,                      ,P                   ,                         ,                   ,                     ,                     ,                       ,A                       ,D                      ,                             ,                              ,                         ,                     ,                        ,                         ,                       ,                          ,                          ,                        ,                     ,A                      ,                  ,                       ,                    ,                    ,                     ,                       ,                     ,            ,             ,                   ,                 ,               ,                  ,                   ,                   ,                 ,                        ,               ,                      ,                    ,              ,                          ,                     ,                  ,                ,                    ,                       ,                     ,                  ,                 ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1131,A, 11,X,CC,  17.00,     93.9800,Holbourn ,Benthic Foraminifers                         ,F              ,M                 ,                       ,                          ,                          ,                         ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,F                    ,                             ,                       ,                           ,                      ,                         ,                      ,                        ,                        ,                       ,                       ,                     ,                      ,                       ,                      ,                  ,                   ,                     ,A                         ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,                       ,P                      ,                     ,                     ,                      ,                         ,F                    ,                  ,                 ,P                                    ,                    ,                       ,                      ,A                   ,P                        ,A                  ,                     ,                     ,P                      ,                        ,                       ,P                            ,                              ,A                        ,                     ,                        ,A                        ,                       ,P                         ,                          ,                        ,                     ,                       ,                  ,                       ,                    ,                    ,                     ,F                      ,P                    ,R           ,F            ,R                  ,R                ,R              ,R                 ,F                  ,P                  ,F                ,                        ,               ,                      ,                    ,              ,                          ,                     ,                  ,                ,                    ,                       ,                     ,                  ,                 ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,NN20              ,NN21          ,182,1131,A, 12,X,CC,  14.00,    103.5800,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                          ,                          ,                         ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,                     ,                             ,                       ,                           ,                      ,                         ,                      ,                        ,                        ,                       ,                       ,                     ,                      ,                       ,                      ,                  ,                   ,                     ,A                         ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,                       ,                       ,                     ,                     ,                      ,                         ,                     ,                  ,                 ,                                     ,                    ,                       ,                      ,P                   ,                         ,A                  ,                     ,                     ,                       ,                        ,                       ,                             ,                              ,A                        ,                     ,                        ,A                        ,                       ,                          ,                          ,                        ,                     ,                       ,                  ,                       ,                    ,                    ,                     ,                       ,                     ,            ,             ,                   ,                 ,               ,                  ,                   ,                   ,                 ,                        ,               ,                      ,                    ,              ,                          ,                     ,                  ,                ,                    ,                       ,                     ,                  ,                 ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,NN20              ,NN21          ,182,1131,A, 13,X,CC,  17.00,    112.2900,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                          ,                          ,                         ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,A                    ,                             ,                       ,                           ,                      ,                         ,                      ,                        ,                        ,                       ,                       ,                     ,                      ,                       ,                      ,                  ,                   ,                     ,A                         ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,                       ,P                      ,P                    ,                     ,                      ,                         ,F                    ,                  ,                 ,P                                    ,                    ,                       ,                      ,A                   ,                         ,A                  ,                     ,                     ,                       ,                        ,                       ,P                            ,                              ,A                        ,F                    ,                        ,C                        ,                       ,                          ,                          ,P                       ,                     ,                       ,                  ,                       ,                    ,                    ,                     ,                       ,P                    ,            ,             ,                   ,                 ,               ,                  ,                   ,                   ,                 ,                        ,               ,                      ,                    ,              ,                          ,                     ,                  ,                ,                    ,                       ,                     ,                  ,                 ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,NN20              ,NN21          ,182,1131,A, 14,X,CC,   9.00,    122.4100,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                          ,                          ,                         ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,P                    ,                             ,                       ,                           ,                      ,                         ,R                     ,                        ,                        ,                       ,                       ,                     ,                      ,                       ,                      ,                  ,                   ,                     ,A                         ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,                       ,                       ,                     ,                     ,                      ,                         ,F                    ,                  ,                 ,                                     ,                    ,R                      ,                      ,P                   ,                         ,A                  ,                     ,                     ,                       ,                        ,                       ,                             ,                              ,A                        ,                     ,                        ,A                        ,                       ,                          ,                          ,P                       ,                     ,                       ,                  ,                       ,                    ,                    ,R                    ,R                      ,P                    ,            ,             ,                   ,                 ,               ,                  ,                   ,                   ,                 ,                        ,               ,                      ,                    ,              ,                          ,                     ,                  ,                ,                    ,                       ,                     ,                  ,                 ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,NN20              ,NN21          ,182,1131,A, 15,X,CC,  19.00,    131.1700,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                          ,                          ,                         ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,                     ,                             ,                       ,                           ,                      ,                         ,R                     ,                        ,                        ,                       ,                       ,                     ,                      ,                       ,                      ,                  ,                   ,                     ,A                         ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,                       ,                       ,                     ,                     ,                      ,                         ,R                    ,                  ,                 ,P                                    ,                    ,                       ,                      ,P                   ,                         ,A                  ,                     ,                     ,                       ,                        ,                       ,P                            ,                              ,C                        ,                     ,                        ,A                        ,                       ,                          ,                          ,                        ,                     ,                       ,                  ,                       ,                    ,                    ,                     ,R                      ,                     ,            ,             ,                   ,                 ,               ,                  ,                   ,                   ,                 ,                        ,               ,                      ,                    ,              ,                          ,                     ,                  ,                ,                    ,                       ,                     ,                  ,                 ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,NN20              ,NN21          ,182,1131,A, 16,X,CC,  16.00,    140.9600,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                          ,                          ,F                        ,                    ,                      ,                     ,                       ,                           ,                        ,                       ,                     ,                             ,                       ,                           ,                      ,                         ,                      ,                        ,                        ,                       ,                       ,                     ,                      ,                       ,                      ,                  ,                   ,                     ,C                         ,                        ,                      ,                  ,                      ,                       ,                              ,                           ,                     ,                       ,                       ,                     ,                     ,                      ,                         ,F                    ,                  ,                 ,P                                    ,                    ,                       ,                      ,P                   ,                         ,C                  ,                     ,                     ,                       ,                        ,                       ,P                            ,                              ,C                        ,                     ,1                       ,C                        ,                       ,                          ,                          ,                        ,                     ,                       ,                  ,                       ,                    ,                    ,                     ,F                      ,                     ,            ,             ,                   ,                 ,               ,                  ,                   ,                   ,                 ,                        ,               ,                      ,                    ,              ,                          ,                     ,                  ,                ,                    ,                       ,                     ,                  ,                 ,                       ,              ,P. lacunosa most likely reworked.
