Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cibicidoides voltziana,Stilostomella pseudoscripta,Reussella cf. pseudospinulosa,Praebulimina cushmani,Loxostomum eleyi,Gaudryina pyramidata,Epistomina caracolla,Cibicides spp.,Cassidulina subtumida,Bolivina spp.,Bolivina sp. 1,Aragonia velascoensis,Aragonia ouezzanensis,Pullenia minuta,Pleurostomella cf. alternans,Planulina wuellerstorfi,Orthomorphina aff. antillea,Gyroidinoides beisseli,Globorotalites michelinianus,Dentalina sp.,Cibicides ribbingi,Rhizammina sp. 1,Dendrophrya latissima/excelsa,Trochammina depressa,Subreophax scalaris,Plectorecurvoides rotundus,Paratrochamminoides corpulentus,Haplophragmoides sp.,Haplophragmoides herbichi,Saccammina sphaerica,Praecystammina globigeriniformis,Paratrochamminoides intricatus,Hyperammina dilatata,Hormosina ovulum,Hormosina crassa,Haplophragmoides biumbilicalis,Glomospira charoides,Lenticulina spp.,Angulogerina angulosa,Stilostomella sp. 1,Rotalia tectoria,Pararotalia armata,Lepidocyclina sumatrensis,Lenticulina sp. 1,Heterostegina borneensis,Asterigerina tentoria,Asterigerina marshallana,Amphistegina hauerina,Oridorsalis umbonatus,Stilostomella lepidula,Orthomorphina cf. columnaris,Gyroidinoides cf. praeglobosus,Bulimina tuxpamensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 27,R, 2, 125.00,    237.8500,Wightman ,Benthic Foraminifers                         ,               ,                  ,C                     ,                           ,                             ,                     ,                ,                    ,                    ,              ,                     ,             ,              ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,A               ,                  ,                         ,                 ,                        ,C                    ,                        ,A                    ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 27,R, 3,  36.00,    238.4600,Wightman ,Benthic Foraminifers                         ,               ,                  ,                      ,                           ,                             ,                     ,F               ,                    ,                    ,              ,F                    ,F            ,A             ,                     ,                     ,               ,F                           ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,F                    ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,F                     ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 27,R, 3, 135.00,    239.4500,Wightman ,Benthic Foraminifers                         ,               ,                  ,                      ,                           ,                             ,                     ,C               ,                    ,                    ,              ,                     ,             ,              ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,F                    ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 27,R, 4, 110.00,    240.7000,Hauser   ,Benthic Foraminifers                         ,               ,                  ,                      ,                           ,                             ,                     ,                ,                    ,                    ,              ,                     ,+            ,              ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 27,R, 5, 110.00,    242.2000,Hauser   ,Benthic Foraminifers                         ,               ,                  ,C                     ,                           ,                             ,                     ,                ,                    ,                    ,              ,                     ,F            ,C             ,                     ,                     ,               ,                            ,                       ,C                          ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,F                    ,                   ,                ,                  ,                         ,                 ,                        ,                     ,A                       ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 27,R, 6,  43.00,    243.0300,Hauser   ,Benthic Foraminifers                         ,               ,                  ,C                     ,                           ,                             ,                     ,F               ,                    ,                    ,              ,                     ,C            ,              ,                     ,                     ,               ,                            ,                       ,C                          ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 28,R, 1,  11.00,    244.8100,Hauser   ,Benthic Foraminifers                         ,               ,                  ,A                     ,                           ,                             ,                     ,C               ,                    ,                    ,              ,F                    ,             ,F             ,                     ,                     ,               ,                            ,                       ,F                          ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,                ,F                 ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 28,R, 1,  65.00,    245.3500,Hauser   ,Benthic Foraminifers                         ,               ,                  ,A                     ,                           ,                             ,                     ,                ,                    ,                    ,              ,C                    ,             ,              ,                     ,                     ,               ,                            ,                       ,A                          ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,                ,                  ,                         ,                 ,F                       ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 28,R, 1, 100.00,    245.7000,Hauser   ,Benthic Foraminifers                         ,               ,                  ,A                     ,                           ,                             ,                     ,                ,                    ,                    ,              ,                     ,F            ,C             ,                     ,                     ,               ,                            ,                       ,F                          ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,                ,                  ,                         ,                 ,                        ,                     ,F                       ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 28,R, 2,  40.00,    246.6000,Hauser   ,Benthic Foraminifers                         ,               ,                  ,                      ,                           ,                             ,                     ,                ,                    ,                    ,              ,C                    ,             ,              ,                     ,                     ,               ,                            ,                       ,F                          ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,C               ,                  ,F                        ,                 ,C                       ,C                    ,F                       ,F                    ,F                    ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 28,R, 3,  23.00,    247.9300,Hauser   ,Benthic Foraminifers                         ,               ,                  ,                      ,                           ,                             ,                     ,                ,                    ,                    ,              ,                     ,F            ,              ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,F                    ,                   ,                ,                  ,                         ,                 ,                        ,A                    ,F                       ,C                    ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 28,R, 3,  77.00,    248.4700,Hauser   ,Benthic Foraminifers                         ,               ,                  ,F                     ,                           ,                             ,                     ,F               ,                    ,                    ,              ,R                    ,F            ,              ,                     ,                     ,               ,R                           ,                       ,R                          ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,R                    ,                   ,A               ,R                 ,                         ,                 ,F                       ,F                    ,F                       ,R                    ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 28,R, 3, 117.00,    248.8700,Hauser   ,Benthic Foraminifers                         ,               ,                  ,F                     ,                           ,                             ,                     ,                ,                    ,                    ,              ,R                    ,F            ,F             ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,C               ,R                 ,C                        ,                 ,                        ,                     ,C                       ,                     ,R                    ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 28,R,CC,   0.00,    249.0500,Hauser   ,Benthic Foraminifers                         ,               ,                  ,F                     ,                           ,                             ,                     ,                ,                    ,                    ,              ,R                    ,R            ,              ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,F                  ,A               ,R                 ,C                        ,R                ,F                       ,F                    ,C                       ,F                    ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 29,R, 2,   2.00,    256.0200,Hauser   ,Benthic Foraminifers                         ,               ,                  ,A                     ,                           ,                             ,                     ,                ,                    ,                    ,              ,F                    ,C            ,F             ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 29,R, 2,  72.00,    256.7200,Hauser   ,Benthic Foraminifers                         ,               ,                  ,A                     ,                           ,R                            ,                     ,                ,                    ,                    ,              ,F                    ,C            ,              ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,F               ,F                    ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 31,R, 2,  44.00,    275.7400,Hauser   ,Benthic Foraminifers                         ,               ,                  ,+                     ,                           ,                             ,                     ,                ,                    ,                    ,              ,                     ,             ,              ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 32,R, 1,  91.00,    284.4100,Hauser   ,Benthic Foraminifers                         ,B              ,                  ,+                     ,                           ,                             ,                     ,                ,                    ,                    ,              ,                     ,             ,              ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 36,R,CC,  21.00,    321.7900,Hauser   ,Benthic Foraminifers                         ,               ,                  ,+                     ,                           ,                             ,                     ,                ,                    ,                    ,              ,                     ,             ,              ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 38,R, 1,  70.00,    339.9000,Hauser   ,Benthic Foraminifers                         ,               ,                  ,                      ,                           ,                             ,                     ,                ,                    ,                    ,              ,                     ,             ,              ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,C               ,A                            ,                    ,                   ,R                         ,F                              ,                    ,R                        ,R                   ,R                               ,F                             ,F                   ,F               ,F               ,R                             ,R                   ,                ,                     ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 38,R, 2,  48.00,    341.1800,Hauser   ,Benthic Foraminifers                         ,               ,                  ,                      ,                           ,                             ,                     ,                ,                    ,                    ,              ,                     ,             ,              ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,C               ,A                            ,R                   ,R                  ,F                         ,F                              ,F                   ,R                        ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 38,R, 3, 101.00,    343.2100,Hauser   ,Benthic Foraminifers                         ,               ,                  ,                      ,                           ,                             ,                     ,                ,                    ,                    ,              ,                     ,             ,              ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,F               ,C                            ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 38,R, 4, 115.00,    344.8500,Hauser   ,Benthic Foraminifers                         ,               ,                  ,F                     ,F                          ,                             ,F                    ,F               ,R                   ,C                   ,F             ,                     ,F            ,F             ,F                    ,R                    ,R              ,F                           ,F                      ,F                          ,F                     ,R                           ,R            ,F                 ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 38,R, 5,  54.00,    345.7400,Hauser   ,Benthic Foraminifers                         ,               ,                  ,C                     ,F                          ,R                            ,C                    ,F               ,F                   ,R                   ,F             ,F                    ,F            ,F             ,R                    ,F                    ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 39,R, 1,  60.00,    349.3000,Hauser   ,Benthic Foraminifers                         ,               ,                  ,+                     ,                           ,                             ,                     ,                ,                    ,                    ,              ,                     ,             ,              ,                     ,                     ,               ,                            ,                       ,                           ,                      ,                            ,             ,                  ,                ,                             ,                    ,                   ,                          ,                               ,                    ,                         ,                    ,                                ,                              ,                    ,                ,                ,                              ,                    ,                ,                     ,                   ,                ,                  ,                         ,                 ,                        ,                     ,                        ,                     ,                     ,                      ,                            ,                              ,                    ,from ODP Leg 129 SR Chapter 12 Table 1 pp 232-234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
