Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Nonionella labradorica,Cassidulina laevigata carinata,Stainforthia complanata,Rutherfordoides sp. A,Buliminella elegantissima,Uvigerina senticosa,Uvigerina dirupta,Triloculina sp. A,Textularia sp. A,Globobulimina affinis,Cibicides wuellerstorfi,Cibicides kullenbergi,Chilostomella oolina,Bolivina aliformis,Sphaeroidina bulloides,Pullenia salisburyi,Nonion spp.,Melonis pompilioides,Lagenid taxa,Gyroidina spp.,Globocassidulina spp.,Globobulimina ovula,Elphidium spp.,Bolivina seminuda,Bolivina pacifica,Uvigerina spp.,Melonis barleeanus,Nonionella spp.,Eggerella spp.,Agglutinated spp. (indeterminate),Rosalina sp. A,Pyrgo murrhina,Pullenia bulloides,Nodosariidae (taxa),Globobulimina pacifica,Eggerella bradyi,Buliminella tenuata,Gyroidina sp. A,Bulimina barbata,Valvulineria spp.,Hoeglundina elegans,Hormosina sp. A,Ammodiscus sp. A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,A,  4,H,CC,  43.00,     31.3400,Brunner  ,Benthic Foraminifers                         ,A              ,P                 ,                      ,                              ,                       ,                     ,                         ,+                  ,                 ,+                ,                ,                     ,+                      ,                     ,                    ,                  ,+                     ,                   ,           ,                    ,            ,              ,                     ,+                  ,              ,                 ,                 ,              ,                  ,+              ,+             ,+                                ,              ,              ,                  ,                   ,                      ,                ,                   ,               ,                ,                 ,                   ,               ,                ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,A,  7,H,CC,   6.00,     58.9600,Brunner  ,Benthic Foraminifers                         ,F              ,P                 ,                      ,                              ,                       ,                     ,                         ,                   ,                 ,                 ,                ,                     ,                       ,                     ,                    ,                  ,                      ,                   ,           ,                    ,            ,              ,                     ,                   ,              ,                 ,                 ,+             ,+                 ,               ,              ,                                 ,              ,              ,                  ,                   ,                      ,                ,                   ,               ,                ,                 ,                   ,               ,                ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,A,  8,H, 3,  73.00,     62.5600,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                      ,                              ,+                      ,                     ,                         ,+                  ,                 ,+                ,                ,                     ,                       ,                     ,                    ,                  ,+                     ,+                  ,+          ,+                   ,+           ,+             ,+                    ,+                  ,+             ,+                ,+                ,              ,                  ,               ,              ,                                 ,              ,              ,                  ,                   ,                      ,                ,                   ,               ,                ,                 ,                   ,               ,                ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,A,  9,X,CC,  13.00,     72.0600,Brunner  ,Benthic Foraminifers                         ,A              ,P                 ,                      ,                              ,+                      ,                     ,                         ,+                  ,+                ,+                ,+               ,+                    ,+                      ,+                    ,+                   ,+                 ,                      ,                   ,           ,                    ,            ,              ,                     ,                   ,              ,                 ,                 ,              ,                  ,               ,              ,                                 ,              ,              ,                  ,                   ,                      ,                ,                   ,               ,                ,                 ,                   ,               ,                ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,A, 11,X,CC,  37.00,     73.8400,Brunner  ,Benthic Foraminifers                         ,C              ,P                 ,+                     ,                              ,+                      ,+                    ,                         ,                   ,                 ,                 ,                ,                     ,                       ,                     ,                    ,                  ,                      ,                   ,           ,                    ,            ,              ,                     ,                   ,              ,                 ,                 ,              ,                  ,               ,              ,                                 ,              ,              ,                  ,                   ,                      ,                ,                   ,               ,                ,                 ,                   ,               ,                ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,A, 12,X,CC,  46.00,     82.2600,Brunner  ,Benthic Foraminifers                         ,C              ,P                 ,                      ,                              ,+                      ,+                    ,+                        ,                   ,                 ,                 ,                ,                     ,                       ,                     ,                    ,                  ,                      ,                   ,           ,                    ,            ,              ,                     ,                   ,              ,                 ,                 ,              ,                  ,               ,              ,                                 ,              ,              ,                  ,                   ,                      ,                ,                   ,               ,                ,                 ,                   ,               ,                ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,A, 14,X,CC,  30.00,    101.3000,Brunner  ,Benthic Foraminifers                         ,F              ,P                 ,?                     ,?                             ,                       ,                     ,                         ,                   ,                 ,                 ,                ,                     ,                       ,                     ,                    ,                  ,                      ,                   ,           ,                    ,            ,              ,                     ,                   ,              ,                 ,                 ,              ,                  ,               ,              ,                                 ,              ,              ,                  ,                   ,                      ,                ,                   ,               ,                ,                 ,                   ,               ,                ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
