Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spirillina minima	Patellina corrugata	Nodosariid taxa	Cibicidoides spp.	Bolivina spp.	Stilostomella spp.	Pleurostomella spp.	Trifarina spp.	Oridorsalis umbonatus	Gyroidinoides soldanii	Pullenia spp.	Globocassidulina subglobosa	Stilostomella subspinosa	Pullenia bulloides	Vulvulina spinosa	Stilostomella aculeata	Laticarinina pauperata	Uvigerina spp.	Bulimina spp.	Astrononion pusillum	Cibicidoides subhaidingeri	Cibicidoides mundulus	Anomalinoides spp.	Siphonina tenuicarinata	Planulina wuellerstorfi	Bulimina aculeata	Uvigerina hispidocostata	Miliolids species	Melonis sphaeroides	Melonis barleeanus	Loxostomum spp.	Stilostomella lepidula	Pyrgo murrhina	Eggerella bradyi	Sphaeroidina bulloides	Bulimina alazanensis	Comment
  IR	                 	                 	                  	              	182	1128	B	  6	H	 3	  98.00	     47.6800	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	               	R                	             	R                 	R                  	              	R                    	                      	R            	F                          	R                       	                  	                 	                      	R                     	R             	             	                    	                          	R                    	                  	                       	R                      	R                	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	  7	H	CC	  21.00	     62.5800	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	R              	F                	             	C                 	                   	R             	R                    	                      	             	                           	                        	                  	                 	                      	R                     	R             	             	                    	                          	R                    	                  	F                      	F                      	F                	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	  9	H	 5	  93.00	     79.1300	Holbourn 	Benthic Foraminifers                         	R              	P                 	                 	                   	R              	F                	             	                  	                   	              	                     	                      	R            	                           	                        	                  	                 	                      	R                     	              	             	R                   	F                         	R                    	R                 	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 10	H	CC	  27.00	     91.6300	Holbourn 	Benthic Foraminifers                         	R              	P                 	                 	                   	               	R                	             	R                 	                   	              	                     	                      	             	                           	                        	                  	                 	                      	                      	              	             	R                   	R                         	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 11	H	CC	   9.00	     94.2500	Holbourn 	Benthic Foraminifers                         	               	                  	                 	                   	               	F                	             	F                 	                   	C             	                     	                      	             	                           	                        	                  	                 	                      	R                     	              	             	R                   	                          	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 12	H	CC	   3.00	    110.5600	Holbourn 	Benthic Foraminifers                         	               	                  	                 	                   	R              	R                	             	                  	R                  	              	F                    	                      	             	R                          	                        	                  	                 	                      	                      	              	             	                    	R                         	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 15	H	 3	  50.00	    132.7000	Holbourn 	Benthic Foraminifers                         	               	                  	                 	                   	               	F                	             	R                 	                   	              	R                    	                      	             	                           	                        	                  	                 	                      	                      	              	             	                    	                          	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 15	H	CC	  11.00	    137.7600	Holbourn 	Benthic Foraminifers                         	               	                  	                 	R                  	               	A                	             	F                 	                   	C             	                     	                      	             	                           	                        	                  	                 	                      	                      	C             	F            	A                   	                          	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 16	X	CC	  50.00	    147.6400	Holbourn 	Benthic Foraminifers                         	               	                  	                 	                   	               	R                	             	R                 	                   	              	R                    	                      	             	                           	                        	                  	                 	                      	R                     	              	             	                    	                          	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 17	X	CC	  47.00	    152.2700	Holbourn 	Benthic Foraminifers                         	               	                  	                 	                   	               	F                	             	R                 	                   	              	R                    	                      	             	R                          	                        	R                 	R                	R                     	                      	              	             	                    	                          	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 19	X	CC	  27.00	    174.8300	Holbourn 	Benthic Foraminifers                         	               	                  	                 	                   	               	R                	             	                  	                   	              	                     	                      	             	                           	                        	R                 	                 	                      	                      	              	             	                    	                          	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 20	X	CC	  25.00	    184.3900	Holbourn 	Benthic Foraminifers                         	               	                  	                 	                   	R              	F                	             	F                 	                   	              	F                    	R                     	             	                           	R                       	                  	                 	                      	                      	              	             	                    	                          	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 22	X	CC	  33.00	    203.1600	Holbourn 	Benthic Foraminifers                         	               	                  	                 	                   	               	                 	             	R                 	                   	              	R                    	                      	             	                           	                        	                  	                 	                      	                      	              	             	                    	                          	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 23	X	CC	  48.00	    213.3100	Holbourn 	Benthic Foraminifers                         	               	                  	                 	                   	               	                 	             	R                 	R                  	              	                     	                      	R            	R                          	                        	                  	                 	                      	                      	              	             	                    	                          	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 24	X	CC	  21.00	    222.7700	Holbourn 	Benthic Foraminifers                         	               	                  	                 	                   	R              	R                	             	R                 	                   	              	                     	R                     	             	                           	                        	                  	                 	                      	                      	              	             	                    	                          	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 25	X	CC	  34.00	    232.4800	Holbourn 	Benthic Foraminifers                         	               	                  	                 	                   	F              	                 	             	F                 	                   	R             	R                    	                      	             	                           	                        	                  	                 	                      	                      	              	             	                    	                          	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 26	X	 4	  94.00	    237.8400	Holbourn 	Benthic Foraminifers                         	               	                  	                 	F                  	               	                 	             	                  	R                  	              	                     	                      	             	                           	                        	                  	                 	                      	                      	              	             	                    	                          	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 26	X	CC	  19.00	    242.1000	Holbourn 	Benthic Foraminifers                         	               	                  	                 	                   	F              	C                	R            	R                 	                   	              	                     	                      	             	                           	                        	                  	                 	                      	                      	              	             	                    	                          	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

  IR	                 	                 	                  	              	182	1128	B	 27	X	 3	 100.00	    246.1000	Holbourn 	Benthic Foraminifers                         	               	                  	F                	F                  	F              	F                	C            	                  	                   	              	                     	                      	             	                           	                        	                  	                 	                      	                      	              	             	                    	                          	                     	                  	                       	                       	                 	                        	                 	                   	                  	               	                      	              	                	                      	                    	       

