Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina humerosa	Neogloboquadrina acostaensis	Globorotalia scitula	Globorotalia margaritae	Globorotalia limbata	Globoquadrina venezuelana	Globigerinoides quadrilobatus s.l.	Globigerinoides obliquus obliquus	Globigerinoides obliquus extremus	Globigerinella siphonifera	Candeina nitida	Globoturborotalita nepenthes	Globoquadrina baroemoenensis	Dentoglobigerina altispira	Globoquadrina dehiscens	Globorotalia tumida tumida	Globorotaloides hexagona	Globigerinoides conglobatus	Globorotalia menardii s.l.	Sphaeroidinellopsis kochi	Sphaeroidinella dehiscens	Globoquadrina conglomerata	Globigerinoides ruber s.l.	Globorotalia crassaformis	Globigerinoides fistulosus	Neogloboquadrina dutertrei	Globorotalia tosaensis	Globigerinoides elongatus	Globigerinita glutinata	Globorotalia truncatulinoides	Globorotalia ungulata	Globigerinella calida	Beella digitata	Globorotalia theyeri	Globorotalia inflata	Comment

  SR	Pleistocene      	                 	N22               	N23           	115	 716	B	  4	H	 2	 105.00	     25.6500	Vincent  	Planktonic Foraminifers                      	               	MG                	                              	+                           	+                	                         	                            	                    	                       	                    	                         	+                                 	                                 	                                 	+                         	               	                            	                            	                          	                       	+?                        	                        	+                          	+                         	                         	+?                       	+                         	+                         	+                        	                          	+                         	+                     	                         	                       	+?                           	                     	                     	               	                    	                    	benthic foraminifers few. fish remains rare. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Pleistocene      	                 	N22               	N23           	115	 716	B	  4	H	 5	 105.00	     30.1500	Vincent  	Planktonic Foraminifers                      	               	MG                	                              	+                           	+                	                         	                            	                    	                       	                    	                         	+                                 	                                 	                                 	                          	+              	                            	                            	                          	                       	+                         	                        	+                          	+                         	                         	+                        	+                         	+                         	                         	                          	+                         	                      	+?                       	+                      	+                            	                     	                     	               	                    	                    	benthic foraminifers few. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Pleistocene      	                 	N22               	N23           	115	 716	B	  5	H	 3	 105.00	     36.8500	Vincent  	Planktonic Foraminifers                      	               	MG                	                              	+                           	+                	                         	+?                          	                    	                       	                    	                         	+                                 	                                 	                                 	+                         	               	                            	                            	                          	                       	+                         	+                       	+                          	+                         	                         	+                        	+                         	+                         	+?                       	                          	+                         	                      	                         	+                      	+                            	                     	                     	               	                    	                    	benthic foraminifers few. ostracodes rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Pleistocene      	                 	N22               	N23           	115	 716	B	  6	H	 1	 105.00	     43.5500	Vincent  	Planktonic Foraminifers                      	               	MG                	                              	+                           	+                	                         	                            	                    	                       	                    	                         	+                                 	                                 	                                 	+                         	               	                            	                            	                          	                       	+                         	                        	+                          	+                         	                         	+                        	                          	+                         	                         	                          	+                         	                      	+                        	+                      	+                            	                     	                     	               	                    	                    	benthic foraminifers few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Pleistocene      	                 	N22               	N23           	115	 716	B	  6	H	 6	 105.00	     51.0500	Vincent  	Planktonic Foraminifers                      	               	P/M               	                              	+                           	+                	+                        	                            	                    	                       	                    	                         	+                                 	                                 	                                 	+                         	               	                            	                            	                          	                       	+                         	+                       	+                          	+                         	                         	+                        	                          	+                         	                         	+                         	+                         	                      	+                        	                       	+                            	                     	                     	               	                    	                    	benthic foraminifers few. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Pliocene    	                 	N21               	              	115	 716	B	  7	H	 2	 105.00	     54.6500	Vincent  	Planktonic Foraminifers                      	               	P/M               	                              	+                           	+                	+                        	                            	                    	                       	                    	                         	+                                 	                                 	                                 	                          	+              	                            	                            	                          	                       	+?                        	+                       	                           	+                         	                         	+                        	                          	+                         	+?                       	+                         	+                         	                      	+                        	                       	                             	                     	                     	               	                    	                    	calcareous aggregates common. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Pliocene    	                 	N21               	              	115	 716	B	  7	H	 5	 105.00	     59.1500	Vincent  	Planktonic Foraminifers                      	               	P/M               	                              	+                           	+                	+                        	                            	                    	                       	                    	                         	+                                 	                                 	                                 	+                         	               	                            	                            	                          	                       	+                         	                        	+                          	+                         	                         	+                        	+                         	+                         	+?                       	+                         	+                         	                      	+                        	+                      	                             	                     	                     	               	                    	                    	benthic foraminifers common. calcareous aggregates common. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Pliocene    	                 	N21               	              	115	 716	B	  8	H	 2	 105.00	     64.2500	Vincent  	Planktonic Foraminifers                      	               	P/M               	                              	+                           	+                	+                        	                            	+                   	                       	                    	                         	+                                 	                                 	                                 	+                         	               	                            	                            	                          	                       	                          	                        	                           	+                         	                         	+                        	+                         	+                         	                         	+                         	+                         	                      	+                        	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. calcareous aggregates few. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Pliocene    	                 	N21               	              	115	 716	B	  8	H	 5	 105.00	     68.7500	Vincent  	Planktonic Foraminifers                      	               	MG                	                              	+                           	+                	+                        	                            	                    	                       	                    	                         	+                                 	                                 	                                 	                          	               	                            	                            	                          	                       	                          	                        	+                          	+                         	                         	                         	+                         	+                         	                         	+?                        	+                         	                      	+                        	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Pliocene    	                 	N21               	              	115	 716	B	  9	H	 1	 105.00	     72.4500	Vincent  	Planktonic Foraminifers                      	               	P/M               	                              	+                           	+                	                         	                            	                    	                       	+?                  	                         	+                                 	                                 	                                 	+                         	               	                            	                            	                          	                       	                          	                        	                           	+                         	                         	                         	+                         	+                         	                         	                          	+?                        	                      	                         	                       	+                            	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes rare. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Pliocene    	                 	N21               	              	115	 716	B	  9	H	 6	 105.00	     79.9500	Vincent  	Planktonic Foraminifers                      	               	MG                	                              	+                           	+                	+                        	                            	                    	                       	+?                  	                         	+                                 	                                 	                                 	+                         	               	                            	                            	                          	                       	                          	                        	                           	+                         	                         	+                        	+                         	+                         	                         	+?                        	+                         	                      	+                        	+                      	                             	                     	                     	               	                    	                    	benthic foraminifers few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Pliocene    	                 	N21               	              	115	 716	B	 10	H	 2	 105.00	     83.6500	Vincent  	Planktonic Foraminifers                      	               	MG                	                              	+                           	+                	+                        	                            	                    	                       	+?                  	                         	+                                 	                                 	+?                               	+                         	               	                            	                            	                          	                       	+                         	                        	+                          	+                         	                         	+                        	+                         	+                         	+?                       	+                         	+                         	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Pliocene    	                 	N21               	              	115	 716	B	 10	H	 5	 105.00	     88.1500	Vincent  	Planktonic Foraminifers                      	               	MG                	                              	+                           	+                	+                        	                            	+?                  	                       	+                   	                         	+                                 	                                 	+                                	+                         	               	                            	                            	                          	                       	+                         	                        	+                          	+                         	                         	+                        	+                         	+                         	+?                       	+                         	+                         	+?                    	+                        	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Pliocene    	                 	N21               	              	115	 716	B	 11	H	 1	 105.00	     91.7500	Vincent  	Planktonic Foraminifers                      	               	M/G               	                              	+                           	+                	+                        	                            	                    	                       	+                   	                         	+                                 	                                 	+?                               	+                         	               	                            	+                           	+                         	                       	+                         	+                       	+                          	+                         	                         	+                        	+                         	+                         	                         	+?                        	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Pliocene    	                 	N21               	              	115	 716	B	 11	H	 4	 105.00	     96.2500	Vincent  	Planktonic Foraminifers                      	               	MG                	+?                            	+                           	+                	+                        	                            	                    	                       	+                   	                         	+                                 	                                 	+                                	+                         	+              	                            	+                           	+                         	+                      	+                         	                        	                           	                          	                         	+                        	+                         	+                         	+?                       	+?                        	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. ostracodes rare. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N19               	              	115	 716	B	 12	H	 1	 105.00	    101.3500	Vincent  	Planktonic Foraminifers                      	               	MG                	+?                            	+                           	+                	+                        	+?                          	                    	+                      	+                   	                         	+                                 	                                 	+                                	+                         	+              	                            	+                           	+                         	+                      	+                         	                        	                           	+                         	                         	+?                       	+                         	+                         	+?                       	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N19               	              	115	 716	B	 12	H	 6	 105.00	    108.8500	Vincent  	Planktonic Foraminifers                      	               	MG                	+?                            	+                           	+                	+                        	+?                          	                    	+?                     	+                   	                         	+                                 	                                 	+                                	+                         	+              	                            	+                           	+                         	+                      	+                         	                        	                           	                          	                         	                         	+                         	+                         	+?                       	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes rare. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N19               	              	115	 716	B	 13	H	 1	 105.00	    111.0500	Vincent  	Planktonic Foraminifers                      	               	P/M               	+?                            	+                           	+                	+                        	+                           	                    	+                      	+                   	                         	+                                 	+                                	+                                	+                         	+              	                            	+                           	+                         	+                      	+                         	+                       	+                          	+                         	+?                       	+?                       	+                         	+?                        	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. calcareous aggregates common. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N19               	              	115	 716	B	 13	H	 6	 105.00	    118.5500	Vincent  	Planktonic Foraminifers                      	               	P/M               	                              	+                           	+                	+                        	+                           	+?                  	+                      	+                   	                         	+                                 	+                                	+                                	+                         	+              	                            	+                           	+                         	+                      	+                         	                        	                           	                          	+?                       	                         	+                         	+?                        	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. calcareous aggregates common. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N19               	              	115	 716	B	 14	H	 1	 105.00	    120.7500	Vincent  	Planktonic Foraminifers                      	               	P/M               	+                             	+                           	+                	+                        	+                           	+                   	+                      	+                   	+                        	+                                 	+                                	+                                	+                         	+              	                            	+                           	+                         	+                      	+                         	                        	+                          	                          	                         	                         	+                         	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	ostracodes few. calcareous aggregates few. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N19               	              	115	 716	B	 14	H	 6	 105.00	    128.2500	Vincent  	Planktonic Foraminifers                      	               	P                 	                              	+                           	+                	+                        	+?                          	                    	+                      	+                   	+                        	+                                 	+                                	+                                	+                         	+              	                            	+                           	+                         	                       	+                         	                        	                           	+                         	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. ostracodes few. calcareous aggregates abundant. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N19               	              	115	 716	B	 15	H	 1	 105.00	    130.3500	Vincent  	Planktonic Foraminifers                      	               	MG                	+?                            	+                           	+                	+                        	+?                          	                    	+                      	+                   	+                        	+                                 	+                                	+                                	+                         	+              	                            	+                           	+                         	+                      	+                         	                        	                           	+                         	+?                       	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. ostracodes rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N19               	              	115	 716	B	 15	H	 6	 105.00	    137.8500	Vincent  	Planktonic Foraminifers                      	               	P                 	+?                            	+?                          	+                	+                        	+                           	                    	+                      	+                   	+                        	+                                 	+                                	+?                               	+                         	               	                            	+                           	+                         	                       	+                         	                        	                           	+                         	+?                       	+?                       	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes few. calcareous aggregates abundant. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N19               	              	115	 716	B	 16	H	 1	 105.00	    139.9500	Vincent  	Planktonic Foraminifers                      	               	P                 	+?                            	+                           	+                	+                        	+?                          	                    	+                      	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	+                           	+                         	                       	+                         	                        	                           	+                         	+?                       	+?                       	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. calcareous aggregates abundant. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N18               	              	115	 716	B	 17	H	 1	 105.00	    149.6500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                             	+                           	+                	+                        	+                           	                    	+                      	+                   	+                        	+                                 	+                                	+                                	+                         	               	+?                          	+                           	+                         	+                      	+                         	                        	+                          	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N18               	              	115	 716	B	 17	H	 6	 105.00	    157.0000	Vincent  	Planktonic Foraminifers                      	               	MG                	+                             	+                           	+                	+                        	+                           	                    	+                      	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	+                           	+                         	+                      	+                         	                        	+                          	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N18               	              	115	 716	B	 18	H	 1	 105.00	    159.3500	Vincent  	Planktonic Foraminifers                      	               	P/M               	+?                            	+                           	+                	+                        	+                           	                    	+                      	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	                            	+                         	                       	+                         	                        	+                          	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. ostracodes rare. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N18               	              	115	 716	B	 18	H	 6	 105.00	    166.8500	Vincent  	Planktonic Foraminifers                      	               	P/M               	+                             	+                           	+                	+                        	+                           	                    	+                      	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	+                           	+                         	                       	+                         	                        	+                          	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. calcareous aggregates few. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N18               	              	115	 716	B	 19	H	 1	 105.00	    168.9500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                             	+                           	+                	+                        	+                           	                    	+                      	+                   	+                        	+                                 	+                                	+                                	+                         	+              	+                           	+                           	+                         	+                      	+                         	                        	+                          	+                         	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N18               	              	115	 716	B	 19	H	 6	 105.00	    176.4500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                             	+                           	+                	+                        	+                           	+                   	+                      	+                   	+                        	+                                 	+                                	+                                	+                         	+              	                            	+                           	+                         	+                      	+                         	+                       	+?                         	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N18               	              	115	 716	B	 20	H	 1	 105.00	    178.5500	Vincent  	Planktonic Foraminifers                      	               	P/M               	+                             	+                           	+                	+                        	+                           	                    	+                      	+                   	+                        	+                                 	+                                	+                                	+                         	+              	                            	+                           	+                         	+                      	+                         	+                       	+?                         	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes rare. calcareous aggregates abundant. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N18               	              	115	 716	B	 20	H	 6	 105.00	    186.0500	Vincent  	Planktonic Foraminifers                      	               	P/M               	+                             	+                           	+                	+                        	+                           	                    	+                      	+                   	+                        	+                                 	+                                	+                                	+                         	+              	                            	+                           	+                         	+                      	+                         	+                       	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. calcareous aggregates few. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N18               	              	115	 716	B	 21	H	 2	 105.00	    189.7500	Vincent  	Planktonic Foraminifers                      	               	P                 	+                             	+?                          	+                	+                        	+                           	                    	+                      	+                   	+                        	+                                 	+                                	                                 	+                         	               	                            	+                           	+                         	                       	+                         	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. calcareous aggregates abundant. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N18               	              	115	 716	B	 21	H	 5	 105.00	    194.2500	Vincent  	Planktonic Foraminifers                      	               	P                 	+                             	+                           	+                	                         	+                           	                    	                       	+                   	+                        	+                                 	+                                	                                 	+                         	               	                            	+                           	+                         	                       	+                         	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. ostracodes rare. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N18               	              	115	 716	B	 22	H	 1	 105.00	    197.9500	Vincent  	Planktonic Foraminifers                      	               	P                 	+                             	+?                          	+                	+                        	+                           	                    	                       	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	+                           	+                         	+                      	+                         	+                       	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes rare. calcareous aggregates common. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N18               	              	115	 716	B	 22	H	 6	 105.00	    205.4500	Vincent  	Planktonic Foraminifers                      	               	P                 	+                             	+?                          	+                	+                        	+                           	                    	+                      	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	+                           	+                         	+                      	+                         	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes few. calcareous aggregates common. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Early Pliocene   	                 	N18               	              	115	 716	B	 23	H	 1	 105.00	    207.5500	Vincent  	Planktonic Foraminifers                      	               	P                 	+                             	+                           	+                	+                        	+                           	+?                  	+?                     	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	+                           	+                         	+                      	+                         	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. sponge spicules few. calcareous aggregates common. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 23	H	 6	 105.00	    215.0500	Vincent  	Planktonic Foraminifers                      	               	P                 	+                             	+?                          	+                	+                        	+                           	                    	+?                     	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	+                           	+                         	                       	                          	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. calcareous aggregates common. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 24	H	 1	 105.00	    217.1500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                             	+                           	+                	+                        	+                           	                    	                       	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	+                           	+                         	+                      	                          	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 24	H	 6	 105.00	    224.6500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                             	+?                          	+                	+                        	+                           	+?                  	+?                     	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	+                           	+                         	                       	                          	+?                      	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. fish remains rare. calcareous aggregates abundant. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 25	H	 2	 105.00	    228.3500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                             	+                           	+                	                         	+                           	                    	                       	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	                            	+                         	                       	+                         	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes rare. calcareous aggregates abundant. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 25	H	 5	 105.00	    232.8500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                             	+                           	+                	                         	+                           	                    	+?                     	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	+                           	+                         	+?                     	+                         	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. fish remains few. calcareous aggregates abundant. foraminifers embedded abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 14. page 826.

