Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Discoaster surculus,Discoaster pentaradiatus,Calcidiscus leptoporus,Coccolithus pelagicus,Helicosphaera sellii,Calcidiscus macintyrei (>11 um),Gephyrocapsa (small),Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Gephyrocapsa large,Helicosphaera carteri,Emiliania huxleyi,Comment
  IR,                 ,                 ,CN14a             ,              ,167,1020,C,  7,H,CC,  25.00,     61.6400,Fornaciari,Nannofossils                                 ,A              ,G                 ,RR                      ,                   ,                        ,                      ,C                    ,                    ,                               ,A                   ,R                         ,                         ,                  ,                     ,                 ,questionable zonal assignment. from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1020,C,  9,H,CC,  24.00,     80.7500,Fornaciari,Nannofossils                                 ,RR             ,P                 ,R                       ,                   ,                        ,R                     ,                     ,                    ,                               ,R                   ,                          ,                         ,                  ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,CN14a         ,167,1020,C, 12,H,CC,  18.00,    109.1800,Fornaciari,Nannofossils                                 ,C              ,M/G               ,F                       ,                   ,                        ,R/F                   ,                     ,                    ,                               ,A                   ,                          ,                         ,                  ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1020,C, 13,H,CC,  29.00,    118.8100,Fornaciari,Nannofossils                                 ,C/A            ,G                 ,C                       ,                   ,                        ,R                     ,C                    ,                    ,                               ,+                   ,+                         ,C                        ,+                 ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1020,C, 14,H,CC,   0.00,    127.9700,Fornaciari,Nannofossils                                 ,RR             ,P                 ,                        ,                   ,                        ,                      ,                     ,                    ,                               ,                    ,R                         ,+                        ,RR                ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1020,C, 15,H,CC,  40.00,    136.8600,Fornaciari,Nannofossils                                 ,RR             ,P                 ,                        ,                   ,                        ,                      ,                     ,                    ,                               ,R                   ,R                         ,+                        ,                  ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1020,C, 16,H,CC,  16.00,    147.2500,Fornaciari,Nannofossils                                 ,R              ,P/M               ,                        ,                   ,                        ,+                     ,F                    ,                    ,                               ,+                   ,R                         ,+                        ,                  ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1020,C, 17,X,CC,  36.00,    156.6300,Fornaciari,Nannofossils                                 ,RR             ,P                 ,                        ,                   ,                        ,R                     ,R                    ,R                   ,                               ,R                   ,                          ,                         ,                  ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,CN13a         ,167,1020,C, 19,X,CC,  30.00,    175.7500,Fornaciari,Nannofossils                                 ,F              ,P/M               ,+                       ,                   ,                        ,F                     ,R                    ,R                   ,                               ,                    ,                          ,                         ,                  ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,CN13a         ,167,1020,C, 20,X,CC,  25.00,    184.0400,Fornaciari,Nannofossils                                 ,C/A            ,G                 ,C                       ,                   ,                        ,R/F                   ,F                    ,                    ,+                              ,                    ,                          ,                         ,                  ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,CN13a         ,167,1020,C, 21,X,CC,  18.00,    194.7700,Fornaciari,Nannofossils                                 ,RR             ,P                 ,R                       ,                   ,                        ,                      ,                     ,R                   ,                               ,                    ,                          ,                         ,                  ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,CN13a         ,167,1020,C, 23,X,CC,  28.00,    214.0600,Fornaciari,Nannofossils                                 ,F              ,M                 ,R                       ,                   ,                        ,R                     ,R                    ,                    ,                               ,                    ,                          ,                         ,                  ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,CN12b         ,167,1020,C, 24,X,CC,  21.00,    223.5900,Fornaciari,Nannofossils                                 ,RR             ,P                 ,                        ,R                  ,                        ,                      ,R                    ,                    ,                               ,                    ,                          ,                         ,                  ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,CN12b         ,167,1020,C, 25,X,CC,  19.00,    233.1500,Fornaciari,Nannofossils                                 ,A              ,G                 ,C                       ,+                  ,R                       ,R                     ,                     ,                    ,                               ,                    ,                          ,                         ,                  ,                     ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
