taxon_group,genus name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name
benthic_forams,Cycloclypeus,1221,Cycloclypeus,genus,103799,Nummulitidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cyclorbiculina,1228,Cyclorbiculina,genus,108195,Soritidae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cymbalopora,1234,Cymbalopora,genus,241488,Cymbaloporidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cymbaloporella,1235,Cymbaloporella,genus,241488,Cymbaloporidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cymbaloporetta,1236,Cymbaloporetta,genus,241488,Cymbaloporidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Cystammina,1237,Cystammina,genus,112313,Ammosphaeroidinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Dentalina,1260,Dentalina,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Dentalinoides,1262,Dentalinoides,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Discanomalina,1280,Discanomalina,genus,241432,Rosalinidae,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Discogypsina,1282,Discogypsina,genus,54414,Acervulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Discorbia,432284,Discorbia,genus,82208,Cibicididae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Discorbina,432283,Discorbina,genus,82203,Discorbidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Discorbinella,1284,Discorbinella,genus,241473,Discorbinellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Discorbis,1285,Discorbis,genus,82203,Discorbidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Discorotalia,1289,Discorotalia,genus,432281,Notorotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Dorothia,1296,Dorothia,genus,103762,Valvulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Echigoina,1317,Echigoina,genus,112328,Gavelinellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Edentostomina,240111,Edentostomina,genus,112267,Ophthalmidiidae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Eggerella,1324,Eggerella,genus,103762,Valvulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Ehrenbergina,1327,Ehrenbergina,genus,103771,Cassidulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Eilohedra,432182,Eilohedra,genus,430482,Pseudoparrellidae,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Elphidium,1342,Elphidium,genus,82206,Elphidiidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Ellipsodimorphina,1333,Ellipsodimorphina,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Ellipsoglandulina,1334,Ellipsoglandulina,genus,355065,Ellipsoidinidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Ellipsoidella,1335,Ellipsoidella,genus,355065,Ellipsoidinidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Ellipsoidina,1336,Ellipsoidina,genus,355065,Ellipsoidinidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
