taxon_group,verbatim_name,name,comment,taxon_name_above_genus,genus_modifier,genus_name,subgenera_modifier,subgenera_name,species_modifier,species_name,subspecies_modifier,subspecies_name,non_taxa_descriptor,comments,pbdb_taxon_id,pbdb_taxon_rank,pbdb_taxon_name
palynology; palynology,Other pollen; other pollen,"""Other pollen""","group, not a taxa; not a taxa","""Other pollen""",,,,,,,,,,,,,
other; planktic_forams,Otoliths; Otoliths,"""Otoliths""",,"""Otoliths""",,,,,,,,,,,,,
diatoms,Phytolith,"""Phytolith""",not a taxa,"""Phytolith""",,,,,,,,,,,,,
palynology,Pollen/spores reworked,"""Pollen/spores reworked""",not a taxa,"""Pollen/spores reworked""",,,,,,,,,,,,,
palynology,Reworked palynomorphs,"""Reworked palynomorphs""",VK; congruence with LIMS batch 1 entry,"""Reworked palynomorphs""",,,,,,,,,,,,,
palynology,Saccate pollen,"""Saccate pollen""",not a taxa,"""Saccate pollen""",,,,,,,,,,,,,
diatoms,"""Skeletonema"" utriculosa","""Skeletonema"" utriculosa",,,,"""Skeletonema""",,,,utriculosa,,,,,,,
palynology; palynology,Spores; spores,"""Spores""","group, not a taxa; not a taxa","""Spores""",,,,,,,,,,,,,
palynology,Sporomorphs,"""Sporomorphs""",not a taxa,"""Sporomorphs""",,,,,,,,,,,,,
dinoflagellates,Terrestrial palynomorphs,"""Terrestrial palynomorphs""",not a taxa,"""Terrestrial palynomorphs""",,,,,,,,,,Terrestrial palynomorphs,,,
palynology,Trilete ornamented,"""Trilete ornamented""",,"""Trilete ornamented""",,,,,,,,,,,,,
palynology,Trilete psilate,"""Trilete psilate""",,"""Trilete psilate""",,,,,,,,,,,,,
palynology; palynology,Herbs; Pollen (herbs),"""Undifferentiated pollen from herbs""",,"""Undifferentiated pollen from herbs""",,,,,,,,,,,,,
palynology; palynology,Pollen (shrubs); Shrubs,"""Undifferentiated pollen from shrubs""",,"""Undifferentiated pollen from shrubs""",,,,,,,,,,,,,
palynology; palynology,Pollen (trees); Trees,"""Undifferentiated pollen from trees""",,"""Undifferentiated pollen from trees""",,,,,,,,,,,,,
palynology,Pollen,"""Undifferentiated pollen""",VK,"""Undifferentiated pollen""",,,,,,,,,,,,,
palynology,Spores (moss&fern),"""Undifferentiated spores from moss or ferns""",VK,"""Undifferentiated spores from moss or ferns""",,,,,,,,,,,,,
palynology,Unknown taxa,"""Unknown palynology taxa""",group-unknown,"""Unknown palynology taxa""",,,,,,,,,,,,,
dinoflagellates,"""round browns"" indet., psilate","""round browns indet., psilate""",,"""round browns indet., psilate""",,,,,,,,,,,,,
planktic_forams,?Acarinina spp.,? Acarinina spp.,,,?,Acarinina,,,,spp.,,,,,763,genus,Acarinina
radiolarians,Acrosphaera? labrata,? Acrosphaera labrata,,,?,Acrosphaera,,,,labrata,,,,,9,genus,Acrosphaera
radiolarians,Acrosphaera? mercurius,? Acrosphaera mercurius,,,?,Acrosphaera,,,,mercurius,,,,,9,genus,Acrosphaera
benthic_forams,Anomalinoides? sp.,? Anomalinoides sp.,,,?,Anomalinoides,,,,sp.,,,,,859,genus,Anomalinoides
benthic_forams,Arenobulimina ?,? Arenobulimina sp.,,,?,Arenobulimina,,,,sp.,,,,,879,genus,Arenobulimina
radiolarians,Axoprunum sp. ?,? Axoprunum sp.,,,?,Axoprunum,,,,sp.,,,,,38,genus,Axoprunum
nannofossils,Biantholithus? flosculus,? Biantholithus flosculus,,,?,Biantholithus,,,,flosculus,,,,,424468,genus,Biantholithus
benthic_forams,Bulbobaculites ?,? Bulbobaculites sp.,,,?,Bulbobaculites,,,,sp.,,,,,1029,genus,Bulbobaculites
benthic_forams,Cancris ?,? Cancris sp.,,,?,Cancris,,,,sp.,,,,,1051,genus,Cancris
benthic_forams,Cassidulina? sp.,? Cassidulina sp.,,,?,Cassidulina,,,,sp.,,,,,1064,genus,Cassidulina
nannofossils,Cyclicargolithus? luminis,? Cyclicargolithus luminis,,,?,Cyclicargolithus,,,,luminis,,,,,366219,genus,Cyclicargolithus
benthic_forams,Cycloclypeus? sp.,? Cycloclypeus sp.,,,?,Cycloclypeus,,,,sp.,,,,,1221,genus,Cycloclypeus
radiolarians,Dendrospyris ? sakaii,? Dendrospyris sakaii,,,?,Dendrospyris,,,,sakaii,,,,,491,genus,Dendrospyris
benthic_forams,Discorbis?,? Discorbis sp.,,,?,Discorbis,,,,sp.,,,,,1285,genus,Discorbis
benthic_forams,Gavelinopsis? Sp.,? Gavelinopsis sp.,,,?,Gavelinopsis,,,,sp.,,,,,1481,genus,Gavelinopsis
ostracods,Glencoeleberis? sp.,? Glencoeleberis sp.,,,?,Glencoeleberis,,,,sp.,,,,,435350,genus,Glencoeleberis
benthic_forams,Globocassidulina? sp. 1,? Globocassidulina sp. 1,,,?,Globocassidulina,,,,sp. 1,,,,,1513,genus,Globocassidulina
benthic_forams,Hanzawaia? sp.,? Hanzawaia sp.,,,?,Hanzawaia,,,,sp.,,,,,1581,genus,Hanzawaia
radiolarians,Helotholus? haysi,? Helotholus haysi,,,?,Helotholus,,,,haysi,,,,,532,genus,Helotholus
benthic_forams,Hoeglundina ?,? Hoeglundina sp.,,,?,Hoeglundina,,,,sp.,,,,,1633,genus,Hoeglundina
benthic_forams; benthic_forams,Kalamopsis (?); Kalamopsis? sp.,? Kalamopsis sp.,,,?,Kalamopsis,,,,sp.,,,,,1693,genus,Kalamopsis
planktic_forams,?Morozovella spp.,? Morozovella spp.,,,?,Morozovella,,,,spp.,,,,,1881,genus,Morozovella
diatoms,Nitzschia? sp. 1,? Nitzschia sp. 1,,,?,Nitzschia,,,,sp. 1,,,,,82165,genus,Nitzschia
benthic_forams,Nonion ?,? Nonion sp.,,,?,Nonion,,,,sp.,,,,,1955,genus,Nonion
ostracods,Oertliella? sp.,? Oertliella sp.,,,?,Oertliella,,,,sp.,,,,,24349,genus,Oertliella
palynology,Operculodinium? eirikianum,? Operculodinium eirikianum,,,?,Operculodinium,,,,eirikianum,,,,,264651,genus,Operculodinium
radiolarians,Peritiviator(?) dumitricai,? Peritiviator dumitricai,,,?,Peritiviator,,,,dumitricai,,,,,166535,genus,Peritiviator
benthic_forams,Planulina? sp.,? Planulina sp.,,,?,Planulina,,,,sp.,,,,,2149,genus,Planulina
radiolarians,Pterocodon (?) poculum,? Pterocodon poculum,,,?,Pterocodon,,,,poculum,,,,,152636,species,Pterocodon poculum
benthic_forams,Pyrulina? angusta,? Pyrulina angusta,,,?,Pyrulina,,,,angusta,,,,,2336,genus,Pyrulina
benthic_forams,Quadrimorphina? sp.,? Quadrimorphina sp.,,,?,Quadrimorphina,,,,sp.,,,,,2341,genus,Quadrimorphina
benthic_forams,Rhabdammina? sp.,? Rhabdammina sp.,,,?,Rhabdammina,,,,sp.,,,,,2410,genus,Rhabdammina
radiolarians,Rhodospyris ?sp.,? Rhodospyris sp.,,,?,Rhodospyris,,,,sp.,,,,,85772,genus,Rhodospyris
radiolarians,Siphocampe? acephala,? Siphocampe acephala,,,?,Siphocampe,,,,acephala,,,,,648,genus,Siphocampe
radiolarians,Siphocampe? amygdala,? Siphocampe amygdala,,,?,Siphocampe,,,,amygdala,,,,,648,genus,Siphocampe
radiolarians,Spongurus (?) sp.,? Spongurus sp.,,,?,Spongurus,,,,sp.,,,,,328,genus,Spongurus
benthic_forams; benthic_forams,Trochammina(?) sp.; Trochamminas? sp.,? Trochammina sp.,genus misspelled,,?,Trochammina,,,,sp.,,,,,2721,genus,Trochammina
benthic_forams,Trochamminoides? sp.,? Trochamminoides sp.,,,?,Trochamminoides,,,,sp.,,,,,2722,genus,Trochamminoides
planktic_forams,Abathomphalus intermedia,Abathomphalus intermedia,,,,Abathomphalus,,,,intermedia,,,,,758,genus,Abathomphalus
planktic_forams,Abathomphalus mayaroensis,Abathomphalus mayaroensis,,,,Abathomphalus,,,,mayaroensis,,,,,758,genus,Abathomphalus
benthic_forams,Abyssamina poagi,Abyssamina poagi,,,,Abyssamina,,,,poagi,,,,,762,genus,Abyssamina
benthic_forams,Abyssamina quadrata,Abyssamina quadrata,,,,Abyssamina,,,,quadrata,,,,,762,genus,Abyssamina
benthic_forams,Abyssammina spp.,Abyssamina spp.,,,,Abyssamina,,,,spp.,,,,,762,genus,Abyssamina
radiolarians,Acanthodesmia spp.,Acanthodesmia spp.,,,,Acanthodesmia,,,,spp.,,,,,85776,genus,Acanthodesmia
planktic_forams,Acarinina acarinata,Acarinina acarinata,,,,Acarinina,,,,acarinata,,,,,763,genus,Acarinina
planktic_forams,Acarinina alticonica,Acarinina alticonica,,,,Acarinina,,,,alticonica,,,,,763,genus,Acarinina
planktic_forams,Acarinina angulosa,Acarinina angulosa,,,,Acarinina,,,,angulosa,,,,,763,genus,Acarinina
planktic_forams,Acarinina aspensis,Acarinina aspensis,,,,Acarinina,,,,aspensis,,,,,763,genus,Acarinina
planktic_forams; planktic_forams,"Acarinina bullbrooki; Acarinina bullbrooki (Bolli, 1957 p.167, pl.38, figs.5a-b as Globorotalia)",Acarinina bullbrooki,,,,Acarinina,,,,bullbrooki,,,,,763,genus,Acarinina
planktic_forams,Acarinina cf. medizzi,Acarinina cf. medizzi,,,,Acarinina,,,cf.,medizzi,,,,,763,genus,Acarinina
planktic_forams,Acarinina coalingensis,Acarinina coalingensis,,,,Acarinina,,,,coalingensis,,,,,763,genus,Acarinina
planktic_forams,Acarinina collactea,Acarinina collactea,,,,Acarinina,,,,collactea,,,,,763,genus,Acarinina
planktic_forams,Acarinina cuneicamerata,Acarinina cuneicamerata,,,,Acarinina,,,,cuneicamerata,,,,,763,genus,Acarinina
planktic_forams,Acarinina densa,Acarinina densa,,,,Acarinina,,,,densa,,,,,763,genus,Acarinina
planktic_forams; planktic_forams,Acarinina esnaensis; Acarinina esnehensis,Acarinina esnehensis,,,,Acarinina,,,,esnehensis,,,,,763,genus,Acarinina
planktic_forams,Acarinina mcgowrani,Acarinina mcgowrani,,,,Acarinina,,,,mcgowrani,,,,,763,genus,Acarinina
planktic_forams,Acarinina mckannai,Acarinina mckannai,,,,Acarinina,,,,mckannai,,,,,763,genus,Acarinina
planktic_forams,Acarinina medizzai,Acarinina medizzai,,,,Acarinina,,,,medizzai,,,,,763,genus,Acarinina
planktic_forams,Acarinina nitida,Acarinina nitida,,,,Acarinina,,,,nitida,,,,,763,genus,Acarinina
planktic_forams,Acarinina pentacamerata,Acarinina pentacamerata,,,,Acarinina,,,,pentacamerata,,,,,763,genus,Acarinina
planktic_forams,Acarinina praetopilensis,Acarinina praetopilensis,,,,Acarinina,,,,praetopilensis,,,,,763,genus,Acarinina
planktic_forams,Acarinina primitiva,Acarinina primitiva,,,,Acarinina,,,,primitiva,,,,,763,genus,Acarinina
planktic_forams; planktic_forams,"Acarinina pseudosubsphaerica; Acarinina pseudosubsphaerica Pearson and Berggren, 2006",Acarinina pseudosubsphaerica,,,,Acarinina,,,,pseudosubsphaerica,,,,"Pearson and Berggren, 2006",763,genus,Acarinina
planktic_forams,Acarinina pseudotopilensis,Acarinina pseudotopilensis,,,,Acarinina,,,,pseudotopilensis,,,,,763,genus,Acarinina
planktic_forams,Acarinina punctocarinata,Acarinina punctocarinata,,,,Acarinina,,,,punctocarinata,,,,,763,genus,Acarinina
planktic_forams,Acarinina quetra,Acarinina quetra,,,,Acarinina,,,,quetra,,,,,763,genus,Acarinina
planktic_forams,Acarinina rohri,Acarinina rohri,,,,Acarinina,,,,rohri,,,,,763,genus,Acarinina
planktic_forams,Acarinina sibaiyaensis,Acarinina sibaiyaensis,,,,Acarinina,,,,sibaiyaensis,,,,,763,genus,Acarinina
planktic_forams,Acarinina soldadoensis,Acarinina soldadoensis,,,,Acarinina,,,,soldadoensis,,,,,763,genus,Acarinina
planktic_forams,Acarinina spp.,Acarinina spp.,,,,Acarinina,,,,spp.,,,,,763,genus,Acarinina
planktic_forams,Acarinina strabocella,Acarinina strabocella,,,,Acarinina,,,,strabocella,,,,,763,genus,Acarinina
planktic_forams,Acarinina subsphaerica,Acarinina subsphaerica,,,,Acarinina,,,,subsphaerica,,,,,763,genus,Acarinina
planktic_forams,Acarinina topilensis,Acarinina topilensis,,,,Acarinina,,,,topilensis,,,,,763,genus,Acarinina
planktic_forams,Acarinina triplex,Acarinina triplex,,,,Acarinina,,,,triplex,,,,,763,genus,Acarinina
planktic_forams,Acarinina wilcoxensis,Acarinina wilcoxensis,,,,Acarinina,,,,wilcoxensis,,,,,763,genus,Acarinina
benthic_forams,Acervulina mabahethi,Acervulina mabahethi,,,,Acervulina,,,,mabahethi,,,,,766,genus,Acervulina
diatoms,Achnanthes brevipes,Achnanthes brevipes,,,,Achnanthes,,,,brevipes,,,,,83624,genus,Achnanthes
diatoms,Achnanthes diapar,Achnanthes diapar,,,,Achnanthes,,,,diapar,,,,,83624,genus,Achnanthes
diatoms,Achnanthes inflata,Achnanthes inflata,,,,Achnanthes,,,,inflata,,,,,83624,genus,Achnanthes
diatoms,Achnanthes lanceolata,Achnanthes lanceolata,,,,Achnanthes,,,,lanceolata,,,,,83624,genus,Achnanthes
diatoms,Achnanthes lanceolatum,Achnanthes lanceolatum,,,,Achnanthes,,,,lanceolatum,,,,,83624,genus,Achnanthes
diatoms,Achnanthes sp.,Achnanthes sp.,,,,Achnanthes,,,,sp.,,,,,83624,genus,Achnanthes
diatoms,Achnanthes spp.,Achnanthes spp.,,,,Achnanthes,,,,spp.,,,,,83624,genus,Achnanthes
palynology,Achomosphaera spp.,Achomosphaera spp.,,,,Achomosphaera,,,,spp.,,,,,277048,genus,Achomosphaera
dinoflagellates,Acritarchs,Acritarcha indet.,,Acritarcha indet.,,,,,,,,,,Acritarchs,141161,unranked clade,Acritarcha
radiolarians; radiolarians,Acrobotris tritubus; Acrobotrys tritubus,Acrobotrys tritubus,,,,Acrobotrys,,,,tritubus,,,,,409,genus,Acrobotrys
radiolarians,Acrocubus octopylus,Acrocubus octopylus,,,,Acrocubus,,,,octopylus,,,,,85782,genus,Acrocubus
radiolarians,Acrosphaera australis,Acrosphaera australis,,,,Acrosphaera,,,,australis,,,,,9,genus,Acrosphaera
radiolarians,Acrosphaera collina,Acrosphaera collina,,,,Acrosphaera,,,,collina,,,,,9,genus,Acrosphaera
radiolarians,Acrosphaera cyrtodon,Acrosphaera cyrtodon,,,,Acrosphaera,,,,cyrtodon,,,,,9,genus,Acrosphaera
radiolarians,Acrosphaera inflata,Acrosphaera inflata,,,,Acrosphaera,,,,inflata,,,,,9,genus,Acrosphaera
radiolarians,Acrosphaera lappacea,Acrosphaera lappacea,,,,Acrosphaera,,,,lappacea,,,,,9,genus,Acrosphaera
radiolarians,Acrosphaera murrayana,Acrosphaera murrayana,,,,Acrosphaera,,,,murrayana,,,,,9,genus,Acrosphaera
radiolarians,Acrosphaera sp.,Acrosphaera sp.,,,,Acrosphaera,,,,sp.,,,,,9,genus,Acrosphaera
radiolarians; radiolarians,Acrosphaera spinosa; Acrosphaera spinosa (=Collosphaera spinosa),Acrosphaera spinosa,,,,Acrosphaera,,,,spinosa,,,,Acrosphaera spinosa (=Collosphaera spinosa),9,genus,Acrosphaera
radiolarians,Acrosphaera spinosa echinoides,Acrosphaera spinosa echinoides,,,,Acrosphaera,,,,spinosa,,echinoides,,,9,genus,Acrosphaera
radiolarians,Acrosphaera spinosa fasciculopora,Acrosphaera spinosa fasciculopora,,,,Acrosphaera,,,,spinosa,,fasciculopora,,,9,genus,Acrosphaera
radiolarians,Acrosphaera trepanata,Acrosphaera trepanata,,,,Acrosphaera,,,,trepanata,,,,,9,genus,Acrosphaera
dinoflagellates,Actiniscus pentasterias,Actiniscus pentasterias,,,,Actiniscus,,,,pentasterias,,,,,434218,genus,Actiniscus
diatoms; diatoms,Actinocyclus actinochilus; Actinocylus actinochilus,Actinocyclus actinochilus,genus misspelled,,,Actinocyclus,,,,actinochilus,,,,,434529,species,Actinocyclus actinochilus
diatoms,Actynocyclus cf. aff. karstenii,Actinocyclus aff. karstenii,,,,Actinocyclus,,,aff.,karstenii,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus sp. cf. tsugaruensis,Actinocyclus cf. tsugaruensis,,,,Actinocyclus,,,cf.,tsugaruensis,,,,Actinocyclus sp. cf. tsugaruensis,82146,genus,Actinocyclus
diatoms; diatoms,Actinocyclus curvatulus; Actinocycluscurvatulus,Actinocyclus curvatulus,genus misspelled,,,Actinocyclus,,,,curvatulus,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus dimorphus,Actinocyclus dimorphus,,,,Actinocyclus,,,,dimorphus,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus ellipticus,Actinocyclus ellipticus,,,,Actinocyclus,,,,ellipticus,,,,,387040,species,Actinocyclus ellipticus
diatoms; diatoms; diatoms,Actinocyclus ellipticus f. lanceolata; Actinocyclus ellipticus fa. lanceolata; Actynocyclus ellipticus fa. lanceolata,Actinocyclus ellipticus f. lanceolata,,,,Actinocyclus,,,,ellipticus,f.,lanceolata,,Actinocyclus ellipticus f. lanceolata; Actinocyclus ellipticus fa. lanceolata,387040,species,Actinocyclus ellipticus
diatoms,Actynocyclus ellipticus var. javanica,Actinocyclus ellipticus var. javanica,,,,Actinocyclus,,,,ellipticus,var.,javanica,,,387040,species,Actinocyclus ellipticus
diatoms; diatoms,Actinocyclus elongatus; Actynocyclus elongatus,Actinocyclus elongatus,,,,Actinocyclus,,,,elongatus,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus endoi,Actinocyclus endoi,,,,Actinocyclus,,,,endoi,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus fasciculatus,Actinocyclus fasciculatus,,,,Actinocyclus,,,,fasciculatus,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus fryxellae,Actinocyclus fryxellae,,,,Actinocyclus,,,,fryxellae,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus ingens,Actinocyclus ingens,,,,Actinocyclus,,,,ingens,,,,,387041,species,Actinocyclus ingens
diatoms,Actinocyclus ingens var. ingens,Actinocyclus ingens ingens,,,,Actinocyclus,,,,ingens,,ingens,,Actinocyclus ingens var. ingens,387041,species,Actinocyclus ingens
diatoms; diatoms; diatoms; diatoms,Actinocyclus ingens  var. nodus; Actinocyclus ingens f. nodus; Actinocyclus ingens nodus; Actinocyclus ingens var. nodus,Actinocyclus ingens nodus,,,,Actinocyclus,,,,ingens,,nodus,,Actinocyclus ingens f. nodus; Actinocyclus ingens var. nodus; Actinocyclus ingens var. nodus,387041,species,Actinocyclus ingens
diatoms,Actinocyclus ingens var. ovalis,Actinocyclus ingens ovalis,,,,Actinocyclus,,,,ingens,,ovalis,,Actinocyclus ingens var. ovalis,387041,species,Actinocyclus ingens
diatoms; diatoms,Actinocyclus karstenii; Actinocylus karstenii,Actinocyclus karstenii,genus misspelled,,,Actinocyclus,,,,karstenii,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus maccollumii,Actinocyclus maccollumii,,,,Actinocyclus,,,,maccollumii,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus mahoodii,Actinocyclus mahoodii,,,,Actinocyclus,,,,mahoodii,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus moronensis,Actinocyclus moronensis,,,,Actinocyclus,,,,moronensis,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus ochotensis,Actinocyclus ochotensis,,,,Actinocyclus,,,,ochotensis,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus octonarius,Actinocyclus octonarius,,,,Actinocyclus,,,,octonarius,,,,,387042,species,Actinocyclus octonarius
diatoms,Actinocyclus octonarius var. tenellus,Actinocyclus octonarius tenellus,,,,Actinocyclus,,,,octonarius,,tenellus,,Actinocyclus octonarius var. tenellus,387042,species,Actinocyclus octonarius
diatoms,Actinocylus octonarius var. asteriscus,Actinocyclus octonarius var. asteriscus,,,,Actinocyclus,,,,octonarius,var.,asteriscus,,,387042,species,Actinocyclus octonarius
diatoms,Actinocyclus oculatus,Actinocyclus oculatus,,,,Actinocyclus,,,,oculatus,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus robustus,Actinocyclus robustus,,,,Actinocyclus,,,,robustus,,,,,82146,genus,Actinocyclus
diatoms; diatoms,Actinocyclus senarius; Actinoptychus senarius,Actinocyclus senarius,,,,Actinocyclus,,,,senarius,,,,,387049,species,Actinocyclus senarius
diatoms,Actinocyclus sp. cf. A. actinochilus early form,Actinocyclus sp.,,,,Actinocyclus,,,,sp.,,,,Actinocyclus sp. cf. A. actinochilus early form,82146,genus,Actinocyclus
diatoms; diatoms,Actinocyclus sp. 1; Actinocyclus sp.1,Actinocyclus sp. 1,,,,Actinocyclus,,,,sp. 1,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus sp. 2,Actinocyclus sp. 2,,,,Actinocyclus,,,,sp. 2,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus sp. C H&M1992,Actinocyclus sp. C,,,,Actinocyclus,,,,sp. C,,,,Actinocyclus sp. C H&M1992,82146,genus,Actinocyclus
diatoms,Actinocylus sp. F,Actinocyclus sp. F,,,,Actinocyclus,,,,sp. F,,,,,82146,genus,Actinocyclus
diatoms,Actinoptychus splendens,Actinocyclus splendens,,,,Actinocyclus,,,,splendens,,,,,82146,genus,Actinocyclus
diatoms; diatoms,Actinocyclus spp.; Actinoptychus spp.,Actinocyclus spp.,,,,Actinocyclus,,,,spp.,,,,,82146,genus,Actinocyclus
diatoms,Actinocyclus subtilis,Actinocyclus subtilis,,,,Actinocyclus,,,,subtilis,,,,,82146,genus,Actinocyclus
diatoms,Actinoptychus undulatus,Actinocyclus undulatus,,,,Actinocyclus,,,,undulatus,,,,,82146,genus,Actinocyclus
diatoms; diatoms,Actinocyclus vulgaris; Actinoptychus vulgaris,Actinocyclus vulgaris,,,,Actinocyclus,,,,vulgaris,,,,,82146,genus,Actinocyclus
radiolarians,Actinomma antarcticum,Actinomma antarcticum,,,,Actinomma,,,,antarcticum,,,,,10,genus,Actinomma
radiolarians,Actinomma arcadophorum,Actinomma arcadophorum,,,,Actinomma,,,,arcadophorum,,,,,10,genus,Actinomma
radiolarians,Actinomma boreale,Actinomma boreale,,,,Actinomma,,,,boreale,,,,,10,genus,Actinomma
radiolarians,Actinomma delicatulum,Actinomma delicatulum,,,,Actinomma,,,,delicatulum,,,,,10,genus,Actinomma
radiolarians,Actinomma leptodermum,Actinomma leptodermum,,,,Actinomma,,,,leptodermum,,,,,10,genus,Actinomma
radiolarians,Actinomma leptodernum longispinum,Actinomma leptodermum longispinum,,,,Actinomma,,,,leptodermum,,longispinum,,,10,genus,Actinomma
radiolarians,Actinomma medianum,Actinomma medianum,,,,Actinomma,,,,medianum,,,,,10,genus,Actinomma
radiolarians,Actinomma popofskii,Actinomma popofskii,,,,Actinomma,,,,popofskii,,,,,10,genus,Actinomma
radiolarians,Actinomma sp.,Actinomma sp.,,,,Actinomma,,,,sp.,,,,,10,genus,Actinomma
diatoms,Actinoptychus bipunctatus,Actinoptychus bipunctatus,,,,Actinoptychus,,,,bipunctatus,,,,,71244,genus,Actinoptychus
diatoms,Actinoptycus senarius,Actinoptychus senarius,genus misspelled,,,Actinoptychus,,,,senarius,,,,,387050,species,Actinoptychus senarius
benthic_forams,Adelosina dubia?,Adelosina ? dubia,,,,Adelosina,,,?,dubia,,,,,772,genus,Adelosina
nannofossils,Ahmuellerella octoradiata,Ahmuellerella octoradiata,,,,Ahmuellerella,,,,octoradiata,,,,,88737,species,Ahmuellerella octoradiata
benthic_forams,Alabamina cf. dissonata,Alabamina cf. dissonata,,,,Alabamina,,,cf.,dissonata,,,,,788,genus,Alabamina
benthic_forams,Alabamina creta,Alabamina creta,,,,Alabamina,,,,creta,,,,,788,genus,Alabamina
benthic_forams; benthic_forams,Alabamina dissonata; Alabammina dissonata,Alabamina dissonata,,,,Alabamina,,,,dissonata,,,,,788,genus,Alabamina
benthic_forams; benthic_forams,Alabamina sp.; Alabammina sp.,Alabamina sp.,genus misspelled,,,Alabamina,,,,sp.,,,,,788,genus,Alabamina
benthic_forams,Alabammina spp.,Alabamina spp.,,,,Alabamina,,,,spp.,,,,,788,genus,Alabamina
benthic_forams,Alabamina tenuimarginata,Alabamina tenuimarginata,,,,Alabamina,,,,tenuimarginata,,,,,788,genus,Alabamina
benthic_forams,Alabaminella sp.,Alabaminella sp.,,,,Alabaminella,,,,sp.,,,,,423746,genus,Alabaminella
benthic_forams; benthic_forams; benthic_forams; benthic_forams,Alabaminella weddelensis; Alabaminella weddellensis; Alabamminella weddelensis; Alabamminella weddellensis,Alabaminella weddellensis,genus & species misspelled,,,Alabaminella,,,,weddellensis,,,,,428766,species,Alabaminella weddellensis
nannofossils,Algirosphaera robusta,Algirosphaera robusta,,,,Algirosphaera,,,,robusta,,,,,424331,genus,Algirosphaera
benthic_forams,Allomorphina conica,Allomorphina conica,,,,Allomorphina,,,,conica,,,,,428696,species,Allomorphina conica
benthic_forams,Allomorphina pacifica,Allomorphina pacifica,,,,Allomorphina,,,,pacifica,,,,,428697,species,Allomorphina pacifica
benthic_forams,Allomorphina polonica,Allomorphina polonica,,,,Allomorphina,,,,polonica,,,,,428698,species,Allomorphina polonica
benthic_forams,Allomorphina velascoensis,Allomorphina velascoensis,,,,Allomorphina,,,,velascoensis,,,,,794,genus,Allomorphina
benthic_forams,Allomorphina whangaia,Allomorphina whangaia,,,,Allomorphina,,,,whangaia,,,,,794,genus,Allomorphina
palynology,Alnus,Alnus sp.,,,,Alnus,,,,sp.,,,,,54588,genus,Alnus
diatoms; diatoms,Alveus marina; Alveus marinus,Alveus marinus,,,,Alveus,,,,marinus,,,,,432678,genus,Alveus
