name,taxon_group,pbdb_taxon_id,verbatim_name,comment
Didymocyrtis tetratharamus,radiolarians,503,Didymocyrtis tetratharamus,
Didymocyrtis tubaria,radiolarians,503,Didymocyrtis tubaria,
Didymocyrtis violina,radiolarians,503,Didymocyrtis violina,
Dinoflagellata indet.,dinoflagellates,354791,Dinocysts,group abundance
Dinoflagellata indet.,nannofossils,354791,calcispheres; Calcisphere; Calcispheres,"group, not a taxa; not a taxa; not a taxa"
Dinoflagellata indet.,palynology,354791,Dinocysts reworked; Dinocysts,not a taxa; group abundance
Dinoflagellata indet. (cysts),dinoflagellates,354791,Dinoflagellate cysts,
Dinophyceae indet.,dinoflagellates,321578,cf. Hytrichosphaeropsis obscura,VP: not familiar with this name
Diplomenora cocconeisformis,diatoms,433386,Diplomenora cocconeisformis,
Diploneis aestuari,diatoms,82159,Diploneis aestuari,
Diploneis angustata,diatoms,82159,Diploneis angustata,
Diploneis bombus,diatoms,82159,Diploneis bombus,
Diploneis elliptica,diatoms,82159,Diploneis elliptica,
Diploneis fusca,diatoms,82159,Diploneis fusca,
Diploneis ovalis,diatoms,82159,Diploneis ovalis,
Diploneis smithii,diatoms,82159,Diploneis smithii,
Diploneis splendida,diatoms,82159,Diploneis splendida,
Diploneis spp.,diatoms,82159,Diploneis spp.,
Diploplegma somphum,radiolarians,103,Diploplegma somphum,
Discanomalina coronata,benthic_forams,1280,Discanomalina coronata,
Discanomalina semipunctata,benthic_forams,1280,Discanomalina semipunctata,
Discanomalina sp.,benthic_forams,1280,Discanomalina sp.,
Discanomalina spp.,benthic_forams,1280,Discanomalina spp.,
Discoaster adamanteus,nannofossils,87682,Discoaster adamanteus,
Discoaster altus,nannofossils,87682,Discoaster altus,
Discoaster anartios,nannofossils,87682,Discoaster anartios,
Discoaster araneus,nannofossils,87682,Discoaster araneus,
Discoaster asymmetricus,nannofossils,87682,Discoaster asymmetricus; Discoaster asymetricus,
Discoaster backmanii,nannofossils,87682,Discoaster backmanii,
Discoaster barbadiensis,nannofossils,87682,Discoaster barbadiensis,
Discoaster bellus,nannofossils,87682,Discoaster bellus,
Discoaster bergenii,nannofossils,87682,Discoaster bergenii,
Discoaster berggrenii,nannofossils,87682,Discoaster berggrenii,
Discoaster bifax,nannofossils,87682,Discoaster bifax,
Discoaster binodosus,nannofossils,87682,Discoaster binodosus,
Discoaster blackstockae,nannofossils,87682,Discoaster blackstockae,
Discoaster bollii,nannofossils,87682,Discoaster bollii,
Discoaster braarudii,nannofossils,87682,Discoaster braarudii; Discoaster braarudi,
Discoaster brouweri,nannofossils,87682,Discoaster brouweri; Discoaster broweri; Discoaster brouwerii,
Discoaster calcaris,nannofossils,87682,Discoaster calcaris,
Discoaster calculosus,nannofossils,87682,Discoaster calculosus,
Discoaster cf. brouweri,nannofossils,87682,Discoaster sp. cf. D. brouweri,
Discoaster cf. variabilis,nannofossils,87682,Discoaster sp. cf. D. variabilis,
Discoaster challengeri,nannofossils,87682,Discoaster challengeri; Discoaster challengerii,
Discoaster deflandrei,nannofossils,87682,Discoaster deflandrei; D.deflandrei,
Discoaster deflandrei (small),nannofossils,87682,Discoaster deflandrei (small),
Discoaster delicatus,nannofossils,87682,Discoaster delicatus,
Discoaster diastypus,nannofossils,87682,Discoaster diastypus,
Discoaster distinctus,nannofossils,87682,Discoaster distinctus,
Discoaster druggii,nannofossils,87682,Discoaster druggii,
Discoaster druggii (< 15 microns),nannofossils,87682,Discoaster druggii (< 15 microns),
Discoaster elegans,nannofossils,87682,Discoaster elegans,
Discoaster exilis,nannofossils,87682,Discoaster exilis,
Discoaster falcatus,nannofossils,87682,Discoaster falcatus,
Discoaster hamatus,nannofossils,87682,Discoaster hamatus,
Discoaster hamatus-bellus,nannofossils,87682,Discoaster hamatus/bellus,
Discoaster intercalaris,nannofossils,87682,Discoaster intercalaris,
Discoaster kuepperi,nannofossils,87682,Discoaster kuepperi,
Discoaster kugleri,nannofossils,87682,Discoaster kuglerii; Discoaster kugleri,
Discoaster lenticularis,nannofossils,87682,Discoaster lenticularis,
Discoaster lodoensis,nannofossils,87682,Discoaster lodoensis,
Discoaster loeblichii,nannofossils,87682,Discoaster loeblichii Discoaster prepentaradiatus; Discoaster loeblichii,
Discoaster mahmoudii,nannofossils,87682,Discoaster mahmoudii,
Discoaster mediosus,nannofossils,87682,Discoaster mediosus,
Discoaster mendomobensis,nannofossils,87682,Discoaster mendomobensis,
Discoaster mohleri,nannofossils,87682,Discoaster mohleri,
Discoaster moorei,nannofossils,87682,Discoaster moorei; Discoaster moori,
Discoaster multiradiatus,nannofossils,87682,Discoaster multiradiatus,
Discoaster musicus,nannofossils,87682,Discoaster musicus,
Discoaster neohamatus,nannofossils,87682,Discoaster neohamatus,
Discoaster neorectus,nannofossils,87682,Discoaster neorectus,
Discoaster nobilis,nannofossils,87682,Discoaster nobilis,
Discoaster nodifer,nannofossils,87682,Discoaster nodifer,
Discoaster ornatus,nannofossils,87682,Discoaster ornatus,
Discoaster pacificus,nannofossils,87682,Discoaster pacificus,
Discoaster paelikei,nannofossils,87682,Discoaster paelikei,
Discoaster pansus,nannofossils,87682,Discoaster pansus,
Discoaster pentaradiatus,nannofossils,87682,Discoaster pentaradiatus,
Discoaster petaliformis,nannofossils,87682,Discoaster petaliformis,
Discoaster prepentaradiatus,nannofossils,87682,Discoaster prepentaradiatus,
Discoaster quadramus,nannofossils,87682,Discoaster quadramus,
Discoaster quinqueramus,nannofossils,87682,Discoaster quinqueramus,
Discoaster quintatus,nannofossils,87682,Discoaster quintatus,
Discoaster saipanensis,nannofossils,87682,Discoaster saipanensis,
Discoaster salisburgensis,nannofossils,87682,Discoaster salisburgensis,
Discoaster sanmiguelensis,nannofossils,87682,Discoaster sanmiguelensis,
Discoaster septemradiatus,nannofossils,87682,Discoaster septemradiatus,
Discoaster signus,nannofossils,87682,Discoaster signus,
Discoaster sp.,nannofossils,87682,Discoaster sp.,
Discoaster spp.,nannofossils,87682,Discoaster spp.,
"Discoaster spp. ""(Neogene)""",nannofossils,87682,Discoaster spp. (Neogene),
"Discoaster spp. ""(Paleogene)""",nannofossils,87682,Discoaster spp. (Paleogene),
Discoaster spp. (five-rayed),nannofossils,87682,Discoaster spp. (five-rayed),
Discoaster spp. (six-rayed),nannofossils,87682,"Discoaster ""six-rayed""",
Discoaster stellulus,nannofossils,87682,Discoaster stellulus,
Discoaster sublodoensis,nannofossils,87682,Discoaster sublodoensis,
Discoaster subsurculus,nannofossils,87682,Discoaster subsurculus,
Discoaster surculus,nannofossils,87682,Discoaster surculus,
Discoaster tamalis,nannofossils,87682,Discoaster tamalis,
Discoaster tani nodifer,nannofossils,87682,Discoaster tani nodifer,
Discoaster tanii,nannofossils,87682,Discoaster tanii,
Discoaster triradiatus,nannofossils,87682,Discoaster triradiatus,
Discoaster tristellifer,nannofossils,87682,Discoaster tristellifer,
Discoaster variabilis,nannofossils,87682,Discoaster variabilis,
Discoaster variabilis (group),nannofossils,87682,Discoaster gr. variabilis; Discoaster variabilis group,
Discoaster wemmelensis,nannofossils,87682,Discoaster wemmelensis,
Discoaster williamsii,nannofossils,87682,Discoaster williamsii,
Discogypsina sp.,benthic_forams,1282,Discogypsina sp.,
Discolithina japonica,nannofossils,87709,Discolithina japonica,
Discorbia spp.,benthic_forams,432284,Discorbia spp.,
Discorbina sp.,benthic_forams,432283,Discorbina sp.,
Discorbinella bertheloti,benthic_forams,1284,Discorbinella bertheloti,
Discorbinella sp.,benthic_forams,1284,Discorbinella sp.; Discorbinella,
Discorbinella sp. 1,benthic_forams,1284,Discorbinella sp. 1,
Discorbinella spp.,benthic_forams,1284,Discorbinella spp.,
Discorbis dimidiatus,benthic_forams,1285,Discorbis dimidiatus,
Discorbis sp.,benthic_forams,1285,Discorbis sp.,
Discorbis spp.,benthic_forams,1285,Discorbis spp.,
Discorboidea indet.,benthic_forams,429726,Discorbids,
Discorhabdus watkinsii,nannofossils,87826,Discorhabdus watkinsii,
Discorotalia spp.,benthic_forams,1289,Discorotalia spp.,
Discosphaera tubifera,nannofossils,424335,Discosphaera tubifera,
Disolenia sp.,radiolarians,104,Disolenia sp.,
Dispinodiscus sp.,diatoms,433675,Dispinodiscus sp.,
Distatodinium sp.,palynology,435349,Distatodinium sp.,
Distephanus boliviensis,silicoflagellates,82180,Distephanus boliviensis (binoculoid),
Distephanus crux,silicoflagellates,82180,Distephanus crux; Distephanus crux group,
Distephanus medianoctisol,silicoflagellates,82180,Dis. Medianoctisol; Distephanus medianoctisol,
Distephanus medianoctisol (with short radial spines),silicoflagellates,82180,Distephanus medianoctisol (with short radial spines); Dis. Medianoctisol (with short radial spines); Distephanus medianoctisol with short radial spines,
Distephanus medianoctisol (with short spines),silicoflagellates,82180,Distephanus medianoctisol with short spines,
Distephanus octangulatus,silicoflagellates,82180,Dis. octangulatus,
Distephanus octonarius,silicoflagellates,82180,Dis. octonarius,
Distephanus pseudofibulua,silicoflagellates,82180,Distephanus pseudofibulua,
Distephanus slavincii,silicoflagellates,82180,Distephanus slavincii,
Distephanus speculum,silicoflagellates,82180,Distephanus speculum; Dis. speculum,
Distephanus speculum (with short radial spine),silicoflagellates,82180,Distephanus speculum with short radial spine,
Distephanus speculum (with short radial spines),silicoflagellates,82180,Dis. speculum (with short radial spines); Distephanus speculum with short radial spines; Distephanus speculum (with short radial spines),
Dorcadospyris alata,radiolarians,505,Dorcadospyris alata,
Dorcadospyris anastasis,radiolarians,505,Dorcadospyris anastasis n. sp.,
Dorcadospyris ateuchus,radiolarians,505,Dorcadospyris ateuchus,
Dorcadospyris circulus,radiolarians,505,Dorcadospyris circulus,
Dorcadospyris copelata,radiolarians,505,Dorcadospyris copelata n. sp.,
Dorcadospyris cyclacantha,radiolarians,505,Dorcadospyris cyclacantha n. sp.,
Dorcadospyris dentata,radiolarians,505,Dorcadospyris dentata,
Dorcadospyris forcipata,radiolarians,505,Dorcadospyris forcipata,
Dorcadospyris ombros,radiolarians,505,Dorcadospyris ombros n. sp.,
Dorcadospyris ombros (upper),radiolarians,505,Dorcadospyris ombros n. sp. (upper),
Dorcadospyris papilio,radiolarians,505,Dorcadospyris papilio,
Dorcadospyris praeforcipata,radiolarians,505,Dorcadospyris praeforcipata,
Dorcadospyris pseudopapilio,radiolarians,505,Dorcadospyris pseudopapilio,
Dorcadospyris quadripes,radiolarians,505,Dorcadospyris quadripes,
Dorcadospyris riedeli,radiolarians,505,Dorcadospyris riedeli,
Dorcadospyris scambos,radiolarians,505,Dorcadospyris scambos n. sp.,
Dorcadospyris simplex,radiolarians,505,Dorcadospyris simplex s.s.,
Dorcadospyris spinosa,radiolarians,505,Dorcadospyris spinosa,
Dorothia biformis,benthic_forams,1296,Dorthia biformis,
Dorothia bradyana,benthic_forams,1296,Dorothia bradyana,
Dorothia brevis,benthic_forams,1296,Dorothia brevis,
Dorothia bulleta,benthic_forams,1296,Dorothia  bulleta,
Dorothia elongata,benthic_forams,1296,Dorothia elongata,
Dorothia exilis,benthic_forams,1296,Dorothia exilis,
Dorothia goesi,benthic_forams,1296,Dorothia goesi,
Dorothia oxycona,benthic_forams,1296,Dorothia oxycona,
Dorothia pseudofiliformis,benthic_forams,1296,Dorothia pseudofiliformis,
Dorothia sp.,benthic_forams,1296,Dorothia; Dorothia sp.,
Dorothia spp.,benthic_forams,1296,Dorothia spp.,
Dorothia trochoides,benthic_forams,1296,Dorothia trochoides,
Druppatractus hastatus,radiolarians,116,Druppatractus hastatus,
Dubridinium spp.,dinoflagellates,453092,Dubridinium spp.,
Dyocibicides primitiva,benthic_forams,1312,Dyocibicides primitiva,
Ebria tripartita,ebridians,450952,Ebria tripartita,
Ebrinula paradoxa,ebridians,407963,Ebridulina paradoxa,misspelling
Ebriopsis antiqua antiqua,ebridians,450955,Ebriopsis antiqua antiqua (ebridian); Ebriopsis antiqua antiqua (Ebridian),
Echigoina hataii,benthic_forams,1317,Echigoina hataii,
Echinidinium aculeatum,dinoflagellates,436067,Echinidinium aculeatum,
Echinidinium sp.,dinoflagellates,436067,Echinidinium sp.,
Echinoidea indet.,other,32733,Echinoid fragments indet.; Echinoid spines; Echinoid plate fragments,
Echinoidea indet.,planktic_forams,32733,Echinoid spines; Echinoid plate fragments,
Edentostomina sp.,benthic_forams,240111,Edentostomina sp.,
Eggerella advena,benthic_forams,1324,Eggerella advena,
Eggerella bradyi,benthic_forams,1324,Eggerella bradyi; Eggerella bradyi >600 m,
Eggerella bradyi nitens,benthic_forams,1324,Eggerella bradyi nitens,
Eggerella columna,benthic_forams,1324,Eggerella columna,
Eggerella decepta,benthic_forams,1324,Eggerella decepta,
Eggerella sp.,benthic_forams,1324,Eggerella sp.,
Eggerella sp. A,benthic_forams,1324,Eggerella sp. A,
Eggerella spp.,benthic_forams,1324,Eggerella spp.,
Ehrenbergina ? pupa,benthic_forams,1327,Ehrenbergina pupa?,
Ehrenbergina bicornis,benthic_forams,1327,Ehrenbergina bicornis,
Ehrenbergina carinata,benthic_forams,1327,Ehrenbergina carinata,
Ehrenbergina glabra,benthic_forams,1327,Ehrenbergina glabra,
Ehrenbergina histrix,benthic_forams,1327,Ehrenbergina histrix,
Ehrenbergina marwicki,benthic_forams,1327,Ehrenbergina marwicki,
Ehrenbergina mestayeri,benthic_forams,1327,Eherenbergina mestateri,genus and species misspelled
Ehrenbergina pacifica,benthic_forams,1327,Ehrenbergina pacifica,
Ehrenbergina sp.,benthic_forams,1327,Ehrenbergina; Ehrenbergina sp.,
Ehrenbergina spp.,benthic_forams,1327,Ehrenbergina spp.,
Ehrenbergina trigona,benthic_forams,1327,Ehrenbergina trigona,
Eiffellithus angustus,nannofossils,87863,Eiffellithus angustus,
Eiffellithus casulus,nannofossils,87863,Eiffellithus casulus,
Eiffellithus equibiramus,nannofossils,87863,Eiffellithus equibiramus,
Eiffellithus eximius,nannofossils,87863,Eiffellithus eximius; Eiffellithus eximius (sensu Verbeek),
Eiffellithus gorkae,nannofossils,87863,Eiffellithus gorkae,
Eiffellithus monechiae,nannofossils,87863,Eiffellithus monechiae,
Eiffellithus parallelus,nannofossils,87863,Eiffellithus parallelus,
Eiffellithus perchnielseniae,nannofossils,87863,Eiffellithus perchnielseniae,
Eiffellithus praestigium,nannofossils,87863,Eiffellithus praestigium,
Eiffellithus sp.,nannofossils,87863,Eifellithus; Eiffellithus sp.,
Eiffellithus turriseiffelii,nannofossils,87863,Eiffellithus turriseiffelii,
Eiffellithus vonsalisiae,nannofossils,87863,Eiffellithus vonsalisiae,
Eilohedra rotunda,benthic_forams,432182,Eilohedra rotunda,
Eilohedra vitrea,benthic_forams,432182,Eilohedra vitrea,
Elatomma penicillus,radiolarians,432660,Elatomma penicillus,
Ellipsodimorphina macrocephala,benthic_forams,1333,Ellipsodimorphina macrocephala,"in PBDB, but Unaccepted; Accepted as Nodosarella (Rzehak, 1895)"
Ellipsodimorphina spp.,benthic_forams,1333,Ellipsodimorphina spp.,"in PBDB, but Unaccepted; Accepted as Nodosarella (Rzehak, 1895)"
Ellipsoglandulina sp.,benthic_forams,1334,Ellipsoglandulina sp.,
Ellipsoidella sp.,benthic_forams,1335,Ellipsoidella  sp.,
Ellipsoidina sp.,benthic_forams,1336,Ellipsoidina sp.,
Ellipsolithus bollii,nannofossils,424492,Ellipsolithus bollii,
Ellipsolithus distichus,nannofossils,424492,Ellipsolithus distichus,
Ellipsolithus macellus,nannofossils,424492,Ellipsolithus macellus,
Ellipsolithus subdistichus,nannofossils,424492,Ellipsolithus subdistichus,
Elongobula parallela,benthic_forams,1339,Elongobula parallela,
Elphidiella sp.,benthic_forams,1340,Elphidiella sp.,
Elphidiella spp.,benthic_forams,1340,Elphidiella spp.,
Elphidiidae indet.,benthic_forams,82206,Elphidid taxa,
Elphidium aculeatum,benthic_forams,1342,Elphidium aculeatum,
Elphidium advenum,benthic_forams,1342,Elphidium advenum,
Elphidium advenum f. limbatum,benthic_forams,1342,Elphidium advenum f. limbatum; Elphidium advenum (f.limbatum),
Elphidium advenum limbatum,benthic_forams,1342,Elphidium advenum limbatum,
Elphidium cf. batialis,benthic_forams,1342,Elphidium cf. batialis,
Elphidium cf. jenseni,benthic_forams,1342,Elphidium cf. jenseni,
Elphidium charlottense,benthic_forams,1342,Elphidium charlottense,
Elphidium charlottensis,benthic_forams,1342,Elphidium charlottensis,
Elphidium craticulatum,benthic_forams,1342,Elhpidium craticulatum,
Elphidium crispum,benthic_forams,1342,Elphidium crispum,
Elphidium excavatum,benthic_forams,1342,Elphidium excavatum,
Elphidium excavatum f. clavatum,benthic_forams,1342,Elphidium excavatum f.clavatum,
Elphidium hampdenense,benthic_forams,1342,Elphidium hampdenense,
Elphidium macellum,benthic_forams,1342,Elphidium macellum,
Elphidium magellanicum,benthic_forams,1342,Elphidium magellanicum,
Elphidium novozealandicum,benthic_forams,1342,Elphidium novozealandicum,
Elphidium saginatum,benthic_forams,1342,Elphidium saginatum,
Elphidium sp.,benthic_forams,1342,Elphidium; Elphidium sp.,
Elphidium spp.,benthic_forams,1342,Elphidium spp.,
Emiliania huxleyi,nannofossils,421517,E. huxleyi; Emiliania huxleyi,homonym with a Bivalve
Emiliania huxleyi (<5 microns),nannofossils,421517,Emiliania huxleyi (<5 microns),
Emiliania huxleyi (>5 microns),nannofossils,421517,Emiliania huxleyi (>5 microns),
Emiliania pujosae,nannofossils,421517,Emiliania pujosae,
Encyonema lacustre,diatoms,453099,Encyonema lacustre,
Encyonema spp.,diatoms,453099,Encyonema spp.,
Encyonema ventricosa,diatoms,453099,Encyonema ventricosa,
Endictya robusta,diatoms,71251,Endictya robusta,
Engelhardia sp.,palynology,54586,Engelhardia,
Enneadocysta dictyostila,dinoflagellates,435001,Enneadocysta dictyostila,
Enneadocysta pectinoformis,dinoflagellates,435001,Enneadocysta pectinoformis,
Enneadocysta sp.,palynology,435001,Enneadocysta,
Enneaphormis rotula,radiolarians,85892,Enneaphormis rotula,
Entopyla spp.,diatoms,433413,Entopyla spp.,
Eoglobigerina edita,planktic_forams,1366,Eoglobigerina edita,
Eoglobigerina eobulloides,planktic_forams,1366,Eoglobigerina eobulloides,
Eoglobigerina spiralis,planktic_forams,1366,Eoglobigerina spiralis,
Eouvigerina sp.,benthic_forams,1386,Eouvigerina sp.,
Eouvigerina spp.,benthic_forams,1386,Eouvigerina spp.,
Ephedra distachya,palynology,251997,Ephedra distachya type,
Ephedra fragilis,palynology,251997,Ephedra fragilis type,
Epistomina sp.,benthic_forams,1394,Epistomina sp.,
Epistominella ? umbonifera,benthic_forams,1395,Epistominella umbonifera ?,
Epistominella exigua,benthic_forams,1395,Epistominella exigua,
Epistominella pacifica,benthic_forams,1395,Epistominella pacifica,
Epistominella pulchella,benthic_forams,1395,Epistominella pulchella,
Epistominella smithi,benthic_forams,1395,Epistominella smithi,
Epistominella sp.,benthic_forams,1395,Epistominella sp.,
Epistominella sp. A,benthic_forams,1395,Epistominella sp. A,
Epistominella spp.,benthic_forams,1395,Epistominella spp.,
Epistominella vitrea,benthic_forams,1395,Epistominella vitrea,
Epithemia argus,diatoms,433414,Epithemia argus,
Epithemia turgida,diatoms,433414,Epithemia turgida,
Eponides concinnus,benthic_forams,1401,Eponides concinnus,
Eponides regularis,benthic_forams,1401,Eponides regularis,
Eponides repandus,benthic_forams,1401,Eponides repandus,
Eponides sp.,benthic_forams,1401,Eponides sp.,
Eprolithus eptapetalus,nannofossils,87746,Eprolithus eptapetalus,
Eprolithus floralis,nannofossils,87746,Eprolithus floralis,
Eprolithus moratus,nannofossils,87746,Eprolithus moratus,
Eprolithus octopetalus,nannofossils,87746,Eprolithus octopetalus,
Ericaceae indet.,palynology,55506,Ericaceae,
Ericsonia robusta,nannofossils,424280,Ericsonia robusta,
Ericsonia robusta (small),nannofossils,424280,Ericsonia robusta (small),
Ericsonia subpertusa,nannofossils,424280,Ericsonia subpertusa,
Ethmodiscus rex,diatoms,433416,Ethmodiscus rex,
Ethmodiscus sp.,diatoms,433416,Ethmodiscus sp. fragments; Ethmodiscus sp.,
Eubuliminella exilis,benthic_forams,1403,Eubuliminella exilis,
Eucampia antactica,diatoms,387078,Eucampia antarctica,
Eucampia antactica var. twista,diatoms,387078,Eucampia antactica var. twista; Eucampia antarctica var twista,
Eucecryphalus sp.,radiolarians,512,Eucecryphalus sp.,
Euchitonia elegans-furcata,radiolarians,128,Euchitonia furcata/elegans; Euchitonia elegans/furcata group,multiple taxa
Euchitonia furcata,radiolarians,128,Euchitonia furcata,
Euchitonia sp.,radiolarians,128,Euchitonia sp.,
Eucyrtidium acuminatum,radiolarians,515,Eucyrtidium acuminatum,
Eucyrtidium annulatum,radiolarians,515,Eucyrtidium annulatum,
Eucyrtidium antiquum,radiolarians,515,Eucyrtidium antiquum,
Eucyrtidium calvertense,radiolarians,515,Eucyrtidium calvertense; Eucyrtidium cf. calvertense,
Eucyrtidium cienkowskii,radiolarians,515,Eucyrtidium cienkowskii,
Eucyrtidium diaphanes,radiolarians,515,Eucyrtidium diaphanes,
Eucyrtidium hexagonatum,radiolarians,515,Eucyrtidium hexagonatum,
Eucyrtidium inflatum,radiolarians,515,Eucyrtidium inflatum,
Eucyrtidium mariae,radiolarians,515,Eucyrtidium mariae,
Eucyrtidium matuyamai,radiolarians,515,Eucyrtidium matuyamai,
Eucyrtidium mitodes,radiolarians,515,Eucyrtidium mitodes n. sp.,
Eucyrtidium montiparum,radiolarians,515,Eucyrtidium montiparum,
Eucyrtidium nishimurae,radiolarians,515,Eucyrtidium nishimurae,
Eucyrtidium plesiodiaphanes,radiolarians,515,Eucyrtidium plesiodiaphanes,
Eucyrtidium pseudoinflatum,radiolarians,515,Eucyrtidium pseudoinflatum,
Eucyrtidium spinosum,radiolarians,515,Eucyrtidium spinosum,
Eucyrtidium teuscheri,radiolarians,515,additional species: Eucyrtidium teuscheri,
Euloxostomum pseudobeyrichi,benthic_forams,1406,Euloxostomum pseudobeyrichi,
Eunotia spp.,diatoms,433419,Eunotia spp.,
Eunotia triodon,diatoms,433419,Eunotia triodon,
Euphorbia sp.,palynology,319873,Euphorbia,
Eurossia irregularis var. incurvatus,diatoms,433676,Eurossia irregularis var. incurvatus,
Eurossia irregularis var. irregularis,diatoms,433676,Eurrosia irregularis var. irregularis,
Eusphaeroidina inflata,benthic_forams,432164,Eusphaeroidina inflata,
Eustephanias spp.,diatoms,433677,Eustephanias spp.,
Eusyringium fistuligerum,radiolarians,517,Eusyringium fistuligerum,
Eusyringium lagena,radiolarians,517,Eusyringium lagena,
Euuvigerina bortotara,benthic_forams,1408,Euuvigerina bortotara,"in PBDB, but Unaccepted; Accepted as Uvigerina (d'Orbigny, 1826)"
Euuvigerina cf. miozea,benthic_forams,1408,Euuvigerina miozea (cf.),
Euuvigerina cf. peregrina,benthic_forams,1408,Euuvigerina cf. peregrina; Euuvigerina peregrina (cf.),"in PBDB, but Unaccepted; Accepted as Uvigerina (d'Orbigny, 1826)"
Euuvigerina cf. rodleyi,benthic_forams,1408,Euuvigerina rodleyi (cf.),
Euuvigerina miozea,benthic_forams,1408,Euuvigerina miozea; Euuvigerina miozea (group) >100 m,"in PBDB, but Unaccepted; Accepted as Uvigerina (d'Orbigny, 1826); group"
Euuvigerina peregrina,benthic_forams,1408,Euuvigerina peregrina,
Euuvigerina pliozea,benthic_forams,1408,Euuvigerina pliozea,"in PBDB, but Unaccepted; Accepted as Uvigerina (d'Orbigny, 1826)"
Euuvigerina rodleyi,benthic_forams,1408,Euuvigerina rodleyi (group) >50 m,group
Euuvigerina sp.,benthic_forams,1408,Euuvigerina sp.; Euuvigerina,"in PBDB, but Unaccepted; Accepted as Uvigerina (d'Orbigny, 1826)"
Euuvigerina spp.,benthic_forams,1408,Euuvigerina spp.,"in PBDB, but Unaccepted; Accepted as Uvigerina (d'Orbigny, 1826)"
Euuvigerina wanzea,benthic_forams,1408,Euuvigerina wanzea,"in PBDB, but Unaccepted; Accepted as Uvigerina (d'Orbigny, 1826)"
Evolvocassidulina cf. howei,benthic_forams,1414,Evolvecassidulina cf. howei,genus misspelled
Evolvocassidulina orientalis,benthic_forams,1414,Evolvocassidulina orientalis,
Evolvocassidulina spp.,benthic_forams,1414,Evolvocassidulina spp.,
Falsoguttulina sp.,benthic_forams,1423,Falsoguttulina sp.,
Falsotruncana maslakovae,planktic_forams,1426,Falsotruncana maslakovae,
Fasciculithus alanii,nannofossils,424283,Fasciculithus alanii,
Fasciculithus clinatus,nannofossils,424283,Fasciculithus clinatus,
Fasciculithus involutus,nannofossils,424283,Fasciculithus involutus,
Fasciculithus lilianae,nannofossils,424283,Fasciculithus lilianae,
Fasciculithus magnus,nannofossils,424283,Fasciculithus magnus,
Fasciculithus pileatus,nannofossils,424283,Fasciculithus pileatus,
Fasciculithus richardii,nannofossils,424283,Fasciculithus richardii,
Fasciculithus shaubii,nannofossils,424283,Fasciculithus shaubii,
Fasciculithus spp.,nannofossils,424283,Fasciculithus spp.,
Fasciculithus thomasii,nannofossils,424283,Fasciculithus thomasii,
Fasciculithus tympaniformis,nannofossils,424283,Fasciculithus tympaniformis,
Fasciculithus ulii,nannofossils,424283,Fasciculithus ullii; Fasciculithus ulii,
Favocassidulina favus,benthic_forams,1429,Favocassidulina favus,
Favocassidulina spinifer,benthic_forams,1429,Favocassidulina spinifer,
Favocassidulina subfavus,benthic_forams,1429,Favocassidulina subfavus,
Favulina spp.,benthic_forams,1430,Favulina spp.,
Filipendula sp.,palynology,434999,Filipendula,
Fissurina alveolata,benthic_forams,1439,Fissurina alveolata,
Fissurina cf. radiata,benthic_forams,1439,Fissurina cf. radiata,
Fissurina cf. staphyllearia,benthic_forams,1439,Fissurina cf. staphyllearia,
Fissurina cucullata,benthic_forams,1439,Fissurina cucullata,
Fissurina formosa,benthic_forams,1439,Fissurina formosa,
Fissurina lucida,benthic_forams,1439,Fissurina lucida,
Fissurina marginata,benthic_forams,1439,Fissurina marginata,
Fissurina orbignyana,benthic_forams,1439,Fissurina orbignyana,
Fissurina radiata,benthic_forams,1439,Fissurina radiata,
Fissurina semimarginata,benthic_forams,1439,Fissurina semimarginata,
Fissurina sp.,benthic_forams,1439,Fissurina sp; Fissurina sp.; Fissurina,
Fissurina spp.,benthic_forams,1439,Fissurina spp.,
Fissurina wiesneri,benthic_forams,1439,Fissurina wiesneri,
Florisphaera profunda,nannofossils,424500,Florisphaera profunda,
Florisphaera profunda var. elongata,nannofossils,424500,Florisphaera profunda var. elongata,
"Fohsella ""praefohsi""",planktic_forams,422385,"Fohsella ""praefohsi"" _B_ _M8_; Fohsella ""praefohsi"" _B_ _M8",
Fohsella birnageae,planktic_forams,422385,Fohsella birnageae,
Fohsella fohsi,planktic_forams,422385,Fohsella fohsi; Fohsella fohsi _T and B_ _M10 and M9a_; Fohsella fohsi _T and B_ _M10 and M9a,
Fohsella fohsi fohsi,planktic_forams,422385,Fohsella fohsi fohsi,
Fohsella fohsi lobata,planktic_forams,422385,Fohsella fohsi lobata,
Fohsella kugleri,planktic_forams,422385,Fohsella kugleri,
Fohsella lenguaensis,planktic_forams,422385,Fohsella lenguaensis _T and B_ _M14; Fohsella lenguaensis _T and B_ _M14_,
Fohsella lobata,planktic_forams,422385,Fohsella lobata _B; Fohsella lobata; Fohsella lobata _B_,
Fohsella peripheroacuta,planktic_forams,422385,Fohsella peripheroacuta _B_ _M7_; Fohsella peripheroacuta _B_; Fohsella peripheroacuta,
Fohsella peripheroronda,planktic_forams,422385,Fohsella peripheroronda; Fohsella peripheroronda _T_; Fohsella peripheroronda _T,
Fohsella praefohsi,planktic_forams,422385,Fohsella praefohsi,
Fohsella robusta,planktic_forams,422385,Fohsella robusta; Fohsella robusta _B_ _M9b_; Fohsella robusta _B_ _M9b,
