,genus name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank
213,Nonionellina,1958,Nonionellina,genus
214,Nonionoides,431728,Nonionoides,genus
215,Nothia,1960,Nothia,genus
216,Notoplanulina,1962,Notoplanulina,genus
217,Notorotalia,1963,Notorotalia,genus
218,Nummulites,1972,Nummulites,genus
219,Nuttallides,1973,Nuttallides,genus
220,Nuttallinella,1974,Nuttallinella,genus
221,Olgita,433662,Olgita,genus
222,Oolina,1984,Oolina,genus
223,Operculina,1986,Operculina,genus
224,Operculinella,431679,Operculinella,genus
225,Ophthalmidium,1989,Ophthalmidium,genus
226,Oridorsalis,2006,Oridorsalis,genus
227,Orthomorphina,2013,Orthomorphina,genus
228,Osangularia,2017,Osangularia,genus
229,Palliolatella,2040,Palliolatella,genus
230,Paracassidulina,2049,Paracassidulina,genus
231,Parafissurina,2058,Parafissurina,genus
232,Parafrondicularia,2059,Parafrondicularia,genus
233,Paragloborotalia,2065,Paragloborotalia,genus
234,Paralabamina,2066,Paralabamina,genus
235,Pararotalia,2072,Pararotalia,genus
236,Parasorites,2074,Parasorites,genus
237,Parvicarinina,433659,Parvicarinina,genus
238,Patellina,153914,Patellina,suborder
239,Patellinella,2093,Patellinella,genus
240,Pavonina,2098,Pavonina,genus
241,Peneroplis,2107,Peneroplis,genus
242,Pileolina,430632,Pileolina,genus
243,Placentammina,2127,Placentammina,genus
244,Planctostoma,430631,Planctostoma,genus
245,Planispirinella,2134,Planispirinella,genus
246,Planispirinoides,240123,Planispirinoides,genus
247,Planoglabratella,2137,Planoglabratella,genus
248,Planogypsina,2139,Planogypsina,genus
249,Planorbulina,2144,Planorbulina,genus
250,Planorbulinella,2145,Planorbulinella,genus
251,Planispirina,2133,Planispirina,genus
252,Planularia,2148,Planularia,genus
253,Planulina,2149,Planulina,genus
254,Plectofrondicularia,2154,Plectofrondicularia,genus
255,Pleurostomella,2162,Pleurostomella,genus
256,Polymorphina,2172,Polymorphina,genus
257,Poroeponides,2179,Poroeponides,genus
258,Porosononion,430548,Porosononion,genus
259,Praebulimina,2186,Praebulimina,genus
260,Praeglobobulimina,2191,Praeglobobulimina,genus
261,Praesphaerammina,430547,Praesphaerammina,genus
262,Procerolagena,2216,Procerolagena,genus
263,Protelphidium,2221,Protelphidium,genus
264,Proxifrons,2227,Proxifrons,genus
265,Psammosiphonella,430544,Psammosiphonella,genus
266,Pseudoclavulina,2247,Pseudoclavulina,genus
267,Pseudoglandulina,104114,Pseudoglandulina,genus
