Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Toweius gammation,Sphenolithus stellatus,Sphenolithus spiniger,Sphenolithus radians,Sphenolithus moriformis,Rhabdosphaera inflata,Reticulofenestra samodurovii,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Pontosphaera segmenta,Pedinocyclus larvalis,Neocrepidolithus sp.,Nannotetrina sp. (small),Markalius sp. 1,Lophodolithus acutus,Holococcolith type A,Helicosphaera seminulum,Helicosphaera lophota,Ericsonia formosa,Discoaster sublodoensis,Discoaster lodoensis,Discoaster kuepperi,Discoaster barbadiensis,Cyclicargolithus floridanus,Cruciplacolithus vanheckae,Cruciplacolithus spp.,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus solitus,Chiasmolithus grandis,Campylosphaera dela,Nannotetrina alata,Lophodolithus mochlophorus,Ericsonia pacifica,Discoaster saipanensis,Cruciplacolithus staurion,Coccolithus sp.1,Chiasmolithus medius,Chiasmolithus consuetus,Calcidiscus protoannulus,Triquetrorhabdulus carinatus,Sphenolithus (all Sphenolithus taxa),Reticulofenestra reticulata,Reticulofenestra bisecta,Helicosphaerid (all Helicosphaerid taxa),Discoaster (all Discoaster taxa),Coronocyclus nitescens,Coccolithus formosus,Clausicoccus fenestratus,Chiasmoliths (all Chiasmolith taxa),Bramletteius serraculoides,Sphenolithus sp. 1,Chiasmolithus expansus,Markalius inversus,Cruciplacolithus cf. tarquinius,Cyclolithella kalianata,Sphenolithus pseudoradians,Markalius sp. 2,Chiasmolithus titus,Chiasmolithus gigas,Sphenolithus furcatolithoides,Discoaster tanii,Pontosphaera formosa,Nannotetrina austriacus,Toweius? sp. 1,Pontosphaera scissura,Helicosphaera heezenii,Cribrocentrum reticulatum,Discoaster bifax,Discoaster nodifer,Calcidiscus kingii,Cruciplacolithus cruciformis,Reticulofenestra umbilica,Discoaster deflandrei,Helicosphaera compacta,Dictyococcites scrippsae,Sphenolithus obtusus,Sphenolithus intercalaris,Dictyococcites bisectus,Sphenolithus predistentus,Helicosphaera reticulata,Hayella situliformis,Isthmolithus recurvus,Ericsonia subdisticha,Braarudosphaera bigelowii,Ericsonia obruta,Lanternithus minutus,Helicosphaera euphratis,Cruciplacolithus tarquinius,Helicosphaera wilcoxonii,Helicosphaera intermedia,Sphenolithus aff. distentus,Discoaster adamanteus,Helicosphaera perch-nielseniae,Helicosphaera bramlettei,Chiasmolithus altus,Cyclicargolithus abisectus,Sphenolithus distentus,Sphenolithus aff. ciperoensis,Sphenolithus ciperoensis,Triquetrorhabdulus milowii,Coccolithus miopelagicus,Coccolithus fuscus,Catinaster umbrellus,Crassidiscus backmanii,Sphenolithus dissimilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,115, 711,A, 10,H, 2,  40.00,     87.1000,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,17.0%                  ,                     ,                            ,                         ,                                 ,R                    ,R                    ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,52.0%                      ,                          ,                     ,8.0%                 ,F                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,                        ,1.0%                        ,                                    ,                           ,                        ,                                        ,                                ,F                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,rR                       ,11.0%                ,rR                    ,1.0%                    ,                    ,                         ,F                      ,rC                       ,                        ,                    ,                     ,                     ,                         ,2.0%            ,                    ,R                      ,                           ,                        ,                        ,                           ,R                    ,                              ,                        ,                   ,F                         ,                      ,F                            ,2.0%                    ,R                         ,R                       ,F                 ,F                   ,R                     ,2.0%                   ,slight reworking.from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 711,A, 10,H, 2, 120.00,     87.9000,Wei      ,Nannofossils                                 ,               ,                  ,                       ,                 ,                      ,                     ,                    ,                       ,                     ,                            ,                         ,.0%                              ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,38.5%                      ,                          ,                     ,6.5%                 ,                       ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,.0%                     ,3.6%                        ,.0%                                 ,.0%                        ,.3%                     ,.0%                                     ,4.2%                            ,.6%                   ,.0%                 ,3.2%                    ,.0%                                ,.0%                       ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,                     ,                      ,                        ,                    ,                         ,                       ,                         ,                        ,                    ,                     ,                     ,                         ,                ,                    ,                       ,                           ,                        ,                        ,                           ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from ODP Leg 120 SR Vol 2  Chapter 55 Table 1 p 984-985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,115, 711,A, 10,H, 3,  40.00,     88.6000,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,14.0%                  ,                     ,                            ,                         ,                                 ,R                    ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,52.0%                      ,                          ,                     ,9.0%                 ,R                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,                        ,6.0%                        ,                                    ,                           ,                        ,                                        ,                                ,F                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,5.0%                 ,                      ,R                       ,                    ,                         ,F                      ,                         ,                        ,                    ,                     ,                     ,                         ,2.0%            ,                    ,R                      ,                           ,                        ,                        ,                           ,F                    ,                              ,                        ,                   ,F                         ,                      ,F                            ,3.0%                    ,R                         ,F                       ,F                 ,F                   ,                      ,2.0%                   ,from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,115, 711,A, 10,H, 4,  40.00,     90.1000,Okada    ,Nannofossils                                 ,A              ,M                 ,R                      ,                 ,                      ,                     ,                    ,20.0%                  ,                     ,                            ,                         ,                                 ,R                    ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,58.0%                      ,                          ,                     ,10.0%                ,F                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,                        ,1.0%                        ,                                    ,                           ,                        ,                                        ,                                ,F                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,1.0%                 ,                      ,F                       ,                    ,                         ,F                      ,                         ,                        ,                    ,                     ,                     ,                         ,F               ,                    ,R                      ,                           ,                        ,                        ,                           ,F                    ,                              ,                        ,                   ,F                         ,                      ,F                            ,5.0%                    ,R                         ,                        ,R                 ,F                   ,                      ,F                      ,from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 711,A, 10,H, 4,  50.00,     90.2000,Wei      ,Nannofossils                                 ,               ,                  ,                       ,                 ,                      ,                     ,                    ,                       ,                     ,                            ,                         ,.0%                              ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,42.2%                      ,                          ,                     ,9.5%                 ,                       ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,.0%                     ,1.7%                        ,.0%                                 ,.0%                        ,.7%                     ,.0%                                     ,7.5%                            ,.0%                   ,.0%                 ,.7%                     ,.0%                                ,.0%                       ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,                     ,                      ,                        ,                    ,                         ,                       ,                         ,                        ,                    ,                     ,                     ,                         ,                ,                    ,                       ,                           ,                        ,                        ,                           ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from ODP Leg 120 SR Vol 2  Chapter 55 Table 1 p 984-985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,115, 711,A, 10,H, 5,  40.00,     91.6000,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,26.0%                  ,                     ,                            ,                         ,                                 ,R                    ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,51.0%                      ,                          ,                     ,10.0%                ,F                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,                        ,F                           ,                                    ,                           ,                        ,                                        ,                                ,F                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,rR                       ,4.0%                 ,                      ,F                       ,                    ,                         ,1.0%                   ,                         ,                        ,                    ,                     ,                     ,                         ,F               ,                    ,R                      ,                           ,                        ,                        ,                           ,F                    ,                              ,                        ,                   ,F                         ,                      ,1.0%                         ,F                       ,F                         ,R                       ,F                 ,F                   ,1.0%                  ,F                      ,slight reworking.from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,115, 711,A, 10,H, 6,  40.00,     93.1000,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,18.0%                  ,                     ,                            ,                         ,                                 ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,rR                     ,49.0%                      ,                          ,                     ,13.0%                ,F                      ,                     ,                     ,                   ,                  ,                          ,                  ,rR                    ,                         ,                ,                    ,                       ,                        ,1.0%                        ,                                    ,                           ,                        ,                                        ,                                ,R                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,rR                       ,10.0%                ,                      ,F                       ,                    ,                         ,2.0%                   ,rF                       ,                        ,                    ,                     ,                     ,                         ,F               ,                    ,R                      ,                           ,                        ,                        ,                           ,F                    ,                              ,                        ,                   ,F                         ,                      ,F                            ,1.0%                    ,R                         ,                        ,R                 ,R                   ,F                     ,                       ,slight reworking.from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 711,A, 10,H, 6,  66.00,     93.3600,Wei      ,Nannofossils                                 ,               ,                  ,                       ,                 ,                      ,                     ,                    ,                       ,                     ,                            ,                         ,.0%                              ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,39.7%                      ,                          ,                     ,10.8%                ,                       ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,.0%                     ,3.0%                        ,.0%                                 ,.0%                        ,.0%                     ,.0%                                     ,13.4%                           ,.3%                   ,.0%                 ,.0%                     ,.0%                                ,.0%                       ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,                     ,                      ,                        ,                    ,                         ,                       ,                         ,                        ,                    ,                     ,                     ,                         ,                ,                    ,                       ,                           ,                        ,                        ,                           ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from ODP Leg 120 SR Vol 2  Chapter 55 Table 1 p 984-985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,115, 711,A, 10,H, 7,  40.00,     94.6000,Okada    ,Nannofossils                                 ,A              ,M                 ,R                      ,                 ,                      ,                     ,                    ,22.0%                  ,                     ,                            ,                         ,                                 ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,46.0%                      ,                          ,                     ,17.0%                ,F                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,                        ,F                           ,                                    ,                           ,                        ,                                        ,                                ,F                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,R               ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,rR                       ,4.0%                 ,rR                    ,F                       ,                    ,                         ,3.0%                   ,rF                       ,                        ,                    ,                     ,                     ,                         ,F               ,                    ,                       ,                           ,                        ,                        ,                           ,F                    ,                              ,                        ,                   ,1.0%                      ,rF                    ,F                            ,3.0%                    ,F                         ,R                       ,F                 ,R                   ,                      ,                       ,slight reworking.from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,115, 711,A, 11,H, 1,  40.00,     95.2000,Okada    ,Nannofossils                                 ,A              ,M                 ,R                      ,                 ,                      ,                     ,                    ,8.0%                   ,                     ,rR                          ,                         ,                                 ,                     ,                     ,                    ,                        ,               ,                    ,F                   ,                       ,                     ,                 ,                       ,                    ,                   ,rR                     ,62.0%                      ,                          ,                     ,10.0%                ,F                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,                        ,F                           ,                                    ,                           ,                        ,                                        ,                                ,F                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,rR                        ,               ,                   ,                   ,                             ,R               ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,rR                       ,6.0%                 ,rR                    ,F                       ,                    ,                         ,2.0%                   ,rC                       ,                        ,                    ,                     ,                     ,F                        ,1.0%            ,                    ,                       ,                           ,                        ,                        ,                           ,F                    ,                              ,                        ,R                  ,F                         ,rC                    ,F                            ,5.0%                    ,F                         ,R                       ,F                 ,                    ,                      ,                       ,slight reworking.from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,115, 711,A, 11,H, 2,  40.00,     96.7000,Okada    ,Nannofossils                                 ,A              ,M                 ,R                      ,                 ,                      ,                     ,                    ,13.0%                  ,                     ,                            ,                         ,                                 ,R                    ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,rR               ,                       ,                    ,                   ,                       ,61.0%                      ,                          ,                     ,13.0%                ,F                      ,                     ,                     ,                   ,                  ,                          ,                  ,rR                    ,                         ,                ,                    ,                       ,                        ,F                           ,                                    ,                           ,                        ,                                        ,                                ,F                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,rR                        ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,3.0%                 ,                      ,R                       ,                    ,                         ,F                      ,rC                       ,                        ,                    ,                     ,                     ,                         ,F               ,                    ,                       ,                           ,                        ,                        ,                           ,F                    ,                              ,                        ,                   ,F                         ,rC                    ,2.0%                         ,5.0%                    ,R                         ,R                       ,R                 ,                    ,                      ,                       ,slight reworking.from 115 SR. Chapter 14. Table 11. pages 154-155.
