Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Orbulina universa,Orbulina bilobata,Neogloboquadrina acostaensis,Hastigerina pelagica,Globorotalia plesiotumida,Globorotalia merotumida,Globorotalia limbata,Globorotalia lenguaensis,Globoquadrina venezuelana,Globoquadrina dehiscens,Globoquadrina altispira globosa,Globoquadrina altispira altispira,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides quadrilobatus,Globigerinoides obliquus,Globigerinoides immaturus,Globigerina nepenthes,Globigerina decoraperta,Globorotalia cf. Gr. miocenica,Globigerinella obesa,Globigerinella aequilateralis,Globigerinoides extremus,Globigerinita glutinata,Globorotalia scitula,Globorotalia cf. scitula,Globigerina druryi,Globorotalia cf. Gr. multicamerata,Candeina nitida,Sphaeroidinellopsis subdehiscens,Sphaeroidinellopsis paenedehiscens,Globigerinoides conglobatus,Globorotalia cibaoensis,Globorotalia paralenguaensis,Globorotalia juanai,Globoquadrina baroemoenensis,Globigerinoides bulloideus,Globigerina bulloides,Neogloboquadrina continuosa,Neogloboquadrina cf. humerosa,Globigerinoides bollii,Globigerina cf. falconensis,Globorotalia cf. Gr. margaritae,Neogloboquadrina humerosa,Globorotalia multicamerata,Globigerinoides ruber,Globigerinoides cf. conglobatus,Neogloboquadrina pseudopachyderma,Globorotalia margaritae evoluta,Globigerina cf. incisa,Globorotalia crassaformis crassaformis,Globigerina apertura,Globorotalia menardii,Sphaeroidinella dehiscens,Globorotalia miocenica,Globigerina falconensis,Globorotalia pseudomiocenica,Globorotalia crassaformis viola,Globorotalia crassaformis oceanica,Neogloboquadrina pseudopima,Globorotalia praehirsuta,Globigerina incisa,Globigerina calida praecalida,Neogloboquadrina incompta,Globorotalia exilis,Globorotalia crassaformis ronda,Globigerinoides trilobus fistulosus,Globorotalia pertenuis,Neogloboquadrina dutertrei,Globorotalia truncatulinoides,Globorotalia inflata,Pulleniatina obliquiloculata,Globorotalia cf. tumida,Globigerinoides siegliei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. exilis         ,              ,101, 630,A,  2,H,CC,  21.00,     18.6800,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                              ,F                ,R                ,                            ,                    ,                         ,                       ,                    ,                        ,                         ,                       ,                               ,                                 ,F                       ,C                         ,R                            ,                        ,F                        ,                     ,                       ,R                             ,                    ,F                            ,                        ,R                      ,                    ,                        ,                  ,                                  ,               ,                                ,                                  ,R                          ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,                             ,                      ,                           ,                               ,                         ,                          ,F                    ,                               ,                                 ,                               ,                      ,R                                     ,                    ,                     ,R                        ,                      ,                       ,                            ,                               ,R                                 ,                           ,                        ,R                 ,                             ,                         ,R                  ,R                              ,                                   ,                      ,R                         ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 630,A,  3,H, 4,  25.00,     22.9500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                              ,F                ,R                ,                            ,                    ,                         ,                       ,                    ,                        ,                         ,                       ,                               ,                                 ,F                       ,C                         ,R                            ,                        ,F                        ,                     ,R                      ,F                             ,                    ,F                            ,                        ,R                      ,T                   ,                        ,                  ,                                  ,R              ,                                ,                                  ,R                          ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,                             ,                      ,                           ,                               ,R                        ,                          ,F                    ,                               ,                                 ,                               ,                      ,R                                     ,                    ,                     ,                         ,                      ,                       ,                            ,                               ,                                  ,R                          ,                        ,R                 ,R                            ,                         ,R                  ,R                              ,R                                  ,R                     ,R                         ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 630,A,  3,H,CC,   9.00,     27.8600,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                              ,                 ,                 ,                            ,                    ,                         ,                       ,                    ,                        ,                         ,                       ,                               ,                                 ,F                       ,C                         ,R                            ,                        ,F                        ,                     ,R                      ,F                             ,                    ,F                            ,                        ,R                      ,                    ,                        ,                  ,                                  ,               ,                                ,                                  ,R                          ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,                             ,                      ,                           ,                               ,                         ,                          ,F                    ,                               ,                                 ,                               ,                      ,R                                     ,                    ,                     ,                         ,                      ,                       ,                            ,                               ,                                  ,                           ,                        ,R                 ,R                            ,                         ,R                  ,                               ,R                                  ,R                     ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 630,A,  4,H, 3,  25.00,     31.0500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                              ,F                ,R                ,                            ,                    ,                         ,                       ,                    ,                        ,                         ,                       ,                               ,                                 ,R                       ,C                         ,R                            ,                        ,R                        ,                     ,                       ,F                             ,R                   ,R                            ,                        ,R                      ,                    ,                        ,                  ,                                  ,               ,                                ,                                  ,R                          ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,                             ,                      ,                           ,                               ,R                        ,                          ,R                    ,                               ,                                 ,                               ,                      ,F                                     ,                    ,                     ,R                        ,                      ,                       ,                            ,                               ,                                  ,                           ,                        ,                  ,R                            ,                         ,R                  ,F                              ,F                                  ,R                     ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 630,A,  4,H,CC,  10.00,     37.1000,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                              ,F                ,R                ,                            ,R                   ,r                        ,                       ,                    ,                        ,                         ,                       ,                               ,                                 ,F                       ,F                         ,R                            ,                        ,F                        ,                     ,R                      ,                              ,R                   ,F                            ,                        ,R                      ,                    ,                        ,                  ,                                  ,R              ,                                ,                                  ,R                          ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,                             ,                      ,                           ,                               ,F                        ,                          ,F                    ,                               ,                                 ,                               ,                      ,R                                     ,                    ,                     ,R                        ,                      ,                       ,                            ,                               ,                                  ,                           ,                        ,R                 ,R                            ,                         ,R                  ,R                              ,                                   ,                      ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 630,A,  5,H, 3,  25.00,     40.6500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                              ,C                ,                 ,R                           ,                    ,                         ,                       ,                    ,                        ,                         ,                       ,                               ,                                 ,R                       ,F                         ,R                            ,R                       ,F                        ,                     ,R                      ,F                             ,R                   ,F                            ,R                       ,R                      ,                    ,R                       ,                  ,                                  ,               ,                                ,                                  ,R                          ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,R                            ,                      ,                           ,                               ,R                        ,R                         ,F                    ,                               ,                                 ,                               ,R                     ,R                                     ,                    ,                     ,R                        ,                      ,                       ,                            ,                               ,                                  ,                           ,                        ,R                 ,                             ,R                        ,F                  ,R                              ,cf                                 ,                      ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 630,A,  5,H,CC,   9.00,     46.8700,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                              ,C                ,R                ,                            ,R                   ,                         ,R                      ,                    ,                        ,                         ,                       ,                               ,F                                ,                        ,F                         ,R                            ,                        ,F                        ,                     ,                       ,R                             ,                    ,R                            ,                        ,R                      ,                    ,                        ,                  ,                                  ,               ,                                ,                                  ,R                          ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,R                            ,                      ,                           ,                               ,                         ,R                         ,F                    ,                               ,                                 ,                               ,                      ,                                      ,                    ,                     ,R                        ,F                     ,                       ,                            ,R                              ,                                  ,                           ,                        ,R                 ,                             ,                         ,R                  ,R                              ,                                   ,                      ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 630,A,  6,H, 4,  25.00,     51.7500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                              ,F                ,R                ,R                           ,                    ,                         ,                       ,F                   ,                        ,R                        ,                       ,                               ,R                                ,R                       ,F                         ,R                            ,                        ,F                        ,                     ,                       ,T                             ,                    ,R                            ,                        ,R                      ,                    ,                        ,                  ,                                  ,               ,                                ,                                  ,F                          ,                       ,                            ,                   ,                            ,                          ,R                    ,                           ,                             ,T                     ,R                          ,T                              ,R                        ,R                         ,F                    ,                               ,                                 ,                               ,                      ,R                                     ,                    ,                     ,R                        ,T                     ,                       ,                            ,                               ,                                  ,                           ,                        ,R                 ,                             ,R                        ,R                  ,                               ,                                   ,                      ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 630,A,  6,H,CC,   2.00,     56.3500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                              ,F                ,R                ,                            ,                    ,                         ,                       ,                    ,                        ,R                        ,                       ,                               ,R                                ,R                       ,R                         ,R                            ,                        ,F                        ,                     ,R                      ,                              ,R                   ,                             ,                        ,R                      ,                    ,                        ,                  ,                                  ,R              ,                                ,                                  ,F                          ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,                             ,                      ,R                          ,R                              ,                         ,                          ,F                    ,                               ,                                 ,                               ,                      ,                                      ,                    ,                     ,R                        ,R                     ,                       ,                            ,                               ,                                  ,                           ,                        ,                  ,R                            ,                         ,                   ,                               ,                                   ,                      ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 630,A,  7,H, 4,  25.00,     61.6500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                              ,F                ,                 ,                            ,                    ,cf                       ,                       ,R                   ,                        ,T                        ,r                      ,                               ,R                                ,R                       ,R                         ,R                            ,R                       ,F                        ,                     ,F                      ,                              ,R                   ,R                            ,F                       ,F                      ,                    ,                        ,                  ,C                                 ,               ,R                               ,R                                 ,R                          ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,                             ,                      ,R                          ,                               ,R                        ,                          ,F                    ,                               ,                                 ,                               ,                      ,T                                     ,                    ,                     ,R                        ,R                     ,                       ,                            ,T                              ,                                  ,R                          ,R                       ,R                 ,R                            ,                         ,                   ,                               ,                                   ,                      ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 630,A,  7,H,CC,   7.00,     66.3000,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                              ,F                ,R                ,R                           ,                    ,                         ,                       ,                    ,                        ,R                        ,                       ,                               ,F                                ,F                       ,F                         ,R                            ,                        ,F                        ,                     ,R                      ,                              ,R                   ,R                            ,                        ,F                      ,                    ,                        ,                  ,                                  ,               ,                                ,                                  ,                           ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,                             ,                      ,                           ,                               ,R                        ,                          ,R                    ,                               ,                                 ,R                              ,                      ,R                                     ,                    ,R                    ,R                        ,T                     ,                       ,                            ,R                              ,                                  ,R                          ,                        ,                  ,                             ,                         ,                   ,                               ,                                   ,                      ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 630,A,  8,H, 3,  25.00,     69.5500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                              ,P                ,                 ,P                           ,                    ,                         ,                       ,                    ,                        ,                         ,                       ,                               ,P                                ,P                       ,                          ,                             ,                        ,P                        ,                     ,                       ,                              ,                    ,P                            ,                        ,P                      ,                    ,                        ,                  ,                                  ,               ,                                ,                                  ,P                          ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,                             ,                      ,                           ,                               ,                         ,                          ,                     ,                               ,                                 ,                               ,                      ,P                                     ,                    ,                     ,                         ,                      ,                       ,R                           ,P                              ,                                  ,                           ,                        ,                  ,                             ,                         ,                   ,                               ,                                   ,                      ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 630,A,  8,H,CC,   9.00,     75.8000,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                              ,F                ,R                ,R                           ,                    ,                         ,                       ,                    ,                        ,R                        ,                       ,                               ,F                                ,F                       ,F                         ,F                            ,R                       ,F                        ,                     ,                       ,                              ,                    ,F                            ,F                       ,R                      ,                    ,                        ,                  ,                                  ,T              ,                                ,R                                 ,F                          ,                       ,                            ,                   ,                            ,                          ,R                    ,                           ,R                            ,                      ,                           ,                               ,F                        ,                          ,F                    ,                               ,                                 ,                               ,                      ,R                                     ,                    ,                     ,                         ,                      ,                       ,                            ,R                              ,R                                 ,                           ,                        ,                  ,                             ,                         ,                   ,                               ,                                   ,                      ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 630,A,  9,H, 3,  25.00,     79.1500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                              ,F                ,R                ,R                           ,                    ,                         ,                       ,R                   ,                        ,R                        ,                       ,                               ,F                                ,F                       ,R                         ,                             ,                        ,F                        ,                     ,                       ,                              ,                    ,F                            ,F                       ,R                      ,                    ,                        ,                  ,                                  ,T              ,F                               ,                                  ,R                          ,T                      ,                            ,                   ,                            ,                          ,R                    ,                           ,                             ,                      ,                           ,                               ,R                        ,                          ,F                    ,R                              ,                                 ,                               ,                      ,R                                     ,                    ,                     ,                         ,                      ,R                      ,R                           ,R                              ,R                                 ,                           ,                        ,                  ,                             ,                         ,                   ,                               ,                                   ,                      ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 630,A,  9,H,CC,   5.00,     85.3200,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                              ,F                ,R                ,R                           ,                    ,                         ,                       ,                    ,                        ,R                        ,                       ,                               ,F                                ,F                       ,F                         ,F                            ,R                       ,F                        ,                     ,                       ,                              ,                    ,F                            ,R                       ,R                      ,                    ,                        ,                  ,                                  ,R              ,                                ,                                  ,R                          ,                       ,                            ,                   ,                            ,                          ,R                    ,                           ,                             ,                      ,                           ,                               ,R                        ,                          ,R                    ,                               ,                                 ,F                              ,                      ,T                                     ,                    ,cf                   ,R                        ,                      ,R                      ,                            ,                               ,                                  ,                           ,                        ,                  ,                             ,                         ,                   ,                               ,                                   ,                      ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 630,A, 10,H, 4,  25.00,     90.4500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                              ,F                ,R                ,                            ,                    ,R                        ,                       ,F                   ,                        ,                         ,                       ,T                              ,F                                ,R                       ,R                         ,T                            ,F                       ,F                        ,                     ,R                      ,                              ,R                   ,F                            ,R                       ,F                      ,                    ,                        ,                  ,                                  ,               ,                                ,R                                 ,R                          ,                       ,                            ,                   ,                            ,                          ,R                    ,                           ,                             ,                      ,                           ,                               ,R                        ,                          ,                     ,                               ,T                                ,R                              ,F                     ,R                                     ,                    ,R                    ,R                        ,T                     ,                       ,                            ,                               ,                                  ,                           ,                        ,                  ,                             ,                         ,                   ,                               ,                                   ,                      ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 630,A, 10,H,CC,  17.00,     95.2200,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                              ,F                ,                 ,R                           ,                    ,T                        ,                       ,F                   ,                        ,                         ,                       ,                               ,F                                ,F                       ,R                         ,R                            ,R                       ,F                        ,                     ,R                      ,                              ,R                   ,R                            ,F                       ,F                      ,                    ,                        ,                  ,                                  ,R              ,                                ,                                  ,R                          ,                       ,                            ,                   ,                            ,                          ,                     ,                           ,                             ,                      ,                           ,                               ,                         ,R                         ,                     ,                               ,                                 ,F                              ,R                     ,                                      ,                    ,                     ,                         ,                      ,                       ,                            ,                               ,                                  ,                           ,                        ,                  ,                             ,                         ,                   ,                               ,                                   ,                      ,                          ,                             ,                    ,                            ,                       ,                        ,from Melillo; ODP 101 SR Ch 1 Fig 7 p 22-27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
