Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Globigerinoides immaturus	Sphaeroidinellopsis subdehiscens	Pulleniatina primalis	Globorotalia margaritae	Globorotalia limbata	Globorotalia juanai	Sphaeroidinellopsis paenedehiscens	Orbulina bilobata	Globorotalia cibaoensis	Globoquadrina dehiscens	Globigerinoides siegliei	Globigerinoides extremus	Globigerinoides conglobatus	Globigerinoides bollii	Globigerinita glutinata	Globigerinella aequilateralis	Globigerina nepenthes	Globigerina falconensis	Globigerina decoraperta	Candeina nitida	Globorotalia scitula	Globorotalia plesiotumida	Sphaeroidinellopsis seminulina	Neogloboquadrina cf. acostaensis	Globorotalia pseudomiocenica	Globorotalia cf. Gr. plesiotumida	Globorotalia cf. Gr. multicamerata	Globoquadrina altispira altispira	Globigerinoides sacculifer	Globorotalia cf. Gr. crassula	Globigerinoides trilobus	Globigerinoides ruber	Globigerinoides quadrilobatus	Neogloboquadrina incompta	Globoquadrina altispira globosa	Globorotalia menardii	Globorotalia crassula	Sphaeroidinella dehiscens	Globorotalia crassaformis ronda	Globorotalia crassaformis crassaformis	Globigerina cf. bulloides	Globorotalia cf. pseudomiocenica	Neogloboquadrina pseudopima	Neogloboquadrina continuosa	Globorotalia miocenica	Pulleniatina praecursor	Neogloboquadrina humerosa	Globorotalia exilis	Globorotalia crassaformis viola	Globigerina cf. falconensis	Pulleniatina obliquiloculata	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia inflata	Globorotalia cf. Gr. flexuosa	Globigerina rubescens	Globigerina palpebra	Globigerina cf. incisa	Globorotalia crassaformis hessi	Globorotalia crassaformis cf. hessi	Beella digitata	Globigerina calida praecalida	Globorotalia hirsuta	Globorotalia flexuosa	Globorotalia bermudezi	Comment

  SR	Pleistocene      	                 	G. c. viola       	              	101	 632	A	  3	H	 3	  25.00	     19.9500	Melillo  	Planktonic Foraminifers                      	               	G                 	F                	F                        	                                	                     	                       	                    	                   	                                  	R                	                       	                       	                        	                        	C                          	                      	R                      	T                            	                     	                       	                       	               	                    	                         	                              	                                	                            	                                 	                                  	                                 	R                         	                             	                        	F                    	R                            	T                        	                               	F                    	                     	F                        	F                              	                                      	                         	                                	                           	F                          	                      	                       	                         	                   	                               	                           	F                           	                   	F                            	                    	T                            	R                    	R                   	T                     	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Pleistocene      	                 	G. c. viola       	              	101	 632	A	  3	H	CC	   7.00	     25.8500	Melillo  	Planktonic Foraminifers                      	               	G                 	F                	F                        	                                	                     	                       	                    	                   	                                  	R                	                       	                       	                        	                        	F                          	                      	R                      	F                            	                     	                       	                       	R              	                    	                         	                              	                                	                            	                                 	                                  	                                 	F                         	                             	                        	R                    	R                            	                         	                               	C                    	                     	F                        	R                              	                                      	                         	                                	                           	R                          	                      	                       	                         	                   	                               	                           	F                           	R                  	C                            	                    	                             	R                    	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Pleistocene      	                 	G. c. viola       	              	101	 632	A	  4	H	 3	  25.00	     29.5500	Melillo  	Planktonic Foraminifers                      	               	G                 	D                	D                        	                                	                     	                       	                    	                   	                                  	                 	                       	                       	                        	                        	P                          	                      	R                      	                             	                     	                       	                       	D              	                    	                         	                              	                                	                            	                                 	                                  	                                 	                          	                             	                        	D                    	                             	                         	                               	D                    	                     	                         	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	D                           	                   	P                            	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Pleistocene      	                 	G. c. viola       	              	101	 632	A	  4	H	CC	  43.00	     35.3500	Melillo  	Planktonic Foraminifers                      	               	G                 	C                	F                        	                                	                     	                       	                    	                   	                                  	R                	                       	                       	                        	                        	F                          	                      	R                      	R                            	                     	                       	                       	T              	                    	                         	                              	                                	                            	                                 	                                  	                                 	F                         	                             	F                       	F                    	F                            	                         	                               	F                    	                     	R                        	                               	                                      	R                        	                                	T                          	R                          	                      	                       	                         	                   	                               	                           	F                           	R                  	C                            	R                   	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Pleistocene      	                 	G. c. viola       	              	101	 632	A	  5	H	 3	  25.00	     39.1500	Melillo  	Planktonic Foraminifers                      	               	P                 	P                	P                        	                                	                     	                       	                    	                   	                                  	                 	                       	                       	                        	                        	P                          	                      	                       	P                            	                     	                       	                       	P              	                    	                         	                              	                                	                            	                                 	                                  	                                 	P                         	                             	                        	                     	P                            	                         	                               	P                    	                     	P                        	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	P                           	                   	P                            	P                   	P                            	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Pleistocene      	                 	G. c. viola       	              	101	 632	A	  5	H	CC	  11.00	     43.8100	Melillo  	Planktonic Foraminifers                      	               	G                 	F                	F                        	                                	                     	                       	                    	                   	                                  	R                	                       	                       	                        	                        	F                          	                      	R                      	                             	                     	                       	                       	               	                    	                         	                              	                                	                            	                                 	                                  	                                 	R                         	                             	                        	C                    	F                            	                         	                               	R                    	                     	R                        	R                              	                                      	T                        	                                	                           	R                          	                      	                       	                         	                   	                               	                           	R                           	R                  	C                            	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Pliocene         	                 	G. fistulosus     	              	101	 632	A	  6	H	 3	  25.00	     48.6500	Melillo  	Planktonic Foraminifers                      	               	G                 	F                	F                        	                                	                     	                       	                    	                   	                                  	                 	                       	                       	                        	R                       	F                          	                      	R                      	R                            	                     	T                      	R                      	               	                    	                         	                              	                                	                            	                                 	                                  	                                 	F                         	                             	F                       	C                    	                             	                         	                               	                     	                     	F                        	F                              	R                                     	R                        	                                	                           	R                          	R                     	T                      	R                        	R                  	R                              	R                          	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Early Pliocene   	                 	G. m. evoluta     	              	101	 632	A	  6	H	CC	   5.00	     55.0700	Melillo  	Planktonic Foraminifers                      	               	M                 	F                	F                        	                                	                     	R                      	                    	                   	                                  	R                	                       	                       	                        	                        	F                          	                      	R                      	                             	                     	                       	R                      	T              	                    	                         	                              	                                	                            	T                                	                                  	                                 	R                         	R                            	F                       	F                    	                             	                         	                               	                     	                     	R                        	R                              	R                                     	R                        	                                	R                          	T                          	F                     	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Early Pliocene   	                 	G. m. margaritae  	              	101	 632	A	  7	H	 1	  40.00	     55.4000	Melillo  	Planktonic Foraminifers                      	               	P                 	P                	                         	                                	                     	                       	                    	                   	                                  	                 	P                      	                       	                        	P                       	P                          	                      	                       	                             	                     	                       	                       	               	                    	                         	                              	                                	                            	                                 	                                  	P                                	                          	                             	                        	                     	                             	                         	                               	                     	                     	                         	                               	                                      	                         	P                               	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Early Pliocene   	                 	G. m. margaritae  	              	101	 632	A	  7	H	CC	   2.00	     57.1500	Melillo  	Planktonic Foraminifers                      	               	P                 	P                	P                        	                                	                     	P                      	                    	                   	                                  	                 	                       	                       	                        	P                       	P                          	                      	P                      	                             	                     	                       	                       	               	                    	                         	                              	                                	                            	                                 	                                  	                                 	                          	                             	                        	P                    	P                            	                         	                               	                     	                     	P                        	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Early Pliocene   	                 	G. m. margaritae  	              	101	 632	A	  8	H	 3	  25.00	     67.8500	Melillo  	Planktonic Foraminifers                      	               	M                 	F                	F                        	F                               	                     	                       	                    	                   	F                                 	R                	                       	                       	                        	                        	F                          	                      	R                      	F                            	R                    	                       	                       	               	                    	R                        	                              	                                	F                           	                                 	                                  	R                                	R                         	                             	                        	F                    	F                            	                         	                               	R                    	                     	R                        	R                              	F                                     	R                        	                                	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Early Pliocene   	                 	G. m. margaritae  	              	101	 632	A	  8	H	CC	   0.00	     74.0300	Melillo  	Planktonic Foraminifers                      	               	P                 	F                	F                        	C                               	                     	R                      	                    	                   	R                                 	R                	F                      	                       	                        	R                       	F                          	                      	R                      	R                            	F                    	                       	                       	R              	                    	                         	                              	                                	                            	                                 	                                  	R                                	R                         	                             	                        	F                    	F                            	                         	                               	T                    	F                    	                         	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Early Pliocene   	                 	G. m. margaritae  	              	101	 632	A	  9	H	 3	  25.00	     77.4500	Melillo  	Planktonic Foraminifers                      	               	M                 	F                	F                        	                                	                     	F                      	R                   	r                  	R                                 	R                	                       	                       	                        	C                       	F                          	                      	F                      	R                            	R                    	                       	R                      	               	                    	                         	                              	                                	                            	                                 	T                                 	R                                	R                         	                             	F                       	                     	                             	T                        	R                              	                     	                     	                         	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Early Pliocene   	                 	G. m. margaritae  	              	101	 632	A	  9	H	CC	  10.00	     78.1900	Melillo  	Planktonic Foraminifers                      	               	M                 	C                	F                        	                                	                     	F                      	                    	r                  	F                                 	R                	                       	                       	                        	F                       	F                          	                      	F                      	R                            	F                    	                       	R                      	R              	                    	R                        	                              	                                	                            	                                 	                                  	F                                	R                         	R                            	F                       	F                    	R                            	                         	                               	                     	                     	                         	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Early Pliocene   	                 	G. m. margaritae  	              	101	 632	A	 12	X	 1	 100.00	     94.9000	Melillo  	Planktonic Foraminifers                      	               	M                 	F                	                         	                                	                     	                       	                    	r                  	F                                 	R                	F                      	                       	                        	F                       	F                          	                      	R                      	                             	F                    	                       	R                      	R              	                    	                         	                              	                                	                            	                                 	F                                 	F                                	                          	                             	                        	                     	                             	                         	                               	                     	                     	                         	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Early Pliocene   	                 	G. m. margaritae  	              	101	 632	A	 12	X	 3	  25.00	     97.1500	Melillo  	Planktonic Foraminifers                      	               	M                 	F                	F                        	                                	                     	R                      	                    	r                  	F                                 	R                	F                      	                       	                        	A                       	F                          	R                     	                       	R                            	C                    	R                      	F                      	R              	                    	                         	                              	T                               	T                           	T                                	F                                 	R                                	R                         	                             	                        	                     	                             	                         	                               	                     	                     	                         	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Early Pliocene   	                 	G. m. margaritae  	              	101	 632	A	 12	X	CC	  22.00	    103.5000	Melillo  	Planktonic Foraminifers                      	               	M                 	C                	                         	                                	                     	                       	F                   	r                  	F                                 	R                	R                      	                       	                        	F                       	                           	                      	                       	F                            	F                    	                       	                       	               	R                   	R                        	                              	                                	                            	                                 	                                  	                                 	                          	                             	                        	                     	                             	                         	                               	                     	                     	                         	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Early Pliocene   	                 	G. m. margaritae  	              	101	 632	A	 13	X	 1	  40.00	    103.1000	Melillo  	Planktonic Foraminifers                      	               	M                 	C                	                         	R                               	                     	                       	F                   	r                  	F                                 	R                	R                      	F                      	T                       	F                       	F                          	F                     	R                      	F                            	F                    	R                      	                       	T              	                    	F                        	R                             	                                	                            	                                 	                                  	                                 	                          	                             	                        	                     	                             	                         	                               	                     	                     	                         	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Early Pliocene   	                 	G. m. margaritae  	              	101	 632	A	 13	X	 1	 100.00	    103.7000	Melillo  	Planktonic Foraminifers                      	               	M                 	C                	                         	R                               	                     	R                      	R                   	r                  	F                                 	F                	R                      	F                      	T                       	A                       	F                          	F                     	R                      	R                            	F                    	R                      	F                      	T              	                    	                         	                              	                                	                            	                                 	                                  	                                 	                          	                             	                        	                     	                             	                         	                               	                     	                     	                         	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Early Pliocene   	                 	G. m. margaritae  	              	101	 632	A	 13	X	CC	  25.00	    104.8400	Melillo  	Planktonic Foraminifers                      	               	P                 	                 	                         	P                               	                     	P                      	P                   	r                  	                                  	                 	                       	                       	                        	                        	                           	                      	                       	                             	                     	                       	                       	               	                    	                         	                              	                                	                            	                                 	                                  	                                 	                          	                             	                        	                     	                             	                         	                               	                     	                     	                         	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	Early Pliocene   	                 	G. m. margaritae  	              	101	 632	A	 14	X	CC	  37.00	    113.6300	Melillo  	Planktonic Foraminifers                      	               	                  	                 	                         	P                               	P                    	                       	                    	                   	                                  	                 	                       	                       	                        	                        	                           	                      	                       	                             	                     	                       	                       	               	                    	                         	                              	                                	                            	                                 	                                  	                                 	                          	                             	                        	                     	                             	                         	                               	                     	                     	                         	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	                 	                 	                  	              	101	 632	A	 15	X	CC	  11.00	    122.4600	Melillo  	Planktonic Foraminifers                      	               	                  	P                	P                        	                                	                     	                       	                    	                   	                                  	                 	                       	                       	                        	                        	                           	                      	                       	                             	                     	                       	                       	               	                    	                         	                              	                                	                            	                                 	                                  	                                 	                          	                             	                        	                     	                             	                         	                               	                     	                     	                         	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

  SR	                 	                 	                  	              	101	 632	A	 16	X	CC	  38.00	    131.9000	Melillo  	Planktonic Foraminifers                      	               	                  	P                	P                        	                                	                     	                       	                    	                   	                                  	                 	                       	                       	                        	                        	                           	                      	                       	                             	                     	                       	                       	               	                    	                         	                              	                                	                            	                                 	                                  	                                 	                          	                             	                        	                     	                             	                         	                               	                     	                     	                         	                               	                                      	                         	                                	                           	                           	                      	                       	                         	                   	                               	                           	                            	                   	                             	                    	                             	                     	                    	                      	                               	                                   	               	                             	                    	                     	                      	from Melillo; ODP 101 SR Ch 1 Fig 8 p 28-30

