Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylosphaera angelina	Sphaeropyle robusta	Lipmanella redondoensis	Cyrtocapsella cornuta	Axoprunum acquilonius	Stichocorys sp. P	Stichocorys delmontensis	Cornutella profunda	Clathrocyclas bicornis group	Botryostrobus bramlettei	Lithocarpium polyacantha	Botryostrobus aquilonaris	Lithocarpium titan	Androcyclas heteroporos	Botryostrobus auritus/australis	Androcyclas neoheteroporos	Sphaeropyle langii	Cyrtocapsella japonica	Comment
  SR	Late Pliocene    	                 	A. acquilonius    	              	145	 884	C	 17	X	CC	  15.00	    154.8100	Shilov   	Radiolarians                                 	R              	G                 	R                    	                   	                       	R                    	R                    	                 	                        	                   	                            	                        	R                       	                         	                  	                       	                               	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Pliocene    	                 	A. acquilonius    	              	145	 884	C	 18	X	CC	  13.00	    165.1600	Shilov   	Radiolarians                                 	R              	G                 	                     	R                  	                       	                     	R                    	                 	                        	                   	R                           	                        	R                       	                         	                  	                       	                               	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 884	C	 19	X	CC	  12.00	    174.9300	Shilov   	Radiolarians                                 	R              	M                 	                     	R                  	                       	                     	R                    	                 	                        	R                  	R                           	                        	R                       	                         	R                 	                       	                               	                          	R                 	                      	L. titan is questionably identified; from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 884	C	 20	X	CC	  13.00	    184.5700	Shilov   	Radiolarians                                 	R              	M                 	                     	R                  	                       	R                    	R                    	                 	                        	                   	R                           	R                       	R                       	                         	R                 	                       	                               	                          	R                 	                      	L. titan is questionably identified; from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 884	C	 21	X	CC	   9.00	    194.2200	Shilov   	Radiolarians                                 	R              	M                 	R                    	R                  	                       	R                    	R                    	                 	                        	                   	R                           	                        	                        	                         	R                 	                       	                               	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 884	C	 22	X	CC	  13.00	    203.9200	Shilov   	Radiolarians                                 	R              	G                 	R                    	                   	                       	                     	R                    	                 	                        	                   	                            	                        	                        	                         	                  	                       	R                              	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 884	C	 23	X	CC	  18.00	    213.8100	Shilov   	Radiolarians                                 	R              	G                 	R                    	                   	                       	R                    	R                    	                 	                        	R                  	                            	                        	                        	                         	                  	                       	R                              	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 884	C	 24	X	CC	  16.00	    223.0500	Shilov   	Radiolarians                                 	R              	G                 	R                    	R                  	                       	R                    	R                    	                 	                        	R                  	R                           	R                       	R                       	                         	                  	                       	                               	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 884	C	 25	X	CC	  18.00	    233.0600	Shilov   	Radiolarians                                 	R              	G                 	R                    	R                  	                       	                     	                     	                 	                        	                   	                            	                        	R                       	                         	                  	                       	                               	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 884	C	 26	X	CC	  19.00	    242.6400	Shilov   	Radiolarians                                 	R              	G                 	R                    	R                  	                       	R                    	R                    	                 	                        	                   	                            	                        	                        	                         	                  	R                      	R                              	R                         	R                 	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 884	C	 27	X	CC	  18.00	    252.0200	Shilov   	Radiolarians                                 	R              	G                 	R                    	                   	                       	R                    	                     	                 	                        	                   	                            	                        	                        	                         	                  	                       	R                              	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 884	C	 28	X	CC	  24.00	    262.1000	Shilov   	Radiolarians                                 	R              	G                 	                     	R                  	                       	R                    	R                    	R                	                        	R                  	                            	                        	                        	                         	                  	                       	R                              	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 884	C	 29	X	CC	  24.00	    271.5900	Shilov   	Radiolarians                                 	F              	G                 	                     	                   	                       	R                    	F                    	                 	                        	F                  	                            	R                       	R                       	                         	                  	R                      	R                              	R                         	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 884	C	 30	X	CC	  25.00	    272.0400	Shilov   	Radiolarians                                 	R              	G                 	                     	                   	                       	R                    	R                    	                 	                        	R                  	                            	                        	                        	                         	R                 	R                      	                               	                          	                  	                      	L. titan is questionably identified; from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Middle Miocene   	Late Miocene     	A. acquilonius    	              	145	 884	C	 31	X	CC	  18.00	    290.6400	Shilov   	Radiolarians                                 	R              	G                 	R                    	R                  	                       	R                    	R                    	                 	                        	R                  	                            	                        	                        	                         	                  	                       	                               	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Middle Miocene   	                 	A.. acq.-L. redond.	              	145	 884	C	 32	X	CC	  25.00	    300.5500	Shilov   	Radiolarians                                 	R              	M                 	                     	                   	R                      	                     	R                    	                 	                        	R                  	R                           	                        	                        	                         	                  	                       	                               	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Middle Miocene   	                 	A.. acq.-L. redond.	              	145	 884	C	 34	X	CC	  12.00	    312.2100	Shilov   	Radiolarians                                 	R              	M                 	R                    	                   	R                      	R                    	C                    	                 	                        	R                  	R                           	                        	R                       	R                        	                  	                       	                               	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Middle Miocene   	                 	A.. acq.-L. redond.	              	145	 884	C	 35	X	CC	  18.00	    329.4300	Shilov   	Radiolarians                                 	R              	M                 	R                    	R                  	                       	R                    	F                    	                 	                        	R                  	                            	                        	                        	                         	                  	                       	                               	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Middle Miocene   	                 	A.. acq.-L. redond.	              	145	 884	C	 36	X	CC	  20.00	    338.9600	Shilov   	Radiolarians                                 	F              	M                 	C                    	R                  	                       	                     	R                    	R                	                        	C                  	R                           	R                       	                        	                         	                  	                       	                               	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Middle Miocene   	                 	A.. acq.-L. redond.	              	145	 884	C	 37	X	CC	  17.00	    348.4000	Shilov   	Radiolarians                                 	F              	M                 	C                    	R                  	                       	R                    	R                    	R                	R                       	R                  	R                           	                        	                        	                         	                  	                       	                               	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

  SR	Middle Miocene   	                 	A.. acq.-L. redond.	              	145	 884	C	 38	X	CC	   9.00	    349.1900	Shilov   	Radiolarians                                 	R              	M                 	R                    	R                  	R                      	R                    	R                    	                 	                        	                   	                            	                        	                        	                         	                  	                       	                               	                          	                  	                      	from Leg 145 SR; Ch 5; Table 6; p 105

