Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Orbulina universa,Neogloboquadrina acostaensis,Globorotaloides hexagona,Globorotalia scitula,Globorotalia plesiotumida,Globorotalia limbata,Globoquadrina venezuelana,Globoquadrina baroemoenensis,Globigerinoides quadrilobatus s.l.,Globigerinoides obliquus obliquus,Globigerinoides obliquus extremus,Globigerinella siphonifera,Dentoglobigerina altispira globosa,Dentoglobigerina altispira altispira,Candeina nitida,Neogloboquadrina humerosa,Globoturborotalita nepenthes,Orbulina suturalis,Globigerinita glutinata,Pulleniatina primalis,Pulleniatina obliquiloculata,Globorotalia tumida tumida,Globorotalia margaritae,Globigerinoides conglobatus,Globoquadrina dehiscens,Sphaeroidinella dehiscens,Globorotalia crassaformis,Globoquadrina conglomerata,Globigerinoides ruber s.l.,Globigerinoides fistulosus,Globigerinoides elongatus,Neogloboquadrina dutertrei,Globorotalia tosaensis,Globorotalia menardii s.l.,Globorotalia truncatulinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N18               ,N19           ,115, 713,A,  2,R, 5, 105.00,      8.6500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                              ,+?                       ,+                ,                            ,+                       ,+                   ,                         ,+                   ,                         ,+                           ,+                                 ,                                 ,                                 ,+                         ,+                                 ,+                                   ,               ,                         ,                            ,                  ,                       ,                     ,+                           ,+                         ,                       ,+                          ,                       ,+                        ,+                        ,                          ,+                         ,+                         ,                         ,                          ,                      ,                          ,                             ,planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N18               ,N19           ,115, 713,A,  2,R, 6,  83.00,      9.9300,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                              ,                         ,+                ,+?                          ,+                       ,+                   ,                         ,+                   ,                         ,+                           ,+                                 ,                                 ,+                                ,+                         ,+                                 ,+                                   ,               ,+                        ,                            ,                  ,                       ,                     ,+                           ,+                         ,+?                     ,+                          ,+?                     ,+                        ,+                        ,+?                        ,+                         ,+                         ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers rare. foraminifers embedded rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N18               ,N19           ,115, 713,A,  2,R,CC,   0.00,      9.9800,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                             ,+                        ,+                ,+                           ,                        ,                    ,                         ,+                   ,                         ,+                           ,                                  ,+                                ,                                 ,                          ,                                  ,+                                   ,               ,                         ,                            ,                  ,                       ,                     ,+                           ,+                         ,                       ,+                          ,+                      ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. fish remains rare. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N18               ,N19           ,115, 713,A,  3,R, 1, 105.00,     12.2500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                             ,+?                       ,+                ,                            ,+                       ,                    ,                         ,+                   ,+                        ,+                           ,+                                 ,                                 ,+                                ,+                         ,+                                 ,+                                   ,               ,                         ,                            ,                  ,                       ,                     ,+                           ,+                         ,                       ,+                          ,+?                     ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. calcareous aggregates rare. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N18               ,N19           ,115, 713,A,  3,R, 2, 105.00,     13.7500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                             ,                         ,+                ,+                           ,+                       ,+                   ,+                        ,+                   ,+                        ,+                           ,+                                 ,+                                ,+                                ,+                         ,                                  ,+                                   ,+              ,+                        ,                            ,+                 ,                       ,                     ,+                           ,                          ,+                      ,+                          ,+                      ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. calcareous aggregates rare. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N18               ,N19           ,115, 713,A,  3,R, 3, 105.00,     15.2500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                             ,+                        ,+                ,+                           ,+                       ,+                   ,+                        ,+                   ,+                        ,+                           ,+                                 ,+                                ,+                                ,+                         ,                                  ,+                                   ,               ,+                        ,+?                          ,                  ,                       ,                     ,+                           ,+?                        ,+                      ,                           ,                       ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N18               ,N19           ,115, 713,A,  3,R, 4, 105.00,     16.7500,Vincent  ,Planktonic Foraminifers                      ,               ,P/M               ,+                             ,+                        ,+                ,+                           ,+                       ,                    ,                         ,+                   ,+                        ,+                           ,+                                 ,+                                ,+                                ,+                         ,+                                 ,+                                   ,               ,+                        ,+?                          ,                  ,                       ,                     ,+                           ,+                         ,                       ,                           ,                       ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. foraminifers embedded common. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N18               ,N19           ,115, 713,A,  3,R, 5, 105.00,     18.2500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                             ,                         ,+                ,+                           ,+                       ,                    ,                         ,+                   ,+                        ,+                           ,+                                 ,+                                ,+                                ,+                         ,+                                 ,+                                   ,+              ,+                        ,+?                          ,                  ,                       ,                     ,+                           ,+                         ,+?                     ,                           ,                       ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. foraminifers embedded few. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N18               ,N19           ,115, 713,A,  3,R, 6, 105.00,     19.7500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                             ,+                        ,+                ,+                           ,+                       ,+                   ,+                        ,+                   ,+                        ,+                           ,+                                 ,+                                ,+                                ,+                         ,+                                 ,+                                   ,+              ,+                        ,+?                          ,                  ,+                      ,                     ,+                           ,+                         ,+                      ,+                          ,                       ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. fish remains rare. foraminifers embedded few. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,115, 713,A,  3,R,CC,  16.00,     20.9700,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                             ,+                        ,+                ,+                           ,                        ,                    ,                         ,+                   ,+                        ,+                           ,+                                 ,+                                ,+                                ,+                         ,+                                 ,+                                   ,+              ,+                        ,                            ,+                 ,                       ,                     ,+                           ,+?                        ,+                      ,+                          ,                       ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. calcareous aggregates few. foraminifers embedded few. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,115, 713,A,  4,R, 1, 105.00,     21.8500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                             ,                         ,+                ,+                           ,+                       ,                    ,                         ,+                   ,+                        ,+                           ,+                                 ,+                                ,+                                ,                          ,                                  ,+                                   ,               ,+                        ,+?                          ,+                 ,                       ,+                    ,+                           ,+?                        ,+                      ,                           ,                       ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. foraminifers embedded few. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,115, 713,A,  4,R, 2, 105.00,     23.3500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                             ,                         ,+                ,+                           ,+                       ,+                   ,                         ,+                   ,+                        ,+                           ,+                                 ,+                                ,+                                ,+?                        ,+                                 ,+                                   ,+              ,+?                       ,+?                          ,+                 ,                       ,+                    ,                            ,                          ,                       ,                           ,                       ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 713,A,  4,R, 3, 105.00,     24.8500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                             ,                         ,+                ,+                           ,                        ,+                   ,                         ,+                   ,+                        ,+                           ,+                                 ,+                                ,+                                ,                          ,+                                 ,+                                   ,+              ,+                        ,+?                          ,+                 ,                       ,                     ,                            ,                          ,                       ,                           ,                       ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. foraminifers embedded common. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 713,A,  4,R, 4, 105.00,     26.3500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                             ,                         ,+                ,+                           ,+                       ,+                   ,+                        ,+                   ,+                        ,+                           ,+                                 ,+                                ,+                                ,+                         ,+                                 ,+                                   ,+              ,+                        ,+                           ,+                 ,                       ,                     ,                            ,                          ,                       ,                           ,                       ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. foraminifers embedded common. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 713,A,  4,R, 5, 105.00,     27.8500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                             ,                         ,+                ,+                           ,                        ,+                   ,+?                       ,+                   ,+                        ,+                           ,+                                 ,                                 ,+                                ,+                         ,                                  ,+                                   ,+              ,                         ,+?                          ,+                 ,+                      ,                     ,                            ,                          ,                       ,                           ,                       ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. radiolarians rare. sponge spicules few. calcareous aggregates rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 713,A,  4,R, 6, 105.00,     29.3500,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                             ,                         ,+                ,+                           ,+                       ,+                   ,+?                       ,+                   ,+                        ,+                           ,+                                 ,+                                ,+                                ,+?                        ,                                  ,                                    ,+              ,+                        ,+?                          ,                  ,                       ,                     ,                            ,                          ,                       ,                           ,                       ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. ostracodes rare. sponge spicules rare. calcareous aggregates rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 713,A,  4,R,CC,   0.00,     30.3700,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                             ,+                        ,+                ,+                           ,+                       ,+                   ,+?                       ,+                   ,+                        ,+                           ,+                                 ,+                                ,+                                ,+                         ,+                                 ,+                                   ,+              ,                         ,                            ,                  ,                       ,                     ,                            ,                          ,                       ,                           ,                       ,                         ,                         ,                          ,                          ,                          ,                         ,                          ,                      ,                          ,                             ,benthic foraminifers few. ostracodes rare. radiolarians rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 11. page 819.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
