Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Melonis barleeanus,Globobulimina affinis,Chilostomella oolina,Uvigerina peregrina,Hoeglundina elegans,Bulimina marginata,Gyroidinoides spp.,Fontbotia wuellerstorfi,Cibicidoides kullenbergi,Pullenia bulloides,Melonis pompilioides,Globocassidulina subglobosa,Nodosaria spp.,Uvigerina auberiana,Pyrgo spp.,Bulimina gr. costata,Oridorsalis umbonatus,Valvulineria laevigata,Nonionella atlantica,Bolivina paula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B,  7,H,CC,  21.00,     63.6200,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,                  ,+                    ,+                   ,+                  ,+                  ,                  ,                  ,                       ,                        ,                  ,                    ,                           ,              ,                   ,          ,                    ,                     ,                      ,                    ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B,  8,H,CC,  21.00,     73.0100,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,                  ,R                    ,                    ,                   ,F                  ,                  ,R                 ,F                      ,                        ,                  ,                    ,                           ,              ,                   ,          ,T                   ,R                    ,                      ,                    ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B,  9,H,CC,  27.00,     82.5200,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,R                 ,C                    ,                    ,                   ,R                  ,F                 ,                  ,T                      ,R                       ,                  ,R                   ,                           ,              ,T                  ,R         ,T                   ,                     ,                      ,                    ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B, 10,H,CC,  23.00,     92.1200,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,                  ,+                    ,                    ,                   ,                   ,                  ,                  ,                       ,                        ,                  ,+                   ,                           ,              ,                   ,          ,                    ,                     ,                      ,                    ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B, 11,H,CC,  37.00,    101.6500,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,                  ,C                    ,T                   ,                   ,F                  ,                  ,T                 ,                       ,                        ,R                 ,                    ,                           ,F             ,                   ,          ,                    ,                     ,                      ,                    ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B, 12,H,CC,  21.00,    110.8100,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,+                 ,                     ,                    ,                   ,                   ,                  ,                  ,                       ,                        ,                  ,                    ,+                          ,              ,                   ,          ,                    ,                     ,                      ,                    ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B, 13,H,CC,  25.00,    120.5800,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,                  ,C                    ,T                   ,                   ,C                  ,                  ,                  ,                       ,                        ,F                 ,R                   ,                           ,              ,                   ,          ,                    ,                     ,                      ,                    ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B, 15,H,CC,  22.00,    138.9800,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,                  ,F                    ,                    ,F                  ,F                  ,                  ,F                 ,T                      ,T                       ,                  ,                    ,                           ,              ,                   ,          ,                    ,                     ,                      ,                    ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B, 16,H,CC,  26.00,    149.0300,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,                  ,+                    ,                    ,+                  ,+                  ,+                 ,                  ,                       ,                        ,                  ,                    ,                           ,              ,                   ,          ,                    ,                     ,                      ,                    ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1058,B, 17,H,CC,  26.00,    158.1900,Poli     ,Benthic Foraminifers                         ,T              ,M                 ,+                 ,+                    ,+                   ,                   ,                   ,                  ,                  ,                       ,                        ,                  ,                    ,                           ,              ,                   ,          ,                    ,                     ,                      ,                    ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
