Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Umbilicosphaera sp. 1,Transversopontis rectipons,Syracosphaera sp. 1,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus aff. distentus,Quinquerhabdus colossicus,Pontosphaera versa,Pontosphaera punctosa,Peritrachelina joidesa,Pedinocyclus larvalis,Micrantholithus procerus,Micrantholithus flos,Micrantholithus altus,Markalius sp. 1,Lanternithus minutus,Holococcolith type A,Helicosphaera reticulata,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera compacta,Helicosphaera bramlettei,Ericsonia obruta,Ericsonia formosa,Discoaster tanii,Discoaster deflandrei,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Cruciplacolithus tarquinius,Coronocyclus nitescens,Coccolithus sp.1,Coccolithus pelagicus,Coccolithus eopelagicus,Calcidiscus kingii,Bramletteius serraculoides,Braarudosphaera bigelowii,Blackites spinosus,Pontosphaera formosa,Discoaster adamanteus,Ilselithina fusa,Pontosphaera latoculata,Pontosphaera rimosa,Helicosphaera wilcoxonii,Coccolithus fuscus,Helicosphaera perch-nielseniae,Rhabdosphaera procera,Pontosphaera plana,Pontosphaera ocellata,Coccolithus miopelagicus,Helicosphaera obliqua,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  2,H, 5, 130.00,      9.8000,Okada    ,Nannofossils                                 ,A              ,M                 ,1.0%                   ,2.0%                 ,                          ,1.0%               ,                          ,6.0%                     ,4.0%                   ,F                          ,5.0%                     ,R                 ,                     ,F                     ,F                    ,                        ,F                   ,                     ,               ,10.0%               ,F                   ,1.0%                    ,F                       ,1.0%                   ,4.0%                  ,F                       ,1.0%            ,                 ,R               ,1.0%                 ,1.0%                    ,1.0%                   ,39.0%                      ,3.0%                       ,F                     ,F               ,7.0%                 ,F                      ,R                 ,                          ,2.0%                     ,                  ,                    ,                     ,R               ,                       ,                   ,                        ,                  ,F                             ,                     ,                  ,                     ,                        ,F                    ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  2,H,CC,  48.00,     10.4800,Okada    ,Nannofossils                                 ,A              ,M                 ,1.0%                   ,2.0%                 ,                          ,2.0%               ,                          ,6.0%                     ,4.0%                   ,R                          ,4.0%                     ,R                 ,                     ,R                     ,F                    ,                        ,F                   ,                     ,               ,10.0%               ,F                   ,F                       ,F                       ,F                      ,3.0%                  ,F                       ,1.0%            ,                 ,F               ,1.0%                 ,F                       ,F                      ,42.0%                      ,4.0%                       ,F                     ,R               ,10.0%                ,F                      ,                  ,                          ,F                        ,                  ,                    ,                     ,F               ,                       ,                   ,                        ,                  ,F                             ,R                    ,                  ,                     ,                        ,F                    ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  3,H, 1, 130.00,     13.5000,Okada    ,Nannofossils                                 ,A              ,M                 ,1.0%                   ,4.0%                 ,                          ,1.0%               ,                          ,8.0%                     ,6.0%                   ,F                          ,3.0%                     ,R                 ,                     ,R                     ,1.0%                 ,                        ,R                   ,                     ,               ,5.0%                ,F                   ,F                       ,R                       ,F                      ,1.0%                  ,F                       ,1.0%            ,                 ,R               ,1.0%                 ,F                       ,4.0%                   ,47.0%                      ,2.0%                       ,F                     ,R               ,8.0%                 ,R                      ,                  ,                          ,F                        ,                  ,                    ,                     ,F               ,                       ,                   ,                        ,                  ,F                             ,                     ,                  ,F                    ,                        ,1.0%                 ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  3,H, 2, 130.00,     15.0000,Okada    ,Nannofossils                                 ,A              ,G                 ,1.0%                   ,10.0%                ,                          ,2.0%               ,                          ,8.0%                     ,5.0%                   ,F                          ,1.0%                     ,F                 ,                     ,R                     ,F                    ,                        ,R                   ,                     ,               ,3.0%                ,F                   ,F                       ,1.0%                    ,1.0%                   ,1.0%                  ,R                       ,F               ,                 ,R               ,F                    ,R                       ,1.0%                   ,46.0%                      ,5.0%                       ,F                     ,R               ,9.0%                 ,F                      ,                  ,R                         ,F                        ,                  ,                    ,                     ,R               ,                       ,                   ,                        ,                  ,F                             ,R                    ,                  ,                     ,                        ,R                    ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  3,H, 3, 130.00,     16.5000,Okada    ,Nannofossils                                 ,A              ,G                 ,3.0%                   ,3.0%                 ,                          ,1.0%               ,                          ,4.0%                     ,3.0%                   ,R                          ,1.0%                     ,F                 ,1.0%                 ,F                     ,F                    ,R                       ,                    ,                     ,               ,6.0%                ,F                   ,F                       ,F                       ,F                      ,2.0%                  ,F                       ,F               ,                 ,R               ,1.0%                 ,1.0%                    ,2.0%                   ,54.0%                      ,2.0%                       ,F                     ,R               ,7.0%                 ,R                      ,                  ,R                         ,F                        ,                  ,                    ,R                    ,F               ,R                      ,                   ,R                       ,                  ,F                             ,R                    ,R                 ,                     ,                        ,F                    ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  3,H, 4, 130.00,     18.0000,Okada    ,Nannofossils                                 ,A              ,M                 ,5.0%                   ,12.0%                ,R                         ,F                  ,                          ,4.0%                     ,2.0%                   ,R                          ,2.0%                     ,F                 ,R                    ,R                     ,1.0%                 ,                        ,R                   ,                     ,               ,11.0%               ,F                   ,F                       ,F                       ,F                      ,1.0%                  ,F                       ,F               ,                 ,R               ,F                    ,F                       ,F                      ,42.0%                      ,4.0%                       ,1.0%                  ,R               ,7.0%                 ,R                      ,                  ,F                         ,1.0%                     ,R                 ,                    ,                     ,F               ,                       ,                   ,                        ,R                 ,F                             ,R                    ,R                 ,                     ,                        ,R                    ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  3,H, 5, 130.00,     19.5000,Okada    ,Nannofossils                                 ,A              ,M                 ,2.0%                   ,10.0%                ,                          ,1.0%               ,                          ,10.0%                    ,5.0%                   ,R                          ,3.0%                     ,F                 ,F                    ,R                     ,F                    ,                        ,                    ,R                    ,               ,10.0%               ,F                   ,F                       ,F                       ,F                      ,2.0%                  ,F                       ,1.0%            ,                 ,                ,F                    ,R                       ,1.0%                   ,36.0%                      ,3.0%                       ,2.0%                  ,R               ,4.0%                 ,R                      ,                  ,F                         ,2.0%                     ,F                 ,R                   ,                     ,R               ,R                      ,                   ,                        ,R                 ,1.0%                          ,R                    ,R                 ,R                    ,R                       ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  3,H,CC,  25.00,     20.6500,Okada    ,Nannofossils                                 ,A              ,M                 ,3.0%                   ,9.0%                 ,R                         ,F                  ,                          ,4.0%                     ,2.0%                   ,R                          ,4.0%                     ,F                 ,F                    ,R                     ,F                    ,                        ,                    ,                     ,               ,18.0%               ,2.0%                ,F                       ,F                       ,F                      ,2.0%                  ,F                       ,1.0%            ,                 ,                ,1.0%                 ,                        ,1.0%                   ,37.0%                      ,2.0%                       ,1.0%                  ,1.0%            ,5.0%                 ,R                      ,                  ,F                         ,F                        ,F                 ,                    ,                     ,F               ,R                      ,R                  ,                        ,                  ,F                             ,1.0%                 ,R                 ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  4,H, 1, 130.00,     23.2000,Okada    ,Nannofossils                                 ,A              ,M                 ,5.0%                   ,5.0%                 ,                          ,1.0%               ,                          ,7.0%                     ,4.0%                   ,F                          ,1.0%                     ,F                 ,F                    ,R                     ,F                    ,                        ,R                   ,                     ,               ,15.0%               ,6.0%                ,1.0%                    ,F                       ,1.0%                   ,3.0%                  ,R                       ,1.0%            ,                 ,                ,1.0%                 ,                        ,F                      ,24.0%                      ,2.0%                       ,F                     ,1.0%            ,10.0%                ,R                      ,                  ,F                         ,1.0%                     ,F                 ,R                   ,                     ,F               ,R                      ,                   ,                        ,R                 ,1.0%                          ,F                    ,R                 ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  4,H, 2, 130.00,     24.7000,Okada    ,Nannofossils                                 ,A              ,M                 ,2.0%                   ,7.0%                 ,                          ,1.0%               ,                          ,10.0%                    ,1.0%                   ,1.0%                       ,3.0%                     ,F                 ,1.0%                 ,F                     ,1.0%                 ,                        ,R                   ,                     ,               ,10.0%               ,5.0%                ,1.0%                    ,F                       ,F                      ,1.0%                  ,F                       ,2.0%            ,                 ,                ,1.0%                 ,                        ,3.0%                   ,27.0%                      ,3.0%                       ,F                     ,1.0%            ,9.0%                 ,R                      ,                  ,F                         ,F                        ,F                 ,                    ,                     ,F               ,                       ,                   ,                        ,F                 ,F                             ,R                    ,R                 ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  4,H, 3, 130.00,     26.2000,Okada    ,Nannofossils                                 ,A              ,M                 ,1.0%                   ,4.0%                 ,                          ,F                  ,                          ,7.0%                     ,5.0%                   ,1.0%                       ,2.0%                     ,F                 ,F                    ,F                     ,1.0%                 ,                        ,                    ,                     ,               ,11.0%               ,6.0%                ,2.0%                    ,R                       ,F                      ,2.0%                  ,F                       ,1.0%            ,                 ,R               ,1.0%                 ,                        ,1.0%                   ,37.0%                      ,1.0%                       ,F                     ,R               ,8.0%                 ,R                      ,                  ,1.0%                      ,F                        ,R                 ,                    ,                     ,1.0%            ,                       ,                   ,                        ,                  ,F                             ,                     ,F                 ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  4,H, 4, 130.00,     27.7000,Okada    ,Nannofossils                                 ,A              ,M                 ,2.0%                   ,7.0%                 ,                          ,1.0%               ,                          ,7.0%                     ,5.0%                   ,1.0%                       ,4.0%                     ,R                 ,1.0%                 ,R                     ,1.0%                 ,                        ,R                   ,R                    ,               ,15.0%               ,4.0%                ,1.0%                    ,R                       ,1.0%                   ,3.0%                  ,F                       ,1.0%            ,                 ,                ,F                    ,                        ,1.0%                   ,28.0%                      ,2.0%                       ,1.0%                  ,R               ,9.0%                 ,R                      ,                  ,F                         ,F                        ,R                 ,                    ,                     ,F               ,R                      ,                   ,R                       ,                  ,F                             ,R                    ,R                 ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  4,H,CC,  22.00,     29.2700,Okada    ,Nannofossils                                 ,A              ,M                 ,F                      ,2.0%                 ,                          ,1.0%               ,                          ,5.0%                     ,7.0%                   ,F                          ,2.0%                     ,R                 ,F                    ,R                     ,1.0%                 ,R                       ,F                   ,                     ,               ,21.0%               ,7.0%                ,1.0%                    ,                        ,F                      ,2.0%                  ,F                       ,F               ,                 ,R               ,2.0%                 ,                        ,1.0%                   ,31.0%                      ,1.0%                       ,F                     ,F               ,7.0%                 ,R                      ,                  ,F                         ,1.0%                     ,R                 ,R                   ,                     ,F               ,F                      ,R                  ,                        ,                  ,R                             ,                     ,                  ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  5,H, 1, 130.00,     32.8000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                      ,F                    ,                          ,F                  ,R                         ,15.0%                    ,3.0%                   ,F                          ,1.0%                     ,F                 ,F                    ,R                     ,1.0%                 ,                        ,R                   ,R                    ,               ,14.0%               ,8.0%                ,3.0%                    ,                        ,F                      ,4.0%                  ,F                       ,F               ,                 ,R               ,F                    ,                        ,F                      ,30.0%                      ,1.0%                       ,F                     ,F               ,11.0%                ,R                      ,                  ,1.0%                      ,F                        ,                  ,                    ,                     ,R               ,                       ,                   ,                        ,                  ,R                             ,                     ,                  ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  5,H, 2, 130.00,     34.3000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                      ,2.0%                 ,                          ,1.0%               ,R                         ,6.0%                     ,2.0%                   ,1.0%                       ,7.0%                     ,F                 ,F                    ,F                     ,F                    ,                        ,F                   ,                     ,               ,16.0%               ,7.0%                ,2.0%                    ,R                       ,1.0%                   ,2.0%                  ,F                       ,F               ,                 ,F               ,F                    ,                        ,2.0%                   ,29.0%                      ,1.0%                       ,R                     ,1.0%            ,11.0%                ,F                      ,                  ,1.0%                      ,1.0%                     ,                  ,R                   ,                     ,                ,R                      ,R                  ,R                       ,R                 ,                              ,                     ,                  ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  5,H, 3, 130.00,     35.8000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                      ,F                    ,                          ,1.0%               ,R                         ,4.0%                     ,3.0%                   ,2.0%                       ,4.0%                     ,F                 ,F                    ,R                     ,F                    ,                        ,1.0%                ,R                    ,               ,31.0%               ,5.0%                ,1.0%                    ,                        ,F                      ,2.0%                  ,F                       ,1.0%            ,                 ,F               ,F                    ,                        ,1.0%                   ,28.0%                      ,1.0%                       ,R                     ,F               ,6.0%                 ,R                      ,R                 ,2.0%                      ,1.0%                     ,                  ,R                   ,                     ,R               ,                       ,                   ,                        ,                  ,                              ,                     ,                  ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,CP17          ,115, 706,A,  5,H, 4, 130.00,     37.3000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                      ,F                    ,R                         ,1.0%               ,R                         ,3.0%                     ,3.0%                   ,4.0%                       ,10.0%                    ,1.0%              ,F                    ,F                     ,F                    ,                        ,F                   ,R                    ,R              ,18.0%               ,8.0%                ,1.0%                    ,R                       ,F                      ,2.0%                  ,F                       ,F               ,                 ,F               ,F                    ,F                       ,F                      ,30.0%                      ,F                          ,F                     ,F               ,10.0%                ,R                      ,R                 ,2.0%                      ,F                        ,R                 ,                    ,                     ,R               ,R                      ,                   ,                        ,                  ,                              ,                     ,                  ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16a-b           ,              ,115, 706,A,  5,H, 5, 130.00,     38.8000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                      ,F                    ,                          ,F                  ,F                         ,9.0%                     ,2.0%                   ,2.0%                       ,F                        ,F                 ,R                    ,R                     ,F                    ,R                       ,R                   ,                     ,               ,33.0%               ,3.0%                ,3.0%                    ,                        ,1.0%                   ,2.0%                  ,1.0%                    ,F               ,F                ,R               ,F                    ,F                       ,1.0%                   ,25.0%                      ,F                          ,F                     ,F               ,8.0%                 ,F                      ,R                 ,1.0%                      ,F                        ,R                 ,                    ,                     ,F               ,                       ,                   ,                        ,                  ,                              ,                     ,                  ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16a-b           ,              ,115, 706,A,  5,H, 6, 130.00,     40.3000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                      ,1.0%                 ,R                         ,F                  ,F                         ,4.0%                     ,2.0%                   ,5.0%                       ,1.0%                     ,R                 ,R                    ,R                     ,F                    ,R                       ,R                   ,                     ,               ,27.0%               ,2.0%                ,F                       ,                        ,1.0%                   ,1.0%                  ,F                       ,1.0%            ,F                ,R               ,F                    ,F                       ,F                      ,34.0%                      ,F                          ,F                     ,F               ,11.0%                ,F                      ,                  ,2.0%                      ,F                        ,R                 ,R                   ,                     ,F               ,                       ,                   ,                        ,                  ,                              ,                     ,                  ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16a-b           ,              ,115, 706,A,  5,H,CC,  23.00,     40.8100,Okada    ,Nannofossils                                 ,A              ,M                 ,F                      ,4.0%                 ,R                         ,1.0%               ,R                         ,6.0%                     ,3.0%                   ,2.0%                       ,1.0%                     ,F                 ,F                    ,R                     ,1.0%                 ,                        ,R                   ,R                    ,F              ,24.0%               ,4.0%                ,2.0%                    ,                        ,3.0%                   ,F                     ,F                       ,F               ,R                ,R               ,F                    ,1.0%                    ,1.0%                   ,32.0%                      ,1.0%                       ,F                     ,F               ,7.0%                 ,R                      ,F                 ,F                         ,F                        ,                  ,R                   ,                     ,                ,                       ,                   ,                        ,                  ,                              ,                     ,                  ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16a-b           ,              ,115, 706,A,  6,H, 1, 128.00,     42.3800,Okada    ,Nannofossils                                 ,A              ,M                 ,F                      ,2.0%                 ,R                         ,1.0%               ,F                         ,8.0%                     ,2.0%                   ,3.0%                       ,1.0%                     ,R                 ,1.0%                 ,R                     ,F                    ,R                       ,R                   ,                     ,1.0%           ,12.0%               ,3.0%                ,2.0%                    ,R                       ,F                      ,F                     ,F                       ,F               ,R                ,F               ,F                    ,3.0%                    ,5.0%                   ,41.0%                      ,F                          ,1.0%                  ,F               ,6.0%                 ,F                      ,F                 ,1.0%                      ,F                        ,                  ,R                   ,R                    ,                ,                       ,                   ,                        ,                  ,                              ,                     ,                  ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16a-b           ,              ,115, 706,A,  6,H, 3,  11.00,     44.2100,Okada    ,Nannofossils                                 ,A              ,M                 ,F                      ,F                    ,F                         ,1.0%               ,R                         ,4.0%                     ,5.0%                   ,2.0%                       ,F                        ,R                 ,R                    ,R                     ,F                    ,R                       ,R                   ,R                    ,1.0%           ,16.0%               ,3.0%                ,2.0%                    ,F                       ,1.0%                   ,1.0%                  ,F                       ,F               ,1.0%             ,1.0%            ,1.0%                 ,2.0%                    ,1.0%                   ,45.0%                      ,F                          ,F                     ,F               ,3.0%                 ,F                      ,F                 ,1.0%                      ,1.0%                     ,R                 ,                    ,                     ,                ,                       ,                   ,                        ,                  ,                              ,                     ,                  ,                     ,                        ,                     ,from 115 SR. Chapter 14. Table 3. pages 134-135.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
