Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus sp.	Sphenolithus pseudoradians	Sphenolithus predistentus	Sphenolithus moriformis	Reticulofenestra umbilica	Reticulofenestra sp.	Pedinocyclus larvalis	Helicosphaera sp.	Helicosphaera compacta	Ericsonia formosa	Discoaster spp. (5 rays)	Discoaster sp.	Discoaster deflandrei	Dictyococcites scrippsae	Dictyococcites bisectus	Cyclicargolithus floridanus	Coronocyclus nitescens	Coccolithus pelagicus	Clausicoccus fenestratus	Sphenolithus radians	Reticulofenestra callida	Oolithotus fragilis	Isthmolithus recurvus	Discoaster saipanensis	Discoaster barbadiensis	Cribrocentrum reticulatum	Chiasmolithus oamaruensis	Calcidiscus sp.	Bramletteius serraculoides	Coccolithus sp.	Discoaster nodifer	Calcidiscus protoannulus	Discoaster tanii	Zygrhablithus bijugatus	Sphenolithus distentus	Lanternithus minutus	Helicosphaera euphratis	Chiasmolithus altus	Helicosphaera bramlettei	Cyclicargolithus abisectus	Comment
  SR	Early Oligocene  	                 	CP16b             	              	134	 828	B	  1	R	 4	  55.00	     95.0500	Staerker 	Nannofossils                                 	A              	F                 	C               	                          	C                        	A                      	R                        	C                   	R                    	                 	R                     	R                	R                       	S             	R                    	S                       	C                      	V                          	                      	A                    	C                       	                    	                        	                   	                     	                      	                       	                         	                         	               	                          	S              	                  	                        	R               	R                      	                      	                    	R                      	R                  	R                       	                          	from ODP Leg 134 SR Chapter 10 Table 2 p 192-193

  SR	Early Oligocene  	                 	CP16b             	              	134	 828	B	  1	R	 4	 121.00	     95.7100	Staerker 	Nannofossils                                 	A              	F                 	C               	R                         	C                        	A                      	R                        	C                   	R                    	R                	R                     	R                	R                       	R             	R                    	S                       	C                      	A                          	R                     	A                    	C                       	                    	                        	                   	                     	                      	                       	                         	                         	               	                          	R              	                  	                        	                	R                      	R                     	R                   	R                      	R                  	                        	                          	from ODP Leg 134 SR Chapter 10 Table 2 p 192-193

  SR	Early Oligocene  	                 	CP16b             	              	134	 828	B	  1	R	 5	  35.00	     96.3500	Staerker 	Nannofossils                                 	A              	F                 	S               	R                         	C                        	A                      	C                        	C                   	R                    	R                	C                     	C                	                        	R             	R                    	C                       	C                      	V                          	R                     	A                    	S                       	                    	                        	                   	                     	                      	                       	                         	                         	               	                          	R              	                  	                        	R               	                       	                      	                    	                       	                   	                        	                          	from ODP Leg 134 SR Chapter 10 Table 2 p 192-193

  SR	Late Eocene      	                 	CP15b             	              	134	 828	B	  1	R	 5	  79.00	     96.7900	Staerker 	Nannofossils                                 	A              	G                 	S               	R                         	R                        	C                      	C                        	                    	                     	R                	R                     	C                	S                       	              	                     	S                       	S                      	                           	R                     	A                    	                        	                    	R                       	S                  	R                    	C                     	C                      	S                        	S                        	               	                          	               	R                 	S                       	                	                       	                      	                    	                       	                   	                        	                          	from ODP Leg 134 SR Chapter 10 Table 2 p 192-193

  SR	Late Eocene      	                 	CP15b             	              	134	 828	B	  1	R	 5	  91.00	     96.9100	Staerker 	Nannofossils                                 	A              	F                 	C               	                          	R                        	C                      	R                        	A                   	R                    	R                	R                     	C                	C                       	C             	                     	R                       	S                      	A                          	R                     	A                    	R                       	                    	                        	                   	                     	S                     	C                      	C                        	                         	               	                          	C              	                  	                        	                	                       	                      	                    	                       	                   	                        	                          	from ODP Leg 134 SR Chapter 10 Table 2 p 192-193

  SR	Late Eocene      	                 	CP15b             	              	134	 828	B	  1	R	 5	  94.00	     96.9400	Staerker 	Nannofossils                                 	A              	G                 	                	                          	R                        	A                      	                         	                    	                     	                 	S                     	C                	C                       	              	                     	                        	C                      	                           	S                     	A                    	                        	S                   	C                       	S                  	R                    	C                     	C                      	A                        	S                        	S              	S                         	               	                  	                        	                	                       	                      	                    	                       	                   	                        	                          	from ODP Leg 134 SR Chapter 10 Table 2 p 192-193

  SR	Late Eocene      	                 	CP15b             	              	134	 828	B	  1	R	 5	  99.00	     96.9900	Staerker 	Nannofossils                                 	A              	F                 	S               	R                         	R                        	A                      	R                        	C                   	R                    	R                	R                     	C                	R                       	C             	R                    	R                       	C                      	V                          	R                     	A                    	A                       	                    	                        	                   	                     	                      	                       	                         	                         	               	                          	               	                  	                        	                	                       	                      	                    	                       	                   	                        	                          	from ODP Leg 134 SR Chapter 10 Table 2 p 192-193

  SR	Late Eocene      	                 	CP15b             	              	134	 828	B	  1	R	CC	   0.00	            	Staerker 	Nannofossils                                 	A              	F                 	R               	                          	                         	A                      	R                        	A                   	                     	                 	                      	C                	S                       	C             	                     	C                       	A                      	A                          	                      	A                    	R                       	                    	                        	                   	                     	C                     	C                      	R                        	                         	               	                          	S              	                  	                        	                	                       	                      	                    	                       	                   	                        	                          	from ODP Leg 134 SR Chapter 10 Table 2 p 192-193

