Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera mirabilis,Umbellosphaera irregularis,Syracosphaera pulchra,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus abies/neoabies,Scapholithus fossilis,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Pontosphaera japonica,Helicosphaera kamptneri,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Emiliania huxleyi,Discosphaera tubifera,Discoaster variabilis,Discoaster sp.,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster deflandrei,Discoaster brouweri,Dictyococcites sp.,Cyclicargolithus floridanus,Coccolithus pelagicus,Clausicoccus fenestratus,Calcidiscus leptoporus,Syracosphaera sp.,Reticulofenestra sp. (<5 microns),Pontosphaera multipora,Gephyrocapsa spp. (large >5.5 microns),Discoaster tamalis,Ceratolithus cristatus,Calcidiscus macintyrei,Syracosphaera clava,Pontosphaera sp.,Ceratolithus simplex,Reticulofenestra sp.,Sphenolithus sp.,Micrantholithus sp.,Discoaster challengeri,Discoaster berggrenii,Holodiscolithus macroporus,Coronocyclus nitescens,Catinaster umbrellus,Ceratolithus telesmus,Oolithotus fragilis,Discoaster triradiatus,Pontosphaera indooceanica,Scyphosphaera sp.,Blackites sp.,Pontosphaera segmenta,Braarudosphaera bigelowii,Discoaster sp. (5-rayed),Discoaster surculus,Pontosphaera distincta,Helicosphaera euphratis,Reticulofenestra umbilica,Helicosphaera sp.,Catinaster calyculus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  1,H, 6,  39.00,      7.8900,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                         ,S                    ,rS                     ,rC                        ,rR                         ,S                    ,C                      ,rR                      ,R                    ,C                      ,R                                     ,A                                      ,A                ,S                    ,rS                   ,rS            ,rS                     ,rR                      ,rS                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,                                 ,                      ,                                      ,                  ,S                     ,                      ,                   ,S               ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  2,H, 1,  58.00,     10.3800,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rC                        ,rC                         ,S                    ,C                      ,rR                      ,S                    ,C                      ,                                      ,C                                      ,A                ,S                    ,rS                   ,rC            ,rS                     ,rR                      ,rS                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,                                 ,                      ,                                      ,                  ,S                     ,                      ,                   ,S               ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,R                    ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  2,H, 2,  28.00,     11.5800,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rC                     ,rR                        ,rS                         ,S                    ,C                      ,rS                      ,S                    ,C                      ,                                      ,A                                      ,A                ,S                    ,rS                   ,rC            ,rS                     ,                        ,rS                   ,rS                 ,C                 ,rC                         ,C                    ,                        ,C                     ,                 ,S                                ,                      ,R                                     ,                  ,R                     ,rR                    ,                   ,S               ,                    ,                    ,                ,                   ,                      ,                     ,                          ,rR                    ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  2,H, 3,  57.00,     13.3700,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rC                     ,rC                        ,rC                         ,S                    ,C                      ,rS                      ,R                    ,C                      ,S                                     ,A                                      ,V                ,R                    ,rS                   ,rC            ,rS                     ,rS                      ,rS                   ,rS                 ,C                 ,rC                         ,C                    ,                        ,C                     ,                 ,                                 ,                      ,                                      ,                  ,R                     ,                      ,                   ,                ,                    ,S                   ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  2,H, 4,  43.00,     14.7300,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rC                     ,rS                        ,rC                         ,S                    ,C                      ,rS                      ,S                    ,C                      ,                                      ,A                                      ,A                ,C                    ,rS                   ,rC            ,rS                     ,                        ,                     ,rS                 ,C                 ,rC                         ,                     ,                        ,C                     ,                 ,S                                ,                      ,                                      ,                  ,S                     ,                      ,                   ,S               ,                    ,S                   ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,rR                  ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  2,H, 6,  35.00,     17.6500,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,S                    ,rC                     ,rC                        ,rC                         ,C                    ,C                      ,rS                      ,S                    ,C                      ,S                                     ,A                                      ,A                ,R                    ,rS                   ,rS            ,rS                     ,                        ,rS                   ,rS                 ,C                 ,rC                         ,C                    ,                        ,C                     ,                 ,                                 ,                      ,                                      ,                  ,                      ,                      ,                   ,S               ,                    ,                    ,rR              ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,rR                    ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  2,H, 7,  44.00,     19.2400,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                         ,C                    ,rC                     ,rS                        ,rC                         ,S                    ,S                      ,rS                      ,S                    ,C                      ,                                      ,A                                      ,C                ,C                    ,rS                   ,rS            ,rS                     ,rR                      ,rS                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,                                 ,                      ,                                      ,                  ,R                     ,rR                    ,                   ,S               ,                    ,S                   ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  3,H, 1,  20.00,     19.5000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                         ,C                    ,rS                     ,rR                        ,rC                         ,S                    ,R                      ,rS                      ,S                    ,C                      ,                                      ,C                                      ,C                ,S                    ,rS                   ,rS            ,rS                     ,                        ,rS                   ,rS                 ,C                 ,rC                         ,C                    ,                        ,C                     ,                 ,                                 ,                      ,                                      ,                  ,                      ,                      ,                   ,                ,                    ,S                   ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  3,H, 2,   6.00,     20.8600,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rC                     ,rS                        ,rC                         ,S                    ,C                      ,rS                      ,S                    ,S                      ,                                      ,C                                      ,C                ,S                    ,rR                   ,rS            ,rS                     ,                        ,rS                   ,rS                 ,S                 ,rC                         ,S                    ,                        ,C                     ,                 ,                                 ,                      ,                                      ,                  ,                      ,                      ,                   ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,R                    ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  3,H, 3,   8.00,     22.3800,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                         ,C                    ,rC                     ,rS                        ,rC                         ,S                    ,S                      ,rS                      ,S                    ,C                      ,S                                     ,C                                      ,A                ,C                    ,rS                   ,rS            ,rS                     ,                        ,rS                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,S                                ,                      ,                                      ,                  ,                      ,                      ,                   ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,rR                       ,C                ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  3,H, 4,  26.00,     24.0600,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,R                         ,C                    ,rS                     ,rS                        ,rC                         ,C                    ,S                      ,rS                      ,S                    ,C                      ,                                      ,A                                      ,A                ,C                    ,rS                   ,rS            ,rS                     ,                        ,                     ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,C                                ,                      ,                                      ,                  ,                      ,                      ,                   ,S               ,                    ,S                   ,                ,                   ,                      ,                     ,                          ,rR                    ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,rR                 ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  3,H, 6,  57.00,     27.3700,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rS                        ,rC                         ,C                    ,S                      ,rS                      ,S                    ,C                      ,                                      ,A                                      ,C                ,C                    ,rS                   ,rR            ,rS                     ,rS                      ,                     ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,                                 ,S                     ,                                      ,                  ,                      ,                      ,                   ,R               ,                    ,C                   ,                ,                   ,                      ,                     ,                          ,rR                    ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,rR                 ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  3,H, 7,  11.00,     28.4100,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rS                        ,rC                         ,C                    ,S                      ,rS                      ,R                    ,C                      ,R                                     ,A                                      ,A                ,C                    ,rS                   ,rR            ,rS                     ,                        ,                     ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,S                                ,                      ,                                      ,                  ,R                     ,rR                    ,                   ,S               ,                    ,S                   ,                ,                   ,                      ,                     ,                          ,                      ,                    ,R                    ,                   ,rR                    ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  4,H, 1,  90.00,     29.7000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rS                        ,rS                         ,S                    ,S                      ,rS                      ,S                    ,C                      ,                                      ,A                                      ,C                ,C                    ,rS                   ,rR            ,rS                     ,rS                      ,                     ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,C                                ,                      ,R                                     ,                  ,                      ,rR                    ,                   ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  4,H, 2,  10.00,     30.4000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rS                        ,rC                         ,S                    ,S                      ,rR                      ,R                    ,C                      ,                                      ,A                                      ,A                ,C                    ,rR                   ,rS            ,rS                     ,                        ,rS                   ,rS                 ,S                 ,rS                         ,S                    ,                        ,C                     ,                 ,S                                ,                      ,                                      ,                  ,                      ,                      ,                   ,S               ,                    ,S                   ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  4,H, 3,  46.00,     32.2600,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rS                        ,rC                         ,S                    ,S                      ,rR                      ,R                    ,C                      ,                                      ,A                                      ,A                ,C                    ,rS                   ,rS            ,rS                     ,                        ,rS                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,S                     ,                 ,                                 ,R                     ,                                      ,                  ,                      ,                      ,                   ,                ,                    ,C                   ,                ,                   ,rR                    ,                     ,                          ,                      ,                    ,R                    ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  4,H, 4,  52.00,     33.8200,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rS                        ,rC                         ,S                    ,S                      ,rR                      ,S                    ,C                      ,                                      ,A                                      ,A                ,C                    ,rS                   ,rS            ,rS                     ,rS                      ,rS                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,C                                ,                      ,R                                     ,                  ,R                     ,                      ,R                  ,R               ,                    ,S                   ,                ,                   ,                      ,                     ,                          ,                      ,                    ,R                    ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,rR                    ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  4,H, 5,  69.00,     35.4804,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,R                         ,C                    ,rC                     ,rS                        ,rC                         ,                     ,S                      ,rR                      ,R                    ,C                      ,S                                     ,A                                      ,C                ,S                    ,rS                   ,rR            ,rS                     ,                        ,rR                   ,rS                 ,C                 ,rS                         ,S                    ,                        ,C                     ,                 ,C                                ,                      ,                                      ,rR                ,R                     ,rR                    ,                   ,                ,                    ,S                   ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,rR                 ,                      ,rR                     ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  5,H, 1,   9.00,     36.5900,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rC                     ,rS                        ,rC                         ,S                    ,C                      ,rR                      ,R                    ,C                      ,C                                     ,A                                      ,A                ,S                    ,rS                   ,rS            ,rS                     ,                        ,rS                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,                                 ,                      ,                                      ,                  ,R                     ,                      ,                   ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,R                    ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  5,H, 2,   9.00,     38.0900,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,R                         ,S                    ,rS                     ,rR                        ,rC                         ,S                    ,C                      ,rR                      ,R                    ,C                      ,S                                     ,A                                      ,A                ,C                    ,rS                   ,rR            ,rS                     ,                        ,rR                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,S                                ,                      ,                                      ,                  ,                      ,                      ,                   ,S               ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,R                  ,                      ,                         ,R                ,             ,                     ,                         ,                        ,rR                 ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  5,H, 3,  12.00,     39.6200,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rR                        ,rC                         ,S                    ,S                      ,rR                      ,R                    ,C                      ,S                                     ,A                                      ,A                ,S                    ,rS                   ,rR            ,rS                     ,rR                      ,rS                   ,rR                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,C                                ,                      ,                                      ,                  ,                      ,                      ,                   ,R               ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,R                  ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  5,H, 4,  10.00,     41.1000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,R                         ,S                    ,rS                     ,rS                        ,rS                         ,S                    ,C                      ,rR                      ,R                    ,C                      ,S                                     ,A                                      ,A                ,S                    ,rS                   ,rS            ,rS                     ,rR                      ,                     ,rR                 ,C                 ,rC                         ,S                    ,                        ,C                     ,S                ,S                                ,                      ,                                      ,                  ,                      ,                      ,                   ,                ,                    ,                    ,rR              ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
