Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	reticulofenstrids small	Sphenolithus moriformis	Sphenolithus heteromorphus	Reticulofenestra pseudoumbilicus	Helicosphaera carteri	Helicosphaera ampliaperta	Discoaster intercalaris	Discoaster deflandrei	Cyclicargolithus floridanus	Coronocyclus nitescens	Coccolithus miopelagicus	Sphenolithus verensis	Discoaster variabilis	Pontosphaera discopora	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster exilis	Hayaster perplexus	Discoaster kugleri	Sphenolithus abies	Discoaster bellus	Discoaster surculus	Discoaster quinqueramus	Discoaster neorectus	Discoaster brouweri	Discoaster berggrenii	Discoaster misconceptus	Discoaster asymmetricus	Helicosphaera sellii	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Pseudoemiliania lacunosa	Helicosphaera neogranulata	Helicosphaera hyalina	Ceratolithus cristatus	Emiliania huxleyi	Comment
  IR	                 	Pleistocene      	NN21              	NN20          	170	1039	B	  5	H	CC	  21.00	     40.3800	Muza     	Nannofossils                                 	A              	M                 	                       	                       	                          	                                	F                    	                         	                       	                     	                           	                      	                        	                     	                     	                      	                      	C                     	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	C                    	C                        	                        	                          	R                    	R                     	                 	       

  IR	                 	Pleistocene      	                  	NN19          	170	1039	B	  6	H	CC	  21.00	     49.7800	Muza     	Nannofossils                                 	A              	M                 	                       	                       	                          	                                	F                    	                         	                       	                     	                           	                      	                        	                     	                     	F                     	                      	C                     	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	C                    	C                        	F                       	F                         	                     	                      	                 	       

  IR	                 	Pleistocene      	                  	NN19          	170	1039	B	  7	H	CC	  40.00	     59.4800	Muza     	Nannofossils                                 	A              	M                 	                       	                       	                          	                                	F                    	                         	                       	                     	                           	                      	                        	                     	                     	F                     	                      	C                     	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	C                    	C                        	F                       	                          	                     	                      	                 	       

  IR	                 	Pleistocene      	                  	NN19          	170	1039	B	 10	H	CC	  46.00	     87.9800	Muza     	Nannofossils                                 	A              	M                 	                       	                       	                          	                                	F                    	                         	                       	                     	                           	                      	                        	                     	                     	F                     	                      	C                     	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	C                    	C                        	F                       	R                         	                     	                      	                 	       

  IR	                 	Pleistocene      	                  	NN19          	170	1039	B	 11	H	CC	  25.00	     97.3700	Muza     	Nannofossils                                 	A              	M                 	                       	                       	                          	                                	F                    	                         	                       	                     	                           	                      	                        	                     	                     	F                     	                      	F                     	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	F                   	C                    	C                        	                        	                          	                     	                      	                 	       

  IR	                 	Late Pliocene    	                  	NN18          	170	1039	B	 13	X	CC	  19.00	    113.0900	Muza     	Nannofossils                                 	A              	M                 	A                      	                       	                          	                                	C                    	                         	                       	                     	                           	                      	                        	                     	                     	F                     	                      	F                     	                 	                  	                  	                  	                 	                   	                       	                    	C                  	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Late Pliocene    	                  	NN18          	170	1039	B	 14	X	CC	  19.00	    122.7000	Muza     	Nannofossils                                 	A              	M                 	A                      	                       	                          	                                	F                    	                         	                       	                     	                           	                      	                        	                     	                     	                      	                      	F                     	                 	                  	                  	                  	                 	                   	                       	                    	C                  	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Late Pliocene    	                  	NN17          	170	1039	B	 16	X	CC	  23.00	    141.7700	Muza     	Nannofossils                                 	A              	M                 	A                      	                       	                          	                                	                     	                         	                       	                     	                           	                      	                        	                     	                     	                      	                      	F                     	                 	                  	                  	                  	                 	                   	                       	                    	F                  	                     	F                      	R                      	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Early Pliocene   	                  	NN15          	170	1039	B	 17	X	CC	  21.00	    151.1900	Muza     	Nannofossils                                 	A              	M                 	A                      	                       	                          	C                               	F                    	                         	                       	                     	                           	                      	                        	                     	                     	R                     	                      	F                     	                 	                  	                  	A                 	                 	F                  	                       	                    	F                  	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Late Miocene     	                  	NN11          	170	1039	B	 18	X	CC	  19.00	    160.9700	Muza     	Nannofossils                                 	A              	M                 	C                      	                       	                          	C                               	                     	                         	                       	                     	                           	                      	                        	                     	                     	                      	                      	F                     	                 	                  	                  	F                 	                 	F                  	F                      	R                   	F                  	F                    	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Late Miocene     	                  	NN8           	170	1039	B	 19	X	CC	  32.00	    170.7300	Muza     	Nannofossils                                 	A              	M                 	F                      	C                      	                          	                                	F                    	                         	                       	                     	                           	                      	                        	                     	F                    	                      	                      	F                     	                 	                  	                  	C                 	F                	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Late Miocene     	                  	NN8           	170	1039	B	 20	X	CC	  29.00	    180.3600	Muza     	Nannofossils                                 	A              	M                 	F                      	C                      	                          	F                               	F                    	                         	                       	                     	                           	                      	                        	F                    	F                    	                      	                      	F                     	                 	                  	                  	C                 	R                	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN7           	170	1039	B	 21	X	CC	  26.00	    189.8700	Muza     	Nannofossils                                 	A              	M                 	C                      	C                      	                          	                                	F                    	                         	                       	R                    	                           	                      	C                       	                     	                     	                      	R                     	F                     	F                	                  	F                 	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN7           	170	1039	B	 22	X	CC	  20.00	    198.6500	Muza     	Nannofossils                                 	A              	M                 	C                      	                       	                          	                                	F                    	                         	                       	R                    	                           	                      	F                       	                     	                     	                      	R                     	F                     	F                	                  	F                 	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN7           	170	1039	B	 23	X	CC	  26.00	    208.7600	Muza     	Nannofossils                                 	A              	M                 	C                      	C                      	                          	                                	R                    	                         	                       	R                    	                           	                      	F                       	                     	                     	                      	F                     	F                     	R                	                  	F                 	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN6           	170	1039	B	 24	X	CC	  33.00	    218.4300	Muza     	Nannofossils                                 	A              	M                 	                       	                       	                          	                                	F                    	                         	                       	F                    	F                          	F                     	C                       	                     	                     	                      	                      	C                     	F                	R                 	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN6           	170	1039	B	 25	X	CC	  23.00	    228.2700	Muza     	Nannofossils                                 	A              	M                 	C                      	C                      	                          	                                	C                    	                         	                       	F                    	F                          	C                     	C                       	                     	                     	                      	                      	C                     	F                	R                 	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN6           	170	1039	B	 26	X	CC	  20.00	    238.0000	Muza     	Nannofossils                                 	A              	M                 	C                      	C                      	                          	                                	F                    	                         	                       	F                    	                           	C                     	C                       	                     	                     	                      	                      	C                     	F                	R                 	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN6           	170	1039	B	 27	X	CC	  25.00	    247.5600	Muza     	Nannofossils                                 	A              	M                 	C                      	C                      	                          	                                	C                    	                         	                       	                     	                           	C                     	C                       	                     	                     	                      	                      	C                     	                 	R                 	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN6           	170	1039	B	 28	X	CC	  27.00	    257.2700	Muza     	Nannofossils                                 	A              	M                 	A                      	C                      	                          	C                               	F                    	                         	                       	                     	                           	C                     	C                       	C                    	                     	                      	                      	C                     	                 	R                 	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1039	B	 29	X	CC	  25.00	    266.8400	Muza     	Nannofossils                                 	A              	M                 	                       	C                      	F                         	                                	C                    	                         	                       	F                    	R                          	C                     	C                       	                     	                     	                      	                      	C                     	F                	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1039	B	 30	X	CC	  26.00	    274.1500	Muza     	Nannofossils                                 	A              	M                 	A                      	C                      	C                         	C                               	F                    	                         	                       	R                    	                           	F                     	C                       	C                    	                     	F                     	R                     	C                     	R                	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1039	B	 31	X	CC	  20.00	    286.2500	Muza     	Nannofossils                                 	A              	G                 	D                      	C                      	C                         	C                               	C                    	                         	                       	                     	                           	F                     	F                       	C                    	                     	R                     	F                     	C                     	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1039	B	 32	X	CC	  30.00	    296.1400	Muza     	Nannofossils                                 	A              	G                 	A                      	A                      	C                         	A                               	C                    	                         	                       	                     	                           	C                     	C                       	C                    	                     	F                     	F                     	F                     	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1039	B	 33	X	CC	  23.00	    305.6700	Muza     	Nannofossils                                 	A              	G                 	A                      	C                      	C                         	C                               	C                    	                         	                       	                     	                           	C                     	C                       	                     	                     	R                     	                      	                      	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1039	B	 34	X	CC	  30.00	    315.3600	Muza     	Nannofossils                                 	A              	G                 	A                      	F                      	C                         	R                               	C                    	                         	                       	                     	C                          	C                     	C                       	                     	                     	R                     	                      	                      	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1039	B	 35	X	CC	  37.00	    324.8600	Muza     	Nannofossils                                 	A              	M                 	A                      	F                      	C                         	                                	C                    	                         	                       	                     	F                          	C                     	C                       	                     	                     	R                     	                      	                      	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1039	B	 36	X	CC	  41.00	    334.6200	Muza     	Nannofossils                                 	A              	G                 	A                      	F                      	C                         	                                	C                    	R                        	                       	                     	                           	F                     	C                       	                     	                     	                      	                      	                      	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1039	B	 37	X	CC	  35.00	    344.2300	Muza     	Nannofossils                                 	A              	G                 	A                      	F                      	C                         	F                               	C                    	                         	                       	C                    	F                          	C                     	C                       	                     	F                    	                      	                      	                      	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1039	B	 38	X	CC	  40.00	    353.8500	Muza     	Nannofossils                                 	A              	G                 	A                      	C                      	C                         	F                               	F                    	                         	                       	F                    	C                          	                      	C                       	F                    	F                    	                      	                      	                      	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1039	B	 39	X	CC	  30.00	    363.3200	Muza     	Nannofossils                                 	A              	G                 	A                      	C                      	F                         	C                               	C                    	                         	                       	F                    	C                          	C                     	C                       	C                    	F                    	                      	                      	                      	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

  IR	                 	Middle Miocene   	                  	NN4           	170	1039	B	 40	X	CC	  26.00	    372.8900	Muza     	Nannofossils                                 	A              	G                 	A                      	C                      	C                         	C                               	F                    	R                        	R                      	C                    	C                          	F                     	C                       	                     	                     	                      	                      	                      	                 	                  	                  	                  	                 	                   	                       	                    	                   	                     	                       	                       	                    	                     	                         	                        	                          	                     	                      	                 	       

