Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Globorotalia zealandica,Globorotalia miozea,Globoquadrina dehiscens,Globigerinoides bisphericus,Globigerina praebulloides,Catapsydrax unicavus,Globigerina euapertura,Globorotalia conica,Paragloborotalia opima nana,Globorotalia praemenardii,Orbulina suturalis,Paragloborotalia mayeri,Neogloboquadrina pachyderma,Neogloboquadrina continuosa,Chiloguembelina sp.,Globorotalia puncticuloides,Globigerina bulloides,Globorotalia puncticulata,Globorotalia crassula,Globorotalia inflata,Globigerina quinqueloba,Globorotalia cf. Gr. hirsuta,Globorotalia crassaformis,Orbulina universa,Globigerinita uvula,Globorotalia truncatulinoides,Globorotalia scitula,Globigerina spp.,Comment
  IR,                 ,                 ,                  ,              ,181,1122,C, 27,X,CC,  23.00,    227.1800,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,A                          ,                           ,                   ,P                          ,P                    ,                         ,P                    ,R                   ,R                      ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 29,X,CC,   0.00,    247.6300,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,A                          ,                           ,                   ,P                          ,R                    ,                         ,R                    ,R                   ,F                      ,                            ,P                        ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 30,X,CC,  12.00,    259.1300,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,A                          ,                           ,                   ,P                          ,R                    ,                         ,R                    ,R                   ,                       ,R                           ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 31,X,CC,  16.00,    266.3400,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,A                          ,                           ,                   ,P                          ,R                    ,                         ,F                    ,F                   ,F                      ,R                           ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 34,X,CC,   0.00,    297.7400,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,D                          ,                           ,                   ,P                          ,R                    ,                         ,P                    ,P                   ,F                      ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 35,X,CC,  24.00,    307.8400,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,                           ,                           ,                   ,R                          ,R                    ,                         ,R                    ,P                   ,F                      ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 47,X,CC,  32.00,    421.5600,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,A                          ,                           ,                   ,R                          ,F                    ,                         ,R                    ,                    ,F                      ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 48,X,CC,  29.00,    432.4100,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,                           ,                           ,                   ,A                          ,                     ,                         ,F                    ,F                   ,                       ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 49,X,CC,  21.00,    444.4100,forams   ,Planktonic Foraminifers                      ,T              ,M                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,                           ,                           ,                   ,                           ,                     ,                         ,R                    ,                    ,                       ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 50,X,CC,  29.00,    452.1800,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,                           ,                           ,                   ,A                          ,                     ,                         ,                     ,                    ,                       ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 51,X,CC,  21.00,    463.6100,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,                           ,                           ,                   ,A                          ,R                    ,P                        ,R                    ,                    ,                       ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 53,X,CC,  36.00,    478.2600,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,F                          ,                           ,                   ,A                          ,P                    ,                         ,                     ,                    ,                       ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 55,X,CC,  18.00,    499.9400,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                    ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,                           ,                           ,P                  ,                           ,                     ,                         ,                     ,                    ,                       ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 58,X,CC,   0.00,    523.4800,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,R                   ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,R                      ,R                          ,F                          ,                   ,                           ,                     ,                         ,                     ,                    ,                       ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 62,X,CC,   0.00,    563.3100,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,A                   ,                       ,                   ,                       ,                           ,                         ,                    ,                      ,P                  ,                           ,R                        ,P                 ,                       ,                           ,                           ,                   ,                           ,                     ,                         ,                     ,                    ,                       ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 63,X,CC,  17.00,    571.2700,forams   ,Planktonic Foraminifers                      ,T              ,P                 ,F                   ,                       ,P                  ,                       ,                           ,                         ,                    ,                      ,                   ,                           ,P                        ,                  ,                       ,                           ,                           ,                   ,                           ,                     ,                         ,                     ,                    ,                       ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 64,X,CC,  18.00,    580.8000,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,F                   ,                       ,P                  ,                       ,                           ,                         ,                    ,                      ,                   ,R                          ,P                        ,                  ,                       ,                           ,                           ,                   ,                           ,                     ,                         ,                     ,                    ,                       ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 65,X,CC,  13.00,    590.6300,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,F                   ,                       ,P                  ,P                      ,                           ,                         ,                    ,                      ,P                  ,                           ,                         ,                  ,                       ,                           ,                           ,                   ,                           ,                     ,                         ,                     ,                    ,                       ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 66,X,CC,   0.00,    599.4000,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,A                   ,                       ,R                  ,P                      ,                           ,                         ,P                   ,R                     ,                   ,                           ,                         ,                  ,                       ,                           ,                           ,                   ,                           ,                     ,                         ,                     ,                    ,                       ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 67,X,CC,   0.00,    609.1600,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,A                   ,                       ,R                  ,P                      ,                           ,                         ,                    ,                      ,                   ,                           ,                         ,                  ,                       ,                           ,                           ,                   ,                           ,                     ,                         ,                     ,                    ,                       ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 68,X,CC,   0.00,    617.8000,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,A                   ,P                      ,R                  ,P                      ,P                          ,R                        ,P                   ,                      ,                   ,                           ,                         ,                  ,                       ,                           ,                           ,                   ,                           ,                     ,                         ,                     ,                    ,                       ,                            ,                         ,                 ,                   ,                             ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
