Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidina bulloides,Notorotalia spinosa,Nonionella novozealandica,Melonis maorica,Cibicidoides perforatus,Cibicidoides pachyderma,Astrononion parki,Anomalinoides sphericus,Anomalinoides macraglabra,Stilostomella verneuilii,Lenticulina spp.,Kolesnikovella australis,Gyroidinoides spp.,Discorotalia tenuissima,Cibicides temperata,Bulimina miolaevis,Bolivina spp.,Anomalinoides fasciatus,Siphonina australis,Oridorsalis umbonatus,Cibicides notocenicus,Anomalinoides spp.,Cibicidoides spp.,Cassidulina carinata,Uvigerina spp.,Pullenia quinqueloba,Pullenia bulloides,Oolina spp.,Laticarinina pauperata,Globocassidulina spp.,Bolivinopsis sp.,Melonis pompilioides,Globocassidulina subglobosa,Eggerella bradyi,Quinqueloculina spp.,Nuttallides umbonifera,Fissurina spp.,Melonis barleeanus,Pyrgo murrhina,Epistominella exigua,Quinqueloculina venusta,Karreriella bradyi,Textularia spp.,Globobulimina turgida,Trifarina angulosa,Notorotalia spp.,Cassidulina minuta,Nonionellina flemingi,Miliolinella subrotundata,Elphidium advenum,Bolivinita pliozea,Uvigerina dirupta,Pileolina spp.,Gavelinopsis praegeri,Elphidium charlottense,Discorbinella complanata,Bulimina marginata,Neouvigerina sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 26,X,CC,   0.00,    217.9900,forams   ,Benthic Foraminifers                         ,               ,VG                ,R                     ,                   ,                         ,               ,                       ,R                      ,                 ,                       ,                         ,                        ,                ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,                     ,                     ,                  ,                 ,R                   ,              ,                    ,                  ,           ,                      ,                     ,                ,                    ,                           ,                ,                    ,                      ,R             ,R                 ,              ,                    ,T                      ,                  ,               ,T                    ,F                 ,T               ,                  ,R                    ,R                        ,F                ,T                 ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 27,X,CC,  23.00,    227.1800,forams   ,Benthic Foraminifers                         ,               ,VG                ,T                     ,                   ,                         ,               ,                       ,R                      ,                 ,                       ,                         ,                        ,T               ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,R                    ,                     ,                  ,                 ,                    ,              ,                    ,                  ,           ,                      ,                     ,                ,                    ,                           ,T               ,                    ,                      ,              ,R                 ,T             ,F                   ,T                      ,                  ,T              ,                     ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 29,X,CC,   0.00,    247.6300,forams   ,Benthic Foraminifers                         ,               ,VG                ,T                     ,                   ,                         ,               ,                       ,R                      ,                 ,                       ,                         ,                        ,R               ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,F                    ,                     ,                  ,                 ,                    ,              ,                    ,R                 ,           ,                      ,                     ,                ,                    ,                           ,R               ,                    ,                      ,              ,F                 ,T             ,                    ,                       ,                  ,               ,                     ,R                 ,T               ,T                 ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 30,X,CC,  12.00,    259.1300,forams   ,Benthic Foraminifers                         ,               ,VG                ,R                     ,                   ,                         ,               ,                       ,R                      ,                 ,                       ,                         ,                        ,                ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,R                    ,                     ,                  ,                 ,                    ,              ,                    ,                  ,           ,                      ,                     ,                ,                    ,T                          ,R               ,                    ,R                     ,              ,C                 ,T             ,                    ,                       ,                  ,               ,                     ,R                 ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 31,X,CC,  16.00,    266.3400,forams   ,Benthic Foraminifers                         ,               ,                  ,                      ,                   ,                         ,               ,                       ,R                      ,                 ,                       ,                         ,                        ,                ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,T                    ,                     ,                  ,                 ,                    ,              ,                    ,F                 ,           ,                      ,                     ,                ,                    ,                           ,                ,                    ,                      ,              ,C                 ,T             ,F                   ,                       ,R                 ,T              ,R                    ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 35,X,CC,  24.00,    307.8400,forams   ,Benthic Foraminifers                         ,               ,VG                ,                      ,                   ,                         ,               ,                       ,R                      ,                 ,                       ,                         ,                        ,T               ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,                     ,                     ,                  ,                 ,                    ,              ,                    ,R                 ,           ,                      ,T                    ,                ,                    ,                           ,R               ,                    ,R                     ,              ,                  ,              ,                    ,R                      ,T                 ,               ,                     ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 47,X,CC,  32.00,    421.5600,forams   ,Benthic Foraminifers                         ,               ,VG                ,                      ,                   ,                         ,               ,                       ,R                      ,                 ,                       ,                         ,                        ,                ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,F                    ,                     ,                  ,                 ,                    ,              ,                    ,R                 ,           ,                      ,                     ,                ,                    ,                           ,                ,                    ,                      ,              ,                  ,              ,                    ,                       ,                  ,               ,                     ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 48,X,CC,  29.00,    432.4100,forams   ,Benthic Foraminifers                         ,T              ,G                 ,                      ,                   ,                         ,               ,                       ,                       ,                 ,                       ,                         ,                        ,                ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,                     ,                     ,                  ,                 ,                    ,              ,                    ,T                 ,           ,                      ,                     ,                ,                    ,                           ,                ,                    ,                      ,              ,T                 ,              ,R                   ,                       ,                  ,               ,                     ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 50,X,CC,  29.00,    452.1800,forams   ,Benthic Foraminifers                         ,R              ,M                 ,                      ,                   ,                         ,               ,                       ,F                      ,                 ,                       ,                         ,                        ,T               ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,                     ,                     ,                  ,                 ,                    ,              ,                    ,R                 ,           ,                      ,                     ,                ,                    ,                           ,T               ,                    ,R                     ,R             ,R                 ,R             ,                    ,                       ,                  ,               ,                     ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 51,X,CC,  21.00,    463.6100,forams   ,Benthic Foraminifers                         ,T              ,G                 ,                      ,                   ,                         ,               ,                       ,R                      ,                 ,                       ,                         ,                        ,                ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,R                    ,                     ,                  ,                 ,                    ,              ,                    ,R                 ,           ,                      ,                     ,                ,                    ,                           ,                ,                    ,                      ,              ,R                 ,              ,                    ,                       ,                  ,               ,                     ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 53,X,CC,  36.00,    478.2600,forams   ,Benthic Foraminifers                         ,T              ,M                 ,                      ,                   ,                         ,               ,                       ,R                      ,                 ,                       ,                         ,                        ,                ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,                     ,                     ,                  ,                 ,                    ,              ,T                   ,R                 ,           ,T                     ,                     ,                ,                    ,                           ,T               ,T                   ,R                     ,R             ,                  ,              ,                    ,                       ,                  ,               ,                     ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 55,X,CC,  18.00,    499.9400,forams   ,Benthic Foraminifers                         ,R              ,M                 ,                      ,                   ,                         ,               ,                       ,T                      ,                 ,                       ,                         ,                        ,                ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,F                    ,                     ,                  ,                 ,                    ,              ,                    ,T                 ,           ,T                     ,                     ,                ,T                   ,T                          ,T               ,                    ,                      ,              ,                  ,              ,                    ,                       ,                  ,               ,                     ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 62,X,CC,   0.00,    563.3100,forams   ,Benthic Foraminifers                         ,F              ,M                 ,                      ,                   ,                         ,               ,                       ,                       ,                 ,                       ,                         ,                        ,T               ,                        ,T                 ,                       ,                   ,                  ,             ,                       ,                   ,F                    ,                     ,                  ,T                ,                    ,              ,T                   ,T                 ,F          ,T                     ,R                    ,T               ,                    ,                           ,                ,                    ,                      ,              ,                  ,              ,                    ,                       ,                  ,               ,                     ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 63,X,CC,  17.00,    571.2700,forams   ,Benthic Foraminifers                         ,T              ,P                 ,                      ,                   ,T                        ,               ,                       ,                       ,                 ,                       ,                         ,                        ,                ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,                     ,                     ,                  ,T                ,                    ,T             ,T                   ,                  ,           ,                      ,                     ,                ,                    ,                           ,                ,                    ,                      ,              ,                  ,              ,                    ,                       ,                  ,               ,                     ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 64,X,CC,  18.00,    580.8000,forams   ,Benthic Foraminifers                         ,R              ,M                 ,                      ,                   ,T                        ,               ,                       ,                       ,                 ,                       ,                         ,                        ,                ,                        ,T                 ,                       ,                   ,                  ,             ,                       ,                   ,                     ,                     ,T                 ,T                ,T                   ,              ,                    ,                  ,           ,                      ,                     ,                ,                    ,                           ,                ,                    ,                      ,              ,                  ,              ,                    ,                       ,                  ,               ,                     ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 66,X,CC,   0.00,    599.4000,forams   ,Benthic Foraminifers                         ,R              ,P                 ,                      ,F                  ,R                        ,C              ,R                      ,                       ,                 ,                       ,                         ,                        ,                ,                        ,F                 ,                       ,                   ,                  ,             ,                       ,T                  ,T                    ,T                    ,F                 ,                 ,                    ,              ,                    ,                  ,           ,                      ,                     ,                ,                    ,                           ,                ,                    ,                      ,              ,                  ,              ,                    ,                       ,                  ,               ,                     ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 67,X,CC,   0.00,    609.1600,forams   ,Benthic Foraminifers                         ,F              ,M                 ,                      ,F                  ,                         ,F              ,R                      ,                       ,                 ,                       ,                         ,T                       ,T               ,T                       ,R                 ,T                      ,T                  ,T                 ,T            ,F                      ,                   ,                     ,                     ,                  ,                 ,                    ,              ,                    ,                  ,           ,                      ,                     ,                ,                    ,                           ,                ,                    ,                      ,              ,                  ,              ,                    ,                       ,                  ,               ,                     ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 68,X,CC,   0.00,    617.8000,forams   ,Benthic Foraminifers                         ,F              ,M                 ,T                     ,R                  ,F                        ,F              ,R                      ,T                      ,T                ,R                      ,R                        ,                        ,                ,                        ,                  ,                       ,                   ,                  ,             ,                       ,                   ,                     ,                     ,                  ,                 ,                    ,              ,                    ,                  ,           ,                      ,                     ,                ,                    ,                           ,                ,                    ,                      ,              ,                  ,              ,                    ,                       ,                  ,               ,                     ,                  ,                ,                  ,                     ,                         ,                 ,                  ,                 ,              ,                     ,                      ,                        ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
