Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)		Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Quadrum trifidum	Quadrum sissinghii	Micula decussata	Marthasterites inconspicuus	Cretarhabdus loriei	Cretarhabdus crenulatus	Ceratolithoides aculeus	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Toweius crassus	Thoracosphaera saxea	Sphenolithus radians	Sphenolithus moriformis	Ericsonia formosa	Discoaster lodoensis	Discoaster binodosus	Discoaster barbadiensis	Coccolithus pelagicus	Chiasmolithus grandis	Reticulofenestra umbilica	Reticulofenestra hillae	Reticulofenestra dictyoda	Discoaster saipanensis	Dictyococcites bisectus	Cyclicargolithus floridanus	Chiasmolithus oamaruensis	Discoaster adamanteus	Isthmolithus recurvus	Ericsonia subditicha	Cyclicargolithus abisectus	Reticulofenestra daviesii	Sphenolithus delphix	Sphenolithus calyculus	Discoaster druggii	Discoaster deflandrei	Reticulofenestra minutula	Reticulofenestra pseudoumbilicus	Schyphosphaera spp.	Calcidiscus leptoporus	Discoaster variabilis	Discoaster brouweri	Reticulofenestra gelida	Discoaster calcaris	Discoaster hamatus	Discoaster bollii	Comment
  IR	                 	Late Miocene     	NN10              	NN8           		197	1203	A	  2	R	 3	 100.00	    313.6000	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	                     	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	R                    	                   	                       	                   	                  	                 	       

  IR	                 	Late Miocene     	NN10              	NN8           		197	1203	A	  2	R	CC	  13.00	    315.3200	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	F                    	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	C                        	C                               	                   	                      	                     	                   	C                      	R                  	                  	                 	       

  IR	                 	Late Miocene     	NN10              	NN8           		197	1203	A	  3	R	 1	  50.00	    319.8000	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	                     	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	C                               	                   	                      	R                    	R                  	                       	                   	                  	                 	       

  IR	                 	Miocene          	                  	              		197	1203	A	  3	R	CC	  15.00	    328.3100	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	C                    	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	C                        	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Miocene          	                  	              		197	1203	A	  4	R	CC	   9.00	    331.5000	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	F                    	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	R                        	                                	                   	R                     	                     	                   	                       	                   	                  	                 	       

  IR	                 	Miocene          	                  	              		197	1203	A	  5	R	CC	  10.00	    341.7100	Siesser  	Nannofossils                                 	F              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	F                    	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Miocene          	                  	              		197	1203	A	  6	R	CC	  18.00	    348.5800	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	F                    	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	F                        	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Miocene          	                  	              		197	1203	A	  7	R	 1	  50.00	    358.6000	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	F                    	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Miocene          	                  	              		197	1203	A	  7	R	 5	  49.00	    364.5900	Siesser  	Nannofossils                                 	               	                  	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	                     	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	R                  	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Miocene          	                  	              		197	1203	A	  7	R	CC	   9.00	    367.3800	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	F                    	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	C                        	F                               	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Early Miocene    	NN5               	NN2           		197	1203	A	  8	R	 5	  50.00	    374.3000	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	R                      	                 	                    	                    	                       	F                    	                     	                         	                       	                         	                      	                       	F                          	                         	                     	                     	                    	                          	                         	                    	R                     	R                 	                     	C                        	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Early Miocene    	                  	NN2           		197	1203	A	  9	R	 1	  50.00	    378.0000	Siesser  	Nannofossils                                 	F              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	R                    	                     	                         	                       	                         	                      	                       	R                          	                         	                     	                     	                    	                          	                         	F                   	R                     	R                 	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Early Miocene    	                  	              		197	1203	A	  9	R	CC	  14.00	    381.5000	Siesser  	Nannofossils                                 	F              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	R                      	                 	                    	                    	                       	R                    	                     	                         	                       	                         	                      	                       	R                          	                         	                     	                     	                    	                          	                         	+                   	F                     	+                 	R                    	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Late Oligocene   	NP25              	NP24          		197	1203	A	 10	R	CC	  15.00	    390.3500	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	                     	                     	                         	                       	                         	                      	C                      	                           	                         	                     	                     	                    	C                         	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Early Oligocene  	                  	              		197	1203	A	 11	R	 1	  50.00	    397.4000	Siesser  	Nannofossils                                 	C              	M                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	R                      	                 	                    	                    	                       	R                    	                     	                         	                       	                         	                      	A                      	F                          	                         	                     	                     	                    	C                         	R                        	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Early Oligocene  	NP22              	NP21          		197	1203	A	 11	R	CC	   8.00	    402.7800	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	F                      	                 	                    	                    	                       	F                    	                     	F                        	                       	                         	                      	C                      	R                          	R                        	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Early Oligocene  	NP22              	NP21          		197	1203	A	 12	R	 1	  49.00	    407.0900	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	R                    	                     	R                        	                       	                         	                      	C                      	F                          	                         	                     	                     	                    	C                         	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Early Oligocene  	NP22              	NP21          		197	1203	A	 12	R	 3	  50.00	    409.8900	Siesser  	Nannofossils                                 	F              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	                     	                     	F                        	                       	F                        	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Early Oligocene  	NP22              	NP21          		197	1203	A	 12	R	CC	  12.00	    410.4400	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	                     	                     	C                        	                       	+                        	                      	C                      	C                          	R                        	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Early Oligocene  	NP22              	NP21          		197	1203	A	 13	R	 1	  50.00	    416.8000	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	                     	                     	                         	                       	                         	                      	F                      	                           	                         	                     	R                    	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Early Oligocene  	NP22              	NP21          		197	1203	A	 13	R	CC	  12.00	    418.8500	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	F                      	                 	                    	                    	                       	F                    	                     	F                        	                       	                         	                      	F                      	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	                 	                  	NP21          		197	1203	A	 14	R	CC	   8.00	    430.1500	Siesser  	Nannofossils                                 	C              	M                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	                     	                     	C                        	                       	                         	                      	C                      	                           	                         	                     	R                    	F                   	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Late Eocene      	                  	              		197	1203	A	 15	R	 1	  50.00	    436.2000	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	R                      	                         	               	                    	                    	                       	                 	                    	                    	                       	                     	                     	A                        	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Late Eocene      	                  	              		197	1203	A	 15	R	 3	  50.00	    439.2000	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	R                      	                         	               	                    	                    	                       	                 	                    	                    	                       	                     	                     	                         	                       	                         	                      	                       	                           	                         	R                    	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Late Eocene      	                  	              		197	1203	A	 15	R	CC	  15.00	    440.0400	Siesser  	Nannofossils                                 	C              	P                 	                    	                	                  	                	                           	                   	                       	                       	                       	                         	               	                    	                    	R                      	R                	                    	                    	R                      	                     	                     	R                        	R                      	R                        	R                     	R                      	C                          	R                        	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Early Eocene     	                  	NP12          		197	1203	A	 16	R	CC	  10.00	    448.6000	Siesser  	Nannofossils                                 	C              	M                 	                    	                	                  	                	                           	                   	                       	                       	C                      	C                        	F              	R                   	C                   	R                      	R                	C                   	R                   	F                      	C                    	R                    	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

  IR	                 	Campanian        	CC23              	CC22(Perch-Nielsen)	197	1203	A	 33	R	CC	   3.00	    602.5600	Siesser  	Nannofossils                                 	F              	M                 	F                   	R               	R                 	R               	R                          	R                  	R                      	R                      	                       	                         	               	                    	                    	                       	                 	                    	                    	                       	                     	                     	                         	                       	                         	                      	                       	                           	                         	                     	                     	                    	                          	                         	                    	                      	                  	                     	                         	                                	                   	                      	                     	                   	                       	                   	                  	                 	       

