Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiroplectammina mississippiensis,Nonionella pizarrensis,Marginulina dubia,Lenticulina americana americana,Hanzawaia concentrica,Cibicidoides spp.,Cassidulina laevigata,Globocassidulina subglobosa,Uvigerina juncea,Lenticulina spp.,Buliminella gracilis,Bolivina calvertensis,Nonionella miocenica,Cassidulina havanensis,Buliminella elegantissima,Bolivina paula,polymorhinids xxx,Textularia agglutinans,Bolivina lowmanni,Bolivina spp.,Fursenkoina fusiformis,Uvigerina subperegrina,Hanzawaia hughesi,Stilostomella spp.,Elphidium excavatum (Terquem) forma lidoensis,Cassidulina teretis,Elphidium excavatum f. clavatum,Astacolus sp.,Elphidium articulatum,Quinqueloculina seminulum,Pyrgo spp.,Globobulimina auriculata,Bulimina marginata,Fursenkoina sp.,Triloculina trigonula,Lagena spp.,Cassidulina norcrossi,Bolivina subaenariensis,Rosalina spp.,Cassidulina crassa,Buccella frigida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1072,A,  5,R,CC,   0.00,     37.1300,Katz     ,Benthic Foraminifers                         ,A              ,VG                ,                                 ,                      ,                 ,                               ,                     ,R                ,                     ,R                          ,                ,                ,                    ,                     ,C                   ,                      ,                         ,              ,                 ,                      ,                 ,             ,                      ,                      ,                 ,                  ,A                                            ,                   ,C                              ,             ,R                    ,                         ,          ,                        ,F                 ,               ,F                    ,R          ,R                    ,C                      ,             ,                  ,                ,"inner-middle neritic (<100m) AA qtz, R pyrite, C mica, R planktonics"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1072,A,  6,R,CC,   8.00,     46.0800,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,                ,                ,                    ,                     ,                    ,                      ,                         ,              ,                 ,                      ,                 ,             ,                      ,                      ,                 ,                  ,A                                            ,                   ,A                              ,             ,A                    ,                         ,R         ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,inner-middle neritic (<100m)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1072,A,  8,R,CC,  22.00,     57.7200,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,                ,                ,                    ,                     ,C                   ,                      ,                         ,              ,                 ,                      ,                 ,             ,F                     ,                      ,                 ,                  ,                                             ,F                  ,A                              ,             ,                     ,C                        ,F         ,R                       ,F                 ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1072,A,  9,R,CC,   0.00,     65.0000,Katz     ,Benthic Foraminifers                         ,A              ,VG                ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,                ,                ,                    ,                     ,A                   ,                      ,                         ,              ,F                ,                      ,                 ,             ,                      ,                      ,                 ,                  ,F                                            ,C                  ,F                              ,             ,                     ,A                        ,          ,A                       ,C                 ,R              ,                     ,           ,                     ,                       ,             ,                  ,                ,"inner-middle neritic (<100m) A pyrite, A mica,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1072,A, 11,R,CC,   0.00,     71.1200,Katz     ,Benthic Foraminifers                         ,A              ,VG                ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,                ,                ,                    ,                     ,A                   ,                      ,                         ,              ,                 ,                      ,                 ,             ,                      ,                      ,                 ,                  ,                                             ,C                  ,F                              ,             ,                     ,A                        ,F         ,C                       ,C                 ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,"A shell material R glauconite, pyr, qtz"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1072,A, 15,R,CC,   0.00,     90.5300,Katz     ,Benthic Foraminifers                         ,R              ,G                 ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,                ,                ,                    ,                     ,                    ,                      ,                         ,              ,                 ,                      ,                 ,             ,                      ,                      ,                 ,                  ,+                                            ,                   ,+                              ,             ,+                    ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,"slump deposit AA mica, A qtz, A hornblende R glauconite, VR planktonics"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 20,R,CC,  19.00,    116.8000,Katz     ,Benthic Foraminifers                         ,R              ,G                 ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,                ,                ,                    ,                     ,                    ,                      ,                         ,              ,                 ,                      ,                 ,             ,                      ,                      ,                 ,                  ,                                             ,                   ,A                              ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 22,R,CC,   0.00,    130.8000,Katz     ,Benthic Foraminifers                         ,R              ,G                 ,                                 ,                      ,                 ,                               ,                     ,+                ,                     ,                           ,+               ,                ,                    ,                     ,                    ,                      ,                         ,              ,                 ,                      ,                 ,             ,                      ,                      ,                 ,                  ,                                             ,                   ,+                              ,+            ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 24,R,CC,   0.00,    139.4200,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                                 ,                      ,                 ,                               ,                     ,F                ,                     ,                           ,                ,                ,                    ,                     ,                    ,                      ,                         ,              ,                 ,                      ,                 ,             ,                      ,                      ,                 ,R                 ,A                                            ,A                  ,                               ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,"A qtz, A mica, C glauconite"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 29,R,CC,   0.00,    163.1700,Katz     ,Benthic Foraminifers                         ,R              ,                  ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,                ,                ,+                   ,                     ,                    ,                      ,                         ,              ,                 ,+                     ,                 ,             ,                      ,                      ,+                ,                  ,                                             ,                   ,                               ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,"only 3 specimens, all are Miocene bugs."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 31,R,CC,   0.00,    174.7300,Katz     ,Benthic Foraminifers                         ,R              ,                  ,                                 ,                      ,                 ,                               ,                     ,R                ,                     ,                           ,                ,                ,                    ,                     ,                    ,                      ,                         ,              ,                 ,                      ,                 ,             ,                      ,                      ,                 ,                  ,                                             ,                   ,                               ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,"pyrite clumps, AA mica, A qtz"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1072,A, 33,R,CC,   0.00,    184.8900,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                                 ,                      ,                 ,                               ,                     ,                 ,R                    ,                           ,                ,                ,A                   ,                     ,                    ,                      ,                         ,              ,                 ,R                     ,                 ,             ,                      ,R                     ,                 ,                  ,                                             ,                   ,                               ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1072,A, 34,R,CC,   0.00,    188.5700,Katz     ,Benthic Foraminifers                         ,R              ,VG                ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,+               ,                ,                    ,                     ,                    ,                      ,                         ,              ,                 ,                      ,                 ,             ,                      ,                      ,                 ,                  ,                                             ,                   ,                               ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1072,A, 35,R,CC,   0.00,    193.9900,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                                 ,                      ,                 ,                               ,                     ,F                ,C                    ,                           ,C               ,                ,A                   ,C                    ,F                   ,                      ,                         ,              ,                 ,R                     ,                 ,             ,R                     ,                      ,                 ,                  ,                                             ,                   ,                               ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1072,A, 36,R,CC,   0.00,    197.5200,Katz     ,Benthic Foraminifers                         ,R              ,G                 ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,                ,                ,                    ,                     ,                    ,                      ,                         ,+             ,                 ,                      ,                 ,+            ,                      ,                      ,                 ,                  ,                                             ,                   ,                               ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1072,A, 38,R,CC,   0.00,    207.0800,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,A               ,                ,A                   ,                     ,R                   ,                      ,                         ,              ,                 ,C                     ,                 ,             ,                      ,                      ,                 ,                  ,                                             ,                   ,                               ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1072,A, 40,R,CC,   0.00,    215.9000,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                                 ,                      ,                 ,                               ,                     ,F                ,A                    ,                           ,C               ,                ,C                   ,                     ,F                   ,                      ,                         ,              ,R                ,C                     ,F                ,             ,                      ,                      ,                 ,                  ,                                             ,                   ,                               ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1072,A, 41,R,CC,   0.00,    222.4800,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,A               ,                ,A                   ,                     ,C                   ,A                     ,R                        ,C             ,                 ,                      ,                 ,             ,                      ,                      ,                 ,                  ,                                             ,                   ,                               ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1072,A, 43,R,CC,   0.00,    231.2600,Katz     ,Benthic Foraminifers                         ,R              ,VG                ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,+               ,                ,                    ,                     ,                    ,                      ,                         ,              ,                 ,                      ,                 ,             ,                      ,                      ,                 ,                  ,                                             ,                   ,                               ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1072,A, 44,R,CC,   0.00,    235.4700,Katz     ,Benthic Foraminifers                         ,F              ,VG                ,                                 ,                      ,                 ,                               ,                     ,                 ,                     ,                           ,A               ,R               ,A                   ,R                    ,                    ,                      ,                         ,              ,                 ,                      ,                 ,             ,                      ,                      ,                 ,                  ,                                             ,                   ,                               ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,no planktonics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1072,A, 46,R,CC,   0.00,    252.9400,Katz     ,Benthic Foraminifers                         ,R              ,VG                ,+                                ,                      ,+                ,+                              ,                     ,                 ,                     ,+                          ,                ,                ,                    ,                     ,                    ,                      ,                         ,              ,                 ,                      ,                 ,             ,                      ,                      ,                 ,                  ,                                             ,                   ,                               ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1072,A, 47,R,CC,   0.00,    254.6500,Katz     ,Benthic Foraminifers                         ,R              ,VG                ,+                                ,+                     ,+                ,+                              ,+                    ,+                ,+                    ,                           ,                ,                ,                    ,                     ,                    ,                      ,                         ,              ,                 ,                      ,                 ,             ,                      ,                      ,                 ,                  ,                                             ,                   ,                               ,             ,                     ,                         ,          ,                        ,                  ,               ,                     ,           ,                     ,                       ,             ,                  ,                ,"glauconite, qtz"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
