Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera sibogae	Syracosphaera pulchra	Rhabdosphaera clavigera	Reticulofenestra spp. (small - medium)	Reticulofenestra asanoi	Pseudoemiliania lacunosa	Pontosphaera spp.	Helicosphaera carteri	Gephyrocapsa spp. (small)	Florisphaera profunda	Coccolithus pelagicus	Ceratolithus cristatus	Calcidiscus leptoporus	Helicosphaera pavimentum	Helicosphaera hyalina	Gephyrocapsa oceanica	Gephyrocapsa margerelii	Gephyrocapsa caribbeanica	Thorosphaera flabellata	Syracosphaera spp.	Scapholithus fossilis	Oolithotus antillarum	Umbellosphaera irregularis	Discosphaera tubifera	Sphenolithus abies/neoabies	Reticulofenestra pseudoumbilicus	Discoaster pentaradiatus	Discoaster brouweri	Discoaster variabilis	Emiliania huxleyi	Helicosphaera wallichii	Umbellosphaera tenuis	Comment
  IR	Pleistocene      	Pleistocene      	NN21B             	NN21B         	184	1144	A	  6	H	CC	  33.00	     55.1000	nannos   	Nannofossils                                 	A              	VG                	C                      	F                    	C                      	                                      	                       	                        	                 	F                    	F                        	A                    	                     	                      	F                     	R                       	R                    	A                    	                       	                         	                       	R                 	R                    	R                    	                          	                     	                           	                                	                        	                   	                     	A                	R                      	R                    	       

  IR	Pleistocene      	Pleistocene      	NN21B             	NN21B         	184	1144	A	  7	H	CC	  30.00	     64.2600	nannos   	Nannofossils                                 	A              	VG                	C                      	F                    	F                      	                                      	                       	                        	                 	C                    	C                        	A                    	R                    	R                     	C                     	                        	R                    	A                    	F                      	R                        	                       	                  	R                    	                     	R                         	                     	                           	                                	                        	                   	                     	A                	R                      	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	  8	H	CC	  24.00	     73.7000	nannos   	Nannofossils                                 	A              	VG                	F                      	R                    	F                      	                                      	                       	                        	                 	F                    	F                        	A                    	                     	                      	F                     	                        	R                    	C                    	R                      	R                        	                       	R                 	                     	R                    	R                         	R                    	                           	                                	                        	                   	                     	A                	                       	R                    	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	  9	H	CC	  27.00	     83.4600	nannos   	Nannofossils                                 	A              	VG                	F                      	F                    	C                      	                                      	                       	                        	                 	F                    	C                        	A                    	                     	R                     	F                     	                        	                     	C                    	                       	F                        	                       	R                 	                     	R                    	R                         	                     	                           	                                	                        	                   	                     	A                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	 10	H	CC	  20.00	     92.5000	nannos   	Nannofossils                                 	A              	G                 	C                      	F                    	F                      	                                      	                       	                        	R                	F                    	D                        	A                    	                     	                      	F                     	                        	R                    	C                    	                       	                         	                       	                  	F                    	R                    	R                         	                     	                           	                                	                        	                   	                     	C                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	 11	H	CC	   9.00	    102.2600	nannos   	Nannofossils                                 	A              	G                 	C                      	C                    	F                      	                                      	                       	                        	                 	F                    	A                        	A                    	R                    	                      	F                     	                        	R                    	A                    	                       	R                        	R                      	R                 	R                    	R                    	R                         	                     	                           	                                	                        	                   	                     	C                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	 12	H	CC	  26.00	    111.6400	nannos   	Nannofossils                                 	A              	G                 	C                      	C                    	R                      	                                      	                       	                        	                 	F                    	A                        	A                    	                     	R                     	F                     	                        	                     	C                    	                       	                         	                       	R                 	R                    	                     	R                         	                     	                           	                                	                        	                   	                     	C                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	 13	H	CC	  14.00	    121.1600	nannos   	Nannofossils                                 	A              	G                 	C                      	C                    	F                      	                                      	                       	                        	R                	R                    	A                        	A                    	R                    	R                     	F                     	                        	R                    	A                    	                       	R                        	                       	R                 	R                    	R                    	R                         	R                    	                           	                                	                        	                   	                     	C                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	 14	H	CC	  33.00	    130.9300	nannos   	Nannofossils                                 	A              	G                 	F                      	F                    	R                      	                                      	                       	                        	                 	R                    	C                        	A                    	                     	                      	R                     	                        	R                    	C                    	F                      	                         	                       	R                 	F                    	R                    	                          	                     	                           	                                	                        	                   	                     	C                	R                      	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	 15	H	CC	  29.00	    140.6200	nannos   	Nannofossils                                 	A              	G                 	C                      	F                    	F                      	                                      	                       	                        	                 	F                    	A                        	A                    	                     	                      	F                     	                        	R                    	C                    	R                      	                         	                       	R                 	R                    	R                    	R                         	                     	                           	                                	                        	                   	                     	C                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	 16	H	CC	  44.00	    150.0900	nannos   	Nannofossils                                 	A              	G                 	F                      	R                    	F                      	                                      	                       	                        	R                	F                    	C                        	A                    	R                    	R                     	F                     	                        	R                    	A                    	                       	                         	                       	R                 	                     	R                    	                          	                     	                           	                                	                        	                   	                     	C                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	 17	H	CC	  20.00	    159.4000	nannos   	Nannofossils                                 	A              	G                 	F                      	F                    	F                      	                                      	                       	                        	                 	F                    	A                        	A                    	                     	R                     	F                     	                        	R                    	A                    	                       	R                        	                       	R                 	R                    	R                    	R                         	                     	                           	                                	                        	                   	                     	C                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	 18	H	CC	  11.00	    168.8900	nannos   	Nannofossils                                 	A              	G                 	F                      	F                    	R                      	                                      	                       	                        	R                	F                    	A                        	D                    	R                    	R                     	F                     	F                       	R                    	A                    	                       	                         	                       	                  	                     	R                    	                          	                     	                           	                                	                        	                   	                     	C                	R                      	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	 19	H	CC	   0.00	    177.9800	nannos   	Nannofossils                                 	A              	G                 	F                      	R                    	R                      	R                                     	                       	                        	F                	F                    	A                        	C                    	                     	                      	F                     	                        	                     	A                    	C                      	C                        	                       	R                 	                     	                     	R                         	                     	R                          	                                	                        	                   	                     	F                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	 20	H	CC	   0.00	    187.1400	nannos   	Nannofossils                                 	A              	G                 	F                      	                     	R                      	                                      	                       	                        	F                	F                    	A                        	C                    	                     	                      	F                     	                        	                     	C                    	C                      	A                        	                       	                  	                     	                     	R                         	                     	                           	                                	F                       	                   	                     	R                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	 21	H	CC	  22.00	    197.4100	nannos   	Nannofossils                                 	A              	G                 	R                      	R                    	R                      	F                                     	                       	R                       	R                	R                    	A                        	F                    	                     	                      	F                     	                        	                     	C                    	C                      	A                        	                       	R                 	                     	                     	R                         	R                    	                           	R                               	R                       	                   	                     	R                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1144	A	 22	H	CC	   0.00	    206.4900	nannos   	Nannofossils                                 	A              	G                 	                       	R                    	R                      	F                                     	                       	R                       	R                	R                    	A                        	F                    	R                    	                      	R                     	                        	                     	C                    	C                      	A                        	                       	                  	                     	                     	                          	                     	                           	                                	                        	                   	                     	R                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN20              	NN20          	184	1144	A	 23	H	CC	  16.00	    216.3700	nannos   	Nannofossils                                 	A              	G                 	R                      	R                    	R                      	R                                     	                       	R                       	R                	R                    	A                        	F                    	                     	R                     	R                     	                        	                     	C                    	C                      	A                        	                       	                  	R                    	                     	R                         	R                    	R                          	R                               	R                       	                   	                     	R                	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN20              	NN20          	184	1144	A	 24	H	CC	  17.00	    225.2500	nannos   	Nannofossils                                 	A              	M                 	R                      	R                    	R                      	R                                     	                       	R                       	R                	R                    	A                        	F                    	                     	R                     	R                     	                        	                     	F                    	C                      	D                        	                       	                  	R                    	                     	R                         	                     	                           	                                	                        	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN20              	NN20          	184	1144	A	 25	H	CC	  22.00	    235.3700	nannos   	Nannofossils                                 	A              	M                 	R                      	R                    	R                      	F                                     	                       	R                       	R                	R                    	A                        	F                    	R                    	R                     	R                     	                        	                     	F                    	C                      	A                        	                       	                  	R                    	                     	R                         	R                    	R                          	R                               	F                       	R                  	R                    	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN20              	NN20          	184	1144	A	 27	X	CC	  37.00	    250.7700	nannos   	Nannofossils                                 	A              	G                 	R                      	R                    	R                      	R                                     	                       	R                       	R                	R                    	A                        	F                    	R                    	                      	R                     	                        	                     	F                    	C                      	A                        	                       	                  	R                    	                     	R                         	                     	R                          	R                               	R                       	R                  	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 28	X	CC	  39.00	    260.3900	nannos   	Nannofossils                                 	A              	G                 	R                      	R                    	R                      	R                                     	                       	C                       	R                	R                    	A                        	F                    	                     	R                     	R                     	                        	                     	F                    	C                      	A                        	                       	                  	                     	                     	R                         	                     	R                          	R                               	R                       	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 29	X	CC	  35.00	    270.2700	nannos   	Nannofossils                                 	A              	G                 	R                      	R                    	R                      	R                                     	                       	C                       	R                	R                    	A                        	F                    	                     	                      	R                     	                        	                     	F                    	C                      	C                        	                       	                  	R                    	                     	R                         	                     	R                          	R                               	R                       	R                  	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 30	X	CC	  31.00	    279.7900	nannos   	Nannofossils                                 	A              	G                 	R                      	R                    	R                      	R                                     	                       	C                       	R                	R                    	A                        	F                    	                     	R                     	R                     	                        	                     	C                    	C                      	C                        	                       	                  	                     	                     	R                         	                     	R                          	R                               	R                       	R                  	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 31	X	CC	  21.00	    289.3100	nannos   	Nannofossils                                 	A              	G                 	R                      	R                    	R                      	R                                     	                       	C                       	R                	R                    	A                        	F                    	                     	R                     	R                     	                        	                     	C                    	C                      	C                        	                       	                  	R                    	                     	                          	                     	R                          	R                               	R                       	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 32	X	CC	  37.00	    299.1700	nannos   	Nannofossils                                 	A              	G                 	R                      	R                    	R                      	R                                     	                       	C                       	R                	R                    	A                        	F                    	                     	R                     	R                     	                        	                     	C                    	C                      	C                        	                       	                  	                     	                     	R                         	                     	R                          	                                	R                       	R                  	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 33	X	CC	  40.00	    308.8800	nannos   	Nannofossils                                 	A              	G                 	R                      	R                    	R                      	R                                     	                       	C                       	R                	R                    	A                        	F                    	                     	                      	R                     	                        	                     	C                    	C                      	C                        	                       	                  	                     	                     	                          	                     	R                          	R                               	R                       	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 34	X	CC	  32.00	    318.4600	nannos   	Nannofossils                                 	A              	G                 	R                      	R                    	R                      	R                                     	                       	C                       	R                	R                    	A                        	F                    	                     	R                     	R                     	                        	                     	C                    	C                      	C                        	                       	                  	R                    	                     	R                         	                     	R                          	R                               	R                       	R                  	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 35	X	CC	  23.00	    327.9500	nannos   	Nannofossils                                 	A              	M                 	R                      	R                    	R                      	R                                     	                       	C                       	R                	R                    	A                        	F                    	                     	R                     	R                     	                        	                     	C                    	C                      	C                        	                       	                  	R                    	                     	                          	                     	R                          	R                               	R                       	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 36	X	CC	  22.00	    337.5200	nannos   	Nannofossils                                 	A              	M                 	F                      	F                    	F                      	R                                     	                       	F                       	R                	F                    	A                        	A                    	                     	                      	F                     	                        	R                    	A                    	F                      	F                        	R                      	                  	R                    	                     	R                         	R                    	                           	                                	                        	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 37	X	CC	  27.00	    347.2200	nannos   	Nannofossils                                 	A              	M                 	C                      	F                    	                       	F                                     	R                      	C                       	                 	F                    	A                        	A                    	                     	                      	F                     	                        	R                    	C                    	                       	                         	                       	                  	R                    	R                    	                          	                     	                           	                                	                        	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 38	X	CC	  31.00	    356.8700	nannos   	Nannofossils                                 	A              	M                 	F                      	F                    	                       	C                                     	R                      	C                       	R                	F                    	A                        	A                    	                     	                      	C                     	                        	R                    	C                    	                       	                         	                       	                  	R                    	R                    	                          	                     	                           	                                	                        	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 39	X	CC	  30.00	    366.5200	nannos   	Nannofossils                                 	A              	M                 	F                      	R                    	F                      	F                                     	R                      	C                       	R                	F                    	A                        	A                    	                     	R                     	C                     	F                       	R                    	A                    	F                      	                         	                       	                  	R                    	                     	                          	                     	                           	                                	                        	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 40	X	CC	  30.00	    376.1900	nannos   	Nannofossils                                 	A              	M                 	R                      	R                    	R                      	F                                     	F                      	C                       	R                	R                    	C                        	A                    	                     	R                     	F                     	                        	                     	A                    	                       	                         	                       	                  	R                    	                     	                          	                     	                           	                                	                        	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 41	X	CC	  33.00	    385.8700	nannos   	Nannofossils                                 	A              	M                 	C                      	F                    	F                      	R                                     	C                      	C                       	R                	F                    	A                        	A                    	                     	R                     	F                     	R                       	                     	A                    	F                      	                         	                       	                  	                     	                     	                          	                     	                           	                                	                        	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 42	X	CC	  31.00	    395.4100	nannos   	Nannofossils                                 	A              	M                 	C                      	C                    	C                      	R                                     	F                      	C                       	                 	R                    	A                        	D                    	R                    	R                     	F                     	F                       	R                    	R                    	                       	                         	C                      	R                 	R                    	R                    	                          	                     	                           	                                	                        	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 43	X	CC	  36.00	    405.0200	nannos   	Nannofossils                                 	A              	M                 	F                      	R                    	C                      	F                                     	R                      	C                       	                 	F                    	D                        	A                    	                     	R                     	R                     	R                       	                     	C                    	                       	F                        	                       	                  	                     	                     	                          	                     	                           	                                	                        	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 44	X	CC	  26.00	    414.5100	nannos   	Nannofossils                                 	A              	M                 	F                      	R                    	R                      	F                                     	R                      	C                       	R                	F                    	A                        	A                    	R                    	                      	R                     	                        	                     	C                    	                       	F                        	                       	                  	                     	                     	                          	                     	                           	                                	                        	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 45	X	CC	  32.00	    424.2800	nannos   	Nannofossils                                 	A              	M                 	R                      	R                    	R                      	C                                     	                       	C                       	                 	F                    	C                        	A                    	R                    	                      	R                     	                        	                     	C                    	F                      	R                        	                       	                  	                     	                     	                          	                     	                           	                                	                        	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 46	X	CC	  42.00	    433.8000	nannos   	Nannofossils                                 	A              	M                 	F                      	R                    	R                      	C                                     	                       	C                       	                 	F                    	A                        	A                    	R                    	R                     	F                     	R                       	R                    	C                    	F                      	F                        	                       	                  	                     	                     	                          	                     	                           	                                	                        	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 47	X	CC	  23.00	    443.3500	nannos   	Nannofossils                                 	A              	M                 	F                      	R                    	C                      	C                                     	R                      	A                       	                 	F                    	C                        	D                    	                     	R                     	F                     	                        	                     	                     	                       	                         	                       	                  	                     	                     	                          	                     	                           	                                	                        	                   	                     	                 	                       	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1144	A	 48	X	CC	  31.00	    453.0200	nannos   	Nannofossils                                 	A              	M                 	F                      	R                    	C                      	C                                     	R                      	A                       	R                	R                    	C                        	D                    	R                    	R                     	F                     	                        	                     	                     	                       	                         	                       	                  	                     	                     	                          	                     	                           	                                	                        	                   	                     	                 	                       	                     	       

