Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa spp. (small),Gephyrocapsa caribbeanica,Coccolithus pelagicus,Pontosphaera spp.,Gephyrocapsa muellerae,Reticulofenestra minuta,Gephyrocapsa oceanica,Calcidiscus leptoporus,Reticulofenestra pseudoumbilica,Emiliania huxleyi,Braarudosphaera bigelowii,Syracosphaera spp.(small),Coccoliths spp.,Helicosphaera carteri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1025,B,  3,H, 1,  27.00,     14.7700,Su       ,Nannofossils                                 ,T              ,G                 ,1.0%                     ,                         ,53.0%                ,                 ,15.7%                 ,                       ,                     ,                      ,                               ,30.0%            ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1025,B,  3,H, 3,  93.00,     18.4300,Su       ,Nannofossils                                 ,F              ,G                 ,4.0%                     ,                         ,44.0%                ,                 ,30.1%                 ,                       ,                     ,                      ,                               ,21.0%            ,1.0%                     ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1025,B,  3,H, 5,  50.00,     21.0000,Su       ,Nannofossils                                 ,F              ,M-G               ,11.0%                    ,3.0%                     ,10.0%                ,                 ,34.8%                 ,                       ,                     ,                      ,                               ,41.0%            ,                         ,                         ,               ,1.0%                 ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1025,B,  3,H, 7,  40.00,     23.9000,Su       ,Nannofossils                                 ,C              ,M-G               ,12.0%                    ,11.0%                    ,9.0%                 ,                 ,61.0%                 ,                       ,                     ,2.0%                  ,                               ,4.0%             ,                         ,                         ,               ,1.0%                 ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1025,B,  4,H, 1,  40.00,     24.4000,Su       ,Nannofossils                                 ,T              ,G                 ,5.0%                     ,                         ,11.0%                ,                 ,3.6%                  ,                       ,                     ,                      ,                               ,80.0%            ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1025,B,  4,H, 3, 110.00,     28.1000,Su       ,Nannofossils                                 ,T              ,VG                ,1.0%                     ,                         ,3.0%                 ,                 ,1.9%                  ,                       ,                     ,1.0%                  ,                               ,92.0%            ,1.0%                     ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1025,B,  4,H, 5,  35.00,     30.3500,Su       ,Nannofossils                                 ,P              ,G                 ,25.0%                    ,                         ,                     ,                 ,                      ,                       ,                     ,                      ,                               ,75.0%            ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1025,B,  4,H, 7,  14.00,     33.1400,Su       ,Nannofossils                                 ,F              ,M-G               ,22.0%                    ,                         ,10.0%                ,                 ,66.8%                 ,                       ,                     ,                      ,                               ,                 ,1.0%                     ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1025,B,  5,H, 1,  43.00,     33.9300,Su       ,Nannofossils                                 ,R              ,G                 ,16.0%                    ,2.0%                     ,2.0%                 ,                 ,80.2%                 ,                       ,                     ,                      ,                               ,                 ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1025,B,  5,H, 3,  40.00,     36.9000,Su       ,Nannofossils                                 ,R              ,M-G               ,6.0%                     ,2.0%                     ,2.0%                 ,                 ,85.1%                 ,                       ,5.0%                 ,                      ,                               ,                 ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1025,B,  5,H, 5,  40.00,     39.9000,Su       ,Nannofossils                                 ,F              ,G                 ,10.0%                    ,1.0%                     ,5.0%                 ,                 ,81.2%                 ,                       ,                     ,                      ,                               ,                 ,                         ,1.0%                     ,1.0%           ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1025,B,  5,H, 7,  53.00,     43.0300,Su       ,Nannofossils                                 ,F              ,M-G               ,6.0%                     ,                         ,5.0%                 ,                 ,86.7%                 ,                       ,1.0%                 ,                      ,                               ,                 ,1.0%                     ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1025,B,  6,H, 1,  78.00,     43.7800,Su       ,Nannofossils                                 ,R              ,M-G               ,12.0%                    ,3.0%                     ,1.0%                 ,                 ,78.4%                 ,                       ,6.0%                 ,                      ,                               ,                 ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1025,B,  6,H, 3, 105.00,     47.0500,Su       ,Nannofossils                                 ,T              ,G                 ,29.0%                    ,                         ,14.0%                ,                 ,57.1%                 ,                       ,                     ,                      ,                               ,                 ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1025,B,  7,H, 1,  35.00,     52.8500,Su       ,Nannofossils                                 ,P              ,G                 ,36.0%                    ,                         ,29.0%                ,                 ,21.4%                 ,                       ,                     ,                      ,                               ,14.0%            ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Cenozoic         ,                 ,                  ,              ,168,1025,B,  7,H, 5, 104.00,     59.5400,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                         ,A                    ,                 ,                      ,                       ,                     ,                      ,                               ,                 ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1025,B,  8,H, 3,  90.00,     65.9000,Su       ,Nannofossils                                 ,P              ,M-G               ,13.0%                    ,                         ,65.0%                ,                 ,                      ,                       ,                     ,                      ,                               ,25.0%            ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1025,B,  8,H, 5,  90.00,     68.9000,Su       ,Nannofossils                                 ,P              ,M-G               ,36.0%                    ,8.0%                     ,20.0%                ,                 ,32.0%                 ,                       ,                     ,                      ,                               ,4.0%             ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,168,1025,B,  9,X,CC,  20.00,     71.7000,Su       ,Nannofossils                                 ,B              ,                  ,                         ,                         ,                     ,                 ,                      ,                       ,                     ,                      ,+                              ,                 ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1025,B, 10,X, 2,  60.00,     83.2000,Su       ,Nannofossils                                 ,C              ,VG                ,59.0%                    ,22.0%                    ,1.0%                 ,                 ,15.1%                 ,                       ,2.0%                 ,1.0%                  ,                               ,                 ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1025,B, 10,X, 4,  50.00,     86.1000,Su       ,Nannofossils                                 ,D              ,M-G               ,19.0%                    ,4.0%                     ,3.0%                 ,                 ,1.5%                  ,65.0%                  ,7.0%                 ,                      ,                               ,                 ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1025,B, 10,X, 6,  74.00,     89.3400,Su       ,Nannofossils                                 ,A              ,M-G               ,64.0%                    ,30.0%                    ,1.0%                 ,                 ,6.0%                  ,                       ,                     ,                      ,                               ,                 ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1025,B, 11,X, 1,  10.00,     90.8000,Su       ,Nannofossils                                 ,A              ,P-M               ,90.0%                    ,2.0%                     ,1.0%                 ,1.0%             ,7.1%                  ,                       ,                     ,                      ,                               ,                 ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1025,B, 11,X, 4,  32.00,     95.5200,Su       ,Nannofossils                                 ,A              ,M-G               ,92.0%                    ,4.0%                     ,4.0%                 ,                 ,                      ,                       ,                     ,                      ,                               ,                 ,                         ,                         ,               ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
