Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Turrilina brevispira	Stilostomella sp. cf. S. fistuca	Stilostomella lepidula	Stilostomella abyssorum	Pullenia bulloides	Pleurostomella brevis	Pleurostomella alternans	Parrelloides sp. cf. P. soendaensis	Parafissurina pseudomarginata	Parafissurina lateralis	Oridorsalis umbonatus	Oridorsalis pauciapertura	Nuttallides umbonifera	Melonis pacificus	Lagena acuticosta	Gyroidinoides lamarckianus	Gyroidina soldanii	Globulina flexa	Globocassidulina subglobosa	Fissurina marginata	Fissurina kerguelenensis	Fissurina fimbriata var.	Evolvocassidulina brevis	Eggerella bradyi	Dentalina spp.	Cibicidoides eocaenus	Cassidulina havanensis	Cassidulina carapitana	Burseolina sp. A	Bulimina trinitatensis	Bulimina palmerae	Bulimina glomarchallengeri	Brizalina capitata	Bolivina rhomboidalis	Astrononion stelligerum	Ammobaculites sp.	Uvigerina peregrina	Uvigerina hispidocostata	Tosaia hanzawai	Textularia sp.	Stilostomella sp.	Sphaeroidina compacta	Siphotextularia sp.	Quadratobuliminella pyramidalis	Pullenia quinqueloba	Pleurostomella subnodosa	Parrelloides bradyi	Parafissurina uncifera	Parafissurina arctica	Oridorsalis tener	Nonion planatum	Nodosaria pyrula	Lagena parri	Gyroidina orbicularis	Gyroidina altiformis	Globocassidulina subtumida	Glandulina laevigata	Fissurina fimbriata	Fissurina auriculata	Cibicidoides laurisae	Cibicides sp.	Cassidulina norvangi	Burseolina marshallana	Brizalina sp.	Anomalinoides glabrata	Amphicoryna hirsuta	Robulus sp.	Oolina sp.	Oolina globosa	Melonis sphaeroides	Lagena striata	Globocassidulina moluccensis	Fissurina orbignyana	Discorbinella biconcavus	Cibicidoides mediocris	Bulimina whitei	Bulimina rostrata	Brizalina seminuda	Astacolus sp.	Amphistegina sp.	Stilostomella consobrina	Pleurostomella rapa	Osangularia culter	Nodosaria sp.	Lagena williamsoni	Lagena advena	Gyroidina sp. cf. G. orbicularis	Globocassidulina sp. cf. G. decorata	Globocassidulina sp.	Favocassidulina favus	Ehrenbergina hystrix	Uvigerina proboscidea	Trifarina bradyi	Rectobolivina raphana	Pleurostomella sp. A	Planulina ariminensis	Paracassidulina quasicarinata	Lagena gracilis	Gyroidinoides nipponicus	Gyroidina broeckhiana	Globocassidulina parva	Globocassidulina paratortuosa	Globocassidulina ornata	Globocassidulina mucronata	Globocassidulina elegans	Globocassidulina brocha	Elphidium advena	Ehrenbergina marwicki	Cribrorbulina serpens	Cibicides wuellerstorfi	Cibicides refulgens	Cibicides lobatulus	Cibicides aknerianus	Cassidulina? perumbonata	Cassidulina carinata	Bolivina robusta	Rutherfordoides cornuta	Quinqueloculina sp.	Pyrgo lucernula	Parafrondicularia helenae	Parafissurina sp.	Paracassidulina sulcata	Laticarinina pauperata	Lagena sp.	Lagena laevis	Hanzawaia sp.	Globocassidulina sp. cf. G. crassa	Fissurina clathrata	Ehrenbergina trigona	Discorbis mira	Discorbinella bertheloti	Brizalina decussata	Amphicoryna sublineata	Valvulineria sp. C	Uvigerina porrecta	Triloculina trigonula	Stilostomella sp. cf. S. lepidula	Sphaeroidina sp.	Robulus gibbus	Paracassidulina sp. cf. P. sulcata	Paracassidulina neocarinata	Orthomorphina challengeriana	Oolina apiopleura	Lagena sulcata spicata	Lagena sulcata laevicostata	Lagena plumigera	Globocassidulina oribunda	Globocassidulina crassa	Fissurina sp.	Ehrenbergina bicornis	Cibicides robertsonianus	Bulimina sp.	Bolivina earlandi	Amphicoryna scalaris	Abditodentrix asketocomptella	Rosalina floridana	Quinqueloculina seminulum	Pyrgo murrhina	Pullenia sp.	Pseudopolymorphina ligua	Lagena gracillima	Gavelinopsis praegeri	Fissurina lucida	Ehrenbergina pacifica	Cibicidoides sp.	Brizalina vescistriata	Astacolus crepidulus	Anomalinoides semicribratus	Trifarina angulosa	Pseudoparrella  exigua	Nuttallides sp	Nonionella sp.	Melonis barleeanus	Lagena stratopunctata	Eponides tumidulus	Brizalina macella	Anomalinoides globulosus	Uvigerina hispida	Sphaeroidina bulloides	Sigmoilopsis schlumbergeri	Quinqueloculina vulgaris	Oridorsalis sp. cf. O. tener	Lagena paradoxa	Lagena hispidula	Hoeglundina elegans	Fursenkoina complanata	Fissurina sp. cf. F. formosa favosa	Fissurina orbignyana var.	Fijiella simplex	Evolvocassidulina cf. brevis	Ceratobolivina pacifica	Burseolina pacifica	Brizalina pseudobeyrichi	Bolivinita quadrilatera	Valvulineria gunjii	Rutherfordoides tenuis	Pseudononion sp.	Laticarinina altocamerata	Globocassidulina oriangulata	Globobulimina pupoides	Globobulimina pacifica	Globobulimina auriculata	Bulimina ampliaperture	Bolivinita compressa	Pullenia sp. cf. P. quinqueloba	Pseudoparrella sp. cf. P. exigua	Melonis sp.	Globocassidulina parviapertura	Bulimina striata	Bulimina marginata	Bulimina aculeata	Bronnimannia hiliotis	Allomorphina pacifica	Virgulina pauciloculata	Trifarina occidentalis	Reusella spp.	Pullenia salisburyi	Pseudoeponides sp.	Patellinella jugosa	Lagena substriata	Gyroidinoides sp. cf. G.nipponicus	Fissurina sp.	Fissurina radiata striatula	Chilostomella oolina	Brizalina pygmaea	Brizalina hantkeniana	Brizalina alata	Bolivina subangularis	Anomalinoides sp. cf. A. glabrata	Uvigerina interrupta	Stainforthia exilis	Rutherfordoides sp. 	Rectobolivina columellaris	Oolina melo	Lagena nebulosa	Fissurina danica	Chilostomella ovoidea	Brizalina plicatella	Bolivina subspinescens	Bolivina sp. cf. B. earlandi	Ammonia beccarii	Rutherfordoides sp. cf. R. tenuis	Robertina oceanica	Miliolinella circularis	Discorbinella subbertheloti	Brizalina karreriana	Bolivina subangularis leneata	Anomalinoides sp.	Trochammina pacifica	Trochammina discorbis	Rhizammina algaeformis	Rhabdammina abyssorum	Reophax sp.	Recurvoides sp.	Pseudononion auricula	Hormosina globulifera	Cystammina pauciloculata	Bathysiphon sp. 	Astrononion novozealandicum	Comment

  SR	                 	                 	                  	              	134	 828	A	  5	H	 1	  50.00	     33.4000	Akimoto  	Benthic Foraminifers                         	               	                  	                    	                                	                      	                       	2                 	                     	                        	                                   	1                            	                       	2                    	                         	3                     	2                	                 	2                         	2                 	               	12                         	1                  	2                       	                        	                        	1               	              	                     	                      	                      	                	                      	                 	                          	                  	                     	3                      	                 	                   	1                       	               	1             	                 	                     	                   	                               	1                   	                        	                   	                      	                     	11               	               	                	            	                     	                    	                          	                    	                   	                    	                     	             	                    	                      	             	2                     	                   	           	          	              	                   	              	1                           	                    	                        	                      	               	1                	1                 	             	                	                        	                   	                  	             	                  	             	                                	                                    	1                   	3                    	                    	1                    	                	                     	                    	                     	                             	               	2                       	                     	                      	                             	                       	5                         	                        	                       	                	                     	                     	                       	                   	                   	                    	                        	2                   	                	                       	                   	               	                         	2                	                       	                      	          	1            	             	                                  	                   	                    	              	                        	                   	                      	                  	                  	                     	                                 	                	              	                                  	2                          	                            	                 	1                     	                           	                	                         	4                      	1            	                     	2                       	            	                 	                    	5                            	                  	                         	              	            	                        	                 	14                   	                	                     	                	                      	                    	                           	                  	5                     	              	              	1                 	                     	                  	                 	                        	                 	1                     	2                         	                        	                            	1              	                	                   	1                     	                                   	                         	                	                            	                       	                   	                        	                       	1                  	                      	1               	                         	                            	1                     	                      	                        	                      	                    	5                              	2                               	1          	6                             	1               	2                 	1                	1                    	1                    	                       	                      	             	                   	                  	                   	                 	                                  	             	                           	                    	                 	                     	               	                     	                                 	                    	                   	                    	                          	           	               	                	                     	                    	                      	                            	                	                                 	                  	                       	                           	                    	                             	                 	                    	                     	                      	                     	           	               	                     	                     	                        	                	                           	Misc. agglut. forams = 0; Misc calc. forams =  3; Total agglut. forams =  2; Total calc. forams = 116; Total benthic forams =  118; from ODP 134 SR Chapter 12 Table 3 backpocket

  SR	                 	                 	                  	              	134	 828	A	  6	H	 1	  49.00	     42.8900	Akimoto  	Benthic Foraminifers                         	               	                  	                    	                                	                      	                       	3                 	                     	                        	                                   	                             	                       	1                    	                         	4                     	1                	                 	8                         	                  	               	                           	1                  	1                       	                        	                        	                	              	                     	                      	                      	                	                      	                 	                          	                  	                     	3                      	1                	                   	                        	2              	              	                 	                     	                   	                               	                    	                        	                   	                      	                     	3                	               	                	            	                     	                    	                          	                    	                   	                    	                     	1            	                    	                      	             	                      	1                  	           	          	              	                   	              	1                           	                    	                        	                      	               	                 	                  	             	                	                        	                   	2                 	             	                  	             	                                	                                    	2                   	                     	                    	1                    	                	                     	                    	                     	                             	               	                        	                     	                      	                             	                       	                          	                        	                       	                	                     	                     	                       	                   	                   	                    	                        	1                   	                	                       	                   	               	                         	                 	                       	                      	          	             	             	                                  	                   	                    	              	                        	                   	                      	                  	                  	                     	                                 	                	              	                                  	                           	                            	3                	                      	                           	                	                         	                       	1            	                     	                        	            	                 	                    	                             	                  	                         	              	            	                        	                 	8                    	                	                     	                	                      	                    	                           	                  	1                     	              	              	6                 	                     	                  	                 	                        	2                	                      	                          	1                       	                            	               	                	                   	                      	                                   	                         	                	                            	                       	                   	7                       	5                      	15                 	1                     	1               	1                        	5                           	1                     	1                     	2                       	1                     	1                   	                               	                                	           	                              	                	                  	                 	                     	                     	                       	                      	             	                   	                  	                   	                 	                                  	             	                           	                    	                 	                     	               	                     	                                 	                    	                   	                    	                          	           	               	                	                     	                    	                      	                            	                	                                 	                  	                       	                           	                    	                             	                 	                    	                     	                      	                     	           	               	                     	                     	                        	                	                           	Misc. agglut. forams = 0; Misc calc. forams =  1; Total agglut. forams =  1; Total calc. forams = 93; Total benthic forams =  94; from ODP 134 SR Chapter 12 Table 3 backpocket

  SR	                 	                 	                  	              	134	 828	A	  7	H	 1	  49.00	     52.3900	Akimoto  	Benthic Foraminifers                         	               	                  	                    	                                	                      	                       	7                 	                     	                        	                                   	1                            	                       	4                    	                         	21                    	3                	                 	3                         	2                 	               	46                         	2                  	2                       	                        	4                       	                	1             	                     	                      	                      	                	                      	                 	                          	                  	                     	7                      	                 	                   	                        	5              	1             	1                	                     	                   	                               	1                   	1                       	2                  	                      	                     	6                	               	                	            	3                    	1                   	                          	                    	                   	                    	                     	3            	                    	                      	             	                      	                   	1          	1         	              	                   	              	13                          	3                   	                        	                      	               	                 	                  	             	                	                        	                   	2                 	             	                  	             	                                	8                                   	                    	2                    	                    	3                    	                	                     	                    	                     	1                            	               	                        	                     	1                     	3                            	                       	12                        	3                       	                       	                	                     	                     	15                     	                   	2                  	                    	                        	                    	                	                       	                   	               	                         	3                	1                      	2                     	2         	1            	             	                                  	                   	1                   	              	                        	                   	                      	                  	                  	                     	                                 	1               	              	                                  	                           	                            	                 	                      	1                          	                	                         	11                     	6            	                     	                        	1           	                 	                    	                             	                  	                         	3             	            	                        	                 	13                   	                	                     	                	                      	1                   	                           	                  	5                     	              	              	                  	                     	2                 	                 	1                       	4                	1                     	1                         	1                       	3                           	1              	1               	4                  	1                     	1                                  	1                        	1               	12                          	2                      	1                  	1                       	7                      	                   	                      	                	                         	                            	                      	                      	                        	                      	                    	                               	                                	           	                              	                	                  	                 	                     	                     	                       	                      	             	                   	                  	                   	                 	                                  	             	                           	                    	                 	                     	               	                     	                                 	                    	                   	                    	                          	           	               	                	                     	                    	                      	                            	                	                                 	                  	                       	                           	                    	                             	                 	                    	                     	                      	                     	           	               	                     	                     	                        	                	                           	Misc. agglut. forams = 0; Misc calc. forams =  2; Total agglut. forams =  1; Total calc. forams = 295; Total benthic forams =  296; from ODP 134 SR Chapter 12 Table 3 backpocket

  SR	                 	                 	                  	              	134	 828	A	  7	H	 5	  49.00	     58.3900	Akimoto  	Benthic Foraminifers                         	               	                  	                    	                                	                      	                       	5                 	                     	                        	                                   	2                            	                       	2                    	1                        	9                     	1                	2                	3                         	                  	               	23                         	2                  	                        	                        	                        	                	              	                     	                      	                      	                	                      	                 	                          	                  	                     	3                      	                 	                   	1                       	2              	              	                 	1                    	1                  	                               	                    	                        	                   	                      	                     	1                	               	                	            	1                    	                    	                          	                    	                   	                    	                     	             	                    	                      	             	                      	                   	           	          	              	1                  	              	6                           	1                   	                        	1                     	               	3                	                  	             	                	                        	                   	                  	             	                  	             	1                               	                                    	                    	                     	                    	7                    	1               	                     	                    	1                    	2                            	               	1                       	                     	                      	1                            	14                     	                          	                        	8                      	                	                     	                     	7                      	                   	                   	                    	                        	                    	                	                       	                   	               	                         	                 	3                      	                      	1         	             	             	                                  	                   	                    	              	1                       	                   	                      	                  	1                 	                     	                                 	                	1             	                                  	1                          	                            	                 	                      	1                          	                	                         	3                      	             	                     	                        	            	                 	                    	                             	                  	                         	2             	            	                        	                 	12                   	                	                     	                	                      	                    	                           	1                 	1                     	1             	1             	3                 	1                    	2                 	10               	1                       	                 	                      	                          	                        	                            	               	                	                   	                      	                                   	                         	                	                            	                       	                   	                        	                       	                   	                      	                	                         	                            	                      	                      	                        	                      	                    	                               	                                	           	                              	                	                  	                 	                     	                     	                       	                      	             	                   	                  	                   	                 	                                  	             	                           	                    	                 	                     	               	                     	                                 	                    	                   	                    	                          	           	               	                	                     	                    	                      	                            	                	                                 	                  	                       	                           	                    	                             	                 	                    	                     	                      	                     	           	               	                     	                     	                        	                	                           	Misc. agglut. forams = 0; Misc calc. forams =  2; Total agglut. forams =  1; Total calc. forams = 161; Total benthic forams =  162; from ODP 134 SR Chapter 12 Table 3 backpocket

  SR	                 	                 	                  	              	134	 828	A	  7	H	 6	  49.00	     59.8900	Akimoto  	Benthic Foraminifers                         	               	                  	                    	                                	                      	                       	3                 	3                    	                        	                                   	6                            	                       	1                    	                         	7                     	                 	1                	3                         	1                 	               	22                         	1                  	                        	                        	                        	                	              	                     	                      	                      	                	                      	                 	                          	                  	                     	1                      	                 	                   	                        	5              	              	                 	                     	                   	                               	2                   	                        	                   	                      	                     	1                	               	                	1           	4                    	                    	1                         	                    	                   	                    	                     	1            	                    	                      	             	1                     	                   	           	          	              	1                  	              	6                           	                    	1                       	                      	               	6                	                  	             	                	                        	                   	8                 	             	                  	             	                                	                                    	                    	                     	                    	5                    	                	                     	                    	1                    	                             	               	                        	                     	                      	1                            	                       	1                         	1                       	5                      	                	                     	                     	5                      	                   	                   	                    	                        	                    	                	                       	                   	               	                         	                 	                       	1                     	          	             	             	                                  	                   	                    	              	                        	                   	                      	                  	1                 	                     	                                 	                	              	                                  	17                         	1                           	1                	                      	                           	                	                         	1                      	2            	                     	                        	            	                 	                    	1                            	1                 	3                        	1             	1           	1                       	1                	6                    	2               	2                    	2               	1                     	1                   	1                          	                  	                      	              	              	                  	                     	                  	                 	                        	                 	                      	                          	                        	                            	               	                	                   	                      	                                   	                         	                	                            	                       	                   	                        	                       	                   	                      	                	                         	                            	                      	                      	                        	                      	                    	                               	                                	           	                              	                	                  	                 	                     	                     	                       	                      	             	                   	                  	                   	                 	                                  	             	                           	                    	                 	                     	               	                     	                                 	                    	                   	                    	                          	           	               	                	                     	                    	                      	                            	                	                                 	                  	                       	                           	                    	                             	                 	                    	                     	                      	                     	           	               	                     	                     	                        	                	                           	Misc. agglut. forams = 0; Misc calc. forams =  0; Total agglut. forams =  0; Total calc. forams = 139; Total benthic forams =  139; from ODP 134 SR Chapter 12 Table 3 backpocket

  SR	                 	                 	                  	              	134	 828	A	  8	H	 1	  41.00	     61.8100	Akimoto  	Benthic Foraminifers                         	               	                  	                    	                                	7                     	3                      	8                 	                     	3                       	                                   	7                            	1                      	6                    	                         	1                     	                 	2                	                          	                  	               	46                         	                   	                        	                        	18                      	                	2             	                     	                      	                      	                	                      	                 	                          	                  	1                    	2                      	                 	                   	                        	2              	1             	                 	                     	                   	                               	                    	                        	1                  	                      	                     	2                	               	                	            	                     	                    	                          	                    	1                  	1                   	                     	2            	2                   	12                    	             	                      	3                  	           	          	1             	                   	              	                            	5                   	                        	5                     	               	                 	                  	             	                	                        	                   	6                 	             	                  	             	                                	1                                   	1                   	                     	                    	6                    	                	                     	2                   	                     	                             	               	1                       	                     	                      	3                            	1                      	                          	1                       	                       	                	                     	1                    	5                      	2                  	                   	                    	3                       	                    	1               	                       	                   	               	                         	2                	8                      	                      	          	             	             	                                  	                   	1                   	              	                        	                   	                      	1                 	5                 	1                    	1                                	1               	4             	3                                 	7                          	1                           	4                	1                     	1                          	1               	2                        	13                     	1            	14                   	2                       	3           	1                	2                   	1                            	                  	                         	              	            	                        	                 	                     	                	                     	                	                      	                    	                           	                  	                      	              	              	                  	                     	                  	                 	                        	                 	                      	                          	                        	                            	               	                	                   	                      	                                   	                         	                	                            	                       	                   	                        	                       	                   	                      	                	                         	                            	                      	                      	                        	                      	                    	                               	                                	           	                              	                	                  	                 	                     	                     	                       	                      	             	                   	                  	                   	                 	                                  	             	                           	                    	                 	                     	               	                     	                                 	                    	                   	                    	                          	           	               	                	                     	                    	                      	                            	                	                                 	                  	                       	                           	                    	                             	                 	                    	                     	                      	                     	           	               	                     	                     	                        	                	                           	Misc. agglut. forams = 0; Misc calc. forams =  3; Total agglut. forams =  1; Total calc. forams = 284; Total benthic forams =  285; from ODP 134 SR Chapter 12 Table 3 backpocket

  SR	                 	                 	                  	              	134	 828	A	  8	H	 1	  59.00	     61.9900	Akimoto  	Benthic Foraminifers                         	               	                  	                    	                                	8                     	4                      	                  	2                    	                        	                                   	                             	                       	8                    	                         	                      	                 	1                	3                         	1                 	               	82                         	4                  	                        	                        	5                       	                	1             	1                    	                      	                      	                	                      	                 	                          	                  	1                    	                       	                 	                   	                        	               	              	6                	                     	                   	                               	                    	                        	                   	                      	                     	                 	               	                	            	5                    	2                   	                          	                    	                   	                    	                     	             	                    	8                     	             	                      	                   	           	          	              	                   	              	                            	3                   	1                       	1                     	               	                 	                  	             	                	                        	                   	7                 	             	                  	             	2                               	1                                   	2                   	1                    	                    	10                   	8               	                     	11                  	                     	3                            	               	                        	                     	                      	21                           	                       	35                        	                        	                       	                	5                    	                     	3                      	                   	1                  	                    	                        	                    	3               	2                      	1                  	1              	1                        	1                	1                      	1                     	1         	1            	1            	1                                 	1                  	2                   	4             	1                       	7                  	1                     	                  	                  	                     	                                 	                	              	                                  	                           	                            	                 	                      	                           	                	                         	                       	             	                     	                        	            	                 	                    	                             	                  	                         	              	            	                        	                 	                     	                	                     	                	                      	                    	                           	                  	                      	              	              	                  	                     	                  	                 	                        	                 	                      	                          	                        	                            	               	                	                   	                      	                                   	                         	                	                            	                       	                   	                        	                       	                   	                      	                	                         	                            	                      	                      	                        	                      	                    	                               	                                	           	                              	                	                  	                 	                     	                     	                       	                      	             	                   	                  	                   	                 	                                  	             	                           	                    	                 	                     	               	                     	                                 	                    	                   	                    	                          	           	               	                	                     	                    	                      	                            	                	                                 	                  	                       	                           	                    	                             	                 	                    	                     	                      	                     	           	               	                     	                     	                        	                	                           	Misc. agglut. forams = 0; Misc calc. forams =  0; Total agglut. forams =  0; Total calc. forams = 302; Total benthic forams =  302; from ODP 134 SR Chapter 12 Table 3 backpocket

  SR	                 	                 	                  	              	134	 828	A	  8	H	 6	  36.00	     69.2600	Akimoto  	Benthic Foraminifers                         	               	                  	                    	                                	3                     	2                      	1                 	                     	1                       	                                   	                             	                       	1                    	                         	1                     	                 	                 	1                         	2                 	               	19                         	                   	                        	                        	1                       	                	2             	1                    	                      	                      	                	                      	                 	3                         	1                 	                     	1                      	                 	                   	                        	               	              	                 	                     	                   	                               	                    	                        	                   	                      	                     	                 	               	                	            	4                    	1                   	25                        	                    	2                  	                    	                     	1            	3                   	3                     	             	                      	                   	           	2         	              	                   	              	1                           	                    	3                       	1                     	               	2                	                  	             	                	                        	2                  	6                 	             	                  	             	2                               	                                    	1                   	                     	                    	3                    	2               	5                    	2                   	4                    	1                            	1              	1                       	1                    	1                     	5                            	5                      	3                         	3                       	4                      	1               	2                    	1                    	3                      	1                  	1                  	1                   	3                       	3                   	1               	                       	                   	               	                         	                 	                       	                      	          	             	             	                                  	                   	                    	              	                        	                   	                      	                  	                  	                     	                                 	                	              	                                  	                           	                            	                 	                      	                           	                	                         	                       	             	                     	                        	            	                 	                    	                             	                  	                         	              	            	                        	                 	                     	                	                     	                	                      	                    	                           	                  	                      	              	              	                  	                     	                  	                 	                        	                 	                      	                          	                        	                            	               	                	                   	                      	                                   	                         	                	                            	                       	                   	                        	                       	                   	                      	                	                         	                            	                      	                      	                        	                      	                    	                               	                                	           	                              	                	                  	                 	                     	                     	                       	                      	             	                   	                  	                   	                 	                                  	             	                           	                    	                 	                     	               	                     	                                 	                    	                   	                    	                          	           	               	                	                     	                    	                      	                            	                	                                 	                  	                       	                           	                    	                             	                 	                    	                     	                      	                     	           	               	                     	                     	                        	                	                           	Misc. agglut. forams = 0; Misc calc. forams =  1; Total agglut. forams =  0; Total calc. forams = 158; Total benthic forams = 158; from ODP 134 SR Chapter 12 Table 3 backpocket

  SR	                 	                 	                  	              	134	 828	A	  8	H	 6	  64.00	     69.5400	Akimoto  	Benthic Foraminifers                         	               	                  	16                  	                                	18                    	6                      	3                 	4                    	3                       	                                   	1                            	1                      	19                   	                         	5                     	                 	                 	4                         	1                 	1              	25                         	                   	                        	                        	3                       	                	3             	                     	2                     	4                     	1               	6                     	2                	2                         	                  	3                    	4                      	                 	                   	                        	               	              	2                	                     	                   	                               	1                   	1                       	2                  	                      	                     	1                	               	                	            	                     	4                   	                          	                    	                   	1                   	1                    	             	                    	2                     	             	                      	                   	1          	          	              	                   	              	4                           	1                   	1                       	                      	               	1                	                  	             	1               	4                       	1                  	1                 	3            	1                 	1            	2                               	4                                   	3                   	1                    	1                   	                     	                	                     	                    	                     	                             	               	                        	                     	                      	                             	                       	                          	                        	                       	                	                     	                     	                       	                   	                   	                    	                        	                    	                	                       	                   	               	                         	                 	                       	                      	          	             	             	                                  	                   	                    	              	                        	                   	                      	                  	                  	                     	                                 	                	              	                                  	                           	                            	                 	                      	                           	                	                         	                       	             	                     	                        	            	                 	                    	                             	                  	                         	              	            	                        	                 	                     	                	                     	                	                      	                    	                           	                  	                      	              	              	                  	                     	                  	                 	                        	                 	                      	                          	                        	                            	               	                	                   	                      	                                   	                         	                	                            	                       	                   	                        	                       	                   	                      	                	                         	                            	                      	                      	                        	                      	                    	                               	                                	           	                              	                	                  	                 	                     	                     	                       	                      	             	                   	                  	                   	                 	                                  	             	                           	                    	                 	                     	               	                     	                                 	                    	                   	                    	                          	           	               	                	                     	                    	                      	                            	                	                                 	                  	                       	                           	                    	                             	                 	                    	                     	                      	                     	           	               	                     	                     	                        	                	                           	Misc. agglut. forams = 0; Misc calc. forams =  2; Total agglut. forams =  0; Total calc. forams = 189; Total benthic forams =  189; from ODP 134 SR Chapter 12 Table 3 backpocket

  SR	                 	                 	                  	              	134	 828	A	  9	H	 1	  50.00	     71.4000	Akimoto  	Benthic Foraminifers                         	               	                  	44                  	1                               	13                    	4                      	6                 	5                    	                        	1                                  	1                            	                       	4                    	1                        	4                     	                 	                 	1                         	                  	               	23                         	1                  	                        	                        	3                       	1               	4             	3                    	1                     	3                     	3               	                      	                 	5                         	3                 	2                    	                       	1                	1                  	                        	               	              	1                	                     	2                  	                               	2                   	2                       	                   	2                     	                     	21               	2              	1               	            	                     	                    	                          	                    	1                  	                    	                     	1            	                    	                      	             	                      	1                  	4          	1         	1             	1                  	1             	1                           	3                   	1                       	1                     	3              	2                	3                 	1            	1               	                        	                   	                  	             	                  	             	                                	                                    	                    	                     	                    	                     	                	                     	                    	                     	                             	               	                        	                     	                      	                             	                       	                          	                        	                       	                	                     	                     	                       	                   	                   	                    	                        	                    	                	                       	                   	               	                         	                 	                       	                      	          	             	             	                                  	                   	                    	              	                        	                   	                      	                  	                  	                     	                                 	                	              	                                  	                           	                            	                 	                      	                           	                	                         	                       	             	                     	                        	            	                 	                    	                             	                  	                         	              	            	                        	                 	                     	                	                     	                	                      	                    	                           	                  	                      	              	              	                  	                     	                  	                 	                        	                 	                      	                          	                        	                            	               	                	                   	                      	                                   	                         	                	                            	                       	                   	                        	                       	                   	                      	                	                         	                            	                      	                      	                        	                      	                    	                               	                                	           	                              	                	                  	                 	                     	                     	                       	                      	             	                   	                  	                   	                 	                                  	             	                           	                    	                 	                     	               	                     	                                 	                    	                   	                    	                          	           	               	                	                     	                    	                      	                            	                	                                 	                  	                       	                           	                    	                             	                 	                    	                     	                      	                     	           	               	                     	                     	                        	                	                           	Misc. agglut. forams = 1; Misc calc. forams =  4; Total agglut. forams =  5; Total calc. forams = 198; Total benthic forams =  203; from ODP 134 SR Chapter 12 Table 3 backpocket

  SR	                 	                 	                  	              	134	 828	A	 10	H	 1	  50.00	     80.9000	Akimoto  	Benthic Foraminifers                         	               	                  	39                  	                                	12                    	1                      	4                 	1                    	                        	                                   	                             	                       	9                    	                         	1                     	                 	                 	8                         	                  	1              	39                         	1                  	                        	                        	1                       	1               	2             	                     	2                     	1                     	14              	2                     	                 	5                         	3                 	2                    	5                      	3                	1                  	1                       	3              	4             	1                	3                    	1                  	2                              	1                   	1                       	1                  	3                     	1                    	6                	3              	1               	1           	5                    	2                   	2                         	1                   	2                  	1                   	1                    	5            	1                   	1                     	1            	1                     	4                  	           	          	              	                   	              	                            	                    	                        	                      	               	                 	                  	             	                	                        	                   	                  	             	                  	             	                                	                                    	                    	                     	                    	                     	                	                     	                    	                     	                             	               	                        	                     	                      	                             	                       	                          	                        	                       	                	                     	                     	                       	                   	                   	                    	                        	                    	                	                       	                   	               	                         	                 	                       	                      	          	             	             	                                  	                   	                    	              	                        	                   	                      	                  	                  	                     	                                 	                	              	                                  	                           	                            	                 	                      	                           	                	                         	                       	             	                     	                        	            	                 	                    	                             	                  	                         	              	            	                        	                 	                     	                	                     	                	                      	                    	                           	                  	                      	              	              	                  	                     	                  	                 	                        	                 	                      	                          	                        	                            	               	                	                   	                      	                                   	                         	                	                            	                       	                   	                        	                       	                   	                      	                	                         	                            	                      	                      	                        	                      	                    	                               	                                	           	                              	                	                  	                 	                     	                     	                       	                      	             	                   	                  	                   	                 	                                  	             	                           	                    	                 	                     	               	                     	                                 	                    	                   	                    	                          	           	               	                	                     	                    	                      	                            	                	                                 	                  	                       	                           	                    	                             	                 	                    	                     	                      	                     	           	               	                     	                     	                        	                	                           	Misc. agglut. forams = 0; Misc calc. forams =  5; Total agglut. forams =  9; Total calc. forams = 214; Total benthic forams =  223; from ODP 134 SR Chapter 12 Table 3 backpocket

