Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data,,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,row_index
329-U1370E-1H-3-A,329,U1370,E,1,1-3,H,3,A,30,40,3.3,3.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,14
329-U1370E-1H-3-A,329,U1370,E,1,1-3,H,3,A,50,90,3.5,3.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,15
329-U1370E-1H-3-A,329,U1370,E,1,1-3,H,3,A,100,110,4,4.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,16
329-U1370E-1H-3-A,329,U1370,E,1,1-3,H,3,A,120,130,4.2,4.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,17
329-U1370E-1H-4-A,329,U1370,E,1,1-4,H,4,A,0,30,4.5,4.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,18
329-U1370E-1H-4-A,329,U1370,E,1,1-4,H,4,A,60,110,5.1,5.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,19
329-U1370E-1H-4-A,329,U1370,E,1,1-4,H,4,A,130,142,5.8,5.92,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,20
329-U1370E-1H-CC-A,329,U1370,E,1,1-CC,H,CC,A,0,18,6.02,6.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,21
329-U1370E-2H-1-A,329,U1370,E,2,2-1,H,1,A,0,140,6.2,7.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,22
329-U1370E-2H-2-A,329,U1370,E,2,2-2,H,2,A,0,30,7.7,8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,23
329-U1370E-2H-2-A,329,U1370,E,2,2-2,H,2,A,60,110,8.3,8.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,24
329-U1370E-2H-2-A,329,U1370,E,2,2-2,H,2,A,130,140,9,9.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,25
329-U1370E-2H-3-A,329,U1370,E,2,2-3,H,3,A,0,40,9.2,9.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,26
329-U1370E-2H-3-A,329,U1370,E,2,2-3,H,3,A,60,110,9.8,10.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,27
329-U1370E-2H-3-A,329,U1370,E,2,2-3,H,3,A,130,140,10.5,10.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,28
329-U1370E-2H-4-A,329,U1370,E,2,2-4,H,4,A,0,20,10.7,10.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,29
329-U1370E-2H-4-A,329,U1370,E,2,2-4,H,4,A,60,130,11.3,12,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,30
329-U1370E-2H-5-A,329,U1370,E,2,2-5,H,5,A,0,30,12.2,12.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,31
329-U1370E-2H-5-A,329,U1370,E,2,2-5,H,5,A,60,140,12.8,13.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,32
329-U1370E-2H-6-A,329,U1370,E,2,2-6,H,6,A,0,113,13.7,14.83,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,33
329-U1370E-2H-7-A,329,U1370,E,2,2-7,H,7,A,0,46,14.93,15.39,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,34
329-U1370E-2H-CC-A,329,U1370,E,2,2-CC,H,CC,A,0,18,15.44,15.62,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,35
329-U1370E-3H-1-A,329,U1370,E,3,3-1,H,1,A,0,140,15.7,17.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,36
329-U1370E-3H-2-A,329,U1370,E,3,3-2,H,2,A,0,30,17.2,17.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,37
329-U1370E-3H-2-A,329,U1370,E,3,3-2,H,2,A,60,140,17.8,18.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,38
329-U1370E-3H-3-A,329,U1370,E,3,3-3,H,3,A,0,40,18.7,19.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,39
329-U1370E-3H-3-A,329,U1370,E,3,3-3,H,3,A,60,110,19.3,19.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,40
329-U1370E-3H-3-A,329,U1370,E,3,3-3,H,3,A,130,140,20,20.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,41
329-U1370E-3H-4-A,329,U1370,E,3,3-4,H,4,A,0,130,20.2,21.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,42
329-U1370E-3H-5-A,329,U1370,E,3,3-5,H,5,A,0,40,21.7,22.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,43
329-U1370E-3H-5-A,329,U1370,E,3,3-5,H,5,A,60,140,22.3,23.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,44
329-U1370E-3H-6-A,329,U1370,E,3,3-6,H,6,A,0,58,23.2,23.78,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,45
329-U1370E-3H-CC-A,329,U1370,E,3,3-CC,H,CC,A,0,31,23.88,24.19,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,46
329-U1370E-4H-1-A,329,U1370,E,4,4-1,H,1,A,0,140,25.2,26.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,47
329-U1370E-4H-2-A,329,U1370,E,4,4-2,H,2,A,0,30,26.7,27,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,48
329-U1370E-4H-2-A,329,U1370,E,4,4-2,H,2,A,60,140,27.3,28.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,49
329-U1370E-4H-3-A,329,U1370,E,4,4-3,H,3,A,0,110,28.2,29.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,50
329-U1370E-4H-3-A,329,U1370,E,4,4-3,H,3,A,130,140,29.5,29.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,51
329-U1370E-4H-4-A,329,U1370,E,4,4-4,H,4,A,0,130,29.7,31,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,52
329-U1370E-4H-5-A,329,U1370,E,4,4-5,H,5,A,0,40,31.2,31.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,53
329-U1370E-4H-5-A,329,U1370,E,4,4-5,H,5,A,60,110,31.8,32.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,54
329-U1370E-4H-5-A,329,U1370,E,4,4-5,H,5,A,130,140,32.5,32.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,55
329-U1370E-4H-6-A,329,U1370,E,4,4-6,H,6,A,0,56,32.7,33.26,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,56
329-U1370E-4H-CC-A,329,U1370,E,4,4-CC,H,CC,A,0,17,33.26,33.43,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,57
329-U1370E-5H-1-A,329,U1370,E,5,5-1,H,1,A,0,140,34.7,36.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,58
329-U1370E-5H-2-A,329,U1370,E,5,5-2,H,2,A,0,30,36.2,36.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,59
329-U1370E-5H-2-A,329,U1370,E,5,5-2,H,2,A,60,134,36.8,37.54,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,60
329-U1370E-5H-3-A,329,U1370,E,5,5-3,H,3,A,0,20,37.64,37.84,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,61
329-U1370E-5H-3-A,329,U1370,E,5,5-3,H,3,A,60,140,38.24,39.04,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,62
329-U1370E-5H-4-A,329,U1370,E,5,5-4,H,4,A,0,20,39.14,39.34,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,63
329-U1370E-5H-4-A,329,U1370,E,5,5-4,H,4,A,60,130,39.74,40.44,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,64
329-U1370E-5H-5-A,329,U1370,E,5,5-5,H,5,A,0,40,40.64,41.04,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,65
329-U1370E-5H-5-A,329,U1370,E,5,5-5,H,5,A,60,140,41.24,42.04,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,66
329-U1370E-5H-6-A,329,U1370,E,5,5-6,H,6,A,0,60,42.14,42.74,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,67
329-U1370E-5H-7-A,329,U1370,E,5,5-7,H,7,A,0,51,42.84,43.35,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,68
329-U1370E-5H-CC-A,329,U1370,E,5,5-CC,H,CC,A,0,19,43.35,43.54,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,69
329-U1370E-6H-1-A,329,U1370,E,6,6-1,H,1,A,0,140,44.2,45.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,70
329-U1370E-6H-2-A,329,U1370,E,6,6-2,H,2,A,0,10,45.7,45.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,71
329-U1370E-6H-2-A,329,U1370,E,6,6-2,H,2,A,60,133,46.3,47.03,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,72
329-U1370E-6H-3-A,329,U1370,E,6,6-3,H,3,A,0,140,47.13,48.53,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,73
329-U1370E-6H-4-A,329,U1370,E,6,6-4,H,4,A,0,130,48.63,49.93,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,74
329-U1370E-6H-5-A,329,U1370,E,6,6-5,H,5,A,0,40,50.13,50.53,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,75
329-U1370E-6H-5-A,329,U1370,E,6,6-5,H,5,A,60,100,50.73,51.13,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,76
329-U1370E-6H-CC-A,329,U1370,E,6,6-CC,H,CC,A,0,33,51.23,51.56,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,77
329-U1370E-7H-1-A,329,U1370,E,7,7-1,H,1,A,0,131,53.7,55.01,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,78
329-U1370E-7H-2-A,329,U1370,E,7,7-2,H,2,A,0,96,55.01,55.97,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,79
329-U1370E-7H-CC-A,329,U1370,E,7,7-CC,H,CC,A,0,16,55.97,56.13,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,80
329-U1370E-8H-1-A,329,U1370,E,8,8-1,H,1,A,0,85,56.1,56.95,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,81
329-U1370E-8H-2-A,329,U1370,E,8,8-2,H,2,A,0,150,56.95,58.45,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,82
329-U1370E-8H-3-A,329,U1370,E,8,8-3,H,3,A,0,150,58.45,59.95,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,83
329-U1370E-8H-4-A,329,U1370,E,8,8-4,H,4,A,0,150,59.95,61.45,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,84
329-U1370E-8H-5-A,329,U1370,E,8,8-5,H,5,A,0,150,61.45,62.95,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,85
329-U1370E-8H-6-A,329,U1370,E,8,8-6,H,6,A,0,150,62.95,64.45,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,86
329-U1370E-8H-7-A,329,U1370,E,8,8-7,H,7,A,0,76,64.45,65.21,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,87
329-U1370E-8H-CC-A,329,U1370,E,8,8-CC,H,CC,A,0,14,65.21,65.35,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,88
329-U1370E-9H-1-A,329,U1370,E,9,9-1,H,1,A,0,20,62.1,62.3,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,89
329-U1370E-9H-1-A,329,U1370,E,9,9-1,H,1,A,60,150,62.7,63.6,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,90
329-U1370E-9H-2-A,329,U1370,E,9,9-2,H,2,A,0,30,63.6,63.9,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,91
329-U1370E-9H-2-A,329,U1370,E,9,9-2,H,2,A,60,140,64.2,65,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,92
329-U1370E-9H-3-A,329,U1370,E,9,9-3,H,3,A,0,41,65.1,65.51,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,93
329-U1370E-9H-3-A,329,U1370,E,9,9-3,H,3,A,51,150,65.61,66.6,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,94
329-U1370E-9H-4-A,329,U1370,E,9,9-4,H,4,A,0,141,66.6,68.01,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,95
329-U1370E-9H-5-A,329,U1370,E,9,9-5,H,5,A,0,131,68.01,69.32,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,96
329-U1370E-9H-6-A,329,U1370,E,9,9-6,H,6,A,0,140,69.32,70.72,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,97
329-U1370E-9H-7-A,329,U1370,E,9,9-7,H,7,A,0,78,70.72,71.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,98
329-U1370E-9H-CC-A,329,U1370,E,9,9-CC,H,CC,A,0,26,71.5,71.76,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,100
