Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
317-U1354A-2H-2-A,317,U1354,A,2,2-2,H,2,A,10,120,5.4,6.5,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",micaceous homogeneous well-sorted v.f-f. sand.  ,,,,,
317-U1354A-2H-2-A,317,U1354,A,2,2-2,H,2,A,120,140,6.5,6.7,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision","well-sorted mdy v.f. sand, homogeneous micaceous.",,,,,
317-U1354A-2H-3-A,317,U1354,A,2,2-3,H,3,A,0,50,6.8,7.3,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision","well-sorted mdy v.f. sand, homogeneous micaceous.",,,,,
317-U1354A-2H-3-A,317,U1354,A,2,2-3,H,3,A,50,140,7.3,8.2,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","homogeneous micaceous v.f.-f. sandy mud (mostly v.f. in lower part), with scattered common shell fragments.  ",,,,,
317-U1354A-2H-4-A,317,U1354,A,2,2-4,H,4,A,0,130,8.3,9.6,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","homogeneous micaceous v.f.-f. sandy mud, with scattered rare shell fragments.  30cm at bottom is less amount of sand.",,,,,
317-U1354A-2H-5-A,317,U1354,A,2,2-5,H,5,A,0,140,9.8,11.2,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","homogeneous micaceous mud (silty, with a few v.f. sand), with scattered rare shell fragments.  ",,,,,
317-U1354A-2H-6-A,317,U1354,A,2,2-6,H,6,A,0,86,11.3,12.16,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","homogeneous micaceous mud (silty, with a few v.f. sand), with scattered rare shell fragments.  ",,,,,
317-U1354A-2H-CC-A,317,U1354,A,2,2-CC,H,CC,A,0,21,12.26,12.47,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","homogeneous micaceous mud (silty, with a few v.f. sand), with scattered rare shell fragments.  ",,,,,
317-U1354A-3H-1-A,317,U1354,A,3,3-1,H,1,A,0,7,13.3,13.37,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,slightly consolidated,,,"Shepard, 1954; Wentworth, 1922",Poorly sorted vf-m (mostly f) sand with common shell fragments and a trace amount of mud.  The shell fragments types are the same as identified in the shell hash but smaller (<0.5 cm) in size,,,,,
317-U1354A-3H-1-A,317,U1354,A,3,3-1,H,1,A,7,44,13.37,13.74,,Shell hash,,Shell hash,,loose,,,Leg 150,"Sandy shell hash containing poorly sorted vf-m (mostly f) sand and a trace amount of mud.  Shells include fragments to complete valves of the bivalve Tawera; fragments to complete gastropod (Stirocolpus) shells; echinoid spines, and benthic foraminifera",,,,,
317-U1354A-3H-1-A,317,U1354,A,3,3-1,H,1,A,44,53,13.74,13.83,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,consolidated,,,"Shepard, 1954; Wentworth, 1922",Poorly sorted vf-m (mostly f) sand with rare shell fragments and a trace amount of mud.  The shell fragment types are from the same sources identified in the shell hash but smaller (<0.5 cm) in size,,,,,
317-U1354A-3H-CC-A,317,U1354,A,3,3-CC,H,CC,A,0,16,13.83,13.99,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,consolidated,,,"Shepard, 1954; Wentworth, 1922",Poorly sorted vf-m (mostly f) sand with common shell fragments (mostly sand sized to a few mm) and a trace amount of mud.  The shell fragment types are the same as those identified in the shell hash.,,,,,
317-U1354A-5H-CC-A,317,U1354,A,5,5-CC,H,CC,A,0,28,14.3,14.58,,Shell hash,,Shell hash,,loose,,,Leg 150,"Shell hash contains minor amounts of poorly sorted vf-c (mostly f) angular to sub-rounded sand.  Shells include fragments to complete valves of the bivalve Tawera; fragments to complete gastropod (Stirocolpus) shells; echinoid spines, and benthic foraminifera. A well rounded quartz pebble ( 9x7x5 mm) is found in the shell hash.",,,,,
317-U1354A-5H-CC-A,317,U1354,A,5,5-CC,H,CC,A,28,38,14.58,14.68,,Muddy Sand [S54-Leg183],,Muddy Sand,,consolidated,,,"Shepard, 1954 - Leg 183 revision",Poorly sorted vf-f (mostly f) muddy sand with common shell fragments.  The shell fragments are mostly bivalve and are small (<1 cm),,,,,
317-U1354A-6H-1-A,317,U1354,A,6,6-1,H,1,A,0,13,16.3,16.43,,Shell hash,,Shell hash,,friable,,,Leg 150,"Shell hash dominated by Tawera (adult and juvenile), Stirocolpus. No matrix. ",,,,,
317-U1354A-6H-1-A,317,U1354,A,6,6-1,H,1,A,13,130,16.43,17.6,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",Mud with a few percent v f sand. ,,,,,
317-U1354A-6H-2-A,317,U1354,A,6,6-2,H,2,A,0,140,17.8,19.2,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",Mud with a few percent v f sand. ,,,,,
317-U1354A-6H-3-A,317,U1354,A,6,6-3,H,3,A,0,130,19.3,20.6,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",Mud with a few percent v f sand. ,,,,,
317-U1354A-6H-4-A,317,U1354,A,6,6-4,H,4,A,0,51,20.8,21.31,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",Mud with a few percent v f sand. ,,,,,
317-U1354A-6H-4-A,317,U1354,A,6,6-4,H,4,A,51,53,21.31,21.33,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",well sorted v f to f (mostly f) micaceous lithic sand.,,,,,
317-U1354A-6H-4-A,317,U1354,A,6,6-4,H,4,A,53,65,21.33,21.45,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-6H-4-A,317,U1354,A,6,6-4,H,4,A,65,66,21.45,21.46,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1354A-6H-4-A,317,U1354,A,6,6-4,H,4,A,66,78,21.46,21.58,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-6H-4-A,317,U1354,A,6,6-4,H,4,A,78,80,21.58,21.6,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1354A-6H-4-A,317,U1354,A,6,6-4,H,4,A,80,95,21.6,21.75,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-6H-4-A,317,U1354,A,6,6-4,H,4,A,95,107,21.75,21.87,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1354A-6H-4-A,317,U1354,A,6,6-4,H,4,A,107,123,21.87,22.03,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-6H-4-A,317,U1354,A,6,6-4,H,4,A,123,127,22.03,22.07,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1354A-6H-5-A,317,U1354,A,6,6-5,H,5,A,0,45,22.18,22.63,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1354A-6H-5-A,317,U1354,A,6,6-5,H,5,A,45,128,22.63,23.46,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1354A-6H-6-A,317,U1354,A,6,6-6,H,6,A,0,69,23.56,24.25,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1354A-7H-1-A,317,U1354,A,7,7-1,H,1,A,0,119,24.8,25.99,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","very well-sorted quartz-rich Uv.f.-Lf. sand, with abundant shell fragments those are totally broken and very thin (2-4mm).  ",,,,,
317-U1354A-7H-2-A,317,U1354,A,7,7-2,H,2,A,0,120,25.99,27.19,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","very well-sorted quartz-rich Uv.f.-Lf. sand, with abundant shell fragments those are totally broken and very thin (2-4mm).  ",,,,,
317-U1354A-7H-3-A,317,U1354,A,7,7-3,H,3,A,0,103,27.29,28.32,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","very well-sorted quartz-rich Uv.f.-Lf. sand, with abundant shell fragments those are totally broken and very thin (2-4mm).  ",,,,,
317-U1354A-7H-4-A,317,U1354,A,7,7-4,H,4,A,0,98,28.32,29.3,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","very well-sorted quartz-rich Uv.f.-Lf. sand, with abundant shell fragments those are totally broken and very thin (2-4mm).  ",,,,,
317-U1354A-7H-5-A,317,U1354,A,7,7-5,H,5,A,0,110,29.3,30.4,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","very well-sorted quartz-rich Uv.f.-Lf. sand, with abundant shell fragments those are totally broken and very thin (2-4mm).  ",,,,,
317-U1354A-7H-6-A,317,U1354,A,7,7-6,H,6,A,0,88,30.4,31.28,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","very well-sorted quartz-rich Uv.f.-Lf. sand, with abundant shell fragments those are totally broken and very thin (2-4mm).  ",,,,,
317-U1354A-7H-CC-A,317,U1354,A,7,7-CC,H,CC,A,0,5,31.28,31.33,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","very well-sorted quartz-rich Uv.f.-Lf. sand, with abundant shell fragments those are totally broken and very thin (2-4mm).  ",,,,,
317-U1354A-8H-1-A,317,U1354,A,8,8-1,H,1,A,0,52,31.3,31.82,,Shell hash,,Shell hash,,loose,,,Leg 150,"Shell hash dominated by Stirocolpus and Tawera , lesser Dentatium, Dosinia, Cominella.  Both adult and juvenile forms of Tawera.  Likely fall-in.",,,,,
317-U1354A-8H-1-A,317,U1354,A,8,8-1,H,1,A,52,64,31.82,31.94,,Mud [S54-Leg210],,Mud,,loose,,,"Shepard, 1954 - Leg 210 revision",Shelly mud.  Matrix is mud but with shells as in unit above.  Likely drilling disturbance.,,,,,
317-U1354A-8H-1-A,317,U1354,A,8,8-1,H,1,A,64,126,31.94,32.56,,Sandy Mud [S54-Leg183],,Sandy Mud,,firm,,,"Shepard, 1954 - Leg 183 revision","vf sandy mud, micaceous with abundant shells scattered throughout, dominated by Tawera. Shells form diffuse layer at 103-104 cm.",,,,,
317-U1354A-8H-1-A,317,U1354,A,8,8-1,H,1,A,126,130,32.56,32.6,,Mud [S54-Leg210],,Mud,,firm,,,"Shepard, 1954 - Leg 210 revision",mud with a few % vf sand.  no shells,,,,,
317-U1354A-8H-2-A,317,U1354,A,8,8-2,H,2,A,0,90,32.8,33.7,,mud [S54-Leg210],,mud,,firm,,,"Shepard, 1954 - Leg 210 revision",mud with a few % vf sand.  Slightly color mottled due to burrows.  Burrows appear to be vf sand-filled + mud-filled.  Rare Stiracolpus scattered throughout.  Calcareous. Concentrated Stiracolpus shells at 72-78 within vf to f sandy matrix-?storm deposit,,,,,
317-U1354A-8H-2-A,317,U1354,A,8,8-2,H,2,A,90,95,33.7,33.75,,Mud [S54-Leg210],,Mud,,firm,,,"Shepard, 1954 - Leg 210 revision",clay-rich mud bed,,,,,
317-U1354A-8H-2-A,317,U1354,A,8,8-2,H,2,A,95,139,33.75,34.19,,Sandy Mud [S54-Leg183],,Sandy Mud,,firm,,,"Shepard, 1954 - Leg 183 revision",vf micaceous sandy mud.  Homogeneous.  Rare Sitracolpus shells throughout.,,,,,
317-U1354A-8H-3-A,317,U1354,A,8,8-3,H,3,A,0,140,34.3,35.7,,Sandy Mud [S54-Leg183],,Sandy Mud,,firm,,,"Shepard, 1954 - Leg 183 revision","vf micaceous, calcareous sandy mud.  Homogeneous.  Rare Sitracolpus shells throughout, but more concentrated at 7-11, 29-32, 48-52, 84-86, 135-139 cm.

Dark gray vf sand-filled burrows <2 mm diameter at 44 cm.",,,,,
317-U1354A-8H-4-A,317,U1354,A,8,8-4,H,4,A,0,130,35.8,37.1,,Sandy Mud [S54-Leg183],,Sandy Mud,,firm,,,"Shepard, 1954 - Leg 183 revision","vf micaceous, calcareous sandy mud.  Homogeneous.  Rare and scattered Sitracolpus shells throughout, but more diffusely concentrated at 7-10, 40-44, 50-58, 64-74, 108-115 cm.",,,,,
317-U1354A-8H-5-A,317,U1354,A,8,8-5,H,5,A,0,74,37.3,38.04,,Sandy Mud [S54-Leg183],,Sandy Mud,,firm,,,"Shepard, 1954 - Leg 183 revision","vf micaceous, calcareous sandy mud.  Homogeneous.  Rare and scattered Sitracolpus shells and some Tawera throughout.  Stiracolpus diffusely concentrated at 62-67 cm. Slight color mottling.",,,,,
317-U1354A-9H-1-A,317,U1354,A,9,9-1,H,1,A,0,6,38.3,38.36,,Shell hash,,Shell hash,,,,,Leg 150,soupy and possible cave-in,,,,,
317-U1354A-9H-1-A,317,U1354,A,9,9-1,H,1,A,6,29,38.36,38.59,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-1-A,317,U1354,A,9,9-1,H,1,A,29,33,38.59,38.63,,Shell bed,,Shell bed,,,,,Expedition 317,,,,,,
317-U1354A-9H-1-A,317,U1354,A,9,9-1,H,1,A,33,78,38.63,39.08,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-1-A,317,U1354,A,9,9-1,H,1,A,78,82,39.08,39.12,,Shell bed,,Shell bed,,,,,Expedition 317,,,,,,
317-U1354A-9H-1-A,317,U1354,A,9,9-1,H,1,A,82,130,39.12,39.6,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-2-A,317,U1354,A,9,9-2,H,2,A,0,19,39.8,39.99,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-2-A,317,U1354,A,9,9-2,H,2,A,19,25,39.99,40.05,,Shell bed,,Shell bed,,,,,Expedition 317,,,,,,
317-U1354A-9H-2-A,317,U1354,A,9,9-2,H,2,A,25,46,40.05,40.26,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-2-A,317,U1354,A,9,9-2,H,2,A,46,53,40.26,40.33,,Shell bed,,Shell bed,,,,,Expedition 317,,,,,,
317-U1354A-9H-2-A,317,U1354,A,9,9-2,H,2,A,53,117,40.33,40.97,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-2-A,317,U1354,A,9,9-2,H,2,A,117,121,40.97,41.01,,Shell bed,,Shell bed,,,,,Expedition 317,,,,,,
317-U1354A-9H-2-A,317,U1354,A,9,9-2,H,2,A,121,140,41.01,41.2,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-3-A,317,U1354,A,9,9-3,H,3,A,0,72,41.3,42.02,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-3-A,317,U1354,A,9,9-3,H,3,A,72,74,42.02,42.04,,Shell bed,,Shell bed,,,,,Expedition 317,,,,,,
317-U1354A-9H-3-A,317,U1354,A,9,9-3,H,3,A,74,140,42.04,42.7,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-4-A,317,U1354,A,9,9-4,H,4,A,0,10,42.8,42.9,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-4-A,317,U1354,A,9,9-4,H,4,A,10,17,42.9,42.97,,Shell bed,,Shell bed,,,,,Expedition 317,,,,,,
317-U1354A-9H-4-A,317,U1354,A,9,9-4,H,4,A,17,80,42.97,43.6,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-4-A,317,U1354,A,9,9-4,H,4,A,80,85,43.6,43.65,,Shell bed,,Shell bed,,,,,Expedition 317,,,,,,
317-U1354A-9H-4-A,317,U1354,A,9,9-4,H,4,A,85,130,43.65,44.1,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-5-A,317,U1354,A,9,9-5,H,5,A,0,140,44.3,45.7,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-6-A,317,U1354,A,9,9-6,H,6,A,0,20,45.8,46,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-6-A,317,U1354,A,9,9-6,H,6,A,20,24,46,46.04,,Shell bed,,Shell bed,,,,,Expedition 317,,,,,,
317-U1354A-9H-6-A,317,U1354,A,9,9-6,H,6,A,24,38,46.04,46.18,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-6-A,317,U1354,A,9,9-6,H,6,A,38,43,46.18,46.23,,Shell bed,,Shell bed,,,,,Expedition 317,,,,,,
317-U1354A-9H-6-A,317,U1354,A,9,9-6,H,6,A,43,59,46.23,46.39,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-6-A,317,U1354,A,9,9-6,H,6,A,59,76,46.39,46.56,,Shell bed,,Shell bed,,,,,Expedition 317,,,,,,
317-U1354A-9H-6-A,317,U1354,A,9,9-6,H,6,A,76,81,46.56,46.61,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-9H-CC-A,317,U1354,A,9,9-CC,H,CC,A,0,17,46.7,46.87,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl,,,,,
317-U1354A-10H-1-A,317,U1354,A,10,10-1,H,1,A,0,10,46.9,47,,Shell hash,,Shell hash,,,,,Leg 150,,,,,,
317-U1354A-10H-1-A,317,U1354,A,10,10-1,H,1,A,10,84,47,47.74,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-10H-1-A,317,U1354,A,10,10-1,H,1,A,84,100,47.74,47.9,,Shell bed,,Shell bed,,,,,Expedition 317,,,,,,
317-U1354A-10H-1-A,317,U1354,A,10,10-1,H,1,A,100,113,47.9,48.03,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-10H-1-A,317,U1354,A,10,10-1,H,1,A,113,118,48.03,48.08,,Shell bed,,Shell bed,,,,,Expedition 317,,,,,,
317-U1354A-10H-1-A,317,U1354,A,10,10-1,H,1,A,118,132,48.08,48.22,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-10H-2-A,317,U1354,A,10,10-2,H,2,A,0,140,48.4,49.8,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-10H-3-A,317,U1354,A,10,10-3,H,3,A,0,103,49.9,50.93,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-10H-3-A,317,U1354,A,10,10-3,H,3,A,103,110,50.93,51,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1354A-10H-3-A,317,U1354,A,10,10-3,H,3,A,110,140,51,51.3,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1354A-10H-4-A,317,U1354,A,10,10-4,H,4,A,0,70,51.4,52.1,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1354A-10H-4-A,317,U1354,A,10,10-4,H,4,A,70,130,52.1,52.7,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-10H-5-A,317,U1354,A,10,10-5,H,5,A,0,70,52.9,53.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-10H-CC-A,317,U1354,A,10,10-CC,H,CC,A,0,18,53.68,53.86,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-11H-1-A,317,U1354,A,11,11-1,H,1,A,0,130,53.8,55.1,,Marl [Leg210],,Marl,,,,,Leg 210,"homogeneous mud (clay), scatter shell fragments are well preserved and show often shiny",,,,,
317-U1354A-11H-1-A,317,U1354,A,11,11-1,H,1,A,0,130,53.8,55.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","homogeneous mud (clay), scatter shell fragments are well preserved and show often shiny",,,,,
317-U1354A-11H-2-A,317,U1354,A,11,11-2,H,2,A,0,40,55.3,55.7,,Marl [Leg210],,Marl,,,,,Leg 210,mud with v.f. sandy mud patches,,,,,
317-U1354A-11H-2-A,317,U1354,A,11,11-2,H,2,A,0,40,55.3,55.7,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",mud with v.f. sandy mud patches,,,,,
317-U1354A-11H-2-A,317,U1354,A,11,11-2,H,2,A,40,95,55.7,56.25,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",shelly mud,,,,,
317-U1354A-11H-3-A,317,U1354,A,11,11-3,H,3,A,0,31,56.34,56.65,,Marl [Leg210],,Marl,,,,,Leg 210,shelly mud,,,,,
317-U1354A-11H-3-A,317,U1354,A,11,11-3,H,3,A,0,31,56.34,56.65,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",shelly mud,,,,,
317-U1354A-11H-3-A,317,U1354,A,11,11-3,H,3,A,0,150,56.34,57.84,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",Homogeneous sandy mud (s.s. data),,,,,
317-U1354A-11H-3-A,317,U1354,A,11,11-3,H,3,A,0,150,56.34,57.84,,Shell hash,,Shell hash,,,,,Leg 150,,,,,,
317-U1354A-11H-3-A,317,U1354,A,11,11-3,H,3,A,31,40,56.65,56.74,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous mud (clay),,,,,
317-U1354A-11H-3-A,317,U1354,A,11,11-3,H,3,A,31,40,56.65,56.74,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud (clay),,,,,
317-U1354A-11H-3-A,317,U1354,A,11,11-3,H,3,A,40,46,56.74,56.8,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",shelly sand,,,,,
317-U1354A-11H-4-A,317,U1354,A,11,11-4,H,4,A,0,150,57.84,59.34,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",Homogeneous sandy mud (s.s. data),,,,,
317-U1354A-11H-4-A,317,U1354,A,11,11-4,H,4,A,0,150,57.84,59.34,,Shell hash,,Shell hash,,,,,Leg 150,,,,,,
317-U1354A-11H-5-A,317,U1354,A,11,11-5,H,5,A,0,80,59.34,60.14,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",Homogeneous sandy mud (s.s. data),,,,,
317-U1354A-11H-5-A,317,U1354,A,11,11-5,H,5,A,0,80,59.34,60.14,,Shell hash,,Shell hash,,,,,Leg 150,,,,,,
317-U1354A-11H-CC-A,317,U1354,A,11,11-CC,H,CC,A,0,0.000500000007450581,60.14,60.14,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",Homogeneous sandy mud (s.s. data),,,,,
317-U1354A-12H-1-A,317,U1354,A,12,12-1,H,1,A,0,130,56.3,57.6,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",Homogeneous sandy mud (s.s. data),,,,,
317-U1354A-12H-2-A,317,U1354,A,12,12-2,H,2,A,0,140,57.8,59.2,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",Homogeneous sandy mud (s.s. data),,,,,
