Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,File Data,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1431D-2H-3-A,0.0,25.0,6.2,6.45,,clay,with silt,clay ,clay with silt ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,gradational,horizontal,thick bed,lamination,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,3,A
349-U1431D-2H-3-A,25.0,53.0,6.45,6.73,,silty clay,,silty clay ,silty clay ,,GLEY 1 4/5GY (dark greenish gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,planar,horizontal,thick bed,graded bedding,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,3,A
349-U1431D-2H-3-A,53.0,55.0,6.73,6.75,,ash(tuff),,ash(tuff) ,ash(tuff) ,,2.5Y 3/2 (very dark grayish brown),very slightly consolidated,silt,2,silt,2,well,P,1,,,,,,,,,,,,planar,horizontal,thin bed,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,3,A
349-U1431D-2H-3-A,55.0,98.0,6.75,7.18,,silty clay,,silty clay ,silty clay ,,GLEY 1 4/5GY (dark greenish gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,planar,horizontal,thick bed,lamination,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,3,A
349-U1431D-2H-3-A,98.0,145.0,7.18,7.65,,silty clay,,silty clay ,silty clay ,,GLEY 1 4/5GY (dark greenish gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,erosive,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,3,A
349-U1431D-2H-3-A,145.0,150.0,7.65,7.7,,clay,with silt,clay ,clay with silt ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,,,,,,,thin bed,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,3,A
349-U1431D-2H-4-A,0.0,2.0,7.7,7.72,,silty clay,,silty clay ,silty clay ,100,2.5Y 6/1 (gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,,,,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,4,A
349-U1431D-2H-4-A,2.0,4.0,7.72,7.74,,ash(tuff),,ash(tuff) ,ash(tuff) ,100,,,,,,,,P,1,,,,,,,,100,P,1,,planar,horizontal,thin bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,4,A
349-U1431D-2H-4-A,4.0,13.0,7.74,7.83,,silty clay,,silty clay ,silty clay ,100,2.5Y 6/1 (gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,,,,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,4,A
349-U1431D-2H-4-A,13.0,29.0,7.83,7.99,,silty clay,,silty clay ,silty clay ,100,2.5Y 6/1 (gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,erosive,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,4,A
349-U1431D-2H-4-A,29.0,43.0,7.99,8.13,,silty clay,,silty clay ,silty clay ,100,2.5Y 6/1 (gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,erosive,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,4,A
349-U1431D-2H-4-A,43.0,52.0,8.13,8.22,,silty clay,,silty clay ,silty clay ,100,2.5Y 6/1 (gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,erosive,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,4,A
349-U1431D-2H-4-A,52.0,65.0,8.22,8.35,,silty clay,with glauconite,silty clay ,silty clay with glauconite,100,2.5Y 6/1 (gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,erosive,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,4,A
349-U1431D-2H-4-A,65.0,84.0,8.35,8.54,,silty clay,,silty clay ,silty clay ,100,2.5Y 6/1 (gray),very slightly consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,erosive,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,2,H,4,A
