Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
355-U1456A-3H-2-A,0.0,150.0,15.5,17.0,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,2,A
355-U1456A-3H-3-A,0.0,52.0,17.0,17.52,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,3,A
355-U1456A-3H-3-A,52.0,63.0,17.52,17.63,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,3,A
355-U1456A-3H-3-A,63.0,92.0,17.63,17.92,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,3,A
355-U1456A-3H-3-A,92.0,99.0,17.92,17.99,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,3,A
355-U1456A-3H-3-A,99.0,129.0,17.99,18.29,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,3,A
355-U1456A-3H-3-A,129.0,140.0,18.29,18.4,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,3,A
355-U1456A-3H-3-A,140.0,150.0,18.4,18.5,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,3,A
355-U1456A-3H-4-A,0.0,33.0,18.5,18.83,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,4,A
355-U1456A-3H-4-A,33.0,44.0,18.83,18.94,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,4,A
355-U1456A-3H-4-A,44.0,52.0,18.94,19.02,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,4,A
355-U1456A-3H-4-A,52.0,58.0,19.02,19.08,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,4,A
355-U1456A-3H-4-A,58.0,83.0,19.08,19.33,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,4,A
355-U1456A-3H-4-A,83.0,87.0,19.33,19.37,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,4,A
355-U1456A-3H-4-A,87.0,117.0,19.37,19.67,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,4,A
355-U1456A-3H-4-A,117.0,122.0,19.67,19.72,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,4,A
355-U1456A-3H-4-A,122.0,137.0,19.72,19.87,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,4,A
355-U1456A-3H-4-A,137.0,143.0,19.87,19.93,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,4,A
355-U1456A-3H-4-A,143.0,150.0,19.93,20.0,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,4,A
355-U1456A-3H-5-A,0.0,15.0,20.0,20.15,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,5,A
355-U1456A-3H-5-A,15.0,18.0,20.15,20.18,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,5,A
355-U1456A-3H-5-A,18.0,52.0,20.18,20.52,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,5,A
355-U1456A-3H-5-A,52.0,59.0,20.52,20.59,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,5,A
355-U1456A-3H-5-A,59.0,70.0,20.59,20.7,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,5,A
355-U1456A-3H-5-A,70.0,78.0,20.7,20.78,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,5,A
355-U1456A-3H-5-A,78.0,99.0,20.78,20.99,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,5,A
355-U1456A-3H-5-A,99.0,104.0,20.99,21.04,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,5,A
355-U1456A-3H-5-A,104.0,112.0,21.04,21.12,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,5,A
355-U1456A-3H-5-A,112.0,119.0,21.12,21.19,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,5,A
355-U1456A-3H-5-A,119.0,133.0,21.19,21.33,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,5,A
355-U1456A-3H-5-A,133.0,137.0,21.33,21.37,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,5,A
355-U1456A-3H-5-A,137.0,150.0,21.37,21.5,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,5,A
355-U1456A-3H-6-A,0.0,4.0,21.5,21.54,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,6,A
355-U1456A-3H-6-A,4.0,17.0,21.54,21.67,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,6,A
355-U1456A-3H-6-A,17.0,26.0,21.67,21.76,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,6,A
355-U1456A-3H-6-A,26.0,69.0,21.76,22.19,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,6,A
355-U1456A-3H-6-A,69.0,72.0,22.19,22.22,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,6,A
355-U1456A-3H-6-A,72.0,76.0,22.22,22.26,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,6,A
355-U1456A-3H-6-A,76.0,84.0,22.26,22.34,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,6,A
355-U1456A-3H-6-A,84.0,90.0,22.34,22.4,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,6,A
355-U1456A-3H-7-A,0.0,3.0,22.5,22.53,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,7,A
355-U1456A-3H-7-A,3.0,32.0,22.53,22.82,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,7,A
355-U1456A-3H-7-A,32.0,33.0,22.82,22.83,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,7,A
355-U1456A-3H-7-A,33.0,43.0,22.83,22.93,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,7,A
355-U1456A-3H-7-A,43.0,49.0,22.93,22.99,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,7,A
355-U1456A-3H-7-A,49.0,55.0,22.99,23.05,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,7,A
355-U1456A-3H-7-A,55.0,65.0,23.05,23.15,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,7,A
355-U1456A-3H-CC-A,0.0,8.0,23.15,23.23,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,CC,A
355-U1456A-3H-CC-A,8.0,10.0,23.23,23.25,,silty,nannofossil ooze,with clay,silty nannofossil ooze with clay,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,A,3,H,CC,A
