Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
366-U1491C-7F-1-A,0,21,21.9,22.11,VI,,,,irregular,wavy,sub-horizontal,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 6/10B (bluish gray),massive,unconsolidated,granule,8,pebble,9,blue-grey serpentinite mud with ultramafic and carbonate granules and pebbles,poor,,,,ultramafic rock,30,pebble,10,pebble,9,sub-rounded,carbonate,25,granule,8,pebble,9,sub-rounded,,serpentine clay matrix,,,,,,,366,U1491,C,7,F,1,A,,,,35
366-U1491C-7F-1-A,21,60,22.11,22.5,VI,,,,irregular,scoured,inclined,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 1 5/10GY (greenish gray),massive,unconsolidated,clay,1,pebble,9,green-grey serpentinite mud,poor,,,,ultramafic rock,10,pebble,10,pebble,9,,ultramafic rock,,,,,,,,serpentine clay matrix,,,,,,,366,U1491,C,7,F,1,A,,,,36
366-U1491C-7F-CC-A,0,30,22.5,22.8,VI,,,,irregular,sharp,sub-horizontal,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 1 5/5GY (greenish gray),massive,unconsolidated,clay,1,granule,8,green-grey serpentinite mud with granules,,,,,ultramafic rock,2,coarse sand,6,granule,8,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1491,C,7,F,CC,A,,,,37
366-U1491C-8F-1-A,0,37,22.9,23.27,VI,,,,irregular,scoured,sub-horizontal,serpentinite,conglomerate,,serpentinite conglomerate,GLEY 1 5/10Y (greenish gray),massive,unconsolidated,pebble,9,pebble,9,clast supported polymict conglomerate with serpentinite mud matrx,poor,,,,carbonate,40,pebble,10,pebble,9,sub-rounded,ultramafic rock,40,pebble,10,pebble,9,sub-rounded,,serpentine clay matrix,,,,,,,366,U1491,C,8,F,1,A,,,,38
366-U1491C-8F-1-A,37,62,23.27,23.52,VI,,,,planar,wavy,sub-horizontal,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 1 6/10Y (greenish gray),massive,unconsolidated,clay,1,granule,8,,poor,,,,ultramafic rock,2,very coarse sand,7,granule,8,subangular,ultramafic rock,,,,,,,,serpentine clay matrix,,,,,,,366,U1491,C,8,F,1,A,,,,39
366-U1491C-8F-1-A,62,133,23.52,24.23,VI,,,,curviplanar,wavy,sub-horizontal,serpentinite,medium to coarse sand,with lithic clasts,serpentinite medium to coarse sand with lithic clasts,GLEY 1 8/10Y (light greenish gray),massive,unconsolidated,coarse sand,6,pebble,9,matrx supported conglomerate with carbonate and ultramafic pebbles,poor,,,,carbonate,7,pebble,10,pebble,9,sub-rounded,ultramafic rock,5,pebble,10,pebble,9,sub-rounded,,serpentine clay matrix,,with carbonates,,,,,366,U1491,C,8,F,1,A,,,,40
366-U1491C-8F-CC-A,0,10,24.23,24.33,VI,,,,,,,serpentinite,medium to coarse sand,with lithic clasts,serpentinite medium to coarse sand with lithic clasts,10Y 8/1 (light greenish gray),,,,,,,95% drilling mud,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,C,8,F,CC,A,,,,41
366-U1491C-9X-CC-A,0,6,24.3,24.36,VI,,,,irregular,scoured,sub-horizontal,,breccia-conglomerate,,breccia-conglomerate,10Y 5/1 (greenish gray),,unconsolidated,pebble,9,pebble,9,,moderate,,,,ultramafic rock,70,pebble,10,pebble,9,sub-rounded,carbonate,25,pebble,10,pebble,9,sub-rounded,,serpentine clay matrix,,,,,,,366,U1491,C,9,X,CC,A,,,,42
366-U1491C-9X-CC-A,6,7,24.36,24.37,VI,,,,planar,wavy,sub-horizontal,serpentinite,mud,,serpentinite mud,GLEY 2 5/10G (greenish gray),thick lamina,unconsolidated,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1491,C,9,X,CC,A,,,,43
366-U1491C-9X-CC-A,7,26,24.37,24.56,VI,,,,irregular,scoured,sub-horizontal,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 1 5/10Y (greenish gray),thin bed,unconsolidated,clay,1,pebble,9,,poor,,,,carbonate,5,pebble,10,pebble,9,sub-rounded,,,,,,,,,,,,,,,,366,U1491,C,9,X,CC,A,,,,44
