Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
369-U1516D-4R-3-A,61,103,470.04,470.46,,,,,,claystone ,,claystone,,,GLEY 1 5/5G (greenish gray),mottled,,,structureless,,clay ,1,,,sparse,1,"Between 64-66, there is massive black thin bed. There is a gradational color change from the bottom to the top from black (GLEY1 2/N) to greenish gray (GLEY1 5/10GY) to dark greenish gaey (GLEY1 4/10GY).",color boundary or contact,gradational,gradational,,,,,,,claystone,claystone,,,,369,U1516,D,4,R,3,A,,,
369-U1516D-4R-3-A,103,129,470.46,470.72,,,,,,claystone ,,claystone,,,GLEY 1 5/10GY (greenish gray),mottled,parallel lamination,,structureless,,clay ,1,,,sparse,1,"Between 103 to 98 cm, there are parallel laminations. There is a gradational color change from the bottom to the top from black (GLEY1 2/N) to gray (GLEY1 6/N) to dark greenish gray (GLEY1 5/5GY). Th",color boundary or contact,gradational,gradational,,,,,,,claystone,claystone,,,,369,U1516,D,4,R,3,A,,,
369-U1516D-4R-3-A,129,150,470.72,470.93,,,,,,claystone ,,claystone,,,GLEY 1 6/5GY (greenish gray),mottled,,,structureless,,clay ,1,,,sparse,1,"Between 123-128 cm, there is a black claystone that is laminated in the top 2 cm.",,,,,,,,,,claystone,claystone,,,,369,U1516,D,4,R,3,A,,,
369-U1516D-4R-4-A,0,10,470.93,471.03,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay ,1,,,sparse,1,There is a gradational color change from the bottom to the top from greenish gray (GLEY1 6/10Y) to light greenish gray (GLEY1 7/10Y).,color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,4,R,4,A,,,
369-U1516D-4R-4-A,10,20,471.03,471.13,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay ,1,,,sparse,1,There is a gradational color change from the bottom to the top from greenish gray (GLEY1 6/10Y) to light greenish gray (GLEY1 7/10Y) to greenish gray (GLEY1 6/10GY),color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,4,R,4,A,,,
369-U1516D-4R-4-A,20,35,471.13,471.28,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,sparse,1,There is a gradational color change from the bottom to the top from greenish gray (GLEY1 5/10Y) to greenish gray (GLEY1 6/5GY) to greenish gray (GLEY1 6/10Y).,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,4,R,4,A,,,
369-U1516D-4R-4-A,35,54,471.28,471.47,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,ball-and-pillow,,clay ,1,,,sparse,1,"Between 53 and 51 cm, there is a ball and pillow structure. There is a gradational color change from the bottom to the top from gray (GLEY1 4/N) to greenish gray (GLEY1 6/5GY) to light greenish gray (GLEY1 7/10Y).",color boundary or contact,irregular,sharp,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,4,R,4,A,,,
369-U1516D-4R-4-A,54,88,471.47,471.81,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,sparse,1,There is a gradational color change from the bottom to the top from greenish gray (GLEY1 5/10Y) to greenish gray (GLEY1 6/10GY) to light greenish gray (GLEY1 7/10Y).,color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,4,R,4,A,,,
369-U1516D-4R-4-A,88,104,471.81,471.97,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay ,1,,,sparse,1,There is a vertical burrow (Teichinus) between 96-99 cm. There is a gradational color change from the bottom to the top from greenish gray (GLEY1 5/10Y) to greenish gray (GLEY1 6/10Y).,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,4,R,4,A,,,
369-U1516D-4R-5-A,0,10,471.97,472.07,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay ,1,,,sparse,1,There is a gradational color change from the bottom to the top from greenish gray (GLEY1 5/10Y) to greenish gray (GLEY1 6/10Y).,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,4,R,5,A,,,
369-U1516D-4R-5-A,10,37,472.07,472.34,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay ,1,,,sparse,1,There is a gradational color change from the bottom to the top from greenish gray (GLEY1 5/10Y) to greenish gray (GLEY1 6/5GY) to light greenish gray (GLEY1 7/10Y).,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,4,R,5,A,,,
369-U1516D-4R-5-A,37,54,472.34,472.51,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay ,1,,,sparse,1,There is a gradational color change from the bottom to the top from greenish gray (GLEY1 5/10Y) to greenish gray (GLEY1 6/5GY) to light greenish gray (GLEY1 7/10Y).,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,4,R,5,A,,,
369-U1516D-4R-5-A,54,70,472.51,472.67,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay ,1,,,sparse,1,There is a gradational color change from the bottom to the top to greenish gray (GLEY1 6/10Y) to light greenish gray (GLEY1 7/10Y).,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,4,R,5,A,,,
369-U1516D-4R-CC-A,0,27,472.67,472.94,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay ,1,,,sparse,1,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,4,R,CC,A,,,
369-U1516D-5R-1-A,0,22,473,473.22,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from dark gray (GLEY 1 4/N), greenish gray (6/10Y), to light greenish gray (7/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,1,A,,,
369-U1516D-5R-1-A,22,40,473.22,473.4,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from gray (GLEY 1 5/N), greenish gray (6/10Y), to light greenish gray (7/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,1,A,,,
369-U1516D-5R-1-A,40,57,473.4,473.57,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from dark gray (GLEY 14/N), greenish gray (6/10Y), to light greenish gray (7/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,1,A,,,
369-U1516D-5R-1-A,57,78,473.57,473.78,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,sparse,1,"There is a gradational color change from the bottom to the top from gray (GLEY 1 5/N), greenish gray (5/10Y), to greenish gray (5/GY).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,1,A,,,
369-U1516D-5R-1-A,78,98,473.78,473.98,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 5/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from dark gray (GLEY 1 4/N), to greenish gray (5/10Y), to greenish gray (6/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,1,A,,,
369-U1516D-5R-1-A,98,116,473.98,474.16,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 5/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from dark gray (GLEY 1 4/N), greenish gray (6/10Y), to light greenish gray (7/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,1,A,,,
369-U1516D-5R-1-A,116,133,474.16,474.33,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from gray (GLEY 1 5/N), greenish gray (5/5GY), to light greenish gray (7/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,1,A,,,
369-U1516D-5R-1-A,133,146,474.33,474.46,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10GY (light greenish grey),mottled,,,structureless,,clay ,1,,,low,2,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,1,A,,,
369-U1516D-5R-2-A,0,22,474.46,474.68,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from gray (GLEY 1 5/N), greenish gray (5/5GY), to light greenish gray (7/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,2,A,,,
369-U1516D-5R-2-A,22,44,474.68,474.9,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from gray (GLEY 1 5/N), greenish gray (5/5GY), to light greenish gray (7/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,2,A,,,
369-U1516D-5R-2-A,44,58,474.9,475.04,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from gray (GLEY 1 5/N), greenish gray (6/5GY), to light greenish gray (7/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,2,A,,,
369-U1516D-5R-2-A,58,87,475.04,475.33,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from greenish gray (GLEY 1 5/10Y), to greenish gray (5/5GY), to light greenish gray (7/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,2,A,,,
369-U1516D-5R-2-A,87,115,475.33,475.61,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from greenish gray (6/5GY), to light greenish gray (7/10Y).",color boundary or contact,sharp,sharp,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,2,A,,,
369-U1516D-5R-2-A,115,150,475.61,475.96,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from greenish gray (6/5GY), to light greenish gray (7/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,2,A,,,
369-U1516D-5R-3-A,0,26,475.96,476.22,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from dark gray (GLEY 1 4/N), greenish gray (5/5GY), to light greenish gray (7/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,3,A,,,
369-U1516D-5R-3-A,26,46,476.22,476.42,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from dark gray (GLEY 1 4/N), greenish gray (5/5GY), to light greenish gray (7/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,3,A,,,
369-U1516D-5R-3-A,46,86,476.42,476.82,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from dark gray (GLEY 1 4/N), greenish gray (5/5GY), to light greenish gray (7/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,3,A,,,
369-U1516D-5R-3-A,86,113,476.82,477.09,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from dark gray (GLEY 1 4/N), greenish gray (5/10Y), to light greenish gray (7/10Y).",color boundary or contact,gradational,gradational,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,3,A,,,
369-U1516D-5R-3-A,113,130,477.09,477.26,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/10Y (greenish gray),mottled,,,structureless,,clay ,1,,,low,2,"There is a gradational color change from the bottom to the top from dark gray (GLEY 1 4/N), greenish gray (5/5GY), to light greenish gray (7/10Y). There are shell fragments in the dark gray interval between 125 and 129 cm.",color boundary or contact,gradational,gradational,,,,,shell fragment,rare,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,3,A,,,
369-U1516D-5R-3-A,130,140,477.26,477.36,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay ,1,,,low,2,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,3,A,,,
369-U1516D-5R-CC-A,0,18,477.36,477.54,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay ,1,,,low,2,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,D,5,R,CC,A,,,
