Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
363-U1488C-1H-4-A,90,150,5.4,6,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,1,H,4,A,,,,
363-U1488C-1H-5-A,0,107,6,7.07,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,1,H,5,A,,,,
363-U1488C-1H-CC-A,0,20,7.07,7.27,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,1,H,CC,A,,,,
363-U1488C-2H-1-A,0,68,7.3,7.98,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,1,A,,,,
363-U1488C-2H-1-A,68,150,7.98,8.8,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,1,A,,,,
363-U1488C-2H-2-A,0,82,8.8,9.62,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,2,A,,,,
363-U1488C-2H-2-A,82,150,9.62,10.3,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,2,A,,,,
363-U1488C-2H-3-A,0,50,10.3,10.8,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,3,A,,,,
363-U1488C-2H-3-A,50,75,10.8,11.05,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,3,A,,,,
363-U1488C-2H-3-A,75,93,11.05,11.23,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,3,A,,,,
363-U1488C-2H-3-A,93,150,11.23,11.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,3,A,,,,
363-U1488C-2H-4-A,0,84,11.8,12.64,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,4,A,,,,
363-U1488C-2H-4-A,84,150,12.64,13.3,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,4,A,,,,
363-U1488C-2H-5-A,0,88,13.3,14.18,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,5,A,,,,
363-U1488C-2H-5-A,88,137,14.18,14.67,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,5,A,,,,
363-U1488C-2H-5-A,137,150,14.67,14.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,5,A,,,,
363-U1488C-2H-6-A,0,8,14.8,14.88,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,6,A,,,,
363-U1488C-2H-6-A,8,36,14.88,15.16,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,6,A,,,,
363-U1488C-2H-6-A,36,40,15.16,15.2,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,6,A,,,,
363-U1488C-2H-6-A,40,82,15.2,15.62,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,6,A,,,,
363-U1488C-2H-7-A,0,78,15.62,16.4,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,7,A,,,,
363-U1488C-2H-CC-A,0,24,16.4,16.64,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,2,H,CC,A,,,,
363-U1488C-3H-1-A,0,71,16.8,17.51,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,3,H,1,A,,,,
363-U1488C-3H-1-A,71,107,17.51,17.87,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,3,H,1,A,,,,
363-U1488C-3H-1-A,107,150,17.87,18.3,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,3,H,1,A,,,,
363-U1488C-3H-2-A,0,150,18.3,19.8,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,3,H,2,A,,,,
363-U1488C-3H-3-A,0,54,19.8,20.34,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,3,H,3,A,,,,
363-U1488C-3H-3-A,54,150,20.34,21.3,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,3,H,3,A,,,,
363-U1488C-3H-4-A,0,32,21.3,21.62,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,3,H,4,A,,,,
363-U1488C-3H-4-A,32,135,21.62,22.65,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,3,H,4,A,,,,
363-U1488C-3H-4-A,135,150,22.65,22.8,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,3,H,4,A,,,,
363-U1488C-3H-5-A,0,150,22.8,24.3,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,3,H,5,A,,,,
363-U1488C-3H-6-A,0,150,24.3,25.8,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,3,H,6,A,,,,
363-U1488C-3H-7-A,0,72,25.8,26.52,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,3,H,7,A,,,,
363-U1488C-3H-CC-A,0,34,26.52,26.86,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,3,H,CC,A,,,,
363-U1488C-4H-1-A,0,150,26.3,27.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5G 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,4,H,1,A,,,,
363-U1488C-4H-2-A,0,150,27.8,29.3,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5G 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,4,H,2,A,,,,
363-U1488C-4H-3-A,0,150,29.3,30.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5G 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,4,H,3,A,,,,
363-U1488C-4H-4-A,0,103,30.8,31.83,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5G 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,4,H,4,A,,,,
363-U1488C-4H-4-A,103,123,31.83,32.03,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,4,H,4,A,,,,
363-U1488C-4H-4-A,123,150,32.03,32.3,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5G 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,4,H,4,A,,,,
363-U1488C-4H-5-A,0,150,32.3,33.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5G 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,4,H,5,A,,,,
363-U1488C-4H-6-A,0,109,33.8,34.89,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5G 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,4,H,6,A,,,,
363-U1488C-4H-6-A,109,123,34.89,35.03,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,7.5YR 7/1 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,4,H,6,A,,,,
363-U1488C-4H-6-A,123,137,35.03,35.17,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5G 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,4,H,6,A,,,,
363-U1488C-4H-7-A,0,63,35.17,35.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5G 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,4,H,7,A,,,,
363-U1488C-4H-CC-A,0,27,35.8,36.07,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,7.5YR 7/1 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,4,H,CC,A,,,,
363-U1488C-5H-1-A,0,150,35.8,37.3,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,1,A,,,,
363-U1488C-5H-2-A,0,150,37.3,38.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,2,A,,,,
363-U1488C-5H-3-A,0,6,38.8,38.86,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,7.5YR 7/1 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,3,A,,,,
363-U1488C-5H-3-A,6,85,38.86,39.65,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,3,A,,,,
363-U1488C-5H-3-A,88,150,39.68,40.3,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,3,A,,,,
363-U1488C-5H-4-A,0,150,40.3,41.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,4,A,,,,
363-U1488C-5H-5-A,0,110,41.8,42.9,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,5,A,,,,
363-U1488C-5H-5-A,110,116,42.9,42.96,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,7.5YR 7/1 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,5,A,,,,
363-U1488C-5H-5-A,116,150,42.96,43.3,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,5,A,,,,
363-U1488C-5H-6-A,0,77,43.3,44.07,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,6,A,,,,
363-U1488C-5H-6-A,77,81,44.07,44.11,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,6,A,,,,
363-U1488C-5H-6-A,81,113,44.11,44.43,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,6,A,,,,
363-U1488C-5H-6-A,113,150,44.43,44.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,6,A,,,,
363-U1488C-5H-7-A,0,67,44.8,45.47,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,7,A,,,,
363-U1488C-5H-CC-A,0,29,45.47,45.76,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,5,H,CC,A,,,,
363-U1488C-6H-1-A,0,132,45.3,46.62,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,5G 8/1 (light greenish gray),moderate [DB86],,,,,sulfide,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,6,H,1,A,,,,
363-U1488C-6H-1-A,132,140,46.62,46.7,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1488,C,6,H,1,A,,,,
363-U1488C-6H-1-A,140,150,46.7,46.8,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,5G 8/1 (light greenish gray),moderate [DB86],,,,,,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,6,H,1,A,,,,
363-U1488C-6H-2-A,0,150,46.8,48.3,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,5G 8/1 (light greenish gray),moderate [DB86],,,,,sulfide,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,6,H,2,A,,,,
363-U1488C-6H-3-A,0,150,48.3,49.8,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,5G 8/1 (light greenish gray),moderate [DB86],,,,,,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,6,H,3,A,,,,
363-U1488C-6H-4-A,0,150,49.8,51.3,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,5G 8/1 (light greenish gray),moderate [DB86],,,,,sulfide,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,6,H,4,A,,,,
363-U1488C-6H-5-A,0,150,51.3,52.8,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,5G 8/1 (light greenish gray),moderate [DB86],,,,,sulfide,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,6,H,5,A,,,,
363-U1488C-6H-6-A,0,150,52.8,54.3,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,5G 8/1 (light greenish gray),moderate [DB86],,,,,sulfide,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,6,H,6,A,,,,
363-U1488C-6H-7-A,0,67,54.3,54.97,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,5G 8/1 (light greenish gray),moderate [DB86],,,,,sulfide,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,6,H,7,A,,,,
363-U1488C-6H-CC-A,0,22,54.97,55.19,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,5G 8/1 (light greenish gray),moderate [DB86],,,,,sulfide,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,6,H,CC,A,,,,
363-U1488C-7H-1-A,0,150,54.8,56.3,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,7,H,1,A,,,,
363-U1488C-7H-2-A,0,150,56.3,57.8,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,7,H,2,A,,,,
363-U1488C-7H-3-A,0,150,57.8,59.3,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,sulfide,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,7,H,3,A,,,,
363-U1488C-7H-4-A,0,150,59.3,60.8,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,7,H,4,A,,,,
363-U1488C-7H-5-A,0,150,60.8,62.3,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,7,H,5,A,,,,
363-U1488C-7H-6-A,0,150,62.3,63.8,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,sulfide,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,7,H,6,A,,,,
363-U1488C-7H-7-A,0,67,63.8,64.47,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,sulfide,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,7,H,7,A,,,,
363-U1488C-7H-CC-A,0,20,64.47,64.67,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,7,H,CC,A,,,,
363-U1488C-8H-1-A,0,150,64.3,65.8,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,5gy 8/1 (light greenish gray),moderate [DB86],,,,,sulfide,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,8,H,1,A,,,,
363-U1488C-8H-2-A,0,150,65.8,67.3,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,5gy 8/1 (light greenish gray),moderate [DB86],,,,,sulfide,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,8,H,2,A,,,,
363-U1488C-8H-3-A,0,150,67.3,68.8,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,5gy 8/1 (light greenish gray),moderate [DB86],,,,,sulfide,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,8,H,3,A,,,,
363-U1488C-8H-4-A,0,150,68.8,70.3,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,5gy 8/1 (light greenish gray),moderate [DB86],,,,,sulfide,"faint greenish layers, purple patches, yellow patches",,,,,,,,,,,,,363,U1488,C,8,H,4,A,,,,
