Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
354-U1452B-1H-6-A,0,35,7.5,7.85,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,light gray,gradational,,,,,,,burrows,,,,,,,,354,U1452,B,1,H,6,A,,,,13
354-U1452B-1H-6-A,35,60,7.85,8.1,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,green,,,,,,,,,,,,,,,,354,U1452,B,1,H,6,A,,,,14
354-U1452B-2H-1-A,0,19,8.2,8.39,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp irregular,,,,,,,,,,,flow-in deformation,,,,354,U1452,B,2,H,1,A,,,,15
354-U1452B-2H-1-A,19,116,8.39,9.36,,,clay [Leg210],,clay,clay,clay,,gray,gradational,horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1452,B,2,H,1,A,,,,16
354-U1452B-2H-1-A,116,149,9.36,9.69,,,silt [Leg210],,silt,silt,silt,,dark gray,,,thin bed [B01],clay [Leg210],thin bed [B01],,,parallel lamination,,,,,,,,354,U1452,B,2,H,1,A,,,,17
354-U1452B-3H-1-A,0,150,17.7,19.2,,,clay [Leg210],,clay,clay,clay,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,3,H,1,A,,,,18
354-U1452B-3H-2-A,0,150,19.2,20.7,,,clay [Leg210],,clay,clay,clay,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,3,H,2,A,,,,19
354-U1452B-3H-3-A,0,79,20.7,21.49,,,clay [Leg210],,clay,clay,clay,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,3,H,3,A,,,,20
354-U1452B-3H-4-A,0,150,21.49,22.99,,,silt [Leg210],,silt,silt,silt,,gray,,,thin bed [B01],clay [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,3,H,4,A,,,,21
354-U1452B-3H-5-A,0,69,22.99,23.68,,,silt [Leg210],,silt,silt,silt,,gray,sharp irregular,,medium bed [B01],clay [Leg210],thin bed [B01],,,cross-bedding,,,,,,,,354,U1452,B,3,H,5,A,,,,22
354-U1452B-3H-5-A,69,101,23.68,24,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,deformed by flow in,,,,,,,354,U1452,B,3,H,5,A,,,,23
354-U1452B-3H-6-A,0,98,24,24.98,,,silt [Leg210],,silt,silt,silt,,gray,,,medium bed [B01],clay [Leg210],thin bed [B01],,,cross-bedding,,,,,,,,354,U1452,B,3,H,6,A,,,,24
354-U1452B-3H-CC-A,0,16,24.98,25.14,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,,354,U1452,B,3,H,CC,A,,,,25
354-U1452B-4H-1-A,0,63,27.2,27.83,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,parallel lamination,,,,,,,,354,U1452,B,4,H,1,A,,,,26
354-U1452B-4H-1-A,63,85,27.83,28.05,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,B,4,H,1,A,,,,27
354-U1452B-4H-1-A,85,115,28.05,28.35,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,parallel lamination,,,,,,,,354,U1452,B,4,H,1,A,,,,28
354-U1452B-4H-1-A,115,141,28.35,28.61,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,B,4,H,1,A,,,,29
354-U1452B-4H-1-A,141,150,28.61,28.7,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,,354,U1452,B,4,H,1,A,,,,30
354-U1452B-4H-2-A,0,25,28.7,28.95,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1452,B,4,H,2,A,,,,31
354-U1452B-4H-2-A,25,43,28.95,29.13,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,B,4,H,2,A,,,,32
354-U1452B-4H-2-A,43,92,29.13,29.62,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,4,H,2,A,,,,33
354-U1452B-4H-2-A,92,111,29.62,29.81,,,silt [Leg210],with plant fragments [2014],silt,silt with plant fragments,silt with plant fragments,,gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,B,4,H,2,A,,,,34
354-U1452B-4H-2-A,111,127,29.81,29.97,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1452,B,4,H,2,A,,,,35
354-U1452B-4H-2-A,127,150,29.97,30.2,,,silt [Leg210],with plant fragments [2014],silt,silt with plant fragments,silt with plant fragments,,gray,,,,,,,,parallel lamination,,,,,,,,354,U1452,B,4,H,2,A,,,,36
354-U1452B-4H-3-A,0,20,30.2,30.4,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,,354,U1452,B,4,H,3,A,,,,37
354-U1452B-4H-3-A,20,66,30.4,30.86,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,B,4,H,3,A,,,,38
354-U1452B-4H-3-A,66,150,30.86,31.7,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,4,H,3,A,,,,39
354-U1452B-4H-4-A,0,34,31.7,32.04,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,4,H,4,A,,,,40
354-U1452B-4H-4-A,34,65,32.04,32.35,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,B,4,H,4,A,,,,41
354-U1452B-4H-4-A,65,150,32.35,33.2,,,silt [Leg210],,silt,silt,silt,,gray,,,medium bed [B01],clay [Leg210],thin bed [B01],,,parallel lamination,,,,,,,,354,U1452,B,4,H,4,A,,,,42
354-U1452B-4H-5-A,0,27,33.2,33.47,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,4,H,5,A,,,,43
354-U1452B-4H-5-A,27,63,33.47,33.83,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,cross-bedding,,,,,,,,354,U1452,B,4,H,5,A,,,,44
354-U1452B-4H-5-A,63,81,33.83,34.01,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1452,B,4,H,5,A,,,,45
354-U1452B-4H-5-A,81,104,34.01,34.24,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,cross-bedding,,,,,,,,354,U1452,B,4,H,5,A,,,,46
354-U1452B-4H-5-A,104,110,34.24,34.3,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,,,,,,,,,,,,,,354,U1452,B,4,H,5,A,,,,47
354-U1452B-4H-5-A,110,125,34.3,34.45,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,cross-bedding,,,,,,,,354,U1452,B,4,H,5,A,,,,48
354-U1452B-4H-5-A,125,150,34.45,34.7,,,clay [Leg210],,clay,clay,clay,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,4,H,5,A,,,,49
354-U1452B-4H-6-A,0,22,34.7,34.92,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,B,4,H,6,A,,,,50
354-U1452B-4H-6-A,22,150,34.92,36.2,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,4,H,6,A,,,,51
354-U1452B-4H-7-A,0,62,35.71,36.33,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,4,H,7,A,,,,52
354-U1452B-4H-CC-A,0,16,36.33,36.49,,,clay [Leg210],,clay,clay,clay,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,4,H,CC,A,,,,53
354-U1452B-5H-1-A,0,9,36.7,36.79,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,1,A,,,,54
354-U1452B-5H-1-A,9,12,36.79,36.82,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,B,5,H,1,A,,,,55
354-U1452B-5H-1-A,12,34,36.82,37.04,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,parallel lamination in silt,,,,,,,354,U1452,B,5,H,1,A,,,,56
354-U1452B-5H-1-A,34,38,37.04,37.08,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,1,A,,,,57
354-U1452B-5H-1-A,38,43,37.08,37.13,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,1,A,,,,58
354-U1452B-5H-1-A,43,46,37.13,37.16,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,B,5,H,1,A,,,,59
354-U1452B-5H-1-A,46,74,37.16,37.44,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp irregular,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,parallel lamination in silt,,,,,,,354,U1452,B,5,H,1,A,,,,60
354-U1452B-5H-1-A,74,79,37.44,37.49,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,1,A,,,,61
354-U1452B-5H-1-A,79,91,37.49,37.61,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,parallel lamination in silt,,,,,,,354,U1452,B,5,H,1,A,,,,62
354-U1452B-5H-1-A,91,95,37.61,37.65,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,1,A,,,,63
354-U1452B-5H-1-A,95,106,37.65,37.76,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1452,B,5,H,1,A,,,,64
354-U1452B-5H-1-A,106,150,37.76,38.2,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,dark gray,,,,,,,,,,,,plant fragments present,,,,354,U1452,B,5,H,1,A,,,,65
354-U1452B-5H-2-A,0,11,38.2,38.31,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,2,A,,,,66
354-U1452B-5H-2-A,11,44,38.31,38.64,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,2,A,,,,67
354-U1452B-5H-2-A,44,55,38.64,38.75,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,2,A,,,,68
354-U1452B-5H-2-A,55,67,38.75,38.87,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,2,A,,,,69
354-U1452B-5H-2-A,67,93,38.87,39.13,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1452,B,5,H,2,A,,,,70
354-U1452B-5H-2-A,93,109,39.13,39.29,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,2,A,,,,71
354-U1452B-5H-2-A,109,117,39.29,39.37,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,2,A,,,,72
354-U1452B-5H-2-A,117,122,39.37,39.42,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,2,A,,,,73
354-U1452B-5H-2-A,122,126,39.42,39.46,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,2,A,,,,74
354-U1452B-5H-2-A,126,150,39.46,39.7,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,,,,,,,,,,,,,,,,354,U1452,B,5,H,2,A,,,,75
354-U1452B-5H-3-A,0,11,39.7,39.81,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,3,A,,,,76
354-U1452B-5H-3-A,11,19,39.81,39.89,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,,,,,354,U1452,B,5,H,3,A,,,,77
354-U1452B-5H-3-A,19,104,39.89,40.74,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,fine sand,,,,354,U1452,B,5,H,3,A,,,,78
354-U1452B-5H-4-A,0,84,40.74,41.58,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1452,B,5,H,4,A,,,,79
354-U1452B-5H-5-A,0,78,41.58,42.36,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1452,B,5,H,5,A,,,,80
354-U1452B-5H-6-A,0,76,42.36,43.12,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1452,B,5,H,6,A,,,,81
354-U1452B-5H-CC-A,0,20,43.12,43.32,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1452,B,5,H,CC,A,,,,82
354-U1452B-6F-1-A,0,84,41.4,42.24,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1452,B,6,F,1,A,,,,83
354-U1452B-6F-2-A,0,150,42.24,43.74,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1452,B,6,F,2,A,,,,84
354-U1452B-6F-CC-A,0,21,43.74,43.95,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1452,B,6,F,CC,A,,,,85
354-U1452B-8F-1-A,0,150,47.6,49.1,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,fine sand,,,,354,U1452,B,8,F,1,A,,,,86
354-U1452B-8F-2-A,0,11,49.1,49.21,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,,,,,fine sand,,,,354,U1452,B,8,F,2,A,,,,87
354-U1452B-8F-2-A,11,70,49.21,49.8,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,,,,,354,U1452,B,8,F,2,A,,,,88
354-U1452B-8F-2-A,70,90,49.8,50,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,,,,,,,,,,,,,,,,354,U1452,B,8,F,2,A,,,,89
354-U1452B-8F-3-A,0,150,50,51.5,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1452,B,8,F,3,A,,,,90
354-U1452B-8F-CC-A,0,25,51.5,51.75,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,fine sand,,,,354,U1452,B,8,F,CC,A,,,,91
354-U1452B-9F-1-A,0,78,52.3,53.08,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,fine sand,,,,354,U1452,B,9,F,1,A,,,,92
354-U1452B-9F-2-A,0,157,53.08,54.65,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,fine sand,,,,354,U1452,B,9,F,2,A,,,,93
354-U1452B-9F-CC-A,0,20,54.65,54.85,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,fine sand,,,,354,U1452,B,9,F,CC,A,,,,94
354-U1452B-10F-1-A,0,9,57,57.09,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,,,,,,,,,,,,,,354,U1452,B,10,F,1,A,,,,95
354-U1452B-10F-1-A,9,48,57.09,57.48,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp irregular,,,,,,,,,,,,,,,354,U1452,B,10,F,1,A,,,,96
354-U1452B-10F-1-A,48,92,57.48,57.92,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,10,F,1,A,,,,97
354-U1452B-10F-1-A,92,150,57.92,58.5,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1452,B,10,F,1,A,,,,98
354-U1452B-10F-2-A,0,10,58.5,58.6,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,10,F,2,A,,,,99
354-U1452B-10F-2-A,10,74,58.6,59.24,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,,354,U1452,B,10,F,2,A,,,,100
354-U1452B-10F-2-A,74,104,59.24,59.54,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,10,F,2,A,,,,101
354-U1452B-10F-2-A,104,153,59.54,60.03,,,clay [Leg210],,clay,clay,clay,,dark gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,,354,U1452,B,10,F,2,A,,,,102
354-U1452B-10F-3-A,0,88,59.99,60.87,,,clay [Leg210],,clay,clay,clay,,dark gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,,354,U1452,B,10,F,3,A,,,,103
354-U1452B-10F-3-A,88,101,60.87,61,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,normally graded,,,,,,,,354,U1452,B,10,F,3,A,,,,104
354-U1452B-10F-4-A,0,32,61,61.32,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,10,F,4,A,,,,105
354-U1452B-10F-4-A,32,42,61.32,61.42,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,10,F,4,A,,,,106
354-U1452B-10F-4-A,42,75,61.42,61.75,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1452,B,10,F,4,A,,,,107
354-U1452B-10F-CC-A,0,8,61.75,61.83,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1452,B,10,F,CC,A,,,,108
354-U1452B-11F-1-A,0,13,61.7,61.83,,,clay [Leg210],,clay,clay,clay,,gray,sharp irregular,,,,,,,,,,,,,,,354,U1452,B,11,F,1,A,,,,109
354-U1452B-11F-1-A,13,124,61.83,62.94,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,thick bed [B01],clay [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,11,F,1,A,,,,110
354-U1452B-11F-1-A,124,150,62.94,63.2,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,11,F,1,A,,,,111
354-U1452B-11F-2-A,0,63,63.2,63.83,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,11,F,2,A,,,,112
354-U1452B-11F-2-A,63,91,63.83,64.11,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,11,F,2,A,,,,113
354-U1452B-11F-2-A,91,150,64.11,64.7,,,silt [Leg210],,silt,silt,silt,,gray,,,,,,,,normally graded,,,,,,,,354,U1452,B,11,F,2,A,,,,114
354-U1452B-11F-3-A,0,36,64.7,65.06,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,B,11,F,3,A,,,,115
354-U1452B-11F-3-A,36,42,65.06,65.12,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,,,,,,,,,,,,,,354,U1452,B,11,F,3,A,,,,116
354-U1452B-11F-3-A,42,70,65.12,65.4,,,sand [Leg210],,sand,sand,sand,,gray,,,,,,,,normally graded,,,,,,,,354,U1452,B,11,F,3,A,,,,117
354-U1452B-11F-4-A,0,26,65.4,65.66,,,sand [Leg210],,sand,sand,sand,,gray,sharp irregular,,,,,,,,,,,,,,,354,U1452,B,11,F,4,A,,,,118
354-U1452B-11F-4-A,26,61,65.66,66.01,,,silt [Leg210],,silt,silt,silt,,gray,sharp irregular,,medium bed [B01],clay [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,11,F,4,A,,,,119
354-U1452B-11F-4-A,61,94,66.01,66.34,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,11,F,4,A,,,,120
354-U1452B-11F-CC-A,0,12,66.34,66.46,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,B,11,F,CC,A,,,,121
354-U1452B-12F-1-A,0,37,66.4,66.77,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,medium bed [B01],clay [Leg210],thin bed [B01],,,normally graded,,,,,,,,354,U1452,B,12,F,1,A,,,,122
354-U1452B-12F-1-A,37,71,66.77,67.11,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],,,mottling [BJ80],,,,,,,,354,U1452,B,12,F,1,A,,,,123
354-U1452B-12F-1-A,71,118,67.11,67.58,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light green,,,,,,,,burrows,,,,,,,,354,U1452,B,12,F,1,A,,,,124
