Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
354-U1453A-2H-1-A,0,150,9,10.5,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1453,A,2,H,1,A,,,
354-U1453A-2H-2-A,0,145,10.5,11.95,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1453,A,2,H,2,A,,,
354-U1453A-2H-3-A,0,71,12,12.71,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1453,A,2,H,3,A,,,
354-U1453A-2H-3-A,71,82,12.71,12.82,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,normally graded,,,,,,,,354,U1453,A,2,H,3,A,,,
354-U1453A-2H-3-A,82,150,12.82,13.5,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1453,A,2,H,3,A,,,
354-U1453A-2H-4-A,0,150,13.5,15,,,sand [Leg210],,sand,sand,sand,,gray,,,,,,,,normally graded,,,,,,,,354,U1453,A,2,H,4,A,,,
354-U1453A-2H-5-A,0,56,15,15.56,,,sand [Leg210],with clay [2014],sand,sand with clay,sand with clay,,gray,,,,,,,,,,,,,,,,354,U1453,A,2,H,5,A,,,
354-U1453A-3H-1-A,0,110,15.6,16.7,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp irregular,,thick bed [B01],clay [Leg210],thin bed [B01],,,normally graded,,,,,,,,354,U1453,A,3,H,1,A,,,
354-U1453A-3H-1-A,110,150,16.7,17.1,,,clay [Leg210],,clay,clay,clay,,dark gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1453,A,3,H,1,A,,,
354-U1453A-3H-2-A,0,145,17.1,18.55,,,sand [Leg210],,sand,sand,sand,,dark gray,,,thick bed [B01],clay [Leg210],thin bed [B01],,,normally graded,,,,,,,,354,U1453,A,3,H,2,A,,,
354-U1453A-3H-3-A,0,150,18.6,20.1,,,sand [Leg210],,sand,sand,sand,,dark gray,,,thick bed [B01],clay [Leg210],thin bed [B01],,,normally graded,,,,,,,,354,U1453,A,3,H,3,A,,,
354-U1453A-3H-4-A,0,21,20.1,20.31,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,normally graded,,,,,,,,354,U1453,A,3,H,4,A,,,
354-U1453A-3H-4-A,21,34,20.31,20.44,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,,,,,,,,,,,,,,354,U1453,A,3,H,4,A,,,
354-U1453A-3H-4-A,34,120,20.44,21.3,,,sand [Leg210],,sand,sand,sand,,dark gray,,,thick bed [B01],clay [Leg210],thin bed [B01],,,normally graded,,,,,,,,354,U1453,A,3,H,4,A,,,
354-U1453A-3H-5-A,0,70,21.3,22,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,3,H,5,A,,,
354-U1453A-3H-6-A,0,75,22,22.75,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,3,H,6,A,,,
354-U1453A-3H-CC-A,0,20,22.75,22.95,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,3,H,CC,A,,,
354-U1453A-4H-1-A,0,101,24.8,25.81,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,4,H,1,A,,,
354-U1453A-4H-2-A,0,130,25.81,27.11,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,4,H,2,A,,,
354-U1453A-4H-3-A,0,136,27.11,28.47,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,mud drape,,,,,,,,354,U1453,A,4,H,3,A,,,
354-U1453A-4H-4-A,0,40,28.47,28.87,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,mud drape,,,,,,,,354,U1453,A,4,H,4,A,,,
354-U1453A-4H-CC-A,0,40,28.87,29.27,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,mud drape,,,,,,,,354,U1453,A,4,H,CC,A,,,
354-U1453A-6F-1-A,0,31,34.3,34.61,,,clay [Leg210],,clay,clay,clay,,gray,gradational,horizontal,,,,,,,,,,,,,,354,U1453,A,6,F,1,A,,,
354-U1453A-6F-1-A,31,34,34.61,34.64,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1453,A,6,F,1,A,,,
354-U1453A-6F-1-A,34,49,34.64,34.79,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1453,A,6,F,1,A,,,
354-U1453A-6F-1-A,49,70,34.79,35,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1453,A,6,F,1,A,,,
354-U1453A-6F-1-A,70,150,35,35.8,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,parallel lamination in dark gray silt lamina,,,,,,,354,U1453,A,6,F,1,A,,,
354-U1453A-6F-2-A,0,150,35.8,37.3,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,parallel lamination in dark gray silt lamina,,,,,,,354,U1453,A,6,F,2,A,,,
354-U1453A-6F-3-A,0,69,37.3,37.99,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,sub-horizontal,very thin bed [B01],silt [Leg210],lamina [M&W53],,,,dark gray silt lamina.,,,,,,,354,U1453,A,6,F,3,A,,,
354-U1453A-6F-3-A,69,77,37.99,38.07,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,,,,,354,U1453,A,6,F,3,A,,,
354-U1453A-6F-3-A,77,90,38.07,38.2,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp irregular,sub-horizontal,very thin bed [B01],silt [Leg210],lamina [M&W53],,,,dark gray clayey silt.,,,,,,,354,U1453,A,6,F,3,A,,,
354-U1453A-6F-3-A,90,101,38.2,38.31,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,,,,,354,U1453,A,6,F,3,A,,,
354-U1453A-6F-3-A,101,103,38.31,38.33,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,,,,,354,U1453,A,6,F,3,A,,,
354-U1453A-6F-3-A,103,124,38.33,38.54,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp irregular,sub-horizontal,,,,,,,clay drape present,,,,,,,354,U1453,A,6,F,3,A,,,
354-U1453A-6F-3-A,124,128,38.54,38.58,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,sub-horizontal,lamina [M&W53],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1453,A,6,F,3,A,,,
354-U1453A-6F-CC-A,0,12,38.58,38.7,,,clay [Leg210],,clay,clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,6,F,CC,A,,,
354-U1453A-7F-1-A,0,86,39,39.86,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,fine sand,,,,354,U1453,A,7,F,1,A,,,
354-U1453A-7F-1-A,86,109,39.86,40.09,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,,354,U1453,A,7,F,1,A,,,
354-U1453A-8F-1-A,0,150,43.7,45.2,,,clay [Leg210],,clay,clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,8,F,1,A,,,
354-U1453A-8F-2-A,0,95,45.2,46.15,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1453,A,8,F,2,A,,,
354-U1453A-8F-2-A,95,112,46.15,46.32,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,very thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,dark gray silt,,,,354,U1453,A,8,F,2,A,,,
354-U1453A-8F-2-A,112,116,46.32,46.36,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1453,A,8,F,2,A,,,
354-U1453A-8F-2-A,116,130,46.36,46.5,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1453,A,8,F,2,A,,,
354-U1453A-8F-2-A,130,137,46.5,46.57,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1453,A,8,F,2,A,,,
354-U1453A-8F-2-A,137,150,46.57,46.7,,,clay [Leg210],,clay,clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,8,F,2,A,,,
354-U1453A-8F-3-A,0,22,46.7,46.92,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,dark gray clayey silt,,,,354,U1453,A,8,F,3,A,,,
354-U1453A-8F-3-A,22,27,46.92,46.97,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1453,A,8,F,3,A,,,
354-U1453A-8F-3-A,27,32,46.97,47.02,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1453,A,8,F,3,A,,,
354-U1453A-8F-3-A,32,36,47.02,47.06,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1453,A,8,F,3,A,,,
354-U1453A-8F-3-A,36,45,47.06,47.15,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,horizontal,,,,,,,,,,,,,,354,U1453,A,8,F,3,A,,,
354-U1453A-8F-3-A,45,53,47.15,47.23,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1453,A,8,F,3,A,,,
354-U1453A-8F-3-A,53,76,47.23,47.46,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1453,A,8,F,3,A,,,
354-U1453A-8F-3-A,76,94,47.46,47.64,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1453,A,8,F,3,A,,,
354-U1453A-8F-3-A,94,105,47.64,47.75,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,dark gray clayey silt,,,,354,U1453,A,8,F,3,A,,,
354-U1453A-8F-3-A,105,112,47.75,47.82,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,,,,,,,,parallel lamination,,,,,,,,354,U1453,A,8,F,3,A,,,
354-U1453A-8F-CC-A,0,6,47.82,47.88,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,horizontal,,,,,,,,,,,,,,354,U1453,A,8,F,CC,A,,,
354-U1453A-8F-CC-A,6,11,47.88,47.93,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1453,A,8,F,CC,A,,,
354-U1453A-8F-CC-A,11,20,47.93,48.02,,,clay [Leg210],,clay,clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,8,F,CC,A,,,
354-U1453A-9F-1-A,0,14,48.4,48.54,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,dark gray,sharp irregular,sub-vertical,,,,,,,,,,,,,,354,U1453,A,9,F,1,A,,,
354-U1453A-9F-1-A,14,17,48.54,48.57,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,horizontal,,,,,,,,,,,,,,354,U1453,A,9,F,1,A,,,
354-U1453A-9F-1-A,17,20,48.57,48.6,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1453,A,9,F,1,A,,,
354-U1453A-9F-1-A,20,28,48.6,48.68,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,horizontal,,,,,,,,,,,,,,354,U1453,A,9,F,1,A,,,
354-U1453A-9F-1-A,28,46,48.68,48.86,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,,,,,354,U1453,A,9,F,1,A,,,
354-U1453A-9F-1-A,46,63,48.86,49.03,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,dark gray clayey silt,,,,354,U1453,A,9,F,1,A,,,
354-U1453A-9F-1-A,63,74,49.03,49.14,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1453,A,9,F,1,A,,,
354-U1453A-9F-1-A,74,83,49.14,49.23,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1453,A,9,F,1,A,,,
354-U1453A-9F-1-A,83,102,49.23,49.42,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp irregular,sub-vertical,,,,,,,,,,,,,,354,U1453,A,9,F,1,A,,,
354-U1453A-9F-1-A,102,143,49.42,49.83,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,dark gray clayey silt,,,,354,U1453,A,9,F,1,A,,,
354-U1453A-9F-1-A,143,150,49.83,49.9,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,9,F,1,A,,,
354-U1453A-9F-2-A,0,7,49.9,49.97,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,9,F,2,A,,,
354-U1453A-9F-2-A,7,33,49.97,50.23,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,dark gray clayey silt,,,,354,U1453,A,9,F,2,A,,,
354-U1453A-9F-2-A,33,81,50.23,50.71,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,medium bed [B01],clay [Leg210],very thin bed [B01],,,,,,,,,,,354,U1453,A,9,F,2,A,,,
354-U1453A-9F-2-A,81,132,50.71,51.22,,,clay [Leg210],,clay,clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,9,F,2,A,,,
354-U1453A-9F-CC-A,0,19,51.22,51.41,,,clay [Leg210],,clay,clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,9,F,CC,A,,,
354-U1453A-10F-1-A,0,14,53.1,53.24,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,sharp planar,horizontal,very thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1453,A,10,F,1,A,,,
354-U1453A-10F-1-A,14,53,53.24,53.63,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,inclined,,,,,,,,,,,,,,354,U1453,A,10,F,1,A,,,
354-U1453A-10F-1-A,53,61,53.63,53.71,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,gradational,inclined,very thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1453,A,10,F,1,A,,,
354-U1453A-10F-1-A,61,123,53.71,54.33,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,inclined,,,,,,,,,,,,,,354,U1453,A,10,F,1,A,,,
354-U1453A-10F-1-A,123,150,54.33,54.6,,sandy [Leg339],clay [Leg210],,sandy clay,sandy clay,clay,,gray,,,,,,,,,,,,,,,,354,U1453,A,10,F,1,A,,,
354-U1453A-10F-2-A,0,75,54.6,55.35,,sandy [Leg339],clay [Leg210],,sandy clay,sandy clay,clay,,gray,sharp irregular,inclined,,,,,,,,,,,,,,354,U1453,A,10,F,2,A,,,
354-U1453A-10F-2-A,75,150,55.35,56.1,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,medium bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1453,A,10,F,2,A,,,
354-U1453A-10F-3-A,0,37,56.1,56.47,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,inclined,medium bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1453,A,10,F,3,A,,,
354-U1453A-10F-3-A,37,110,56.47,57.2,,sandy [Leg339],clay [Leg210],,sandy clay,sandy clay,clay,,gray,,,,,,,,,,,,,,,,354,U1453,A,10,F,3,A,,,
354-U1453A-10F-4-A,0,61,57.2,57.81,,sandy [Leg339],clay [Leg210],,sandy clay,sandy clay,clay,,gray,,,,,,,,,,,,,,,,354,U1453,A,10,F,4,A,,,
354-U1453A-10F-CC-A,0,17,57.81,57.98,,sandy [Leg339],clay [Leg210],,sandy clay,sandy clay,clay,,gray,,,,,,,,,,,,,,,,354,U1453,A,10,F,CC,A,,,
354-U1453A-11F-1-A,0,28,57.8,58.08,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,mud clast,,,,,,,,354,U1453,A,11,F,1,A,,,
354-U1453A-11F-1-A,28,88,58.08,58.68,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp irregular,horizontal,medium bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1453,A,11,F,1,A,,,
354-U1453A-11F-1-A,88,135,58.68,59.15,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,11,F,1,A,,,
354-U1453A-11F-2-A,0,148,59.15,60.63,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,11,F,2,A,,,
354-U1453A-11F-3-A,0,111,60.63,61.74,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,11,F,3,A,,,
354-U1453A-11F-CC-A,0,10,61.74,61.84,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,11,F,CC,A,,,
354-U1453A-12F-1-A,0,65,62.5,63.15,,,clay [Leg210],,clay,clay,clay,,gray,bioturbated,,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1453,A,12,F,1,A,,,
354-U1453A-12F-1-A,65,95,63.15,63.45,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,light gray,bioturbated,,,,,,,burrows,,,,,,,,354,U1453,A,12,F,1,A,,,
354-U1453A-12F-1-A,95,150,63.45,64,,,sand [Leg210],,sand,sand,sand,,gray,,,medium bed [B01],clay [Leg210],thin bed [B01],,,normally graded,,,,,,,,354,U1453,A,12,F,1,A,,,
354-U1453A-12F-2-A,0,79,64,64.79,,,sand [Leg210],,sand,sand,sand,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1453,A,12,F,2,A,,,
354-U1453A-12F-2-A,79,151,64.79,65.51,,,sand [Leg210],with clay [2014],sand,sand with clay,sand with clay,,gray,,,,,,,,,,,,,,,,354,U1453,A,12,F,2,A,,,
354-U1453A-12F-3-A,0,131,65.51,66.82,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,mud clast,,,,,,,,354,U1453,A,12,F,3,A,,,
354-U1453A-13F-1-A,0,87,67.2,68.07,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,gray,sharp irregular,,thick bed [B01],clay [Leg210],thin bed [B01],,,normally graded,,,,,,,,354,U1453,A,13,F,1,A,,,
354-U1453A-13F-1-A,87,111,68.07,68.31,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1453,A,13,F,1,A,,,
354-U1453A-13F-1-A,111,150,68.31,68.7,,,silt [Leg210],,silt,silt,silt,,gray,,,medium bed [B01],clay [Leg210],thin bed [B01],,,,,,,,,,,354,U1453,A,13,F,1,A,,,
354-U1453A-13F-2-A,0,81,68.7,69.51,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,gray,sharp planar,horizontal,thick bed [B01],clay [Leg210],thin bed [B01],,,normally graded,,,,,,,,354,U1453,A,13,F,2,A,,,
354-U1453A-13F-2-A,81,150,69.51,70.2,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1453,A,13,F,2,A,,,
354-U1453A-13F-3-A,0,147,70.2,71.67,,,silt [Leg210],with clay [2014],silt,silt with clay,silt with clay,,gray,,,,,,,,,Flow-in deformation,,,,,,,354,U1453,A,13,F,3,A,,,
354-U1453A-13F-CC-A,0,21,71.69,71.9,,,silt [Leg210],with clay [2014],silt,silt with clay,silt with clay,,gray,,,,,,,,,Flow-in deformation,,,,,,,354,U1453,A,13,F,CC,A,,,
354-U1453A-14F-1-A,0,150,71.9,73.4,,,clay [Leg210],,clay,clay,clay,,gray,,,thick bed [B01],silt [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,,354,U1453,A,14,F,1,A,,,
354-U1453A-14F-2-A,0,150,73.4,74.9,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,,354,U1453,A,14,F,2,A,,,
354-U1453A-14F-3-A,0,67,74.9,75.57,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,medium bed [B01],silt [Leg210],thin bed [B01],,,mottling [BJ80],,,,,,,,354,U1453,A,14,F,3,A,,,
354-U1453A-14F-3-A,67,110,75.57,76,,,silt [Leg210],,silt,silt,silt,,light gray,,,,,,,,,,,,,,,,354,U1453,A,14,F,3,A,,,
354-U1453A-14F-4-A,0,6,76,76.06,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1453,A,14,F,4,A,,,
354-U1453A-14F-4-A,6,21,76.06,76.21,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,,,,,,parallel lamination,,,,,,,,354,U1453,A,14,F,4,A,,,
354-U1453A-14F-4-A,21,58,76.21,76.58,,,silt [Leg210],,silt,silt,silt,,gray,,,,,,,,,,,,,,,,354,U1453,A,14,F,4,A,,,
354-U1453A-14F-CC-A,0,19,76.58,76.77,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1453,A,14,F,CC,A,,,
354-U1453A-14F-CC-A,19,27,76.77,76.85,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,,354,U1453,A,14,F,CC,A,,,
