Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1406B-2H-6-A,342,U1406,B,2,2-6,H,6,A,0,150,11.8,13.3,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,inermittent pale brown (10YR 7/4) 1-3 cm layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-2H-7-A,342,U1406,B,2,2-7,H,7,A,0,76,13.3,14.06,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,inermittent pale brown (10YR 7/4) 1-3 cm layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-2H-CC-A,342,U1406,B,2,2-CC,H,CC,A,0,14,14.06,14.25,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,inermittent pale brown (10YR 7/4) 1-3 cm layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-3H-1-A,342,U1406,B,3,3-1,H,1,A,0,150,13.8,15.3,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-3H-2-A,342,U1406,B,3,3-2,H,2,A,0,150,15.3,16.8,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-3H-3-A,342,U1406,B,3,3-3,H,3,A,0,26,16.8,17.06,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-3H-3-A,342,U1406,B,3,3-3,H,3,A,26,150,17.06,18.3,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-3H-4-A,342,U1406,B,3,3-4,H,4,A,0,150,18.3,19.8,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-3H-5-A,342,U1406,B,3,3-5,H,5,A,0,150,19.8,21.3,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-3H-6-A,342,U1406,B,3,3-6,H,6,A,0,150,21.3,22.8,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-3H-7-A,342,U1406,B,3,3-7,H,7,A,0,60,22.8,23.4,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-3H-CC-A,342,U1406,B,3,3-CC,H,CC,A,0,18,23.4,23.63,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-4H-1-A,342,U1406,B,4,4-1,H,1,A,0,116,23.3,24.46,,,,,,,,,,,,destroyed from fall in,,,,,,,,,,,,,,,,,,,,,,,,,,,,rubble,rubble,,,,,,
342-U1406B-4H-2-A,342,U1406,B,4,4-2,H,2,A,0,130,24.46,25.76,,,,,,,,,,,,destroyed from fall in,,,,,,,,,,,,,,,,,,,,,,,,,,,,rubble,rubble,,,,,,
342-U1406B-4H-2-A,342,U1406,B,4,4-2,H,2,A,130,150,25.76,25.96,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-4H-3-A,342,U1406,B,4,4-3,H,3,A,0,150,25.96,27.46,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-4H-4-A,342,U1406,B,4,4-4,H,4,A,0,150,27.46,28.96,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-4H-5-A,342,U1406,B,4,4-5,H,5,A,0,107,28.96,30.03,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-4H-5-A,342,U1406,B,4,4-5,H,5,A,107,150,30.03,30.46,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10G 5/1 (greenish gray),bed,mineral,glauconite,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-4H-6-A,342,U1406,B,4,4-6,H,6,A,0,150,30.46,31.96,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-4H-7-A,342,U1406,B,4,4-7,H,7,A,0,63,31.96,32.59,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-4H-CC-A,342,U1406,B,4,4-CC,H,CC,A,0,22,32.59,32.86,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-5H-1-A,342,U1406,B,5,5-1,H,1,A,0,150,29.8,31.3,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-5H-2-A,342,U1406,B,5,5-2,H,2,A,0,150,31.3,32.8,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-5H-3-A,342,U1406,B,5,5-3,H,3,A,0,150,32.8,34.3,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-5H-4-A,342,U1406,B,5,5-4,H,4,A,0,150,34.3,35.8,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-5H-5-A,342,U1406,B,5,5-5,H,5,A,0,150,35.8,37.3,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-5H-6-A,342,U1406,B,5,5-6,H,6,A,0,140,37.3,38.7,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-5H-7-A,342,U1406,B,5,5-7,H,7,A,0,72,38.7,39.42,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-5H-CC-A,342,U1406,B,5,5-CC,H,CC,A,0,17,39.42,39.65,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10GY 7/1 (light greenish gray),,mineral,sulfide,,,fracture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-6H-1-A,342,U1406,B,6,6-1,H,1,A,0,150,39.3,40.8,,nannofossil ooze [Leg339],,nannofossil ooze ,10GY 6/1 (greenish gray),,,,heavy_339 [DB91],5,,"1 cm-thick green-layer (5G 6/1) at 102 cm, sharp base, gradual transition at the top, disseminated sulfides occur occassionally",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-6H-2-A,342,U1406,B,6,6-2,H,2,A,0,150,40.8,42.3,,nannofossil ooze [Leg339],,nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,"1 cm-thick green-layer (5G 6/1) at 2 cm, sharper base, gradual transition at the top, disseminated sulfides occur occassionally",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-6H-3-A,342,U1406,B,6,6-3,H,3,A,0,150,42.3,43.8,,nannofossil ooze [Leg339],,nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,"prominent, probably glauconitic green-layer (<1cm-thick) at 68-69 cm, disseminated sulfides concentrated in grayish intervals (10Y 6/1) at  25 to 26 cm, and 98 to 102 cm, slight mottling",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-6H-4-A,342,U1406,B,6,6-4,H,4,A,0,150,43.8,45.3,,nannofossil ooze [Leg339],,nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,"disseminated sulfides concentrated in grayish intervals (10Y 6/1) at   86 to 87 cm, and 144 to 147 cm cm, slight mottling",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-6H-5-A,342,U1406,B,6,6-5,H,5,A,0,150,45.3,46.8,,nannofossil ooze [Leg339],,nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,in general very uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-6H-6-A,342,U1406,B,6,6-6,H,6,A,0,150,46.8,48.3,,nannofossil ooze [Leg339],,nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,"in general very uniform,one  diffuse but prominent greenish  (5G 5/1) interval at 90 to 94 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-6H-7-A,342,U1406,B,6,6-7,H,7,A,0,68,48.3,48.98,,nannofossil ooze [Leg339],,nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,"several weakly developed greenish layer at the bottom (48-68 cm), slightly brownish-gray patches above (10Y 6/1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-6H-CC-A,342,U1406,B,6,6-CC,H,CC,A,0,31,48.98,49.34,,nannofossil ooze [Leg339],,nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,somewhat more greenish on the top,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-7H-1-A,342,U1406,B,7,7-1,H,1,A,0,18,48.8,50.3,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,two small (< 1 cm) manganese nodules between 52-56 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-7H-1-A,342,U1406,B,7,7-1,H,1,A,25,150,48.8,50.3,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,two small (< 1 cm) manganese nodules between 52-56 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-7H-2-A,342,U1406,B,7,7-2,H,2,A,0,150,50.3,51.8,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,few disseminated glauconite patches between 17 and 25 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1406B-7H-3-A,342,U1406,B,7,7-3,H,3,A,0,150,51.8,53.3,,nannofossil ooze [Leg339],,nannofossil ooze ,5GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,few disseminated glauconite patches between 109 and 112 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-7H-4-A,342,U1406,B,7,7-4,H,4,A,0,150,53.3,54.8,,nannofossil ooze [Leg339],,nannofossil ooze ,5GY 6/1 (greenish gray),,,,heavy_339 [DB91],5,,"disseminated glauconite patches becoming more abundant, specifically between 65-70 cm, 117-128 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-7H-5-A,342,U1406,B,7,7-5,H,5,A,0,150,54.8,56.3,,nannofossil ooze [Leg339],,nannofossil ooze ,5GY 6/1 (greenish gray),,,,heavy_339 [DB91],5,,"glaucontic blebs (5G 5/1) common between 9 and 27 cm, and between 94 and 106 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-7H-6-A,342,U1406,B,7,7-6,H,6,A,0,150,56.3,57.8,,nannofossil ooze [Leg339],,nannofossil ooze ,5GY 6/1 (greenish gray),,,,heavy_339 [DB91],5,,"again very uniform similar to section 1 and 2, topmost 12 cm somewhat darker, possibly disseminated sulfides",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-7H-7-A,342,U1406,B,7,7-7,H,7,A,0,66,57.8,58.46,,nannofossil ooze [Leg339],,nannofossil ooze ,5GY 6/1 (greenish gray),,,,heavy_339 [DB91],5,,again very uniform similar to section 1 and 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-7H-CC-A,342,U1406,B,7,7-CC,H,CC,A,0,13,58.46,58.66,,nannofossil ooze [Leg339],,nannofossil ooze ,5GY 6/1 (greenish gray),,,,heavy_339 [DB91],5,,again very uniform similar to section 1 and 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1406B-8H-1-A,342,U1406,B,8,8-1,H,1,A,0,17,58.3,58.47,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers [Leg339],10GY 7/1 (light greenish gray),,,,moderate_339 [DB91],4,,disturbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,
342-U1406B-8H-2-A,342,U1406,B,8,8-2,H,2,A,0,6,58.47,58.53,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers [Leg339],5GY 7/1 (light greenish gray),,,,moderate_339 [DB91],4,,disturbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,
342-U1406B-8H-2-A,342,U1406,B,8,8-2,H,2,A,6,50,58.53,58.97,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers [Leg339],5GY 7/1 (light greenish gray),,,,moderate_339 [DB91],4,,"moderately mottled, disseminated glauconite (greenish) and sulfides (brownish). The latter contain more biosilicious material (radiolarian, etc)",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,
342-U1406B-8H-2-A,342,U1406,B,8,8-2,H,2,A,50,131,58.97,59.78,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers [Leg339],5GY 7/1 (light greenish gray),,,,moderate_339 [DB91],4,,disturbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,
342-U1406B-8H-2-A,342,U1406,B,8,8-2,H,2,A,131,149,59.78,59.96,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers [Leg339],10GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,"moderately mottled, disseminated glauconite (greenish) and sulfides (brownish). The latter contain more biosilicious material (radiolarian, etc)",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,
342-U1406B-8H-3-A,342,U1406,B,8,8-3,H,3,A,0,144,59.96,61.4,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers [Leg339],10GY 7/1 (light greenish gray),,,,moderate_339 [DB91],4,,"moderately mottled, disseminated glauconite (greenish) and sulfides (brownish). The latter contain more biosilicious material (radiolarian, etc)",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,
342-U1406B-8H-4-A,342,U1406,B,8,8-4,H,4,A,0,115,61.4,62.55,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers [Leg339],10GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,disturbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,
342-U1406B-8H-5-A,342,U1406,B,8,8-5,H,5,A,0,41,62.55,62.96,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers [Leg339],10GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,disturbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,
