dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
,344-U1412B-5X-1-A,344,U1412,B,5,5-1,X,1,A,0,120,175.2,176.4,,high [drilling disturbance],6,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,diffuse pod of dark ash at 97 cm,sponge-spicule ooze [USGS],,,,,,,rare,,,,,,,,,,,,
,344-U1412B-5X-1-A,344,U1412,B,5,5-1,X,1,A,120,140,176.4,176.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,
,344-U1412B-5X-2-A,344,U1412,B,5,5-2,X,2,A,0,77,176.6,177.37,,moderate to high [drilling disturbance],5,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,
,344-U1412B-5X-CC-A,344,U1412,B,5,5-CC,X,CC,A,0,18,177.37,177.55,,moderate to high [drilling disturbance],5,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,
,344-U1412B-5X-CC-A,344,U1412,B,5,5-CC,X,CC,A,18,24,177.55,177.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,
,344-U1412B-6X-1-A,344,U1412,B,6,6-1,X,1,A,0,85,184.9,185.75,,moderate to high [drilling disturbance],5,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,,sponge-spicule ooze [USGS],,,,white,,,rare,,,,,,drilling distubance high on top of section,,,,,,
,344-U1412B-6X-2-A,344,U1412,B,6,6-2,X,2,A,0,99,185.75,186.74,,moderate to high [drilling disturbance],5,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,
,344-U1412B-6X-2-A,344,U1412,B,6,6-2,X,2,A,99,125,186.74,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,
,344-U1412B-6X-3-A,344,U1412,B,6,6-3,X,3,A,0,102,187,188.02,,moderate to high [drilling disturbance],5,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,,sponge-spicule ooze [USGS],,,,white,,,rare,,,,,,,,,,,,
,344-U1412B-6X-4-A,344,U1412,B,6,6-4,X,4,A,0,81,188.02,188.83,,high [drilling disturbance],6,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,,,,,,,,,,,,,,,nearly soupy in uppermost dm,,,,,,
,344-U1412B-6X-5-A,344,U1412,B,6,6-5,X,5,A,0,78,188.83,189.61,,moderate to high [drilling disturbance],5,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,
,344-U1412B-6X-CC-A,344,U1412,B,6,6-CC,X,CC,A,0,28,189.61,189.89,,high [drilling disturbance],6,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,traces of different colored ash pods,,,,,,,,,,,,,,,,,,,,
,344-U1412B-6X-CC-A,344,U1412,B,6,6-CC,X,CC,A,28,34,189.89,189.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,
,344-U1412B-7X-1-A,344,U1412,B,7,7-1,X,1,A,0,91,194.6,195.51,,high [drilling disturbance],6,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,traces of different colored ash pods,,,,,,,,,,,,,,,,,,,,
,344-U1412B-7X-2-A,344,U1412,B,7,7-2,X,2,A,0,52,195.51,196.03,,high [drilling disturbance],6,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,traces of different colored ash pods,,,,,,,,,,,,,,,,,,,,
,344-U1412B-7X-2-A,344,U1412,B,7,7-2,X,2,A,52,73,196.03,196.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,
,344-U1412B-7X-3-A,344,U1412,B,7,7-3,X,3,A,0,25,196.24,196.49,,high [drilling disturbance],6,calcareous [Leg339],sandstone [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   sandstone ,calcareous  sandstone  with clay ,fine silt [W22_2],3,silt [W22_1],2,traces of different colored ash pods,,,,,,,,,,,,,,,,,,,,
,344-U1412B-7X-3-A,344,U1412,B,7,7-3,X,3,A,25,35,196.49,196.59,,moderate [drilling disturbance],4,,tephra [FS84],,N 8 (white),tephra ,tephra ,,,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,,
,344-U1412B-7X-3-A,344,U1412,B,7,7-3,X,3,A,35,148,196.59,197.72,,high [drilling disturbance],6,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,traces of different colored ash pods,,,,,,,,,,,,,,,,,,,,
,344-U1412B-7X-CC-A,344,U1412,B,7,7-CC,X,CC,A,0,33,197.72,198.05,,high [drilling disturbance],6,calcareous [Leg339],silt [USGS],with clay [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with clay ,fine silt [W22_2],3,silt [W22_1],2,traces of different colored ash pods,,,,,,,,,,,,,,,,,,,,
,344-U1412B-8X-1-A,344,U1412,B,8,8-1,X,1,A,0,44,204.3,204.74,slurry,high [drilling disturbance],6,calcareous [Leg339],silt [USGS],with nannofossils [Leg339],5GY 3/1 (very dark greenish gray),calcareous   silt ,calcareous  silt  with nannofossils ,fine silt [W22_2],3,medium silt [W22_2],4,"Slurry mix of lithic fragments, feldspar, hornblende, glass, chlorite and rare biotite with abundant biogenic material",pyrite concretions,pebble [W22_2],elongate,,,,,,,,,,,,,,,,,
,344-U1412B-8X-1-A,344,U1412,B,8,8-1,X,1,A,44,48,204.74,204.78,,,,calcareous [Leg339],diatom ooze,with nannofossils [Leg339],10GY 4/1 (dark greenish gray),calcareous   diatom ooze,calcareous  diatom ooze with nannofossils ,very fine silt [W22_2],2,silt [W22_1],2,Slighly greenish diatom ooze with abundant radiolarians,,,,,,,,,,,,,,,,,,,,
,344-U1412B-8X-1-A,344,U1412,B,8,8-1,X,1,A,48,78,204.78,205.08,,,,calcareous [Leg339],diatom ooze,with nannofossils [Leg339],10Y 7/2 (pale green),calcareous   diatom ooze,calcareous  diatom ooze with nannofossils ,very fine silt [W22_2],2,medium silt [W22_2],4,Slighly greenish diatom ooze with abundant radiolarians,,,,,,,,,,,,,,,,,,,,
,344-U1412B-8X-CC-A,344,U1412,B,8,8-CC,X,CC,A,0,23,205.08,205.31,,,,calcareous [Leg339],diatom ooze,with nannofossils [Leg339],10Y 7/2 (pale green),calcareous   diatom ooze,calcareous  diatom ooze with nannofossils ,very fine silt [W22_2],2,medium silt [W22_2],4,Slighly greenish diatom ooze with abundant radiolarians,,,,,,,,,,,,,,,,,,,,
,344-U1412B-8X-CC-A,344,U1412,B,8,8-CC,X,CC,A,23,28,205.31,205.36,,,,calcareous [Leg339],nannofosil ooze,with diatoms [Leg339],10YR 4/3 (brown),calcareous   nannofosil ooze,calcareous  nannofosil ooze with diatoms ,very fine silt [W22_2],2,medium silt [W22_2],4,Light to medium brown nannofosil dominated with diatoms,,,,,,,,,,,,,,,,,,,,
,344-U1412B-8X-CC-A,344,U1412,B,8,8-CC,X,CC,A,28,29,205.36,205.37,,,,calcareous [Leg339],siltstone [USGS],with nannos,10B 2.5/1 (bluish black),calcareous   siltstone ,calcareous  siltstone  with nannos,medium silt [W22_2],4,silt [W22_1],2,"Dark blue to black siltstone contains felsdpar, amphybole, glass, pyroxene, chlorite and rare biotite.  Biogenic components are nannos, diatoms, radiolarians and forams.",,,,,,,,,,,,,,,,,,,,
,344-U1412B-8X-CC-A,344,U1412,B,8,8-CC,X,CC,A,29,32,205.37,205.4,,,,calcareous [Leg339],nannofossil ooze [Leg339],with diatoms [Leg339],10YR 4/3 (brown),calcareous   nannofossil ooze ,calcareous  nannofossil ooze  with diatoms ,very fine silt [W22_2],2,medium silt [W22_2],4,Light to medium brown nannofosil dominated with diatoms,,,,,,,,,,,,,,,,,,,,
,344-U1412B-9X-CC-A,344,U1412,B,9,9-CC,X,CC,A,0,38,214,214.38,mousselike,high [drilling disturbance],6,calcareous [Leg339],nannofosil ooze,with diatoms [Leg339],10YR 6/2 (light brownish gray),calcareous   nannofosil ooze,calcareous  nannofosil ooze with diatoms ,fine silt [W22_2],3,fine silt [W22_2],3,Light to medium brown nannofosil dominated with diatoms,,,,,,,,,,,,,,,,,,,,
,344-U1412B-10X-CC-A,344,U1412,B,10,10-CC,X,CC,A,0,13,223.7,223.83,mousselike,high [drilling disturbance],6,calcareous [Leg339],nannofossil ooze [Leg339],with diatoms [Leg339],10YR 6/2 (light brownish gray),calcareous   nannofossil ooze ,calcareous  nannofossil ooze  with diatoms ,fine silt [W22_2],3,fine silt [W22_2],3,light to medium brown nannofosil dominated with diatoms,,,,,,,,,,,,,,,,,,,,
,344-U1412B-11X-1-A,344,U1412,B,11,11-1,X,1,A,0,45,228.5,228.95,mousselike,high [drilling disturbance],6,calcareous [Leg339],nannofossil ooze [Leg339],with diatoms [Leg339],10YR 4/2 (dark grayish brown),calcareous   nannofossil ooze ,calcareous  nannofossil ooze  with diatoms ,medium silt [W22_2],4,medium silt [W22_2],4,medium brown nannofosil dominated with diatoms,,,,,,,,,,,,,,Top of core contains siltstone fragments that are fall-in material due to drilling disturbance from 0-20 cm,,,,,,
,344-U1412B-11X-CC-A,344,U1412,B,11,11-CC,X,CC,A,0,26,228.95,229.21,mousselike,high [drilling disturbance],6,calcareous [Leg339],nannofossil ooze [Leg339],with diatoms [Leg339],10YR 4/2 (dark grayish brown),calcareous   nannofossil ooze ,calcareous  nannofossil ooze  with diatoms ,medium silt [W22_2],4,medium silt [W22_2],4,medium brown nannofosil dominated with diatoms,,,,,,,,,,,,,,,,,,,,
,344-U1412B-12X-1-A,344,U1412,B,12,12-1,X,1,A,0,28,233.4,233.68,mousselike,high [drilling disturbance],6,calcareous [Leg339],nannofossil ooze [Leg339],with diatoms [Leg339],10YR 4/2 (dark grayish brown),calcareous   nannofossil ooze ,calcareous  nannofossil ooze  with diatoms ,medium silt [W22_2],4,medium silt [W22_2],4,medium brown nannofosil dominated with diatoms,,,,,,,,,,,,,,Top of core contains siltstone fragments that are fall-in material due to drilling disturbance from 0-7 cm,,,,,,
,344-U1412B-12X-CC-A,344,U1412,B,12,12-CC,X,CC,A,0,15,233.68,233.83,mousselike,high [drilling disturbance],6,calcareous [Leg339],nannofossil ooze [Leg339],with diatoms [Leg339],10YR 4/2 (dark grayish brown),calcareous   nannofossil ooze ,calcareous  nannofossil ooze  with diatoms ,medium silt [W22_2],4,medium silt [W22_2],4,medium brown nannofosil dominated with diatoms,,,,,,,,,,,,,,,,,,,,
,344-U1412B-13X-CC-A,344,U1412,B,13,13-CC,X,CC,A,0,15,243.1,243.25,mousselike,high [drilling disturbance],6,calcareous [Leg339],nannofossil ooze [Leg339],with diatoms [Leg339],10YR 4/2 (dark grayish brown),calcareous   nannofossil ooze ,calcareous  nannofossil ooze  with diatoms ,fine silt [W22_2],3,silt [W22_1],2,nannofossil ooze shows some dark discoloration at bottom; ,,,,,,,,,,,,,,,,,,,,
,344-U1412B-13X-CC-A,344,U1412,B,13,13-CC,X,CC,A,15,26,243.25,243.36,,,,,,,,,,,,,2,some cm-sized grayish-green loose limestone pebbles,,,,,,,,,,,,,,PAL,,,,,,
,344-U1412B-14X-CC-A,344,U1412,B,14,14-CC,X,CC,A,0,6,252.8,252.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,
,344-U1412B-14X-CC-A,344,U1412,B,14,14-CC,X,CC,A,6,19,252.86,252.99,slurry,high [drilling disturbance],6,calcareous [Leg339],nannofossil ooze [Leg339],with diatoms [Leg339],10YR 4/2 (dark grayish brown),calcareous   nannofossil ooze ,calcareous  nannofossil ooze  with diatoms ,fine silt [W22_2],3,silt [W22_1],2,,,,,,,,,,,,,,,bad smell,,,,,,
,344-U1412B-15X-CC-A,344,U1412,B,15,15-CC,X,CC,A,0,3,262.5,262.53,,high [drilling disturbance],6,,limestone [USGS],,5G 4/2 (grayish green),limestone ,limestone ,pebble [W22_2],9,pebble [W22_2],9,"some cm-sized pebbles, subangular to rounded, thin non-carbonaceous coating",,,,,,,,,,,,,,All to PAL,,,,,,
,344-U1412B-16X-CC-A,344,U1412,B,16,16-CC,X,CC,A,0,10,272.2,272.3,,,,,nannofossil ooze [Leg339],,10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze ,clay [W22_2],1,fine silt [W22_2],3,,,,,,,,,,,,,,,All to PAL,,,,,,
,344-U1412B-17X-CC-A,344,U1412,B,17,17-CC,X,CC,A,0,12,281.9,282.02,,severe [drilling disturbance],7,,breccia [F70],,5G 4/2 (grayish green),breccia ,breccia ,,,,,"some greenish-gray claystone clasts with traces of carbonate in matrix; partly brecciated and yellow-brown soft mudstone, slightly carbonaceous ",,,,,,,,,,,,,,PAL and structural geologist,,,,,,
,344-U1412B-18X-CC,344,U1412,B,18,18-CC,X,CC,,0,29,291.6,291.89,,destroyed [drilling disturbance],8,,nannofossil ooze [Leg339],,,nannofossil ooze ,nannofossil ooze ,silt [W22_1],2,silt [W22_1],2,Mixture of clasts that have presumably been fallen into the hole (greenis grey well-rounded siltstoneclasts) and probably drilled lithified nannofossil-rich ooze silt-sized clasts with its brownish color. The lowermost part is heavily overprintet by drilling (black color --> heat),,,,,,,,,,,,,,,,,,,,
,344-U1412B-19X-CC,344,U1412,B,19,19-CC,X,CC,,0,21,295.6,295.81,,destroyed [drilling disturbance],8,,nannofossil ooze [Leg339],,10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze ,,,,,"Only assemblage of brownish, well-rounded, clasts with incorporated black tephra.",,,,,,,,,,,,,,,,,,,,
,344-U1412B-20X-CC,344,U1412,B,20,20-CC,X,CC,,0,4,301.3,301.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,
