Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File data,row_index
339-U1391B-3H-4-A,339,U1391,B,3,3-4,H,4,A,61,87,24.11,24.37,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,10YR 5/1 (gray),silt ,2,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,36
339-U1391B-3H-4-A,339,U1391,B,3,3-4,H,4,A,87,150,24.37,25,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,black specks,100,100,,37
339-U1391B-3H-5-A,339,U1391,B,3,3-5,H,5,A,0,150,25,26.5,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,"black specks, pyritized burrow.",100,100,,38
339-U1391B-3H-6-A,339,U1391,B,3,3-6,H,6,A,0,102,26.5,27.52,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/2 (grayish brown),clay ,1,fine sand ,4,,,,,,,,,,,,,100,color contact,,,,,,slight_339 ,3,,,black specks. more silty at 11-14 cm.,100,100,,39
339-U1391B-3H-6-A,339,U1391,B,3,3-6,H,6,A,102,150,27.52,28,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,black specks. color is slightly brownish in the top (114-120 cm).,100,100,,40
339-U1391B-3H-7-A,339,U1391,B,3,3-7,H,7,A,0,75,28,28.75,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,black specks,100,100,,41
339-U1391B-3H-CC-A,339,U1391,B,3,3-CC,H,CC,A,0,14,28.75,28.89,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,black specks.,100,100,,42
339-U1391B-4H-1-A,339,U1391,B,4,4-1,H,1,A,0,45,28.5,28.95,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,43
339-U1391B-4H-1-A,339,U1391,B,4,4-1,H,1,A,45,150,28.95,30,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,"more silt in 136-146 cm, black specks throughout",100,100,,44
339-U1391B-4H-2-A,339,U1391,B,4,4-2,H,2,A,0,151,30,31.51,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,present ,,"scaphopod shell at 145 cm, more silt in 136-146 cm, black specks",100,100,,45
339-U1391B-4H-3-A,339,U1391,B,4,4-3,H,3,A,0,45,31.51,31.96,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,46
339-U1391B-4H-3-A,339,U1391,B,4,4-3,H,3,A,45,59,31.96,32.1,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,10YR 5/1 (gray),silt ,2,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,47
339-U1391B-4H-3-A,339,U1391,B,4,4-3,H,3,A,59,147,32.1,32.98,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,black specks,100,100,,48
339-U1391B-4H-4-A,339,U1391,B,4,4-4,H,4,A,0,146,32.98,34.44,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,"gastropod at 109 cm, pyritized burrows at 89 cm, black specks throughout",100,100,,49
339-U1391B-4H-5-A,339,U1391,B,4,4-5,H,5,A,0,136,34.44,35.8,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/1 (gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,black specks,100,100,,50
339-U1391B-4H-5-A,339,U1391,B,4,4-5,H,5,A,136,146,35.8,35.9,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,"black specks, more silty (forams?), become greenish",100,100,,51
339-U1391B-4H-6-A,339,U1391,B,4,4-6,H,6,A,0,100,35.9,36.9,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,5GY 3/1 (very dark greenish gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,"black specks, more silty above 32 cm (forams?)",100,100,,52
339-U1391B-4H-6-A,339,U1391,B,4,4-6,H,6,A,100,146,36.9,37.36,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,few [A48],,"black specks, small shell fragments",100,100,,53
339-U1391B-4H-7-A,339,U1391,B,4,4-7,H,7,A,0,20,37.36,37.61,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,few [A48],,"black specks, small shell fragments",100,100,,54
339-U1391B-4H-7-A,339,U1391,B,4,4-7,H,7,A,20,95,37.61,38.31,,mud [Leg339],with biogenic carbonate [Leg339],mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/2 (grayish brown),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,few [A48],,"black specks, small shell fragments",100,100,,55
339-U1391B-4H-CC-A,339,U1391,B,4,4-CC,H,CC,A,0,27,38.31,38.58,,mud [Leg339],with biogenic carbonate [Leg339],mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,10YR 5/2 (grayish brown),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,few [A48],,"black specks, small shell fragments",100,100,,56
339-U1391B-5H-1-A,339,U1391,B,5,5-1,H,1,A,0,61,38,38.61,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,10Y 5/1 (greenish gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,,,black specks,100,100,,57
339-U1391B-5H-1-A,339,U1391,B,5,5-1,H,1,A,61,87,38.61,38.87,calcareous [Leg339],silty mud [Leg339],,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,10Y 5/1 (greenish gray),silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,common [A48],,gastropod and scaphopod shells filling burrows at 83-84 cm. coarser in 74-81 cm interval,100,100,,58
339-U1391B-5H-1-A,339,U1391,B,5,5-1,H,1,A,87,150,38.87,39.5,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,10Y 5/1 (greenish gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,,,black specks,100,100,,59
339-U1391B-5H-2-A,339,U1391,B,5,5-2,H,2,A,0,150,39.5,41,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,10YR 5/2 (grayish brown),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,present [A48],,black specks. pyritized burrows. gastropods at 140 cm.,100,100,,60
339-U1391B-5H-3-A,339,U1391,B,5,5-3,H,3,A,0,150,41,42.5,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,10YR 5/2 (grayish brown),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,rare [A48],,"gastropods at 90, 100 cm. black specks",100,100,,61
339-U1391B-5H-4-A,339,U1391,B,5,5-4,H,4,A,0,145,42.5,43.95,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,10YR 5/2 (grayish brown),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,rare [A48],,pyritized burrows at 111-113 cm. black specks,100,100,,62
339-U1391B-5H-5-A,339,U1391,B,5,5-5,H,5,A,0,56,43.95,44.51,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,10YR 5/2 (grayish brown),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,rare [A48],,bivalve at 56 cm. black specks throughout.,100,100,,63
339-U1391B-5H-5-A,339,U1391,B,5,5-5,H,5,A,56,60,44.51,44.55,calcareous [Leg339],sandy mud [Leg339],,calcareous   sandy mud ,calcareous  sandy mud ,sandy mud ,100,10YR 5/2 (grayish brown),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,sharp contact,normal grading,,,,,slight_339 [DB91],3,rare [A48],,"normal grading, silty mud at the upper part (56-58 cm).",100,100,,64
339-U1391B-5H-5-A,339,U1391,B,5,5-5,H,5,A,60,61,44.55,44.56,calcareous [Leg339],silty mud [Leg339],,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,10YR 5/2 (grayish brown),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,sharp contact,normal grading,,,,,slight_339 [DB91],3,rare [A48],,black specks,100,100,,65
339-U1391B-5H-5-A,339,U1391,B,5,5-5,H,5,A,61,101,44.56,44.96,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,10YR 5/2 (grayish brown),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,color contact,,,,,,slight_339 [DB91],3,rare [A48],,black specks,100,100,,66
339-U1391B-5H-5-A,339,U1391,B,5,5-5,H,5,A,101,146,44.96,45.41,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,10YR 5/1 (gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,rare [A48],,black specks,100,100,,67
339-U1391B-5H-6-A,339,U1391,B,5,5-6,H,6,A,0,54,45.41,45.95,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,10YR 5/1 (gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,inclined boundary or contact,,,,,,slight_339 [DB91],3,rare [A48],,black specks,100,100,,68
339-U1391B-5H-6-A,339,U1391,B,5,5-6,H,6,A,54,87,45.95,46.28,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,10YR 6/1 (gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,,,black specks,100,100,,69
339-U1391B-5H-6-A,339,U1391,B,5,5-6,H,6,A,87,130,46.28,46.71,calcareous [Leg339],mud [Leg339],,calcareous   mud ,calcareous  mud ,mud ,100,10YR 5/1 (gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,,,black specks,100,100,,70
339-U1391B-5H-6-A,339,U1391,B,5,5-6,H,6,A,130,138,46.71,46.79,calcareous [Leg339],silty mud [Leg339],,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,10YR 5/1 (gray),silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,,,black specks,100,100,,71
339-U1391B-5H-6-A,339,U1391,B,5,5-6,H,6,A,138,142,46.79,46.83,calcareous [Leg339],sandy mud [Leg339],,calcareous   sandy mud ,calcareous  sandy mud ,sandy mud ,100,10YR 5/1 (gray),silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,,,black specks,100,100,,72
