Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
323-U1344A-3H-5-A,323,U1344,A,3,3-5,H,5,A,0,150,24.6,26.1,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,28
323-U1344A-3H-6-A,323,U1344,A,3,3-6,H,6,A,0,150,26.1,27.6,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,29
323-U1344A-3H-7-A,323,U1344,A,3,3-7,H,7,A,0,89,27.6,28.49,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,30
323-U1344A-3H-CC-A,323,U1344,A,3,3-CC,H,CC,A,0,16,28.49,28.65,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,31
323-U1344A-4H-1-A,323,U1344,A,4,4-1,H,1,A,0,150,28.1,29.6,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,32
323-U1344A-4H-2-A,323,U1344,A,4,4-2,H,2,A,0,150,29.6,31.1,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,33
323-U1344A-4H-3-A,323,U1344,A,4,4-3,H,3,A,0,150,31.1,32.6,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,34
323-U1344A-4H-4-A,323,U1344,A,4,4-4,H,4,A,0,150,32.6,34.1,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,35
323-U1344A-4H-5-A,323,U1344,A,4,4-5,H,5,A,0,18,34.1,34.28,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,36
323-U1344A-4H-5-A,323,U1344,A,4,4-5,H,5,A,18,150,34.28,35.6,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,50,soft,5GY 3/1,,,,,,,,,,,,,,,,,37
323-U1344A-4H-5-A,323,U1344,A,4,4-5,H,5,A,18,150,34.28,35.6,silt [S54],,diatom-rich,diatom-rich silt,50,soft,5GY 3/1,,,,,,,,,,,,,,,,,38
323-U1344A-4H-6-A,323,U1344,A,4,4-6,H,6,A,0,35,35.6,35.95,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,50,soft,5GY 3/1,,,,,,,,,,,,,,,,,39
323-U1344A-4H-6-A,323,U1344,A,4,4-6,H,6,A,0,35,35.6,35.95,silt [S54],,diatom-rich,diatom-rich silt,50,soft,5GY 3/1,,,,,,,,,,,,,,,,,40
323-U1344A-4H-6-A,323,U1344,A,4,4-6,H,6,A,35,146,35.95,37.06,silt [S54],,diatom-rich,diatom-rich silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,41
323-U1344A-4H-6-A,323,U1344,A,4,4-6,H,6,A,146,150,37.06,37.1,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,50,soft,5GY 4/1,,,,,,,,,,,,,,,,,42
323-U1344A-4H-6-A,323,U1344,A,4,4-6,H,6,A,146,150,37.06,37.1,silt [S54],,diatom-rich,diatom-rich silt,50,soft,5GY 4/1,,,,,,,,,,,,,,,,,43
323-U1344A-4H-7-A,323,U1344,A,4,4-7,H,7,A,0,53,37.1,37.63,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,50,soft,5GY 4/1,,,,,,,,,,,,,,,,,44
323-U1344A-4H-7-A,323,U1344,A,4,4-7,H,7,A,0,53,37.1,37.63,silt [S54],,diatom-rich,diatom-rich silt,50,soft,5GY 4/1,,,,,,,,,,,,,,,,,45
323-U1344A-4H-7-A,323,U1344,A,4,4-7,H,7,A,53,74,37.63,37.84,silt [S54],,diatom-rich,diatom-rich silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,46
323-U1344A-4H-CC-A,323,U1344,A,4,4-CC,H,CC,A,0,38,37.84,38.22,silt [S54],,diatom-rich,diatom-rich silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,47
323-U1344A-5H-1-A,323,U1344,A,5,5-1,H,1,A,0,50,37.6,38.1,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,48
323-U1344A-5H-2-A,323,U1344,A,5,5-2,H,2,A,0,150,38.1,39.6,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,49
323-U1344A-5H-3-A,323,U1344,A,5,5-3,H,3,A,0,150,39.6,41.1,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,50
323-U1344A-5H-4-A,323,U1344,A,5,5-4,H,4,A,0,150,41.1,42.6,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,51
323-U1344A-5H-5-A,323,U1344,A,5,5-5,H,5,A,0,150,42.6,44.1,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,52
323-U1344A-5H-6-A,323,U1344,A,5,5-6,H,6,A,0,120,44.1,45.3,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,53
323-U1344A-5H-6-A,323,U1344,A,5,5-6,H,6,A,120,151,45.3,45.61,silt [S54],,diatom-rich,diatom-rich silt,,soft,4/N,,,,,,,,,,,,,,,,,54
323-U1344A-5H-7-A,323,U1344,A,5,5-7,H,7,A,0,90,45.61,46.51,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,55
323-U1344A-5H-7-A,323,U1344,A,5,5-7,H,7,A,90,146,46.51,47.07,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,,soft,4/N,,,,,,,,,,,,,,,,,56
323-U1344A-5H-CC-A,323,U1344,A,5,5-CC,H,CC,A,0,46,47.07,47.53,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,,soft,4/N,,,,,,,,,,,,,,,,,57
323-U1344A-6H-1-A,323,U1344,A,6,6-1,H,1,A,0,142,47.1,48.52,silt [S54],,diatom-rich,diatom-rich silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,58
323-U1344A-6H-2-A,323,U1344,A,6,6-2,H,2,A,0,150,48.52,50.02,silt [S54],,diatom-rich,diatom-rich silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,59
323-U1344A-6H-3-A,323,U1344,A,6,6-3,H,3,A,0,150,50.02,51.52,silt [S54],,diatom-rich,diatom-rich silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,60
323-U1344A-6H-4-A,323,U1344,A,6,6-4,H,4,A,0,145,51.52,52.97,silt [S54],,diatom-rich,diatom-rich silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,61
323-U1344A-6H-4-A,323,U1344,A,6,6-4,H,4,A,145,150,52.97,53.02,diatom silt,Leg 323,,diatom silt,,soft,10Y 3/1,,,,,,,,,,,,,,,,,62
323-U1344A-6H-5-A,323,U1344,A,6,6-5,H,5,A,0,127,53.02,54.29,diatom silt,Leg 323,,diatom silt,,soft,10Y 3/1,,,,,,,,,,,,,,,,,63
323-U1344A-6H-5-A,323,U1344,A,6,6-5,H,5,A,127,132,54.29,54.34,clayey silt [S54],"Shepard, 1954",foraminifer and diatom-rich,foraminifer and diatom-rich clayey silt,,soft,5Y 4/2,,,,,,,,,,,,,,,,,64
323-U1344A-6H-5-A,323,U1344,A,6,6-5,H,5,A,132,146,54.34,54.48,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,65
323-U1344A-6H-6-A,323,U1344,A,6,6-6,H,6,A,0,147,54.48,55.95,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,66
323-U1344A-6H-7-A,323,U1344,A,6,6-7,H,7,A,0,96,55.95,56.91,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,67
323-U1344A-6H-CC-A,323,U1344,A,6,6-CC,H,CC,A,0,30,56.91,57.21,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,68
323-U1344A-7H-1-A,323,U1344,A,7,7-1,H,1,A,0,45,56.6,57.05,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,69
323-U1344A-7H-1-A,323,U1344,A,7,7-1,H,1,A,45,110,57.05,57.7,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,70
323-U1344A-7H-2-A,323,U1344,A,7,7-2,H,2,A,0,70,57.7,58.4,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,71
323-U1344A-7H-2-A,323,U1344,A,7,7-2,H,2,A,70,150,58.4,59.2,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,72
323-U1344A-7H-3-A,323,U1344,A,7,7-3,H,3,A,0,150,59.2,60.7,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,73
323-U1344A-7H-4-A,323,U1344,A,7,7-4,H,4,A,0,150,60.7,62.2,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,74
323-U1344A-7H-5-A,323,U1344,A,7,7-5,H,5,A,0,80,62.2,63,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,75
323-U1344A-7H-5-A,323,U1344,A,7,7-5,H,5,A,80,87,63,63.07,silty clay [S54],"Shepard, 1954",authigenic carbonate diatom-rich,authigenic carbonate diatom-rich silty clay,,soft,10Y 5/2,,,,,authigenic carbonate,,,,,,,,,,,,76
323-U1344A-7H-5-A,323,U1344,A,7,7-5,H,5,A,87,150,63.07,63.7,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,10GY 4/1,,,,,,,,,,,,,,,,,77
323-U1344A-7H-6-A,323,U1344,A,7,7-6,H,6,A,0,150,63.7,65.2,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,10GY 4/1,,,,,,,,,,,,,,,,,78
323-U1344A-7H-7-A,323,U1344,A,7,7-7,H,7,A,0,82,65.2,66.02,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,10GY 4/1,,,,,,,,,,,,,,,,,79
323-U1344A-7H-CC-A,323,U1344,A,7,7-CC,H,CC,A,0,66,66.02,66.68,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,10GY 4/1,,,,,,,,,,,,,,,,,80
323-U1344A-8H-1-A,323,U1344,A,8,8-1,H,1,A,0,57,66.1,66.67,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,10GY 4/1,,,,,Slightly mottled with black patch,,,,,,,,,,,,81
323-U1344A-8H-2-A,323,U1344,A,8,8-2,H,2,A,0,150,66.67,68.17,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,10GY 4/1,,,,,,,,,,,,,,,,,82
323-U1344A-8H-3-A,323,U1344,A,8,8-3,H,3,A,0,150,68.13,69.63,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,10GY 4/1,,,,,,,,,,,,,,,,,83
323-U1344A-8H-4-A,323,U1344,A,8,8-4,H,4,A,0,126,69.63,70.89,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,10GY 4/1,,,,,,,,,,,,,,,,,84
323-U1344A-8H-4-A,323,U1344,A,8,8-4,H,4,A,126,129,70.89,70.92,diatom clayey silt,"Shepard, 1954",,diatom clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,85
323-U1344A-8H-4-A,323,U1344,A,8,8-4,H,4,A,129,132,70.92,70.95,diatom clayey silt,"Shepard, 1954",,diatom clayey silt,,,5GY 4/1,,,,,,,,,,,,,,,,,86
323-U1344A-8H-5-A,323,U1344,A,8,8-5,H,5,A,0,62,70.95,71.57,diatom clayey silt,"Shepard, 1954",,diatom clayey silt,,,5GY 4/1,,,,,,,,,,,,,,,,,87
323-U1344A-8H-5-A,323,U1344,A,8,8-5,H,5,A,62,67,71.57,71.62,sand [S54],,diatom-bearing,diatom-bearing sand,,soft,3/N ,,,,,,,,,,,,,,,,,88
323-U1344A-8H-5-A,323,U1344,A,8,8-5,H,5,A,67,148,71.62,72.43,diatom clayey silt,"Shepard, 1954",,diatom clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,89
323-U1344A-8H-6-A,323,U1344,A,8,8-6,H,6,A,0,56,72.43,72.99,diatom clayey silt,"Shepard, 1954",,diatom clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,90
323-U1344A-8H-6-A,323,U1344,A,8,8-6,H,6,A,56,150,72.99,73.93,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,10GY 4/1,,,,,,,,,,,,,,,,,91
323-U1344A-8H-7-A,323,U1344,A,8,8-7,H,7,A,0,79,73.93,74.72,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,10GY 4/1,,,,,,,,,,,,,,,,,92
323-U1344A-8H-CC-A,323,U1344,A,8,8-CC,H,CC,A,0,60,74.72,75.32,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,10GY 4/1,,,,,,,,,,,,,,,,,93
323-U1344A-9H-1-A,323,U1344,A,9,9-1,H,1,A,0,76,75.6,76.36,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,,10Y 4/1,,,,,Same color and lithology but little bit finer,,,,,,,,,,,,94
323-U1344A-9H-2-A,323,U1344,A,9,9-2,H,2,A,0,70,76.36,77.06,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,95
323-U1344A-9H-2-A,323,U1344,A,9,9-2,H,2,A,70,131,77.06,77.67,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,,10Y 4/1,,,,,Same color and lithology but little bit coarser,,,,,,,,,,,,96
323-U1344A-9H-3-A,323,U1344,A,9,9-3,H,3,A,0,134,77.86,79.2,silty clay [S54],"Shepard, 1954",,silty clay,,,5GY 5/1,,,,,boundary is not recognized (that could be in the IW sample),,,,,,,,,,,,97
323-U1344A-9H-4-A,323,U1344,A,9,9-4,H,4,A,0,150,79.2,80.7,silty clay [S54],"Shepard, 1954",,silty clay,100,soft,5GY 5/1,,,,,,,,,,,,,,,,,98
323-U1344A-9H-5-A,323,U1344,A,9,9-5,H,5,A,0,147,80.7,82.17,silty clay [S54],"Shepard, 1954",,silty clay,100,soft,5GY 5/1,,,,,,,,,,,,,,,,,99
323-U1344A-9H-6-A,323,U1344,A,9,9-6,H,6,A,0,150,82.17,83.67,silty clay [S54],"Shepard, 1954",,silty clay,100,soft,5GY 5/1,,,,,,,,,,,,,,,,,100
323-U1344A-9H-7-A,323,U1344,A,9,9-7,H,7,A,0,85,83.67,84.52,silty clay [S54],"Shepard, 1954",,silty clay,100,soft,5GY 5/1,,,,,,,,,,,,,,,,,101
323-U1344A-9H-CC-A,323,U1344,A,9,9-CC,H,CC,A,0,69,84.52,85.21,silty clay [S54],"Shepard, 1954",,silty clay,100,soft,5GY 5/1,,,,,,,,,,,,,,,,,102
323-U1344A-10H-1-A,323,U1344,A,10,10-1,H,1,A,0,110,85.1,86.2,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,4/N,,,,,,,,,,,,,,,,,103
323-U1344A-10H-1-A,323,U1344,A,10,10-1,H,1,A,110,128,86.2,86.38,silt [S54],,diatom-rich,diatom-rich silt,,,10GY 4/1,,,,,,,,,,,,,,,,,104
323-U1344A-10H-2-A,323,U1344,A,10,10-2,H,2,A,0,150,86.38,87.88,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,105
323-U1344A-10H-3-A,323,U1344,A,10,10-3,H,3,A,0,150,87.88,89.38,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,106
323-U1344A-10H-4-A,323,U1344,A,10,10-4,H,4,A,0,150,89.38,90.88,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,107
323-U1344A-10H-5-A,323,U1344,A,10,10-5,H,5,A,0,147,90.88,92.35,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,108
323-U1344A-10H-6-A,323,U1344,A,10,10-6,H,6,A,0,150,92.35,93.85,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,109
323-U1344A-10H-7-A,323,U1344,A,10,10-7,H,7,A,0,83,93.85,94.68,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,110
323-U1344A-10H-CC-A,323,U1344,A,10,10-CC,H,CC,A,0,128,94.68,95.96,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,111
323-U1344A-11H-1-A,323,U1344,A,11,11-1,H,1,A,0,59,94.6,95.19,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,112
323-U1344A-11H-2-A,323,U1344,A,11,11-2,H,2,A,0,152,95.19,96.71,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,113
323-U1344A-11H-3-A,323,U1344,A,11,11-3,H,3,A,0,150,96.71,98.21,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,114
323-U1344A-11H-4-A,323,U1344,A,11,11-4,H,4,A,0,139,98.21,99.6,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,115
323-U1344A-11H-5-A,323,U1344,A,11,11-5,H,5,A,0,150,99.6,101.1,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,116
323-U1344A-11H-6-A,323,U1344,A,11,11-6,H,6,A,0,145,101.1,102.55,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,117
323-U1344A-11H-7-A,323,U1344,A,11,11-7,H,7,A,0,91,102.55,103.46,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,118
323-U1344A-11H-8-A,323,U1344,A,11,11-8,H,8,A,0,52,103.46,103.98,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,119
323-U1344A-11H-CC-A,323,U1344,A,11,11-CC,H,CC,A,0,40,103.98,104.38,silt [S54],,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,120
323-U1344A-12H-1-A,323,U1344,A,12,12-1,H,1,A,0,98,104.1,105.08,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,121
323-U1344A-12H-2-A,323,U1344,A,12,12-2,H,2,A,0,150,105.08,106.58,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,122
