dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
,344-U1413C-2R-4-A,344,U1413,C,2,2-4,R,4,A,80,102,183.13,183.35,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains commonly mm-sized shell fragments and other calcareous biogenic debris like foraminafera, silt is very weakly calcareous in areas with more biogenic debris",,,,,,,,,,,,heavy [B06],5,bioturbatiom varies downsection,,,,,,,12
,344-U1413C-2R-5-A,344,U1413,C,2,2-5,R,5,A,0,53,183.35,183.88,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains commonly mm-sized shell fragments and other calcareous biogenic debris like foraminafera, silt is very weakly calcareous in areas with more biogenic debris",,,,,,,,,,,,heavy [B06],5,bioturbatiom varies downsection,,,,,,,13
,344-U1413C-2R-5-A,344,U1413,C,2,2-5,R,5,A,53,83,183.88,184.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,14
,344-U1413C-2R-6-A,344,U1413,C,2,2-6,R,6,A,0,71,184.18,184.89,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains commonly mm-sized shell fragments and other calcareous biogenic debris like foraminafera, silt is very weakly calcareous in areas with more biogenic debris",,,,,,,,,,,,heavy [B06],5,bioturbatiom varies downsection,,,,,,,15
,344-U1413C-2R-CC-A,344,U1413,C,2,2-CC,R,CC,A,0,16,184.89,185.05,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains commonly mm-sized shell fragments and other calcareous biogenic debris like foraminafera, silt is very weakly calcareous in areas with more biogenic debris",,,,,,,,,,,,moderate [B06],3,bioturbatiom varies downsection,,,,,,,16
,344-U1413C-3R-1-A,344,U1413,C,3,3-1,R,1,A,0,30,187.7,188,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains commonly mm-sized shell fragments and other calcareous biogenic debris like foraminifera, silt matrix is very weakly calcareous",,,,,,,,,,,,,,,,,,,,,17
,344-U1413C-3R-1-A,344,U1413,C,3,3-1,R,1,A,30,35,188,188.05,fractured,moderate to high [drilling disturbance],5,,tephra [FS84],,N 4 (dark gray),tephra ,tephra ,silt [W22_1],2,silt [W22_1],2,several cm-sized disrupted podshaped clasts turbulently mixed with siltstone matrix,,,,,,,,,,,,,,,,,,,,,18
,344-U1413C-3R-1-A,344,U1413,C,3,3-1,R,1,A,35,57,188.05,188.27,fractured,high [drilling disturbance],6,calcareous [Leg339],siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),calcareous   siltstone ,calcareous  siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"abundant calcareous biogenic debris, among them mm-sized spherules of calcite",,,,,,,,,,,,,,,,,,,,,19
,344-U1413C-3R-1-A,344,U1413,C,3,3-1,R,1,A,57,90,188.27,188.6,,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"contains commonly mm-sized shell fragments and other calcareous biogenic debris like foraminifera, silt is very weakly calcareous in areas with more biogenic debris",,,,,,,,,,,,,,,,,,,,,20
,344-U1413C-3R-1-A,344,U1413,C,3,3-1,R,1,A,90,122,188.6,188.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,21
,344-U1413C-3R-2-A,344,U1413,C,3,3-2,R,2,A,0,88,188.92,189.8,fractured,high [drilling disturbance],6,calcareous [Leg339],siltstone [USGS],with biogenic carbonate [Leg339],10GY 3/1 (very dark greenish gray),calcareous   siltstone ,calcareous  siltstone  with biogenic carbonate ,silt [W22_1],2,sand [W22_1],3,"abundant calcareous biogenic debris, wealky calcareous matrix, carbonate nodule at 7-9 cm,  increased amount of mm-sized spherules of calcite at 61-65 cm",,,,,,,,,,,,slight [B06],2,,,,,,,,22
,344-U1413C-3R-2-A,344,U1413,C,3,3-2,R,2,A,88,93,189.8,189.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORCU,,,,,,,23
,344-U1413C-3R-3-A,344,U1413,C,3,3-3,R,3,A,0,21,189.85,190.06,fractured,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic carbonate [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic carbonate ,silt [W22_1],2,silt [W22_1],2,"abundant calcareous biogenic debris, wealky calcareous matrix, pods of spherical recristallized calcite at 135cm.",,,,,,,,,,,,common [B06],4,,,,,,,,24
,344-U1413C-3R-3-A,344,U1413,C,3,3-3,R,3,A,21,35,190.06,190.2,fractured,high [drilling disturbance],6,calcareous [Leg339],siltstone [USGS],with biogenic carbonate [Leg339],10GY 3/1 (very dark greenish gray),calcareous   siltstone ,calcareous  siltstone  with biogenic carbonate ,silt [W22_1],2,sand [W22_1],3,"abundant mm-sized spherules of calcite
 presence of foraminifera",,,,,,,,,,,,common [B06],4,,,,,,,,25
,344-U1413C-3R-3-A,344,U1413,C,3,3-3,R,3,A,35,80,190.2,190.65,fractured,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic carbonate [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic carbonate ,silt [W22_1],2,silt [W22_1],2,"abundant calcareous biogenic debris, wealky calcareous matrix, pods of spherical recristallized calcite at 135cm.",,,,,,,,,,,,common [B06],4,,,,,,,,26
,344-U1413C-3R-CC-A,344,U1413,C,3,3-CC,R,CC,A,0,16,190.65,190.81,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic carbonate [Leg339],10GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic carbonate ,silt [W22_1],2,sand [W22_1],3,"abundant calcareous biogenic debris, wealky calcareous matrix, pods of spherical recristallized calcite at 6 to 9 cm.",,,,,,,,,,,,,,,,,,,,,27
,344-U1413C-3R-CC-A,344,U1413,C,3,3-CC,R,CC,A,16,21,190.81,190.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,28
,344-U1413C-4R-CC-A,344,U1413,C,4,4-CC,R,CC,A,0,10,197.4,197.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1% total core recovery,,,,,,,29
,344-U1413C-5R-1-A,344,U1413,C,5,5-1,R,1,A,0,84,207.1,207.94,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"several cm-sized carbonate nodules in uppermost 25 cm (actal depths destroyed by drilling disturbance), siltstone sligthly calcareous; possible clay-rich horizon at 65-67 cm",,,,,,,,,,,,moderate [B06],3,,,,,,,,30
,344-U1413C-5R-1-A,344,U1413,C,5,5-1,R,1,A,84,113,207.94,208.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,STIPP,,,,,,,31
,344-U1413C-5R-1-A,344,U1413,C,5,5-1,R,1,A,113,115,208.23,208.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,YAMAMOTO,,,,,,,32
,344-U1413C-5R-1-A,344,U1413,C,5,5-1,R,1,A,115,146,208.25,208.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,33
,344-U1413C-5R-2-A,344,U1413,C,5,5-2,R,2,A,0,38,208.56,208.94,fragmented,moderate to high [drilling disturbance],5,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,large needle-like biogenic fragment at 9-14 cm,,,,,,,,,,,,moderate [B06],3,,,,,,,,34
,344-U1413C-5R-2-A,344,U1413,C,5,5-2,R,2,A,38,60,208.94,209.16,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"with common re-crystallized mm-sized calcite nodules, cm-sized  carbonate nodules distributed throughout calcareous matrix
",,,,,,,,,,,,moderate [B06],3,,,,,,,,35
,344-U1413C-5R-2-A,344,U1413,C,5,5-2,R,2,A,60,150,209.16,210.06,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"homogenous matrix with common even-sized biogenic fragments,  matrix very weakly calcareous",,,,,,,,,,,,slight [B06],2,,,,,,,,36
,344-U1413C-5R-3-A,344,U1413,C,5,5-3,R,3,A,0,149,210.06,211.55,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"homogenous matrix with common even-sized biogenic fragments, possibly a clay-rich layer at 139-142 cm, matrix very weakly calcareous",,,,,,,,,,,,moderate [B06],3,,,,,,,,37
,344-U1413C-5R-CC-A,344,U1413,C,5,5-CC,R,CC,A,0,16,211.55,211.71,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"homogenous matrix with common even-sized biogenic fragments, uppermost 8 cm are more calcareous, otherwise siltstone matrix is very weakly calcareous",,,,,,,,,,,,moderate [B06],3,,,,,,,,38
,344-U1413C-5R-CC-A,344,U1413,C,5,5-CC,R,CC,A,16,21,211.71,211.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,39
,344-U1413C-6R-1-A,344,U1413,C,6,6-1,R,1,A,0,141,216.8,218.21,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"homogenous matrix with common biogenic fragments (e.g. shell fragments) and common pyrite, siltstone matrix is moderately calcareous, Carbonate nodules in heavily fragmented upper 10 cm of section.",,,,,,,,,,,,common [B06],4,,,,,,,,40
,344-U1413C-6R-2-A,344,U1413,C,6,6-2,R,2,A,0,147,218.21,219.68,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"homogenous matrix with common biogenic fragments (e.g. shell fragments) and common pyrite, siltstone matrix is moderately calcareous,",,,,,,,,,,,,common [B06],4,,,,,,,,41
,344-U1413C-6R-3-A,344,U1413,C,6,6-3,R,3,A,0,94,219.68,220.62,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"homogenous matrix with common biogenic fragments (e.g. shell fragments) and common pyrite, siltstone matrix is moderately calcareous, ",,,,,,,,,,,,common [B06],4,,,,,,,,42
,344-U1413C-6R-3-A,344,U1413,C,6,6-3,R,3,A,94,99,220.62,220.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORCU,,,,,,,43
,344-U1413C-6R-3-A,344,U1413,C,6,6-3,R,3,A,99,129,220.67,220.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,44
,344-U1413C-6R-4-A,344,U1413,C,6,6-4,R,4,A,0,38,220.97,221.35,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"homogenous matrix with common biogenic fragments (e.g. shell fragments) and common pyrite, siltstone matrix is moderately calcareous, Highly fragments by drilling disturbance between 15-39 cm.",,,,,,,,,,,,common [B06],4,,,,,,,,45
,344-U1413C-6R-4-A,344,U1413,C,6,6-4,R,4,A,38,114,221.35,222.11,fragmented,high [drilling disturbance],6,sandy,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),sandy  siltstone ,sandy siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"With lesser amounts of biogenic fragments (e.g. shell fragments) and rare pyrite, Matrix is moderately calcareous,  Alternation of dm-thick layers of sandy siltstone and siltstone with gradational diffuse boundaries.",,,,,,,,,,,,common [B06],4,,,,,,,,46
,344-U1413C-6R-4-A,344,U1413,C,6,6-4,R,4,A,114,128,222.11,222.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,HASH,,,,,,,47
,344-U1413C-6R-4-A,344,U1413,C,6,6-4,R,4,A,128,136,222.25,222.33,fragmented,high [drilling disturbance],6,sandy,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),sandy  siltstone ,sandy siltstone  with biogenic components ,silt [W22_1],2,sand [W22_1],3,"With lesser amounts of biogenic fragments (e.g. shell fragments) and rare pyrite, Matrix is moderately calcareous,  Alternation of dm-thick layers of sandy siltstone and siltstone with gradational diffuse boundaries.",,,,,,,,,,,,common [B06],4,,,,,,,,48
,344-U1413C-6R-5-A,344,U1413,C,6,6-5,R,5,A,0,106,222.33,223.39,fragmented,high [drilling disturbance],6,silty,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),silty  siltstone ,silty siltstone  with biogenic components ,fine sand [W22_2],4,sand [W22_1],3,Laminated alternation of siltstone and silty sandstone with common biogenic fragments and rare pyrite. ,,,,,,,,,,,,common [B06],4,,,,,,,,49
,344-U1413C-6R-6-A,344,U1413,C,6,6-6,R,6,A,0,33,223.39,223.72,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,With common biogenic fragments and disseminated pyrite. ,,,,,,,,,,,,moderate [B06],3,,,,,,,,50
,344-U1413C-6R-6-A,344,U1413,C,6,6-6,R,6,A,33,65,223.72,224.04,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,With common biogenic fragments and disseminated pyrite. ,,,,,,,,,,,,common [B06],4,,,,,,,,51
,344-U1413C-6R-CC-A,344,U1413,C,6,6-CC,R,CC,A,0,5,224.04,224.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,All to PAL,,,,,,,52
,344-U1413C-7R-1-A,344,U1413,C,7,7-1,R,1,A,0,150,226.5,228,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,With common biogenic fragments and disseminated pyrite. ,,,,,,,,,,,,slight [B06],2,,,,,,,,53
,344-U1413C-7R-2-A,344,U1413,C,7,7-2,R,2,A,0,77,228,228.77,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,With common biogenic fragments and disseminated pyrite. ,,,,,,,,,,,,slight [B06],2,,,,,,,,54
,344-U1413C-7R-2-A,344,U1413,C,7,7-2,R,2,A,77,107,228.77,229.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,55
,344-U1413C-7R-3-A,344,U1413,C,7,7-3,R,3,A,0,140,229.07,230.47,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,With common biogenic fragments and disseminated pyrite. ,,,,,,,,,,,,slight [B06],2,,,,,,,,56
,344-U1413C-7R-4-A,344,U1413,C,7,7-4,R,4,A,0,150,230.47,231.97,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,With common biogenic fragments and disseminated pyrite. ,ash [F&S84],,,,,,,Pod,,,,slight [B06],2,Ash pod between 19 and 31 cm,,,,,,,57
,344-U1413C-7R-5-A,344,U1413,C,7,7-5,R,5,A,0,150,231.97,233.47,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,With common biogenic fragments and disseminated pyrite. ,,,,,,,,,,,,slight [B06],2,,,,,,,,58
,344-U1413C-7R-6-A,344,U1413,C,7,7-6,R,6,A,0,100,233.47,234.47,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,With common biogenic fragments and disseminated pyrite. ,,,,,,,,,,,,slight [B06],2,,,,,,,,59
,344-U1413C-7R-6-A,344,U1413,C,7,7-6,R,6,A,100,131,234.47,234.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,60
,344-U1413C-7R-7-A,344,U1413,C,7,7-7,R,7,A,0,138,234.78,236.16,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,With common biogenic fragments and disseminated pyrite. ,,,,,,,,,,,,slight [B06],2,,,,,,,,61
,344-U1413C-7R-CC-A,344,U1413,C,7,7-CC,R,CC,A,0,22,236.16,236.38,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,With common biogenic fragments and disseminated pyrite. ,,,,,,,,,,,,slight [B06],2,,,,,,,,62
,344-U1413C-8R-1-A,344,U1413,C,8,8-1,R,1,A,0,132,236.2,237.52,fragmented,moderate to high [drilling disturbance],5,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,With rare biogenic fragments and disseminated pyrite. ,,,,,,,,,,,,common [B06],4,,,,,,,,63
,344-U1413C-8R-2-A,344,U1413,C,8,8-2,R,2,A,0,150,237.52,239.02,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,With rare biogenic fragments and disseminated pyrite. ,,,,,,,,,,,,common [B06],4,,,,,,,,64
,344-U1413C-8R-3-A,344,U1413,C,8,8-3,R,3,A,0,150,239.02,240.52,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,With rare biogenic fragments and disseminated pyrite. ,,,,,,,,,,,,common [B06],4,,,,,,,,65
,344-U1413C-8R-4-A,344,U1413,C,8,8-4,R,4,A,0,87,240.52,241.39,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,With rare biogenic fragments and disseminated pyrite. ,,,,,,,,,,,,common [B06],4,Void/gap at 87 - 117 cm due to IW sample.,,,,,,,66
,344-U1413C-8R-5-A,344,U1413,C,8,8-5,R,5,A,0,150,241.69,243.19,fragmented,moderate [drilling disturbance],4,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,With rare biogenic fragments and disseminated pyrite. ,,,,,,,,,,,,common [B06],4,,,,,,,,67
