Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],List of pieces (read only),Lithological unit number,Degree of alteration,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Complete lithology name,Contact type,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Igneous texture 1,Igneous texture 2,Color,Texture comment,Groundmass modal percent [%],Groundmass crystal size [mm],Grain size distribution,Groundmass comments,Glass abundance (read only) [%],Altered glass (palagonite) abundance [%],Fresh glass,Glass preservation comment,Phenocryst 1 (most abundant),Phenocryst 1 abundance [%],Phenocryst 1 size MAX [mm],Phenocryst 1 size MODE [mm],Phenocryst 1 shape,Phenocryst 1 shape rank,Phenocryst 1 comments,Phenocryst 2 (2nd most abundant),Phenocryst 2 abundance [%],Phenocryst 2 size MAX [mm],Phenocryst 2 size MODE [mm],Phenocryst 2 shape,Phenocryst 2 shape rank,Phenocryst 2 comments,Phenocryst 3 (3rd most abundant),Phenocryst 3 abundance [%],Phenocryst 3 size MAX [mm],Phenocryst 3 size MODE [mm],Phenocryst 3 shape,Phenocryst 3 shape rank,Phenocryst 3 comments,Total phenocryst abundance [%],Accessory mineral 1 (<1 Vol. %),Accessory mineral 2 (<1 Vol. %),Accessory mineral (comments),Vesicle abundance,Vesicle size MAX [mm],Vesicle size MODE [mm],Vesicle roundness,Vesicle sphericity,Vesicle filling,Vesicle comments,Veins,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
376-U1530A-51R-1-A,7,58,246.77,247.28,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 2 6/5PB (bluish gray),,,,,"Highly altered, silicified volcanic rock with primary textures blurred out. Cross-cutting veins with anhydrite and pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,51,R,1,A,,,,10
376-U1530A-52R-1-A,0,119,251.5,252.69,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 2 7/5PB (light bluish gray),,,,,"Texture is vanished, possibly a more coherent lava with variably alteration. Texturally more fine grained than Core 49. Completely replaced by secondary mineral assemblage including silica, sulfates and sulfites. Some cross-cutting veins with pyrite and anhydrite. Disseminated pyrite common.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,52,R,1,A,,,,11
376-U1530A-53R-1-A,0,140,256.3,257.7,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/10Y (light greenish grey),,,,,"No volcanic textures recognizable. Pervasively altered. Completely replaced by secondary mineral assemblage including silica, sulfates and sulfites. Some cross-cutting veins with pyrite, anhydrite and silica. Disseminated pyrite common. Smells of sulfur.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,53,R,1,A,,,,12
376-U1530A-54R-1-A,0,86,261.1,261.96,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/10Y (light greenish grey),,,,,"No volcanic textures recognizable. Pervasively altered. Completely replaced by secondary mineral assemblage including silica, sulfates and sulfites. Cross-cutting veins with silica and pyrite. Disseminated pyrite common. Smells of sulfur.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,54,R,1,A,,,,13
376-U1530A-55R-1-A,0,7,265.9,265.97,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 6/N (gray),,,,,"No volcanic textures recognizable. Pervasively altered. Completely replaced by secondary mineral assemblage including silica, sulfates and sulfites. Potential fall-in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,55,R,1,A,,,,14
376-U1530A-55R-1-A,7,143,265.97,267.33,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/10Y (light greenish grey),,,,,"No volcanic textures recognizable. Pervasively altered. Completely replaced by secondary mineral assemblage including silica, sulfates and sulfites. Cross-cutting veins with (1) pyrite and (2) anhydrite, potentially chalcopyrite. Strong smell of H2S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,55,R,1,A,,,,15
376-U1530A-55R-2-A,0,102,267.33,268.35,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/10Y (light greenish grey),,,,,"No volcanic textures recognizable. Pervasively altered. Completely replaced by secondary mineral assemblage including silica, sulfates and sulfites. Cross-cutting veins with (1) pyrite and (2) anhydrite, potentially chalcopyrite. Strong smell of H2S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,55,R,2,A,,,,16
376-U1530A-56R-1-A,0,130,270.7,272,,5,,altered,volcanic,,altered volcanic,,,,,,,gley 1 7/n (light gray),,,,,"No volcanic textures recognizable. Pervasively altered. Completely replaced by secondary mineral assemblage including silica, clay, sulfates and sulfides. Disseminated pyrite. Cross-cutting veins with anhydrite and silica. Possibly light iron staining gives a yellow color.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,56,R,1,A,,,,17
376-U1530A-56R-2-A,0,58,272,272.58,,5,,altered,volcanic,,altered volcanic,,,,,,,gley 1 7/n (light gray),,,,,"No volcanic textures recognizable. Pervasively altered. Completely replaced by secondary mineral assemblage including silica, clay, sulfates and sulfides. Disseminated pyrite. Cross-cutting veins with anhydrite and silica. Possibly light iron staining gives a yellow color. Dark gray rounded clast (large pebble) cut by sulfide vein.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,56,R,2,A,,,,18
376-U1530A-57R-1-A,0,106,275.5,276.56,,5,,altered,volcanic,,altered volcanic,,,,,,,gley 1 7/n (light gray),,,,,"No volcanic textures recognizable. Pervasively altered. Completely replaced by secondary mineral assemblage including silica, clay and sulfates. Veins with anhydrite and silica. Dark gray sub-angular clast (large pebble) cut by silica-sulfate vein.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,57,R,1,A,,,,19
376-U1530A-58R-1-A,0,53,280.3,280.83,,5,,altered,volcanic,,altered volcanic,,,,,,,gley 1 7/n (light gray),,,,,"No volcanic textures recognizable. Pervasively altered. Completely replaced by secondary mineral assemblage including silica, clay, sulfates and sulfides. Disseminated pyrite. Cross-cutting veins with anhydrite and silica. Possibly light iron staining gives a yellow color. Dark gray rounded clast (large pebble).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,58,R,1,A,,,,20
376-U1530A-59R-1-A,0,31,285.1,285.41,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 6/N (gray),,,,,"No volcanic textures recognizable. Pervasively altered, network of smoky quartz and light blueish clay/silica. Completely replaced by secondary mineral assemblage including silica, clay, sulfates and sulfides. Disseminated pyrite. Cross-cutting veins with anhydrite, silica and pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,59,R,1,A,,,,21
376-U1530A-60R-1-A,0,8,289.9,289.98,,5,,altered,volcanic,,altered volcanic,,,,,,,gley 1 5/n (gray),,,,,"No volcanic textures recognizable. Pervasively altered, network of smoky quartz and clay/silica. Completely replaced by secondary mineral assemblage including silica, clay, sulfates and sulfides. Disseminated pyrite. Cross-cutting veins with anhydrite, silica and pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,60,R,1,A,,,,22
376-U1530A-60R-1-A,8,115,289.98,291.05,,5,highly altered,plagioclase phyric,volcanic,lava,plagioclase phyric volcanic lava,,,,,glomeroporphyritic,porphyritic,GLEY 1 5/10GY (greenish gray),Highly altered. Plagioclase seem all replaced and pseudomorphed.,,,,"Pervasively altered volcanic lava, Possibly clay-chlorite-rich. Disseminated sulfide.",,,,,plagioclase pseudomorph,5,3,1,euhedral,,"replaced or void, possible some may be preserved",,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,60,R,1,A,,,,23
376-U1530A-60R-1-A,115,124,291.05,291.14,,5,,altered,volcanic,,altered volcanic,,,,,,,gley 1 5/n (gray),,,,,"No volcanic textures recognizable. Pervasively altered, network of smoky quartz and clay/silica. Completely replaced by secondary mineral assemblage including silica, clay, sulfates and sulfides. Disseminated pyrite. Cross-cutting veins with anhydrite, silica and pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,60,R,1,A,,,,24
376-U1530A-61R-1-A,0,25,294.7,294.95,,5,,altered,volcanic,,altered volcanic,,,,,,,gley 1 5/n (gray),,,,,"No volcanic textures recognizable. Pervasively altered, network of smoky quartz and clay/silica. Completely replaced by secondary mineral assemblage including silica, clay, sulfates and sulfides. Disseminated pyrite. Cross-cutting veins with anhydrite, silica and pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,61,R,1,A,,,,25
376-U1530A-62R-1-A,0,131,299.5,300.81,,5,,altered,volcanic,,altered volcanic,,,,,,,gley 1 6/n (gray),,,,,"Few volcanic textures recognizable. Pervasively altered, Possible psuedomorph of plagioclase or void/vugs. Ovoid filled with white sulfate mineral. Matrix consist of sulfate and clay/silica. Small amount of fine-grained & disseminated pyrite. Cross-cutting veins with anhydrite and pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,62,R,1,A,,,,26
376-U1530A-63R-1-A,0,8,304.3,304.38,,5,,altered,volcanic,,altered volcanic,,,,,,,gley 1 7/n (light gray),,,,,"Few volcanic textures recognizable. Pervasively altered, Possible pseudomorph of plagioclase or void/vugs. Matrix consist of sulfate and clay/silica. Fine-grained & disseminated pyrite. One piece of greenish altered volcanic lava included possibly by a drilling influence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,63,R,1,A,,,,27
376-U1530A-63R-1-A,8,34,304.38,304.64,,5,,altered,volcanic,lava,altered volcanic lava,,,,,,,gley 1 7/n (light gray),,,,,"Few volcanic textures recognizable. Pervasively altered, Possible pseudomorph of plagioclase or void/vugs. Matrix consist of sulfate and clay/silica. Fine-grained & disseminated pyrite. Pyrite veinlets common. Mixed with pebbles of greenish-gray lithology due to drilling disturbance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,63,R,1,A,,,,28
376-U1530A-64R-1-A,0,42,309.1,309.52,,5,,altered,volcanic,lava,altered volcanic lava,,,,,,,GLEY 1 5/10GY (greenish gray),,,,,"Few volcanic textures recognizable. Pervasively altered, Possible pseudomorph of plagioclase or void/vugs. Matrix consist of sulfate and clay/silica. Fine-grained & disseminated pyrite. One piece of gray altered volcanic rock included possibly by fall in.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,64,R,1,A,,,,29
376-U1530A-64R-1-A,42,101,309.52,310.11,,5,,altered,volcanic,lava,altered volcanic lava,,,,,,,gley 1 5/n (gray),,,,,"Few volcanic textures recognizable. Pervasively altered, Possible pseudomorph of plagioclase or void/vugs. Matrix consist of sulfate and clay/silica. Fine-grained & disseminated pyrite. Pyrite veinlets common. Mixed with pebbles of greenish-gray lithology due to drilling disturbance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,64,R,1,A,,,,30
376-U1530A-64R-1-A,101,136,310.11,310.46,,5,,altered,volcanic,lava,altered volcanic lava,,,,,,,GLEY 1 5/10GY (greenish gray),,,,,"Few volcanic textures recognizable. Pervasively altered, Possible pseudomorph of plagioclase or void/vugs. Matrix consist of sulfate and clay/silica. Fine-grained & disseminated pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,64,R,1,A,,,,31
376-U1530A-65R-1-A,0,24,313.9,314.14,,5,,altered,volcanic,lava,altered volcanic lava,,,,,,,gley 1 5/n (gray),,,,,"Few volcanic textures recognizable. Pervasively altered, Possible anhydrite/gypsum pseudomorph of plagioclase or void/vugs. Matrix consist of sulfate and clay/silica. Fine-grained & disseminated pyrite. Few veinlets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,65,R,1,A,,,,32
376-U1530A-65R-1-A,24,57,314.14,314.47,,5,,altered,volcanic,lava,altered volcanic lava,,,,,,,GLEY 1 5/10GY (greenish gray),,,,,"Few volcanic textures recognizable. Pervasively altered, Possible anhydrite/gypsum pseudomorph of plagioclase or void/vugs. Former vesicles filled with silica. Matrix consist of sulfate and clay/silica. Fine-grained & disseminated pyrite. One clast-like feature particularly enriched in pyrite at 53 cm. Very few veinlets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,65,R,1,A,,,,33
376-U1530A-66R-1-A,0,24,318.7,318.94,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 5/10Y (greenish gray),,,,,"Strongly altered possibly volcanic rock. Completely replaced by secondary siliceous, sulfate and sulfide phases. Pyrite is disseminated and in veins with anhydrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,66,R,1,A,,,,34
376-U1530A-66R-1-A,24,82,318.94,319.52,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 6/10Y (greenish gray),,,,,"Strongly altered possibly volcanic. The rocks are intensely altered and completely replaced by secondary siliceous, sulfate and sulfide phases. Pyrite is disseminated and in veins with anhydrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,66,R,1,A,,,,35
376-U1530A-67R-1-A,0,12,323.5,323.62,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"Few volcanic textures recognizable. Pervasively altered, Possible anhydrite/gypsum pseudomorphs after plagioclase. Matrix consist of sulfate and clay/silica. Fine-grained & disseminated pyrite. Probably less silicified as 65R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,67,R,1,A,,,,36
376-U1530A-67R-1-A,12,16,323.62,323.66,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 6/10GY (greenish gray),,,,,Fall-in! Greenish-gray altered dacite with vesicles/vugs filled with qtz and pseudomorphs after plagioclase.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,67,R,1,A,,,,37
376-U1530A-67R-1-A,16,64,323.66,324.14,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"Few volcanic textures recognizable. Pervasively altered, Possible anhydrite/gypsum pseudomorphs after plagioclase. Matrix consist of sulfate and clay/silica. Fine-grained & disseminated pyrite. Probably less silicified as 65R but veinlets filled with silica, anhydrite and pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,67,R,1,A,,,,38
376-U1530A-68R-1-A,0,10,328.3,328.4,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 6/10Y (greenish gray),,,,,"No volcanic textures recognizable. Pervasively altered, Matrix consist mainly of silica. Little fine-grained & disseminated pyrite, partly oxidized.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,68,R,1,A,,,,39
376-U1530A-69R-1-A,0,9,333.1,333.19,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"No volcanic textures recognizable. Pervasively altered, Matrix consist mainly of silica. Little fine-grained & disseminated pyrite, partly oxidized.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,69,R,1,A,,,,40
376-U1530A-69R-1-A,9,35,333.19,333.45,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 5/5GY (greenish gray),,,,,"Mixed lithology (rubble). No volcanic textures recognizable. Pervasively altered, Matrix consist mainly of silica/clay and anhydrite. Various amounts of fine-grained & disseminated pyrite, partly oxidized.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,69,R,1,A,,,,41
376-U1530A-70R-1-A,0,62,337.9,338.52,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"No volcanic textures recognizable. Pervasively altered, Matrix consist mainly of silica. Little fine-grained & disseminated pyrite, partly oxidized. Section becomes slightly darker towards the bottom, veins filled with anhydrite and pyrite appear.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,70,R,1,A,,,,42
376-U1530A-71R-1-A,0,16,342.7,342.86,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"No volcanic textures recognizable. Pervasively altered, Matrix consist mainly of silica. Little fine-grained & disseminated pyrite, partly oxidized.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,71,R,1,A,,,,43
376-U1530A-71R-1-A,16,20,342.86,342.9,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 5/N (gray),,,,,"Darker piece, infilled vesicles suggest igneous flow texture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moderately vesicular,0.6,0.2,rounded,low (elongate),present,elongated infilled vesicles are aligned (flow texture?),,,,,,,,,,,,,,,,,,,376,U1530,A,71,R,1,A,,,,44
376-U1530A-71R-1-A,20,55,342.9,343.25,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/10Y (light greenish grey),,,,,Rubble bin; some pieces have a more bluish grey color. no volcanic features recognizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,71,R,1,A,,,,45
376-U1530A-72R-1-A,0,59,347.5,348.09,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 2 6/10G (greenish gray),,,,,"Rubble bin; some pieces have a more bluish grey green color; disseminated pyrite, no volcanic features recognizable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,72,R,1,A,,,,46
376-U1530A-73R-1-A,0,46,352.3,352.76,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 2 6/5PB (bluish gray),,,,,"Mixed lithology (rubble). No volcanic textures recognizable. Pervasively altered, Matrix consist mainly of silica/clay and anhydrite. Various amounts of fine-grained & disseminated pyrite, as well as some veinlets. Heterogeneous rocks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,73,R,1,A,,,,47
376-U1530A-74R-1-A,0,106,357.1,358.16,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"No volcanic textures recognizable. Pervasively altered to silica, clay, sulfate and sulfide minerals, Matrix consist mainly of silica. Little fine-grained & disseminated pyrite, Partly oxidized. Sulfate veins.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,74,R,1,A,,,,48
376-U1530A-75R-1-A,0,100,361.9,362.9,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"No volcanic textures recognizable. Pervasively altered to silica, clay, sulfate and sulfide minerals, Matrix consist mainly of silica. Little fine-grained & disseminated pyrite, Partly oxidized. Sulfate veins. Mottled texture apparent is various places.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,75,R,1,A,,,,49
