Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
350-U1436D-7F-2-A,350,U1436,D,7,7-2,F,2,A,73,80,53.55,53.62,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
350-U1436D-7F-2-A,350,U1436,D,7,7-2,F,2,A,80,84,53.62,53.66,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,black,,medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
350-U1436D-7F-2-A,350,U1436,D,7,7-2,F,2,A,84,117,53.66,53.99,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
350-U1436D-7F-2-A,350,U1436,D,7,7-2,F,2,A,117,120,53.99,54.02,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
350-U1436D-7F-2-A,350,U1436,D,7,7-2,F,2,A,120,150,54.02,54.32,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
350-U1436D-7F-3-A,350,U1436,D,7,7-3,F,3,A,0,150,54.32,55.82,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
350-U1436D-7F-4-A,350,U1436,D,7,7-4,F,4,A,0,51,55.82,56.33,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
350-U1436D-7F-CC-A,350,U1436,D,7,7-CC,F,CC,A,0,16,56.33,56.49,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
350-U1436D-8F-1-A,350,U1436,D,8,8-1,F,1,A,0,31,56.6,56.91,I,,,,"clast-supported, polymictic",lapilli [2014],,"clast-supported, polymictic lapilli","clast-supported, polymictic lapilli",lapilli,,black,,granule [W22_2],8,pebble [W22_2],9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
350-U1436D-8F-1-A,350,U1436,D,8,8-1,F,1,A,31,56,56.91,57.16,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
350-U1436D-8F-1-A,350,U1436,D,8,8-1,F,1,A,56,65,57.16,57.25,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,black,,fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
350-U1436D-8F-1-A,350,U1436,D,8,8-1,F,1,A,65,90,57.25,57.5,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
350-U1436D-8F-1-A,350,U1436,D,8,8-1,F,1,A,90,92,57.5,57.52,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
350-U1436D-8F-2-A,350,U1436,D,8,8-2,F,2,A,0,6,57.52,57.58,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,black,,fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
350-U1436D-8F-2-A,350,U1436,D,8,8-2,F,2,A,6,78,57.58,58.3,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
350-U1436D-8F-2-A,350,U1436,D,8,8-2,F,2,A,78,85,58.3,58.37,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
350-U1436D-8F-3-A,350,U1436,D,8,8-3,F,3,A,0,78,58.37,59.15,I,,,,mafic,ash [2014],with mud [2014],mafic ash,mafic ash with mud,ash with mud,,black,,fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
350-U1436D-8F-3-A,350,U1436,D,8,8-3,F,3,A,78,104,59.15,59.41,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
350-U1436D-9F-1-A,350,U1436,D,9,9-1,F,1,A,0,43,59.5,59.93,I,,,,"clast-supported, polymictic",lapilli [2014],,"clast-supported, polymictic lapilli","clast-supported, polymictic lapilli",lapilli,,black,,granule [W22_2],8,pebble [W22_2],9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
350-U1436D-9F-1-A,350,U1436,D,9,9-1,F,1,A,43,51,59.93,60.01,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,white,,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
350-U1436D-9F-1-A,350,U1436,D,9,9-1,F,1,A,51,59,60.01,60.09,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
350-U1436D-9F-1-A,350,U1436,D,9,9-1,F,1,A,59,66,60.09,60.16,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
350-U1436D-9F-1-A,350,U1436,D,9,9-1,F,1,A,66,78,60.16,60.28,I,,,,mafic,ash [2014],with mud [2014],mafic ash,mafic ash with mud,ash with mud,,dark gray,,silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
350-U1436D-9F-1-A,350,U1436,D,9,9-1,F,1,A,78,95,60.28,60.45,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
350-U1436D-9F-1-A,350,U1436,D,9,9-1,F,1,A,95,96,60.45,60.46,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,black,,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
350-U1436D-9F-1-A,350,U1436,D,9,9-1,F,1,A,96,104,60.46,60.54,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
350-U1436D-9F-1-A,350,U1436,D,9,9-1,F,1,A,104,108,60.54,60.58,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,black,,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
350-U1436D-9F-2-A,350,U1436,D,9,9-2,F,2,A,0,15,60.58,60.73,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
350-U1436D-9F-2-A,350,U1436,D,9,9-2,F,2,A,15,19,60.73,60.77,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
350-U1436D-9F-2-A,350,U1436,D,9,9-2,F,2,A,19,21,60.77,60.79,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
350-U1436D-9F-2-A,350,U1436,D,9,9-2,F,2,A,21,30,60.79,60.88,I,,,,mafic,ash [2014],with mud [2014],mafic ash,mafic ash with mud,ash with mud,,dark gray,,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
350-U1436D-9F-2-A,350,U1436,D,9,9-2,F,2,A,30,42,60.88,61,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
350-U1436D-9F-2-A,350,U1436,D,9,9-2,F,2,A,42,45,61,61.03,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
350-U1436D-9F-2-A,350,U1436,D,9,9-2,F,2,A,45,61,61.03,61.19,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
350-U1436D-9F-2-A,350,U1436,D,9,9-2,F,2,A,61,66,61.19,61.24,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
350-U1436D-9F-3-A,350,U1436,D,9,9-3,F,3,A,0,17,61.24,61.41,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,black,,fine sand [W22_2],4,coarse sand [W22_2],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
350-U1436D-9F-3-A,350,U1436,D,9,9-3,F,3,A,17,53,61.41,61.77,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
350-U1436D-9F-3-A,350,U1436,D,9,9-3,F,3,A,53,57,61.77,61.81,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,black,,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
350-U1436D-9F-3-A,350,U1436,D,9,9-3,F,3,A,57,73,61.81,61.97,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
