Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
353-U1445C-2H-2-A,85,150,6.75,7.4,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,2,A,,,,14
353-U1445C-2H-3-A,0,8,7.4,7.48,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),gradational,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,3,A,,,,15
353-U1445C-2H-3-A,8,12,7.48,7.52,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,3,A,,,,16
353-U1445C-2H-3-A,12,86,7.52,8.26,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),erosive,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,3,A,,,,17
353-U1445C-2H-3-A,86,91,8.26,8.31,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,3,A,,,,18
353-U1445C-2H-3-A,91,105,8.31,8.45,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),erosive,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,3,A,,,,19
353-U1445C-2H-3-A,105,106,8.45,8.46,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,3,A,,,,20
353-U1445C-2H-3-A,106,137,8.46,8.77,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),erosive,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,3,A,,,,21
353-U1445C-2H-3-A,137,138,8.77,8.78,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,3,A,,,,22
353-U1445C-2H-3-A,138,150,8.78,8.9,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,3,A,,,,23
353-U1445C-2H-4-A,0,30,8.9,9.2,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),erosive,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,4,A,,,,24
353-U1445C-2H-4-A,30,31,9.2,9.21,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,4,A,,,,25
353-U1445C-2H-4-A,31,39,9.21,9.29,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),erosive,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,4,A,,,,26
353-U1445C-2H-4-A,39,40,9.29,9.3,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,4,A,,,,27
353-U1445C-2H-4-A,40,84,9.3,9.74,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),erosive,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,4,A,,,,28
353-U1445C-2H-4-A,84,85,9.74,9.75,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,4,A,,,,29
353-U1445C-2H-4-A,85,124,9.75,10.14,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),erosive,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,4,A,,,,30
353-U1445C-2H-4-A,124,129,10.14,10.19,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),irregular,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,4,A,,,,31
353-U1445C-2H-4-A,129,150,10.19,10.4,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,4,A,,,,32
353-U1445C-2H-5-A,0,23,10.4,10.63,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,5,A,,,,33
353-U1445C-2H-5-A,23,24,10.63,10.64,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,,inclined,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,5,A,,,,34
353-U1445C-2H-5-A,24,48,10.64,10.88,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),erosive,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,5,A,,,,35
353-U1445C-2H-5-A,48,49,10.88,10.89,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,5,A,,,,36
353-U1445C-2H-5-A,49,75,10.89,11.15,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),erosive,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,5,A,,,,37
353-U1445C-2H-5-A,75,77,11.15,11.17,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,sharp,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,5,A,,,,38
353-U1445C-2H-5-A,77,85,11.17,11.25,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),erosive,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,5,A,,,,39
353-U1445C-2H-5-A,85,86,11.25,11.26,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,sharp,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,5,A,,,,40
353-U1445C-2H-5-A,86,101,11.26,11.41,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,5,A,,,,41
353-U1445C-2H-6-A,0,61,11.41,12.02,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 5/1 (gray),erosive,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,6,A,,,,42
353-U1445C-2H-6-A,61,64,12.02,12.05,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),planar,sharp,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,2,H,6,A,,,,43
353-U1445C-2H-6-A,64,83,12.05,12.24,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,6,A,,,,44
353-U1445C-2H-CC-A,0,15,12.24,12.39,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,2,H,CC,A,,,,45
353-U1445C-3H-1-A,0,150,12.4,13.9,,,clay,,clay,clay,clay,,dark green,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,3,H,1,A,,,,46
353-U1445C-3H-2-A,0,150,13.9,15.4,,,clay,,clay,clay,clay,,dark green,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,3,H,2,A,,,,47
353-U1445C-3H-3-A,0,150,15.4,16.9,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,dark green,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,3,H,3,A,,,,48
353-U1445C-3H-4-A,0,32,16.9,17.22,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,dark green,GLEY 1 4/10Y (dark greenish gray),irregular,,,,,,,,mottling,,,,,,,,353,U1445,C,3,H,4,A,,,,49
353-U1445C-3H-4-A,32,33,17.22,17.23,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),irregular,,,very thin bed,normally graded,,,,,Turbidite,,,Coarse turbidite,,,,353,U1445,C,3,H,4,A,,,,50
353-U1445C-3H-4-A,33,150,17.23,18.4,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,dark green,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,3,H,4,A,,,,51
353-U1445C-3H-5-A,0,136,18.4,19.76,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,dark green,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,"63-113 cm contains heavily mottled, and high frequency of black blebs and bands (pyrite).",,,,353,U1445,C,3,H,5,A,,,,52
353-U1445C-3H-5-A,136,137,19.76,19.77,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),irregular,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,3,H,5,A,,,,53
353-U1445C-3H-5-A,137,148,19.77,19.88,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,dark green,GLEY 1 4/10Y (dark greenish gray),gradational,,,,,,,,mottling,,,,,,,,353,U1445,C,3,H,5,A,,,,54
353-U1445C-3H-5-A,148,150,19.88,19.9,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),irregular,,,very thin bed,normally graded,,,,,Turbidite,,,Coarse turbidite,,,,353,U1445,C,3,H,5,A,,,,55
353-U1445C-3H-6-A,0,112,19.9,21.02,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,dark green,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,3,H,6,A,,,,56
353-U1445C-3H-CC-A,0,15,21.02,21.17,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1445,C,3,H,CC,A,,,,57
353-U1445C-4H-1-A,0,14,21.9,22.04,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval.,,,,353,U1445,C,4,H,1,A,,,,58
353-U1445C-4H-1-A,14,16,22.04,22.06,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 5/1 (gray),planar,,horizontal,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,4,H,1,A,,,,59
353-U1445C-4H-1-A,16,112,22.06,23.02,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Sandy bleb between 86.5 and 88 cm. Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval.,,,,353,U1445,C,4,H,1,A,,,,60
353-U1445C-4H-1-A,112,113,23.02,23.03,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,4,H,1,A,,,,61
353-U1445C-4H-1-A,113,126,23.03,23.16,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval.,,,,353,U1445,C,4,H,1,A,,,,62
353-U1445C-4H-1-A,126,127,23.16,23.17,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,4,H,1,A,,,,63
353-U1445C-4H-1-A,127,134.5,23.17,23.245,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval.,,,,353,U1445,C,4,H,1,A,,,,64
353-U1445C-4H-1-A,134.5,136.5,23.245,23.265,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,4,H,1,A,,,,65
353-U1445C-4H-1-A,136.5,142.5,23.265,23.325,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval.,,,,353,U1445,C,4,H,1,A,,,,66
353-U1445C-4H-1-A,142.5,145,23.325,23.35,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,4,H,1,A,,,,67
353-U1445C-4H-1-A,145,150,23.35,23.4,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval.,,,,353,U1445,C,4,H,1,A,,,,68
353-U1445C-4H-2-A,0,44,23.4,23.84,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,"Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval. Some sandy blebs between 11 and 27 cm, and between 41 and 42 cm.",,,,353,U1445,C,4,H,2,A,,,,69
353-U1445C-4H-2-A,44,49,23.84,23.89,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),irregular,,inclined,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,4,H,2,A,,,,70
353-U1445C-4H-2-A,49,150,23.89,24.9,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval. Few sandy blebs (with foraminifers) along the interval.,,,,353,U1445,C,4,H,2,A,,,,71
353-U1445C-4H-3-A,0,3.5,24.9,24.935,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval.,,,,353,U1445,C,4,H,3,A,,,,72
353-U1445C-4H-3-A,3.5,4.5,24.935,24.945,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 5/1 (gray),erosive,,horizontal,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,4,H,3,A,,,,73
353-U1445C-4H-3-A,4.5,50,24.945,25.4,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval.,,,,353,U1445,C,4,H,3,A,,,,74
353-U1445C-4H-3-A,50,51.5,25.4,25.415,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),erosive,,inclined,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,4,H,3,A,,,,75
353-U1445C-4H-3-A,51.5,74,25.415,25.64,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval.,,,,353,U1445,C,4,H,3,A,,,,76
353-U1445C-4H-3-A,74,78,25.64,25.68,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,4,H,3,A,,,,77
353-U1445C-4H-3-A,78,92,25.68,25.82,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,Many gray clayey blebs along the interval. .Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval.,,,,353,U1445,C,4,H,3,A,,,,78
353-U1445C-4H-3-A,92,93,25.82,25.83,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,4,H,3,A,,,,79
353-U1445C-4H-3-A,93,104.5,25.83,25.945,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,Many gray clayey blebs along the interval. .Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval.,,,,353,U1445,C,4,H,3,A,,,,80
353-U1445C-4H-3-A,104.5,105.5,25.945,25.955,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,4,H,3,A,,,,81
353-U1445C-4H-3-A,105.5,112,25.955,26.02,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval.,,,,353,U1445,C,4,H,3,A,,,,82
353-U1445C-4H-3-A,112,114,26.02,26.04,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,4,H,3,A,,,,83
353-U1445C-4H-3-A,114,142,26.04,26.32,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval.,,,,353,U1445,C,4,H,3,A,,,,84
353-U1445C-4H-3-A,142,144,26.32,26.34,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,4,H,3,A,,,,85
353-U1445C-4H-3-A,144,150,26.34,26.4,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,green,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Dark gray dots between 134-135 cm. Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) along the interval.,,,,353,U1445,C,4,H,3,A,,,,86
353-U1445C-4H-4-A,0,72,26.4,27.12,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,green,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from very dark greenish gray (GLEY 1 3/10Y) to greenish gray (GLEY 1 5/10Y) along the interval.,,,,353,U1445,C,4,H,4,A,,,,87
353-U1445C-4H-4-A,72,73,27.12,27.13,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,C,4,H,4,A,,,,88
353-U1445C-4H-4-A,73,135,27.13,27.75,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,green,GLEY 1 3/10Y (very dark greenish gray),bioturbated,,,,,,,,mottling,,,,Faint color variations from very dark greenish gray (GLEY 1 3/10Y) to greenish gray (GLEY 1 5/10Y) along the interval.,,,,353,U1445,C,4,H,4,A,,,,89
353-U1445C-4H-4-A,135,137,27.75,27.77,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,With many foraminifers.,,,,353,U1445,C,4,H,4,A,,,,90
353-U1445C-4H-4-A,137,150,27.77,27.9,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,green,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from very dark greenish gray (GLEY 1 3/10Y) to greenish gray (GLEY 1 5/10Y) along the interval.,,,,353,U1445,C,4,H,4,A,,,,91
353-U1445C-4H-5-A,0,150,27.9,29.4,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,green,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,,,,,Faint color variations from very dark greenish gray (GLEY 1 3/10Y) to greenish gray (GLEY 1 5/10Y) along the interval.,,,,353,U1445,C,4,H,5,A,,,,92
353-U1445C-4H-6-A,0,33,29.4,29.73,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,green,GLEY 1 3/10Y (very dark greenish gray),bioturbated,,,,,,,,,,,,Faint color variations from very dark greenish gray (GLEY 1 3/10Y) to greenish gray (GLEY 1 5/10Y) along the interval.,,,,353,U1445,C,4,H,6,A,,,,93
353-U1445C-4H-6-A,33,38.5,29.73,29.785,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,With many foraminifers.,,,,353,U1445,C,4,H,6,A,,,,94
353-U1445C-4H-6-A,38.5,41,29.785,29.81,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,green,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,,,,,Faint color variations from very dark greenish gray (GLEY 1 3/10Y) to greenish gray (GLEY 1 5/10Y) along the interval.,,,,353,U1445,C,4,H,6,A,,,,95
353-U1445C-4H-6-A,41,44,29.81,29.84,,silty,sand,,silty sand,silty sand,sand,,gray,5Y 4/2 (olive gray),,,,thin bed,normally graded,,,,,Turbidite,,,With many foraminifers.,,,,353,U1445,C,4,H,6,A,,,,96
353-U1445C-4H-6-A,44,58.5,29.84,29.985,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,green,GLEY 1 3/10Y (very dark greenish gray),bioturbated,,,,,,,,,,,,Faint color variations from very dark greenish gray (GLEY 1 3/10Y) to greenish gray (GLEY 1 5/10Y) along the interval.,,,,353,U1445,C,4,H,6,A,,,,97
