Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Degree of alteration,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Volcanic clasts (>2 mm) DOMINANT,DOMINANT volcanic clast roundness,Volcanic clasts (>2 mm) 2ND ORDER,2ND volcanic clast roundness,Volcanic clasts (>2 mm) 3RD ORDER,3RD volcanic clast roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix abundance [%],Matrix comments,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
376-U1527C-13R-1-A,15,23,199.75,199.83,,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 1 5/10Y (greenish gray),cemented,granule,4,medium pebble,6,"light brown to yellowish alteration, multiple clasts.",,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,volcanic,subangular,,,,,,,,,"2 clast types: (1) brownish, moderately altered, fine-grained subrounded volcanic clast & (2) dark, fine-grained, slightly altered to fresh subangular clast.",other,,,well,30,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,13,R,1,A,,,
376-U1527C-13R-1-A,23,150,199.83,201.1,,,,,,"matrix-supported, polymict",lapillistone,,"matrix-supported, polymict lapillistone",,GLEY 2 4/5B (dark bluish gray),cemented,granule,4,very large pebble,8,,,,,,poor,,,volcanic,,,,,,,,,"volcanic, intermediate",subangular,"volcanic, intermediate",subangular,,,,,,,,,"2 clast types: (1) light green, moderately altered, fine-grained subangular volcanic dacite clast & (2) dark, fine-grained, plagioclase-bearing slightly altered to fresh subangular dacite clast.",other,,,well,15,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,13,R,1,A,,,
376-U1527C-13R-2-A,0,52,201.1,201.62,,,,,,"matrix-supported, polymict",lapillistone,,"matrix-supported, polymict lapillistone",,GLEY 2 5/10BG (greenish gray),cemented,medium pebble,6,very large pebble,8,light bluish greenish altered matrix,,,,,poor,,,volcanic,,,,,,,,,"volcanic, intermediate",subangular,volcanic,subangular,microcrystalline lapilli,sub-rounded,,,,,,,"3 clast types: (1) light green, moderately altered, fine-grained plagioclase-bearing subangular volcanic clast, (2) dark, fine-grained, plagioclase-bearing slightly altered to fresh subangular clast & (3) dark green, medium-grained subrounded volcanic clast.",other,,,well,20,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,13,R,2,A,,,
376-U1527C-13R-2-A,52,127,201.62,202.37,,,,,,"matrix-supported, polymict",lapillistone,,"matrix-supported, polymict lapillistone",,GLEY 1 5/5GY (greenish gray),cemented,medium pebble,6,very large pebble,8,Light bluish greenish altered matrix,,,,,poor,,,volcanic,,,,,,,,,"volcanic, intermediate",subangular,volcanic,subangular,microcrystalline lapilli,sub-rounded,,,,,,,"3 clast types: (1) light green, moderately altered, fine-grained plagioclase-bearing subangular volcanic clast, (2) dark, fine-grained, plagioclase-bearing altered subangular clast & (3) dark green, medium-grained subrounded volcanic clast.",other,,,well,20,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,13,R,2,A,,,
376-U1527C-13R-3-A,0,146,202.37,203.83,,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 1 5/10Y (greenish gray),cemented,small pebble,5,very large pebble,8,GLEY 1 5/10Y greenish altered matrix,,,,,poor,,,volcanic,,,,,,,,,"volcanic, intermediate",subangular,volcanic,subangular,volcanic,sub-rounded,,,,,,,"3 clast types: (1) light green, moderately altered, fine-grained plagioclase-bearing subangular dacite clast w/ squashed vesicles, (2) dark, fine-grained, plagioclase-bearing slightly altered to fresh subangular clast & (3) dark green, medium-grained subrounded volcanic clast.",other,,,well,30,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,13,R,3,A,,,
376-U1527C-14R-1-A,10,17,204.5,204.57,,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,5Y 5/3 (olive),cemented,small pebble,5,large pebble,7,,,,,,poor,,,volcanic,,,,,,,,,,,,,,,,,,,,,,other,,,well,60,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,14,R,1,A,,,
376-U1527C-14R-1-A,22,27,204.62,204.67,,,,,,matrix-supported,lapilli-tuff,,matrix-supported lapilli-tuff,,GLEY 1 6/10GY (greenish gray),cemented,granule,4,medium pebble,6,,planar,scoured,inclined,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,"clasts are barely distinguishable, highly altered",other,,,well,40,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,14,R,1,A,,,
376-U1527C-14R-1-A,27,35,204.67,204.75,,,,,,matrix-supported,lapilli-tuff,,matrix-supported lapilli-tuff,,GLEY 1 4/5GY (dark greenish gray),cemented,silt,2,small pebble,5,,irregular,scoured,,,moderate,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,"1 clast type: clasts are barely distinguishable, highly altered",other,,,well,30,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,14,R,1,A,,,
376-U1527C-14R-1-A,35,67,204.75,205.07,,,,,,matrix-supported,lapilli-tuff,,matrix-supported lapilli-tuff,,5Y 5/2 (olive gray),cemented,silt,2,medium pebble,6,"blackish fluidal (former fiamme???) structures, whispy veins? open fracture at bottom (with barite)",,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,"clasts are barely distinguishable, highly altered",other,,,well,30,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,14,R,1,A,,,
376-U1527C-14R-1-A,67,77,205.07,205.17,,,,,,,tuff,with lapilli,tuff with lapilli,,5Y 6/2 (light olive gray),cemented,silt,2,very large pebble,8,,,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,"clasts are barely distinguishable, highly altered",other,,,well,80,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,14,R,1,A,,,
376-U1527C-14R-2-A,0,25,205.17,205.42,,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,5y 6/2 (light olive gray),cemented,medium pebble,6,very large pebble,8,,planar,scoured,inclined,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,volcanic,subangular,volcanic,subangular,,,,,,,"3 clast types: 1) alt. volcanic, 2) slightly alt. volcanic, blackish, 3) lapilli tuff clasts",other,,,well,40,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,14,R,2,A,,,
376-U1527C-14R-2-A,25,139,205.42,206.56,,,,,,"matrix-supported, polymict",tuff-breccia,,"matrix-supported, polymict tuff-breccia",,GLEY 1 6/10GY (greenish gray),cemented,medium pebble,6,cobble,9,,,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,volcanic,sub-rounded,volcanic,sub-rounded,,,,,,,"3 clast types: 1) highly alt. volcanic, 2) greenish tuff, 3) slightly alt. volcanic, blackish",other,,,well,45,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,14,R,2,A,,,
376-U1527C-14R-3-A,0,101,206.56,207.57,,,,,,"matrix-supported, polymict",tuff-breccia,,"matrix-supported, polymict tuff-breccia",,GLEY 1 6/10GY (greenish gray),cemented,small pebble,5,cobble,9,,planar,scoured,sub-vertical,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,volcanic,sub-rounded,,,,,,,,,"2 clast types: 1) alt. volcanic, 2) greenish tuff",other,,,well,45,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,14,R,3,A,,,
376-U1527C-14R-3-A,101,150,207.57,208.06,,,,,,matrix-supported,lapilli-tuff,,matrix-supported lapilli-tuff,,GLEY 1 5/5GY (greenish gray),cemented,granule,4,large pebble,7,,,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,"clasts are barely distinguishable, highly altered",other,,,well,25,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,14,R,3,A,,,
376-U1527C-15R-1-A,0,139,209.2,210.59,,,,,,"matrix-supported, polymict",lapilli-tuff,with blocks-bombs,"matrix-supported, polymict lapilli-tuff with blocks-bombs",,GLEY 1 6/10Y (greenish gray),cemented,granule,4,cobble,9,colour varies between greenish and olive in patches due to alteration,,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,volcanic,sub-rounded,,,,,,,,,"2 clast types: 1) alt. volcanic, sometimes with aligned filled vesicles 2) ""fresh"" darker volcanic within clast of type 1; maybe breccia clast in breccia",other,,,well,30,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,15,R,1,A,,,
376-U1527C-15R-2-A,0,38,210.59,210.97,,,,,,"matrix-supported, polymict",lapilli-tuff,with blocks-bombs,"matrix-supported, polymict lapilli-tuff with blocks-bombs",,GLEY 1 6/5GY (greenish gray),cemented,granule,4,cobble,9,,irregular,scoured,inclined,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,volcanic,subangular,,,,,,,,,"2 clast types: 1) greenish alt. volcanic, in one clast (92-104) aligned open pore space 2) blackish, less alt. volcanic; unclear boundaries of clasts",other,,,well,25,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,15,R,2,A,,,
376-U1527C-15R-2-A,38,150,210.97,212.09,,,,,,"matrix-supported, polymict",lapilli-tuff,with blocks-bombs,"matrix-supported, polymict lapilli-tuff with blocks-bombs",,GLEY 1 6/5G (greenish gray),cemented,granule,4,cobble,9,,,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,volcanic,subangular,,,,,,,,,"2 clast types: 1) greenish alt. volcanic, in one clast (92-104) aligned open pore space 2) blackish, less alt. volcanic; unclear boundaries of clasts",other,,,well,25,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,15,R,2,A,,,
376-U1527C-15R-3-A,0,66,212.09,212.75,,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 1 5/10GY (greenish gray),cemented,granule,4,very large pebble,8,,,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,volcanic,subangular,,,,,,,,,"2 clast types: 1) greenish alt. volcanic, 2) darker alt. volcanic w/ pores",other,,,well,30,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,15,R,3,A,,,
376-U1527C-16R-1-A,0,33,214,214.33,,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 1 5/10Y (greenish gray),cemented,granule,4,very large pebble,8,,planar,sharp,inclined,,poor,,,volcanic,,,,,,,,,volcanic,subangular,volcanic,subangular,volcanic,sub-rounded,,,,,,,"3 clast types: 1) greenish alt. volcanic w/ elongated aligned vesicles, 2) darker, fine-grained alt. volcanic often within clast of type 1, 3) fresher dark volcanic clasts w/ visible phenocrysts",other,,,well,30,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,16,R,1,A,,,
376-U1527C-16R-1-A,33,150,214.33,215.5,,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 1 6/5G (greenish gray),cemented,granule,4,very large pebble,8,,planar,sharp,inclined,,poor,,,volcanic,,,,,,,,,volcanic,subangular,volcanic,subangular,volcanic,sub-rounded,,,,,,,"3 clast types: 1) greenish alt. volcanic w/ elongated aligned vesicles, 2) darker, fine-grained alt. volcanic often within clast of type 1, 3) fresher dark volcanic clasts w/ visible phenocrysts",other,,,well,30,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,16,R,1,A,,,
376-U1527C-17R-1-A,0,42,218.8,219.22,,,,,,"matrix-supported, polymict",tuff-breccia,,"matrix-supported, polymict tuff-breccia",,GLEY 1 6/5G (greenish gray),cemented,medium pebble,6,cobble,9,,,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,volcanic,angular,volcanic,subangular,,,,,,,"3 clast types: 1) green, alt. volcanic, 2) fine-grained green alt. volcanic, 3) black, fresher volcanic, often within clasts of type 1; some clasts contain black (sulphide?) fluidal structures.",other,,,well,40,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,17,R,1,A,,,
376-U1527C-17R-1-A,42,135,219.22,220.15,,,,,,"matrix-supported, polymict",tuff-breccia,,"matrix-supported, polymict tuff-breccia",,GLEY 1 5/5G (grayish green),cemented,medium pebble,6,cobble,9,,,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,volcanic,angular,volcanic,subangular,,,,,,,"3 clast types: 1) green, alt. volcanic, 2) fine-grained green alt. volcanic, 3) black, fresher volcanic, often within clasts of type 1; some clasts contain black (sulphide?) fluidal structures.",other,,,well,25,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,17,R,1,A,,,
376-U1527C-17R-2-A,0,83,220.15,220.98,,,,,,"matrix-supported, monomict",pyroclastic breccia,with lapilli,"matrix-supported, monomict pyroclastic breccia with lapilli",,GLEY 1 6/5G (greenish gray),cemented,medium pebble,6,cobble,9,,,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,"1 clast type: green alt. volcanic, larger ones contain aligned partially filled, elongated vesicles; with varying degrees of alteation",other,,,well,20,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,17,R,2,A,,,
376-U1527C-17R-2-A,83,112,220.98,221.27,,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 6/10B (bluish gray),cemented,small pebble,5,large pebble,7,,,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,volcanic,sub-rounded,,,,,,,,,"2 clast types: (1) light green, moderately altered, fine-grained subrounded volcanic clast & (2) dark, fine-grained, slightly altered to fresh subangular clast.",other,,,well,15,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,17,R,2,A,,,
376-U1527C-18R-1-A,0,139,223.6,224.99,,,,,,"clast-supported, polymict",lapillistone,with blocks-bombs,"clast-supported, polymict lapillistone with blocks-bombs",,GLEY 2 5/10B (bluish gray),cemented,granule,4,cobble,9,,,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,volcanic,subangular,,,,,,,,,"2 clast types: (1) light green, moderately altered, fine-grained plagioclase-bearing subrounded volcanic clast & (2) dark, fine-grained, plagioclase-bearing slightly altered to fresh subangular clast.",other,,,well,10,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,18,R,1,A,,,
376-U1527C-18R-2-A,0,150,224.99,226.49,,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 5/10B (bluish gray),cemented,small pebble,5,very large pebble,8,,,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,volcanic,subangular,,,,,,,,,"2 clast types: (1) light green, moderately altered, fine-grained plagioclase-bearing subrounded volcanic clast & (2) dark, fine-grained, plagioclase bearing slightly altered to fresh subangular material",other,,,well,10,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,18,R,2,A,,,
376-U1527C-19R-1-A,0,150,228.4,229.9,,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 6/5B (bluish gray),cemented,small pebble,5,very large pebble,8,Just moved out of the previous unit (2?) and back into unit (1a?). One quartz vein with sericite alteration (quartz+sericite+pyrite ~66-64 cm),,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,volcanic,subangular,,,,,,,,,"2 clast types: (1) light green, moderately altered, fine-grained plagioclase-bearing subrounded volcanic clast & (rare) black fine-grained subangular clast with sulfides - one clast is stretched out at ~132-135 cm.",other,,,well,45,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,19,R,1,A,,,
376-U1527C-19R-2-A,0,30,229.9,230.2,,,,,,"clast-supported, polymict",lapilli-tuff,,"clast-supported, polymict lapilli-tuff",,GLEY 2 6/5B (bluish gray),cemented,granule,4,very large pebble,8,small bit of yellow-brownish alteration on bottom.,,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,volcanic,subangular,,,,,,,,,"2 clast types: (1) light green, moderately altered, fine-grained plagioclase-bearing subrounded volcanic clast & (2) dark, fine-grained, subangular volcanic clast (laminated texture)",other,,,well,25,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,19,R,2,A,,,
376-U1527C-20R-1-A,0,118,233.2,234.38,,,,,,"clast-supported, monomict",tuff-breccia,,"clast-supported, monomict tuff-breccia",,GLEY 2 6/10G (greenish gray),cemented,granule,4,cobble,9,,,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,"1 clast type: light green, moderately altered, fine-grained plagioclase-bearing subrounded volcanic clast.",other,,,well,25,prob. altered ash/vitric?,,,,,,,,,,,,,,,,,,376,U1527,C,20,R,1,A,,,
