Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
341-U1417B-1H-CC-A,341,U1417,B,1,1-CC,H,CC,A,8.0,13.0,5.28,5.33,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,
341-U1417B-2H-1-A,341,U1417,B,2,2-1,H,1,A,0.0,6.0,5.3,5.36,,mud [Leg210],,mud ,,,,7.5YR 5/4 (brown),,,,,,,,,,,,,,disturbance,,,,,,,,
341-U1417B-2H-1-A,341,U1417,B,2,2-1,H,1,A,6.0,22.0,5.36,5.52,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10YR 3/2 (very dark grayish brown),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-2H-1-A,341,U1417,B,2,2-1,H,1,A,22.0,23.0,5.52,5.53,,ash(tuff) [MMK88m],,ash(tuff),ash,4,,10YR 3/1 (very dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-2H-1-A,341,U1417,B,2,2-1,H,1,A,23.0,55.0,5.53,5.85,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10YR 3/2 (very dark grayish brown),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-2H-1-A,341,U1417,B,2,2-1,H,1,A,55.0,57.0,5.85,5.87,,ash(tuff) [MMK88m],,ash(tuff),ash,4,,10 YR 3/1,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-2H-1-A,341,U1417,B,2,2-1,H,1,A,57.0,66.5,5.87,5.965,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10YR 3/2 (very dark grayish brown),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-2H-1-A,341,U1417,B,2,2-1,H,1,A,66.5,150.0,5.965,6.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-2H-2-A,341,U1417,B,2,2-2,H,2,A,0.0,150.0,6.8,8.3,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-2H-3-A,341,U1417,B,2,2-3,H,3,A,0.0,150.0,8.3,9.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,mud with one stringer of diatom ooze at 11,,,,,,,,
341-U1417B-2H-4-A,341,U1417,B,2,2-4,H,4,A,0.0,150.0,9.8,11.3,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-2H-5-A,341,U1417,B,2,2-5,H,5,A,0.0,147.0,11.3,12.77,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts present, but sparse",,,,,,,,
341-U1417B-2H-6-A,341,U1417,B,2,2-6,H,6,A,0.0,122.0,12.77,13.99,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts present, but sparse",,,,,,,,
341-U1417B-2H-7-A,341,U1417,B,2,2-7,H,7,A,0.0,64.0,13.99,14.63,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-2H-CC-A,341,U1417,B,2,2-CC,H,CC,A,0.0,10.0,14.63,14.73,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-2H-CC-A,341,U1417,B,2,2-CC,H,CC,A,10.0,15.0,14.73,14.78,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,
341-U1417B-3H-1-A,341,U1417,B,3,3-1,H,1,A,0.0,75.0,11.8,12.55,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,gradational contact,irregular,,,,,,
341-U1417B-3H-1-A,341,U1417,B,3,3-1,H,1,A,75.0,150.0,12.55,13.3,diatom rich,mud [Leg210],,diatom rich mud ,,,,N 5 (gray),,,present [A79],,,,,,,,,,,"clasts present, but sparse; intermittent black mottling",,,,,,,,
341-U1417B-3H-2-A,341,U1417,B,3,3-2,H,2,A,0.0,82.0,13.3,14.12,diatom rich,mud [Leg210],,diatom rich mud ,,,,N 5 (gray),,,present [A79],,,,,,,,,,,"clasts present, but sparse; intermittent black mottling",sharp contact,planar,,,,,,
341-U1417B-3H-2-A,341,U1417,B,3,3-2,H,2,A,82.0,150.0,14.12,14.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,"clasts present, but sparse",,,,,,,,
341-U1417B-3H-3-A,341,U1417,B,3,3-3,H,3,A,0.0,150.0,14.8,16.3,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,clasts present but sparse,,,,,,,,
341-U1417B-3H-4-A,341,U1417,B,3,3-4,H,4,A,0.0,150.0,16.3,17.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,"clasts present, but sparse; intermittent black mottling",,,,,,,,
341-U1417B-3H-5-A,341,U1417,B,3,3-5,H,5,A,0.0,35.0,17.8,18.15,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,"bisqueted, with thin voids",,,,,,,,
341-U1417B-3H-5-A,341,U1417,B,3,3-5,H,5,A,35.0,70.0,18.15,18.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,"bisqueted, with thin voids",,,,,,,,
341-U1417B-3H-5-A,341,U1417,B,3,3-5,H,5,A,70.0,150.0,18.5,19.3,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,"bisqueted, with thin voids",,,,,,,,
341-U1417B-3H-6-A,341,U1417,B,3,3-6,H,6,A,0.0,10.0,19.3,19.4,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-3H-6-A,341,U1417,B,3,3-6,H,6,A,10.0,110.5,19.4,20.405,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-3H-6-A,341,U1417,B,3,3-6,H,6,A,110.5,114.0,20.405,20.44,,,,,,,,,,,,,,,,,,,,,,void,,,,,,,,
341-U1417B-3H-6-A,341,U1417,B,3,3-6,H,6,A,114.0,150.0,20.44,20.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-3H-7-A,341,U1417,B,3,3-7,H,7,A,0.0,60.5,20.8,21.405,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-4H-1-A,341,U1417,B,4,4-1,H,1,A,0.0,150.0,21.3,22.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,clasts present but sparse; faint black mottling; potential diatom ooze at 58cm,,,,,,,,
341-U1417B-4H-2-A,341,U1417,B,4,4-2,H,2,A,0.0,84.0,22.8,23.64,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,clasts present but sparse,gradational contact,irregular,,,,,,
341-U1417B-4H-2-A,341,U1417,B,4,4-2,H,2,A,84.0,150.0,23.64,24.3,,mud [Leg210],with diatoms [Leg339],mud  with diatoms ,,,,N 4 (dark gray),,,absent [A79],,,,,,,,,,,intermittent black mottling,,,,,,,,
341-U1417B-4H-3-A,341,U1417,B,4,4-3,H,3,A,0.0,55.0,24.3,24.85,,mud [Leg210],with diatoms [Leg339],mud  with diatoms ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,clasts present but sparse,sharp contact,planar,,,,,,
341-U1417B-4H-3-A,341,U1417,B,4,4-3,H,3,A,55.0,131.0,24.85,25.61,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,clasts present but sparse; black mottling so this layer looks darker,sharp contact,planar,,,,,,
341-U1417B-4H-3-A,341,U1417,B,4,4-3,H,3,A,131.0,150.0,25.61,25.8,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,clasts present but sparse,,,,,,,,
341-U1417B-4H-4-A,341,U1417,B,4,4-4,H,4,A,0.0,150.0,25.8,27.3,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,present [A79],1,,,,,,,,,,clasts present but sparse; intermittent black mottling,,,,,,,,
341-U1417B-4H-5-A,341,U1417,B,4,4-5,H,5,A,0.0,26.0,27.3,27.56,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-4H-5-A,341,U1417,B,4,4-5,H,5,A,26.0,30.0,27.56,27.6,,ash(tuff) [MMK88m],,ash(tuff) ,ash,4,normal grading,2.5YR 6/1 (reddish gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-4H-5-A,341,U1417,B,4,4-5,H,5,A,30.0,100.0,27.6,28.3,,diatom ooze [Leg339],,diatom ooze ,,,,10YR 3/1 (very dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-4H-5-A,341,U1417,B,4,4-5,H,5,A,100.0,150.0,28.3,28.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-4H-6-A,341,U1417,B,4,4-6,H,6,A,0.0,60.0,28.8,29.4,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-4H-6-A,341,U1417,B,4,4-6,H,6,A,60.0,119.0,29.4,29.99,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-4H-6-A,341,U1417,B,4,4-6,H,6,A,119.0,128.0,29.99,30.08,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10YR 3/2 (very dark grayish brown),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-4H-6-A,341,U1417,B,4,4-6,H,6,A,128.0,150.0,30.08,30.3,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-4H-7-A,341,U1417,B,4,4-7,H,7,A,0.0,12.0,30.3,30.42,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-4H-7-A,341,U1417,B,4,4-7,H,7,A,12.0,65.0,30.42,30.95,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-4H-CC-A,341,U1417,B,4,4-CC,H,CC,A,0.0,12.0,30.95,31.07,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-4H-CC-A,341,U1417,B,4,4-CC,H,CC,A,12.0,17.0,31.07,31.12,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,
341-U1417B-5H-1-A,341,U1417,B,5,5-1,H,1,A,0.0,120.0,30.8,32.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-5H-1-A,341,U1417,B,5,5-1,H,1,A,120.0,150.0,32.0,32.3,volcaniclastic rich,sand [Leg210],,volcaniclastic rich sand ,volcaniclastic-rich,3,,2.5Y 5/1 (gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-5H-2-A,341,U1417,B,5,5-2,H,2,A,0.0,5.0,32.3,32.35,volcaniclastic rich,sand [Leg210],,volcaniclastic rich sand ,volcaniclastic-rich,3,,2.5Y 5/1 (gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-5H-2-A,341,U1417,B,5,5-2,H,2,A,5.0,11.0,32.35,32.41,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-5H-2-A,341,U1417,B,5,5-2,H,2,A,11.0,14.0,32.41,32.44,volcaniclastic rich,sand [Leg210],,volcaniclastic rich sand ,volcaniclastic-rich,3,,2.5Y 5/1 (gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-5H-2-A,341,U1417,B,5,5-2,H,2,A,14.0,27.0,32.44,32.57,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-5H-2-A,341,U1417,B,5,5-2,H,2,A,27.0,30.5,32.57,32.605,volcaniclastic rich,sand [Leg210],,volcaniclastic rich sand ,volcaniclastic-rich,3,,2.5Y 5/1 (gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-5H-2-A,341,U1417,B,5,5-2,H,2,A,30.5,150.0,32.605,33.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-5H-3-A,341,U1417,B,5,5-3,H,3,A,0.0,150.0,33.8,35.3,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],1,,,,,,,,,,"1 clast, metasiltsone, 5x3x6 cm, subangular-subrounded",,,,,,,,
341-U1417B-5H-4-A,341,U1417,B,5,5-4,H,4,A,0.0,140.0,35.3,36.7,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-5H-4-A,341,U1417,B,5,5-4,H,4,A,140.0,144.0,36.7,36.74,diatom rich,mud [Leg210],,diatom rich mud ,,,,10YR 3/2 (very dark grayish brown),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-5H-4-A,341,U1417,B,5,5-4,H,4,A,144.0,150.0,36.74,36.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-5H-5-A,341,U1417,B,5,5-5,H,5,A,0.0,150.0,36.8,38.3,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],3,,,,,,,,,,clast present but sparse; silty brown patches at 92cm = diatom ooze by SS,,,,,,,,
341-U1417B-5H-6-A,341,U1417,B,5,5-6,H,6,A,0.0,150.0,38.3,39.8,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-5H-7-A,341,U1417,B,5,5-7,H,7,A,0.0,72.0,39.8,40.52,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,clasts present but rare,,,,,,,,
341-U1417B-5H-CC-A,341,U1417,B,5,5-CC,H,CC,A,0.0,16.0,40.52,40.68,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-5H-CC-A,341,U1417,B,5,5-CC,H,CC,A,16.0,21.0,40.68,40.73,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,
341-U1417B-6H-1-A,341,U1417,B,6,6-1,H,1,A,0.0,150.0,40.3,41.8,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),,,present [A79],2,,,,,,,,,,soupy disaster,,,,,,,,
341-U1417B-6H-2-A,341,U1417,B,6,6-2,H,2,A,0.0,150.0,41.8,43.3,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),,,present [A79],3,,,,,,,,,,black mottling 139-150cm,,,,,,,,
341-U1417B-6H-3-A,341,U1417,B,6,6-3,H,3,A,0.0,107.0,43.3,44.37,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,absent [A79],,,,,,,,,,,black mottling,,,,,,,,
341-U1417B-6H-3-A,341,U1417,B,6,6-3,H,3,A,107.0,150.0,44.37,44.8,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,absent [A79],,,,,,,,,,,"black mottling, thick black layer 149cm",,,,,,,,
341-U1417B-6H-4-A,341,U1417,B,6,6-4,H,4,A,0.0,26.0,44.8,45.06,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-6H-4-A,341,U1417,B,6,6-4,H,4,A,26.0,28.0,45.06,45.08,diatom rich,mud [Leg210],,diatom rich mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-6H-4-A,341,U1417,B,6,6-4,H,4,A,28.0,125.0,45.08,46.05,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-6H-4-A,341,U1417,B,6,6-4,H,4,A,125.0,150.0,46.05,46.3,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-6H-5-A,341,U1417,B,6,6-5,H,5,A,0.0,27.0,46.3,46.57,diatom rich,mud [Leg210],,diatom rich mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,
341-U1417B-6H-5-A,341,U1417,B,6,6-5,H,5,A,27.0,150.0,46.57,47.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-6H-6-A,341,U1417,B,6,6-6,H,6,A,0.0,100.0,47.8,48.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-6H-CC-A,341,U1417,B,6,6-CC,H,CC,A,0.0,17.0,48.81,48.98,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-6H-CC-A,341,U1417,B,6,6-CC,H,CC,A,17.0,23.0,48.98,49.04,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,
341-U1417B-7H-1-A,341,U1417,B,7,7-1,H,1,A,0.0,150.0,49.8,51.3,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),,,present [A79],1,,,,,,,,,,soupy disaster,,,,,,,,
341-U1417B-7H-2-A,341,U1417,B,7,7-2,H,2,A,0.0,150.0,51.3,52.8,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),,,present [A79],1,,,,,,,,,,soupy disaster,,,,,,,,
341-U1417B-7H-3-A,341,U1417,B,7,7-3,H,3,A,0.0,62.0,52.8,53.42,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],6,,,,,,,,,,,,,,,,,,
341-U1417B-7H-3-A,341,U1417,B,7,7-3,H,3,A,62.0,64.0,53.42,53.44,,,,,,,normal grading,N 4 (dark gray),,,absent [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-7H-3-A,341,U1417,B,7,7-3,H,3,A,64.0,150.0,53.44,54.3,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],5,,,,,,,,,,turbdite layer,,,,,,,,
341-U1417B-7H-4-A,341,U1417,B,7,7-4,H,4,A,0.0,150.0,54.3,55.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],10,,,granule [W22_2],,,subangular,,,,"1 basalt clast, 4 cm long axis, subrounded at 43 cm",,,,,,,,
341-U1417B-7H-5-A,341,U1417,B,7,7-5,H,5,A,0.0,100.0,55.8,56.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],1,,,fine sand [W22_2],,,subrounded,,,,,,,,,,,,
341-U1417B-7H-6-A,341,U1417,B,7,7-6,H,6,A,0.0,99.0,56.8,57.79,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],3,,,fine sand [W22_2],,,subrounded,,,,"bigger clast, frozen sand, subrounded,
3 cm at 12 cm
6 cm at 30 cm
2 cm at 55 cm",,,,,,,,
341-U1417B-7H-CC-A,341,U1417,B,7,7-CC,H,CC,A,0.0,21.0,57.79,58.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-7H-CC-A,341,U1417,B,7,7-CC,H,CC,A,21.0,28.0,58.0,58.07,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,
341-U1417B-8H-1-A,341,U1417,B,8,8-1,H,1,A,0.0,150.0,58.0,59.5,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),,,present [A79],4,,,,,,,,,,black mottling 89-150cm,,,,,,,,
341-U1417B-8H-2-A,341,U1417,B,8,8-2,H,2,A,0.0,102.0,59.5,60.52,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],9,,,,,,,,,,,,,,,,,,
341-U1417B-8H-2-A,341,U1417,B,8,8-2,H,2,A,102.0,150.0,60.52,61.0,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,absent [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-8H-3-A,341,U1417,B,8,8-3,H,3,A,0.0,150.0,61.0,62.5,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,present [A79],1,,,,,,,,,,black mottling 101-150cm,,,,,,,,
341-U1417B-8H-4-A,341,U1417,B,8,8-4,H,4,A,0.0,150.0,62.5,64.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,massive mud,,,,,,,,
341-U1417B-8H-5-A,341,U1417,B,8,8-5,H,5,A,0.0,46.0,64.0,64.46,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,massive mud,,,,,,,,
341-U1417B-8H-5-A,341,U1417,B,8,8-5,H,5,A,46.0,150.0,64.46,65.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],2,,,pebble [W22_2],,,subrounded,,,,,,,,,,,,
341-U1417B-8H-6-A,341,U1417,B,8,8-6,H,6,A,0.0,30.0,65.5,65.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,massive mud,,,,,,,,
341-U1417B-8H-6-A,341,U1417,B,8,8-6,H,6,A,30.0,136.0,65.8,66.86,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],22,,,pebble [W22_2],,,subrounded,,,,,,,,,,,,
341-U1417B-8H-CC-A,341,U1417,B,8,8-CC,H,CC,A,0.0,15.0,66.86,67.01,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,
341-U1417B-8H-CC-A,341,U1417,B,8,8-CC,H,CC,A,15.0,22.0,67.01,67.08,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,
341-U1417B-9H-1-A,341,U1417,B,9,9-1,H,1,A,0.0,150.0,67.1,68.6,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,present [A79],4,,,,,,,,,,intermittent black mottling,,,,,,,,
341-U1417B-9H-2-A,341,U1417,B,9,9-2,H,2,A,0.0,112.0,68.6,69.72,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,present [A79],4,,,,,,,,,,several silt layers,,,,,,,,
341-U1417B-9H-2-A,341,U1417,B,9,9-2,H,2,A,112.0,120.0,69.72,69.8,,sand [Leg210],,sand ,,,normal grading,N 4 (dark gray),,,present [A79],1,,,,,,,,,,"3 turbidite layers, fining upward (sand, silt, mud)",,,,,,,,
341-U1417B-9H-2-A,341,U1417,B,9,9-2,H,2,A,120.0,150.0,69.8,70.1,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),,,present [A79],2,,,,,,,,,,,,,,,,,,
341-U1417B-9H-3-A,341,U1417,B,9,9-3,H,3,A,0.0,41.0,70.1,70.51,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,absent [A79],,,,,,,,,,,intermittent black laminae,,,,,,,,
