Sample,Exp,Site,Hole,Core,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Color (name),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Dominant grain size rank,Clastic grain roundness,Lithification,Lithology comments,File Data,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
330-U1376A-1R-4-A,330,U1376,A,1,R,4,A,30,145,4.5,5.65,multicolor,sandy volcanic,breccia,,sandy volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,the largest grains are rounded,,,,
330-U1376A-1R-5-A,330,U1376,A,1,R,5,A,0,141,5.65,7.06,multicolor,sandy volcanic,breccia,,sandy volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,the largest grains are rounded,,,,
330-U1376A-1R-6-A,330,U1376,A,1,R,6,A,0,141,7.06,8.47,multicolor,sandy volcanic,breccia,,sandy volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,the largest grains are rounded,,,,
330-U1376A-1R-7-A,330,U1376,A,1,R,7,A,0,55,8.48,9.03,multicolor,sandy volcanic,breccia,,sandy volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,the largest grains are rounded,,,,
330-U1376A-2R-1-A,330,U1376,A,2,R,1,A,0,128,9.5,10.78,multicolor,sandy volcanic,breccia,,sandy volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,the largest grains are rounded,,,,
330-U1376A-2R-2-A,330,U1376,A,2,R,2,A,0,145,10.78,12.23,multicolor,sandy volcanic,breccia,,sandy volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,the largest grains are rounded,,,,
330-U1376A-2R-3-A,330,U1376,A,2,R,3,A,0,140,12.23,13.63,multicolor,sandy volcanic,breccia,,sandy volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,the largest grains are rounded,,,,
330-U1376A-2R-3-A,330,U1376,A,2,R,3,A,140,143,13.63,13.66,,,,,,,,4,,,,,,,
330-U1376A-2R-3-A,330,U1376,A,2,R,3,A,140,144,13.63,13.67,multicolor,volcanic,Sandstone [MMK88],,volcanic Sandstone,,very coarse sand [U14W22],,,lithified,,,,,
330-U1376A-2R-4-A,330,U1376,A,2,R,4,A,0,120,13.67,14.87,multicolor,sandy volcanic,breccia,,sandy volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,,,,,
330-U1376A-2R-5-A,330,U1376,A,2,R,5,A,0,140,14.87,16.27,multicolor,sandy volcanic,breccia,,sandy volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,,,,,
330-U1376A-2R-6-A,330,U1376,A,2,R,6,A,0,122,16.27,17.49,multicolor,sandy volcanic,breccia,,sandy volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,,,,,
330-U1376A-3R-1-A,330,U1376,A,3,R,1,A,0,73,19,19.73,multicolor,sandy volcanic,breccia,,sandy volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,,,,,
330-U1376A-3R-1-A,330,U1376,A,3,R,1,A,73,86,19.73,19.86,multicolor,volcanic,sandstone [MMK88],,volcanic sandstone,,granule [U14W22],4,angular (Default),lithified,,,,,
330-U1376A-3R-2-A,330,U1376,A,3,R,2,A,0,141,19.86,21.27,multicolor,volcanic,sandstone [MMK88],,volcanic sandstone,,granule [U14W22],4,angular (Default),lithified,,,,,
330-U1376A-3R-3-A,330,U1376,A,3,R,3,A,0,21,21.27,21.48,multicolor,volcanic,sandstone [MMK88],,volcanic sandstone,,granule [U14W22],4,angular (Default),lithified,,,,,
330-U1376A-3R-3-A,330,U1376,A,3,R,3,A,21,83.5,21.48,22.105,multicolor,volcanic,breccia,,volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,the largest grains are rounded,,,,
330-U1376A-3R-3-A,330,U1376,A,3,R,3,A,83.5,86,22.105,22.13,brown,coarse,tuff [F&S84],,coarse tuff,,medium sand [U14W22],4,,lithified,,,,,
330-U1376A-3R-3-A,330,U1376,A,3,R,3,A,86,93,22.13,22.2,multicolor,volcanic,breccia,,volcanic breccia,,granule [U14W22],5,angular (Default),lithified,,,,,
330-U1376A-3R-3-A,330,U1376,A,3,R,3,A,93,103,22.2,22.3,brown,coarse,tuff [F&S84],,coarse tuff,,medium sand [U14W22],4,,lithified,,,,,
330-U1376A-3R-3-A,330,U1376,A,3,R,3,A,103,109.5,22.3,22.365,multicolor,volcanic,breccia,,volcanic breccia,,granule [U14W22],5,angular (Default),lithified,,,,,
330-U1376A-3R-3-A,330,U1376,A,3,R,3,A,109.5,126,22.365,22.53,brown,coarse,tuff [F&S84],,coarse tuff,,medium sand [U14W22],4,,lithified,,,,,
330-U1376A-3R-4-A,330,U1376,A,3,R,4,A,0,7,22.53,22.6,brown,coarse,tuff [F&S84],,coarse tuff,,medium sand [U14W22],4,,lithified,,,,,
330-U1376A-3R-4-A,330,U1376,A,3,R,4,A,7,26,22.6,22.79,multicolor,volcanic,breccia,,volcanic breccia,,pebble [U14W22],5,angular (Default),lithified,may contain a turbidite,,,,
330-U1376A-3R-4-A,330,U1376,A,3,R,4,A,26,92,22.79,23.45,brown,coarse,tuff [F&S84],,coarse tuff,,medium sand [U14W22],4,,lithified,,,,,
330-U1376A-3R-4-A,330,U1376,A,3,R,4,A,92,153,23.45,24.06,white,,boundstone,,boundstone,,,,well rounded (Default),lithified,"includes algae, gastropods, bivalves and solitary corals",,,,
330-U1376A-3R-5-A,330,U1376,A,3,R,5,A,0,150,24.06,25.56,white,,boundstone,,boundstone,,,,well rounded (Default),lithified,"includes algae, gastropods, bivalves and solitary corals",,,,
330-U1376A-3R-6-A,330,U1376,A,3,R,6,A,0,149,25.56,27.05,white,,boundstone,,boundstone,,,,well rounded (Default),lithified,"includes algae, gastropods, bivalves and solitary corals",,,,
330-U1376A-4R-1-A,330,U1376,A,4,R,1,A,0,144,28.6,30.04,white,,boundstone,,boundstone,,,,well rounded (Default),lithified,"includes algae, gastropods, bivalves and solitary corals",,,,
330-U1376A-4R-2-A,330,U1376,A,4,R,2,A,0,145,30.04,31.49,white,,boundstone,,boundstone,,,,well rounded (Default),lithified,"includes algae, gastropods, bivalves and solitary corals",,,,
330-U1376A-4R-3-A,330,U1376,A,4,R,3,A,0,138,31.49,32.87,white,,boundstone,,boundstone,,,,well rounded (Default),lithified,"includes algae, gastropods, bivalves and solitary corals",,,,
330-U1376A-4R-4-A,330,U1376,A,4,R,4,A,0,135,32.87,34.22,white,,boundstone,,boundstone,,,,well rounded (Default),lithified,"includes algae, gastropods, bivalves and solitary corals",,,,
330-U1376A-5R-1,330,U1376,A,5,R,1,A,40,117,38.6,39.37,dark gray,basalt,conglomerate,,basalt conglomerate,,pebble [U14W22],5,subangular (Default),lithified,"matrix is composed of sandstone with various amounts of micrite, cement, voids, basalt and bioclasts",,,,
330-U1376A-5R-1-A,330,U1376,A,5,R,1,A,0,40,38.2,38.6,white,,boundstone,,boundstone,,,,well rounded (Default),lithified,"includes algae, gastropods, bivalves and solitary corals",,,,
330-U1376A-5R-2,330,U1376,A,5,R,2,A,0,134,39.37,40.71,dark gray,basalt,conglomerate,,basalt conglomerate,,pebble [U14W22],5,subangular (Default),lithified,"matrix is composed of sandstone with various amounts of micrite, cement, voids, basalt and bioclasts",,,,
330-U1376A-5R-3,330,U1376,A,5,R,3,A,0,122,40.72,41.94,dark gray,basalt,conglomerate,,basalt conglomerate,,pebble [U14W22],5,subangular (Default),lithified,"matrix is composed of sandstone with various amounts of micrite, cement, voids, basalt and bioclasts",,,,
