Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
350-U1436B-2H-4-A,350,U1436,B,1,1-2,H,2,A,22,38,1.72,1.88,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,fine sand [W22_2],4,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,,10
350-U1436B-2H-5-A,350,U1436,B,1,1-2,H,2,A,38,81,1.88,2.31,I,,,,,mud [2014],with lapilli [2014],mud,mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],angular,,,,,,,,,,,,,,,,,,,,,,11
350-U1436B-2H-5-A,350,U1436,B,1,1-2,H,2,A,81,84,2.31,2.34,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,12
350-U1436B-2H-CC-A,350,U1436,B,1,1-2,H,2,A,84,98,2.34,2.48,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
350-U1436B-4H-1-A,350,U1436,B,1,1-2,H,2,A,98,101,2.48,2.51,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,light gray,,medium sand [W22_2],5,coarse sand [W22_2],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,14
350-U1436B-4H-1-A,350,U1436,B,1,1-2,H,2,A,101,150,2.51,3,I,,,,,mud [2014],with lapilli [2014],mud,mud with lapilli,mud with lapilli,,light gray,,medium sand [W22_2],5,coarse sand [W22_2],6,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],rounded,,,,,,,,,,,,,,,,,,,,,,15
350-U1436B-4H-1-A,350,U1436,B,1,1-3,H,3,A,0,16,3,3.16,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
350-U1436B-4H-2-A,350,U1436,B,1,1-3,H,3,A,16,22,3.16,3.22,I,,,,"matrix-supported, monomictic, evolved [2014]",lapilli-tuff [2014],,"matrix-supported, monomictic, evolved lapilli-tuff","matrix-supported, monomictic, evolved lapilli-tuff",lapilli-tuff,,light brown,,fine sand [W22_2],4,pebble [W22_2],9,,,,,,,normally graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,vitric matrix [2014],lithic matrix [2014],,,,,,,,,17
350-U1436B-4H-2-A,350,U1436,B,1,1-3,H,3,A,22,57,3.22,3.57,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
350-U1436B-4H-2-A,350,U1436,B,1,1-3,H,3,A,57,80,3.57,3.8,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light brown,,fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,19
350-U1436B-4H-2-A,350,U1436,B,1,1-3,H,3,A,80,111,3.8,4.11,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
350-U1436B-4H-2-A,350,U1436,B,1,1-4,H,4,A,0,20,4.11,4.31,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
350-U1436B-4H-3-A,350,U1436,B,1,1-4,H,4,A,20,22,4.31,4.33,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light green,,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,22
350-U1436B-4H-3-A,350,U1436,B,1,1-4,H,4,A,22,55,4.33,4.66,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
350-U1436B-4H-4-A,350,U1436,B,1,1-CC,H,CC,A,0,18,4.66,4.84,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
350-U1436B-4H-4-A,350,U1436,B,2,2-1,H,1,A,0,61,4.9,5.51,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,,25
350-U1436B-4H-4-A,350,U1436,B,2,2-1,H,1,A,61,62,5.51,5.52,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,26
350-U1436B-4H-4-A,350,U1436,B,2,2-1,H,1,A,62,77,5.52,5.67,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
350-U1436B-4H-4-A,350,U1436,B,2,2-1,H,1,A,77,78,5.67,5.68,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,28
350-U1436B-4H-CC-A,350,U1436,B,2,2-1,H,1,A,78,90,5.68,5.8,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
350-U1436B-5H-1-A,350,U1436,B,2,2-1,H,1,A,90,95,5.8,5.85,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,fine sand [W22_2],4,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,30
350-U1436B-5H-2-A,350,U1436,B,2,2-1,H,1,A,95,99,5.85,5.89,I,,,,evolved,ash [2014],with mud [2014],evolved ash,evolved ash with mud,ash with mud,,light gray,,silt [W22_1],2,fine sand [W22_2],4,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,31
350-U1436B-5H-3-A,350,U1436,B,2,2-1,H,1,A,99,108,5.89,5.98,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
350-U1436B-5H-3-A,350,U1436,B,2,2-1,H,1,A,108,116,5.98,6.06,I,,,,mafic,ash [2014],with lapilli [2014],mafic ash,mafic ash with lapilli,ash with lapilli,,dark gray,,medium sand [W22_2],5,granule [W22_2],8,,,,,,,normally graded,,,,,,,vitric [2014],,,,,,,,,scoria [2014],sub-rounded,,,,,,,,,,,,vitric matrix [2014],lithic matrix [2014],,,,,,,,,33
350-U1436B-5H-4-A,350,U1436,B,2,2-1,H,1,A,116,125,6.06,6.15,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
350-U1436B-5H-4-A,350,U1436,B,2,2-1,H,1,A,125,126,6.15,6.16,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,35
350-U1436B-5H-5-A,350,U1436,B,2,2-1,H,1,A,126,150,6.16,6.4,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,,36
350-U1436B-6H-2-A,350,U1436,B,2,2-2,H,2,A,0,3,6.4,6.43,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,37
350-U1436B-7H-1-A,350,U1436,B,2,2-2,H,2,A,3,52,6.43,6.92,I,,,,,mud [2014],with lapilli [2014],mud,mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,,38
350-U1436B-7H-2-A,350,U1436,B,2,2-2,H,2,A,52,59,6.92,6.99,I,,,,evolved,ash [2014],with mud [2014],evolved ash,evolved ash with mud,ash with mud,,gray,,fine sand [W22_2],4,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,39
350-U1436B-7H-5-A,350,U1436,B,2,2-2,H,2,A,59,96,6.99,7.36,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
350-U1436B-8H-1-A,350,U1436,B,2,2-2,H,2,A,96,105,7.36,7.45,I,,,,evolved,ash [2014],with lapilli [2014],evolved ash,evolved ash with lapilli,ash with lapilli,,gray,,silt [W22_1],2,granule [W22_2],8,,,,,,,non-graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,41
350-U1436B-8H-2-A,350,U1436,B,2,2-2,H,2,A,105,126,7.45,7.66,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
350-U1436B-8H-3-A,350,U1436,B,2,2-2,H,2,A,126,134,7.66,7.74,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,dark gray,,fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,43
350-U1436B-8H-4-A,350,U1436,B,2,2-2,H,2,A,134,140,7.74,7.8,I,,,,"matrix-supported, monomictic, evolved [2014]",lapilli-ash [2014],,"matrix-supported, monomictic, evolved lapilli-ash","matrix-supported, monomictic, evolved lapilli-ash",lapilli-ash,,dark gray,,medium sand [W22_2],5,pebble [W22_2],9,,,,,,,reversely coarse-tail graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,44
350-U1436B-9H-1-A,350,U1436,B,2,2-2,H,2,A,140,148,7.8,7.88,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
350-U1436B-10H-1-A,350,U1436,B,2,2-2,H,2,A,148,149,7.88,7.89,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],lithic matrix [2014],,,,,,,,,46
350-U1436B-10H-2-A,350,U1436,B,2,2-2,H,2,A,149,150,7.89,7.9,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
350-U1436B-10H-2-A,350,U1436,B,2,2-3,H,3,A,0,9,7.9,7.99,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
350-U1436B-12H,350,U1436,B,2,2-3,H,3,A,9,13,7.99,8.03,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,white,,silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,49
350-U1436B-12H,350,U1436,B,2,2-3,H,3,A,13,86,8.03,8.76,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
350-U1436B-12H-1-A,350,U1436,B,2,2-3,H,3,A,86,87,8.76,8.77,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,51
350-U1436B-12H-1-A,350,U1436,B,2,2-3,H,3,A,87,99,8.77,8.89,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
350-U1436B-14H-1-A,350,U1436,B,2,2-3,H,3,A,99,103,8.89,8.93,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light green,,fine sand [W22_2],4,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,53
350-U1436B-14H-2-A,350,U1436,B,2,2-3,H,3,A,103,126,8.93,9.16,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],rounded,,,,,,,,,,,,,,,,,,,,,,54
,350,U1436,B,2,2-3,H,3,A,126,129,9.16,9.19,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,55
,350,U1436,B,2,2-3,H,3,A,129,141,9.19,9.31,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
,350,U1436,B,2,2-3,H,3,A,141,149,9.31,9.39,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,silt [W22_1],2,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,57
,350,U1436,B,2,2-3,H,3,A,149,150,9.39,9.4,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,58
,350,U1436,B,2,2-4,H,4,A,0,14,9.4,9.54,I,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-ash [2014],,"matrix-supported, polymictic, evolved lapilli-ash","matrix-supported, polymictic, evolved lapilli-ash",lapilli-ash,,light gray,,fine sand [W22_2],4,granule [W22_2],8,,,,,,,normally graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,59
,350,U1436,B,2,2-4,H,4,A,14,31,9.54,9.71,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
,350,U1436,B,2,2-4,H,4,A,31,45,9.71,9.85,I,,,,"matrix-supported, polymictic, mafic [2014]",lapilli-ash [2014],,"matrix-supported, polymictic, mafic lapilli-ash","matrix-supported, polymictic, mafic lapilli-ash",lapilli-ash,,dark gray,,medium sand [W22_2],5,pebble [W22_2],9,,,,,,,non-graded,,,,,,,vitric [2014],,,,,,,,,scoria [2014],sub-rounded,pumice [2014],sub-rounded,,,,,,,,,,vitric matrix [2014],,,,,,,,,,61
,350,U1436,B,2,2-4,H,4,A,45,62,9.85,10.02,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,silt [W22_1],2,medium sand [W22_2],5,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,62
,350,U1436,B,2,2-4,H,4,A,62,88,10.02,10.28,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
,350,U1436,B,2,2-4,H,4,A,88,93,10.28,10.33,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,gray,,silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,64
,350,U1436,B,2,2-5,H,5,A,0,115,10.33,11.48,I,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-ash [2014],,"matrix-supported, polymictic, evolved lapilli-ash","matrix-supported, polymictic, evolved lapilli-ash",lapilli-ash,,dark gray,,medium sand [W22_2],5,pebble [W22_2],9,,,,,,,normally graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,65
,350,U1436,B,2,2-5,H,5,A,115,125,11.48,11.58,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
,350,U1436,B,2,2-5,H,5,A,125,131,11.58,11.64,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,dark gray,,medium sand [W22_2],5,coarse sand [W22_2],6,,,,,,,non-graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,67
,350,U1436,B,2,2-CC,H,CC,A,0,12,11.64,11.76,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
,350,U1436,B,3,3-CC,H,CC,A,0,8,11.8,11.88,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
,350,U1436,B,3,3-CC,H,CC,A,8,14,11.88,11.94,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,70
,350,U1436,B,3,3-CC,H,CC,A,14,21,11.94,12.01,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
,350,U1436,B,4,4-1,H,1,A,0,12,12.1,12.22,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
,350,U1436,B,4,4-1,H,1,A,12,68,12.22,12.78,I,,,,"clast-supported, polymictic",lapilli [2014],,"clast-supported, polymictic lapilli","clast-supported, polymictic lapilli",lapilli,,dark gray,,granule [W22_2],8,pebble [W22_2],9,,,,,,,non-graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
,350,U1436,B,4,4-1,H,1,A,68,77,12.78,12.87,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
,350,U1436,B,4,4-1,H,1,A,77,81,12.87,12.91,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,black,,medium sand [W22_2],5,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,75
,350,U1436,B,4,4-1,H,1,A,81,127,12.91,13.37,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76
,350,U1436,B,4,4-1,H,1,A,127,130,13.37,13.4,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,gray,,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,77
,350,U1436,B,4,4-1,H,1,A,130,150,13.4,13.6,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
