Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
354-U1451A-2H-1-A,0,117,6.5,7.67,,silty [Leg339],clay [Leg210],with nannofossils [2014],silty clay,silty clay with nannofossils,clay with nannofossils,,greenish gray,sharp irregular,sub-horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],H,,mottling [BJ80],,,,,,,,354,U1451,A,2,H,1,A,,,,10
354-U1451A-2H-1-A,0,117,6.5,7.67,,,,,,,,,,,,,,,,,burrows,,,,,,,,354,U1451,A,2,H,1,A,,,,11
354-U1451A-2H-1-A,117,143,7.67,7.93,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light brown,sharp irregular,inclined,,,,H,,mottling [BJ80],,,,,,,,354,U1451,A,2,H,1,A,,,,12
354-U1451A-2H-1-A,143,150,7.93,8,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,,,,,,H,,mottling [BJ80],,,,,,,,354,U1451,A,2,H,1,A,,,,13
354-U1451A-2H-1-A,143,150,7.93,8,,,,,,,,,,,,,,,,,burrows,,,,,,,,354,U1451,A,2,H,1,A,,,,14
354-U1451A-2H-2-A,0,22,8,8.22,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,bioturbated,sub-horizontal,thick bed [B01],clay [Leg210],very thin bed [B01],H,,mottling [BJ80],,,,,,,,354,U1451,A,2,H,2,A,,,,15
354-U1451A-2H-2-A,22,128,8.22,9.28,,silty [Leg339],clay [Leg210],with nannofossils [2014],silty clay,silty clay with nannofossils,clay with nannofossils,,greenish gray,sharp irregular,sub-horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],H,,mottling [BJ80],,,,,,,,354,U1451,A,2,H,2,A,,,,16
354-U1451A-2H-2-A,128,150,9.28,9.5,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,H,,mottling [BJ80],,,,,,,,354,U1451,A,2,H,2,A,,,,17
354-U1451A-2H-3-A,0,20,9.5,9.7,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,A,2,H,3,A,,,,18
354-U1451A-2H-3-A,20,106,9.7,10.56,,nannofossil rich,calcareous clay [Leg210],with radiolarians [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with radiolarians,calcareous clay with radiolarians,,greenish gray,sharp planar,horizontal,medium bed [B01],clay [Leg210],lamina [M&W53],H,,mottling [BJ80],,,,,,,,354,U1451,A,2,H,3,A,,,,19
354-U1451A-2H-3-A,106,120,10.56,10.7,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light brown,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,A,2,H,3,A,,,,20
354-U1451A-2H-3-A,120,150,10.7,11,,nannofossil rich,calcareous clay [Leg210],with radiolarians [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with radiolarians,calcareous clay with radiolarians,,greenish gray,,,,,,H,,mottling [BJ80],,,,,,,,354,U1451,A,2,H,3,A,,,,21
354-U1451A-2H-4-A,0,150,11,12.5,,nannofossil rich,calcareous clay [Leg210],with radiolarians [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with radiolarians,calcareous clay with radiolarians,,greenish gray,,,medium bed [B01],clay [Leg210],lamina [M&W53],H,,mottling [BJ80],,,,,,,,354,U1451,A,2,H,4,A,,,,22
354-U1451A-2H-5-A,0,111,12.5,13.61,,nannofossil rich,calcareous clay [Leg210],with radiolarians [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with radiolarians,calcareous clay with radiolarians,,greenish gray,sharp planar,sub-horizontal,medium bed [B01],clay [Leg210],lamina [M&W53],H,,mottling [BJ80],,,,,,,,354,U1451,A,2,H,5,A,,,,23
354-U1451A-2H-5-A,111,150,13.61,14,,silty [Leg339],clay [Leg210],with nannofossils [2014],silty clay,silty clay with nannofossils,clay with nannofossils,,gray,,,thin bed [B01],silt [Leg210],very thin bed [B01],T,,,,,,,,,,354,U1451,A,2,H,5,A,,,,24
354-U1451A-2H-6-A,0,131,14,15.31,,silty [Leg339],clay [Leg210],with nannofossils [2014],silty clay,silty clay with nannofossils,clay with nannofossils,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],T,,,,,,,,,,354,U1451,A,2,H,6,A,,,,25
354-U1451A-2H-7-A,0,83,15.31,16.14,,silty [Leg339],clay [Leg210],with nannofossils [2014],silty clay,silty clay with nannofossils,clay with nannofossils,,gray,,,thin bed [B01],silt [Leg210],very thin bed [B01],T,,,,,,,,,,354,U1451,A,2,H,7,A,,,,26
354-U1451A-2H-CC-A,0,25,16.14,16.39,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,gray,,,thin bed [B01],clay [Leg210],very thin bed [B01],T,,,,,,,,,,354,U1451,A,2,H,CC,A,,,,27
354-U1451A-3H-1-A,0,150,16,17.5,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,thick bed [B01],clay [Leg210],thin bed [B01],T,,,,,,,,,,354,U1451,A,3,H,1,A,,,,28
354-U1451A-3H-2-A,0,150,17.5,19,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,,,,T,,,,,,inflow of clay (coring disturbance),,,,354,U1451,A,3,H,2,A,,,,29
354-U1451A-3H-3-A,0,150,19,20.5,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,,,,T,,,,,,inflow of clay (coring disturbance),,,,354,U1451,A,3,H,3,A,,,,30
354-U1451A-3H-4-A,0,113,20.5,21.63,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,,,,T,,,,,,inflow of clay (coring disturbance),,,,354,U1451,A,3,H,4,A,,,,31
354-U1451A-3H-5-A,0,103,21.63,22.66,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,,,,T,,,,,,inflow of clay (coring disturbance),,,,354,U1451,A,3,H,5,A,,,,32
354-U1451A-3H-6-A,0,84,22.66,23.5,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,,,,T,,,,,,inflow of clay (coring disturbance),,,,354,U1451,A,3,H,6,A,,,,33
354-U1451A-4H-1-A,0,53,24,24.53,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,mud clast,,,,,,,,354,U1451,A,4,H,1,A,,,,34
354-U1451A-4H-1-A,53,69,24.53,24.69,,,clay [Leg210],with plant fragments [2014],clay,clay with plant fragments,clay with plant fragments,,dark gray,sharp planar,sub-horizontal,,,,,,mottling [BJ80],,,,,,,,354,U1451,A,4,H,1,A,,,,35
354-U1451A-4H-1-A,69,103,24.69,25.03,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1451,A,4,H,1,A,,,,36
354-U1451A-4H-1-A,103,110,25.03,25.1,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1451,A,4,H,1,A,,,,37
354-U1451A-4H-1-A,110,123,25.1,25.23,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,dark gray,sharp planar,horizontal,,,,T,,normally graded,,,,,,,,354,U1451,A,4,H,1,A,,,,38
354-U1451A-4H-1-A,123,130,25.23,25.3,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,dark gray,sharp irregular,horizontal,,,,,,,,,,,,,,354,U1451,A,4,H,1,A,,,,39
354-U1451A-4H-1-A,130,140,25.3,25.4,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,dark gray,gradational,sub-horizontal,,,,,,mud clast,,,,,,,,354,U1451,A,4,H,1,A,,,,40
354-U1451A-4H-1-A,140,150,25.4,25.5,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,4,H,1,A,,,,41
354-U1451A-4H-2-A,0,21,25.5,25.71,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1451,A,4,H,2,A,,,,42
354-U1451A-4H-2-A,21,27,25.71,25.77,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,horizontal,,,,,,,,,,,,,,354,U1451,A,4,H,2,A,,,,43
354-U1451A-4H-2-A,27,42,25.77,25.92,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,gradational,horizontal,,,,T,,,,,,,,,,354,U1451,A,4,H,2,A,,,,44
354-U1451A-4H-2-A,42,54,25.92,26.04,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,gradational,horizontal,,,,T,,,,,,,,,,354,U1451,A,4,H,2,A,,,,45
354-U1451A-4H-2-A,54,150,26.04,27,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,T,,normally graded,single interval of fining upward from fine sand to silty fine sand,,,,,,,354,U1451,A,4,H,2,A,,,,46
354-U1451A-4H-3-A,0,44,27,27.44,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1451,A,4,H,3,A,,,,47
354-U1451A-4H-3-A,44,61,27.44,27.61,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,,,,,,T,,normally graded,,,,,,,,354,U1451,A,4,H,3,A,,,,48
354-U1451A-4H-4-A,0,115,27.66,28.81,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,4,H,4,A,,,,49
354-U1451A-5H-1-A,0,49,28.9,29.39,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1451,A,5,H,1,A,,,,50
354-U1451A-5H-1-A,51,66,29.41,29.56,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp irregular,horizontal,very thick bed [B01],silt [Leg210],lamina [M&W53],T,,color banding,,,,,,,,354,U1451,A,5,H,1,A,,,,51
354-U1451A-5H-1-A,66,71,29.56,29.61,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1451,A,5,H,1,A,,,,52
354-U1451A-5H-1-A,71,83,29.61,29.73,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,dark gray,gradational,,,,,,,,,,,,,,,354,U1451,A,5,H,1,A,,,,53
354-U1451A-5H-1-A,83,99,29.73,29.89,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp irregular,sub-horizontal,,,,T,,,,,,,,,,354,U1451,A,5,H,1,A,,,,54
354-U1451A-5H-1-A,99,101,29.89,29.91,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1451,A,5,H,1,A,,,,55
354-U1451A-5H-1-A,101,116,29.91,30.06,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1451,A,5,H,1,A,,,,56
354-U1451A-5H-1-A,116,121,30.06,30.11,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],T,,color banding,,,,,,,,354,U1451,A,5,H,1,A,,,,57
354-U1451A-5H-1-A,121,137,30.11,30.27,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,,,,,,color banding,,,,,,,,354,U1451,A,5,H,1,A,,,,58
354-U1451A-5H-1-A,137,150,30.27,30.4,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,dark gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1451,A,5,H,1,A,,,,59
354-U1451A-5H-2-A,0,24,30.4,30.64,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,T,,normally graded,,,,,,,,354,U1451,A,5,H,2,A,,,,60
354-U1451A-5H-2-A,24,55,30.64,30.95,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,,,,,354,U1451,A,5,H,2,A,,,,61
354-U1451A-5H-2-A,55,79,30.95,31.19,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1451,A,5,H,2,A,,,,62
354-U1451A-5H-2-A,79,91,31.19,31.31,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,,,,,354,U1451,A,5,H,2,A,,,,63
354-U1451A-5H-2-A,91,97,31.31,31.37,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1451,A,5,H,2,A,,,,64
354-U1451A-5H-2-A,97,150,31.37,31.9,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,5,H,2,A,,,,65
354-U1451A-5H-3-A,0,15,31.9,32.05,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1451,A,5,H,3,A,,,,66
354-U1451A-5H-3-A,15,75,32.05,32.65,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp planar,sub-horizontal,,,,,,mud clast,,,,,,,,354,U1451,A,5,H,3,A,,,,67
354-U1451A-5H-3-A,75,102,32.65,32.92,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,silty clasts and erratic layers from drilling,,,,354,U1451,A,5,H,3,A,,,,68
354-U1451A-5H-3-A,102,137,32.92,33.27,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,5,H,3,A,,,,69
354-U1451A-5H-3-A,137,146,33.27,33.36,,,clay [Leg210],,clay,clay,clay,,dark gray,,,,silt [Leg210],very thin bed [B01],T,,,,,,,,,,354,U1451,A,5,H,3,A,,,,70
354-U1451A-5H-4-A,0,33,33.4,33.73,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp irregular,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,,354,U1451,A,5,H,4,A,,,,71
354-U1451A-5H-4-A,33,73,33.73,34.13,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,mud clast,,,,,,,,354,U1451,A,5,H,4,A,,,,72
354-U1451A-5H-4-A,73,123,34.13,34.63,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,5,H,4,A,,,,73
354-U1451A-6H-1-A,0,21,34.7,34.91,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1451,A,6,H,1,A,,,,74
354-U1451A-6H-1-A,21,44,34.91,35.14,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp irregular,sub-horizontal,,,,,,mottling [BJ80],,,,,,,,354,U1451,A,6,H,1,A,,,,75
354-U1451A-6H-1-A,44,67,35.14,35.37,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,mottling [BJ80],,,,,,,,354,U1451,A,6,H,1,A,,,,76
354-U1451A-6H-1-A,67,77,35.37,35.47,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,sub-horizontal,,,,,,,,,,,,,,354,U1451,A,6,H,1,A,,,,77
354-U1451A-6H-1-A,77,105,35.47,35.75,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,gradational,horizontal,,,,,,,,,,,,,,354,U1451,A,6,H,1,A,,,,78
354-U1451A-6H-1-A,105,150,35.75,36.2,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,6,H,1,A,,,,79
354-U1451A-6H-2-A,0,50,36.2,36.7,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1451,A,6,H,2,A,,,,80
354-U1451A-6H-2-A,50,73,36.7,36.93,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,horizontal,,,,T,,,,,,,,,,354,U1451,A,6,H,2,A,,,,81
354-U1451A-6H-2-A,73,85,36.93,37.05,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1451,A,6,H,2,A,,,,82
354-U1451A-6H-2-A,85,99,37.05,37.19,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,horizontal,,,,,,,,,,,,,,354,U1451,A,6,H,2,A,,,,83
354-U1451A-6H-2-A,99,108,37.19,37.28,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,gradational,sub-horizontal,,,,,,,,,,,,,,354,U1451,A,6,H,2,A,,,,84
354-U1451A-6H-2-A,108,111,37.28,37.31,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1451,A,6,H,2,A,,,,85
354-U1451A-6H-2-A,111,136,37.31,37.56,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp irregular,sub-horizontal,,silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1451,A,6,H,2,A,,,,86
354-U1451A-6H-2-A,136,150,37.56,37.7,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,6,H,2,A,,,,87
354-U1451A-6H-3-A,0,66,37.7,38.36,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,6,H,3,A,,,,88
354-U1451A-6H-4-A,0,127,38.36,39.63,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,6,H,4,A,,,,89
354-U1451A-7H-1-A,0,42,39.7,40.12,,,sand [Leg210],with mica,sand,sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1451,A,7,H,1,A,,,,90
354-U1451A-7H-1-A,42,67,40.12,40.37,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,mottling [BJ80],,,,,,,,354,U1451,A,7,H,1,A,,,,91
354-U1451A-7H-1-A,67,125,40.37,40.95,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,mottling [BJ80],,,,,,,,354,U1451,A,7,H,1,A,,,,92
354-U1451A-7H-1-A,125,150,40.95,41.2,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,7,H,1,A,,,,93
354-U1451A-7H-2-A,0,24,41.2,41.44,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1451,A,7,H,2,A,,,,94
354-U1451A-7H-2-A,24,45,41.44,41.65,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,dark gray,gradational,horizontal,,,,,,,,,,,,,,354,U1451,A,7,H,2,A,,,,95
354-U1451A-7H-2-A,45,58,41.65,41.78,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1451,A,7,H,2,A,,,,96
354-U1451A-7H-2-A,58,150,41.78,42.7,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1451,A,7,H,2,A,,,,97
354-U1451A-7H-3-A,0,18,42.7,42.88,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1451,A,7,H,3,A,,,,98
354-U1451A-7H-3-A,18,26,42.88,42.96,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,,,,,,,,,,,,,,354,U1451,A,7,H,3,A,,,,99
354-U1451A-7H-3-A,26,140,42.96,44.1,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,7,H,3,A,,,,100
354-U1451A-7H-3-A,140,150,44.1,44.2,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,7,H,3,A,,,,101
354-U1451A-7H-4-A,0,130,44.2,45.5,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,7,H,4,A,,,,102
354-U1451A-7H-5-A,0,56,45.5,46.06,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,7,H,5,A,,,,103
354-U1451A-7H-CC-A,0,18,46.06,46.24,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1451,A,7,H,CC,A,,,,104
354-U1451A-8H-1-A,0,18,46.3,46.48,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp irregular,,,,,,,,,,,,,,,354,U1451,A,8,H,1,A,,,,105
354-U1451A-8H-1-A,18,51,46.48,46.81,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1451,A,8,H,1,A,,,,106
354-U1451A-8H-1-A,51,69,46.81,46.99,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1451,A,8,H,1,A,,,,107
354-U1451A-8H-1-A,69,80,46.99,47.1,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,,,,,,,,,,,,,,,354,U1451,A,8,H,1,A,,,,108
