Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
366-U1496C-11R-4-A,0,20,97.32,97.52,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 8/10BG (light greenish gray),,unconsolidated,clay,1,clay,1,,poor,,,,,3,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,11,R,4,A,,,
366-U1496C-11R-5-A,0,20,97.52,97.72,,,,,,,,serpentinite,mud,,serpentinite mud,GLEY 2 8/10BG (light greenish gray),,unconsolidated,clay,1,clay,1,,poor,,,,,,,10,,10,,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,11,R,5,A,,,
366-U1496C-11R-5-A,20,150,97.72,99.02,,,,,,,,,,,,,,,,,,,"ZHAN, ISHI, EICK, MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,C,11,R,5,A,,,
366-U1496C-11R-6-A,0,49,99.02,99.51,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 8/10BG (light greenish gray),,unconsolidated,clay,1,clay,1,,poor,,,,,2,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,11,R,6,A,,,
366-U1496C-11R-CC-A,0,15,99.51,99.66,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 8/10BG (light greenish gray),,unconsolidated,clay,1,clay,1,,poor,,,,,2,pebble,10,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,11,R,CC,A,,,
366-U1496C-12G-1-W,0,59,98.8,99.39,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 1 7/5G (light greenish grey),,,,,,,fall in,,,,,ultramafic rock,5,coarse sand,6,granule,8,subangular,,,,,,,,,serpentine clay matrix,,,probably with drilling mud,,,,366,U1496,C,12,G,1,W,,,
366-U1496C-12G-2-W,0,80,99.39,100.19,,,,,,,,serpentinite,breccia,,serpentinite breccia,GLEY 2 4/5B (dark bluish gray),,,,,,,fall in,poor,normally graded,,,ultramafic rock,70,very coarse sand,7,granule,8,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,12,G,2,W,,,
366-U1496C-12G-3-W,0,98,100.19,101.17,,,,,,,,serpentinite,breccia,,serpentinite breccia,GLEY 2 4/5B (dark bluish gray),,,,,,,fall in,poor,normally graded,,,ultramafic rock,80,granule,8,pebble,9,subangular,,,,,,,,,,,,,,,,366,U1496,C,12,G,3,W,,,
366-U1496C-12G-3-W,98,116,101.17,101.35,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 7/5B (light bluish gray),,,,,,,sucked in,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,12,G,3,W,,,
366-U1496C-12G-3-W,116,130,101.35,101.49,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,C,12,G,3,W,,,
366-U1496C-12G-4-W,0,55,101.49,102.04,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 7/5B (light bluish gray),,,,,,,sucked in,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,12,G,4,W,,,
366-U1496C-12G-CC-W,0,11,102.04,102.15,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 7/5B (light bluish gray),,,,,,,sucked in,poor,,,,ultramafic rock,10,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,12,G,CC,W,,,
366-U1496C-13G-1-A,0,90,102.5,103.4,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 7/5B (light bluish gray),,,,,,,,poor,,,,ultramafic rock,2,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,13,G,1,A,,,
366-U1496C-13G-2-A,0,100,103.4,104.4,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 7/5B (light bluish gray),,,,,,,,poor,,,,ultramafic rock,3,granule,8,pebble,9,subangular,,,,,,,,one pebble-sized white carbonate clast is observed in 35cm,serpentine clay matrix,,,,,,,366,U1496,C,13,G,2,A,,,
366-U1496C-13G-3-A,0,145,104.4,105.85,,,,,,,,,,,,,,,,,,,VOID,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,C,13,G,3,A,,,
366-U1496C-13G-4-A,0,64,105.85,106.49,,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 7/5B (light bluish gray),,,,,,,,poor,,,,ultramafic rock,2,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,C,13,G,4,A,,,
366-U1496C-13G-4-A,64,70,106.49,106.55,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,C,13,G,4,A,,,
