Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,row_index
329-U1370F-2H-2-A,329,U1370,F,2,2-2,H,2,A,0,150,8.2,9.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,10
329-U1370F-2H-3-A,329,U1370,F,2,2-3,H,3,A,90,150,10.6,11.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,11
329-U1370F-2H-4-A,329,U1370,F,2,2-4,H,4,A,0,150,11.2,12.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,12
329-U1370F-2H-5-A,329,U1370,F,2,2-5,H,5,A,30,124,13,13.94,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,13
329-U1370F-2H-CC-A,329,U1370,F,2,2-CC,H,CC,A,0,18,13.94,14.12,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,14
329-U1370F-3H-1-A,329,U1370,F,3,3-1,H,1,A,0,150,16.2,17.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,15
329-U1370F-3H-2-A,329,U1370,F,3,3-2,H,2,A,80,150,18.5,19.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,16
329-U1370F-3H-3-A,329,U1370,F,3,3-3,H,3,A,0,150,19.2,20.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,17
329-U1370F-3H-4-A,329,U1370,F,3,3-4,H,4,A,0,150,20.7,22.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,18
329-U1370F-3H-5-A,329,U1370,F,3,3-5,H,5,A,40,120,22.6,23.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,19
329-U1370F-3H-6-A,329,U1370,F,3,3-6,H,6,A,0,39,23.4,23.79,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,20
329-U1370F-3H-CC-A,329,U1370,F,3,3-CC,H,CC,A,0,15,23.79,23.94,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,21
329-U1370F-4H-1-A,329,U1370,F,4,4-1,H,1,A,0,150,25.7,27.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,22
329-U1370F-4H-2-A,329,U1370,F,4,4-2,H,2,A,0,150,27.2,28.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,23
329-U1370F-4H-3-A,329,U1370,F,4,4-3,H,3,A,0,150,28.7,30.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,24
329-U1370F-4H-4-A,329,U1370,F,4,4-4,H,4,A,0,150,30.2,31.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,25
329-U1370F-4H-5-A,329,U1370,F,4,4-5,H,5,A,0,133,31.7,33.03,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,26
329-U1370F-4H-6-A,329,U1370,F,4,4-6,H,6,A,0,50,33.03,33.53,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,27
329-U1370F-4H-CC-A,329,U1370,F,4,4-CC,H,CC,A,0,15,33.53,33.68,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,28
329-U1370F-5H-1-A,329,U1370,F,5,5-1,H,1,A,0,150,35.2,36.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,29
329-U1370F-5H-2-A,329,U1370,F,5,5-2,H,2,A,90,150,37.6,38.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,30
329-U1370F-5H-3-A,329,U1370,F,5,5-3,H,3,A,0,140,38.2,39.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,31
329-U1370F-5H-4-A,329,U1370,F,5,5-4,H,4,A,0,140,39.7,41.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,32
329-U1370F-5H-5-A,329,U1370,F,5,5-5,H,5,A,0,20,41.2,41.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,33
329-U1370F-5H-5-A,329,U1370,F,5,5-5,H,5,A,60,140,41.8,42.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,34
329-U1370F-5H-6-A,329,U1370,F,5,5-6,H,6,A,0,133,42.7,44.03,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,35
329-U1370F-5H-CC-A,329,U1370,F,5,5-CC,H,CC,A,0,16,44.03,44.19,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,36
329-U1370F-6H-1-A,329,U1370,F,6,6-1,H,1,A,0,150,44.7,46.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,37
329-U1370F-6H-2-A,329,U1370,F,6,6-2,H,2,A,0,140,46.2,47.6,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,38
329-U1370F-6H-3-A,329,U1370,F,6,6-3,H,3,A,80,140,48.5,49.1,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,39
329-U1370F-6H-4-A,329,U1370,F,6,6-4,H,4,A,0,140,49.2,50.6,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,40
329-U1370F-6H-5-A,329,U1370,F,6,6-5,H,5,A,30,140,51,52.1,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,41
329-U1370F-6H-6-A,329,U1370,F,6,6-6,H,6,A,0,146,52.2,53.66,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,42
329-U1370F-6H-CC-A,329,U1370,F,6,6-CC,H,CC,A,0,24,53.66,53.9,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,43
329-U1370F-7H-1-A,329,U1370,F,7,7-1,H,1,A,0,140,54.2,55.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,44
329-U1370F-7H-2-A,329,U1370,F,7,7-2,H,2,A,70,80,56.4,56.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,45
329-U1370F-7H-3-A,329,U1370,F,7,7-3,H,3,A,40,140,57.6,58.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,46
329-U1370F-7H-4-A,329,U1370,F,7,7-4,H,4,A,70,130,59.4,60,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,47
329-U1370F-7H-5-A,329,U1370,F,7,7-5,H,5,A,70,120,60.9,61.4,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,48
329-U1370F-7H-5-A,329,U1370,F,7,7-5,H,5,A,130,140,61.5,61.6,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,49
329-U1370F-7H-6-A,329,U1370,F,7,7-6,H,6,A,130,140,63,63.1,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,50
329-U1370F-7H-7-A,329,U1370,F,7,7-7,H,7,A,0,65,63.2,63.85,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,51
329-U1370F-7H-CC-A,329,U1370,F,7,7-CC,H,CC,A,0,23,63.85,64.08,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,52
329-U1370F-8H-1-A,329,U1370,F,8,8-1,H,1,A,50,60,64.2,64.3,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,53
329-U1370F-8H-1-A,329,U1370,F,8,8-1,H,1,A,90,136,64.6,65.06,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,54
329-U1370F-8H-2-A,329,U1370,F,8,8-2,H,2,A,0,94,65.06,66,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,55
329-U1370F-8H-3-A,329,U1370,F,8,8-3,H,3,A,0,101,66,67.01,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,56
329-U1370F-8H-4-A,329,U1370,F,8,8-4,H,4,A,0,150,67.01,68.51,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,57
329-U1370F-8H-5-A,329,U1370,F,8,8-5,H,5,A,0,150,68.51,70.01,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,58
329-U1370F-8H-6-A,329,U1370,F,8,8-6,H,6,A,0,140,70.01,71.41,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,59
329-U1370F-8H-7-A,329,U1370,F,8,8-7,H,7,A,0,51,71.41,71.92,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,60
329-U1370F-8H-CC-A,329,U1370,F,8,8-CC,H,CC,A,0,16,71.92,72.08,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,61
,,,,,,,,,,,,,,,,,,,,,,,,,,62
