Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOXCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
323-U1345D-4H-5-A,323,U1345,D,4,4-5,H,5,A,139,150,35.89,36,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-4H-6-A,323,U1345,D,4,4-6,H,6,A,0,55,36,36.55,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-4H-6-A,323,U1345,D,4,4-6,H,6,A,55,65,36.55,36.65,silt [S54],,,silt,70,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-4H-6-A,323,U1345,D,4,4-6,H,6,A,55,65,36.55,36.65,silty clay [S54],"Shepard, 1954",authigenic carbonate- bearing diatom-rich,authigenic carbonate- bearing diatom-rich silty clay,30,soft,4/N,,,,,forams visible along laminations,,,,,,,,,,,
323-U1345D-4H-6-A,323,U1345,D,4,4-6,H,6,A,65,150,36.65,37.5,silt [S54],,,silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-4H-7-A,323,U1345,D,4,4-7,H,7,A,0,14,37.5,37.64,silt [S54],,,silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-4H-7-A,323,U1345,D,4,4-7,H,7,A,14,56,37.64,38.06,silt [S54],,,silt,50,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-4H-7-A,323,U1345,D,4,4-7,H,7,A,14,56,37.64,38.06,silty clay [S54],"Shepard, 1954",authigenic carbonate- bearing diatom-rich,authigenic carbonate- bearing diatom-rich silty clay,50,soft,4/N,,,,,forams visible along laminations,,,,,,,,,,,
323-U1345D-4H-7-A,323,U1345,D,4,4-7,H,7,A,56,83,38.06,38.33,silt [S54],,,silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-4H-7-A,323,U1345,D,4,4-7,H,7,A,83,87,38.33,38.37,silt [S54],,,silt,50,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-4H-7-A,323,U1345,D,4,4-7,H,7,A,83,87,38.33,38.37,silty clay [S54],"Shepard, 1954",authigenic carbonate- bearing diatom-rich,authigenic carbonate- bearing diatom-rich silty clay,50,soft,4/N,,,,,forams visible along laminations,,,,,,,,,,,
323-U1345D-4H-CC-A,323,U1345,D,4,4-CC,H,CC,A,0,31,38.37,38.68,silt [S54],,,silt,50,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-4H-CC-A,323,U1345,D,4,4-CC,H,CC,A,0,31,38.37,38.68,silty clay [S54],"Shepard, 1954",authigenic carbonate- bearing diatom-rich,authigenic carbonate- bearing diatom-rich silty clay,50,soft,4/N,,,,,forams visible along laminations,,,,,,,,,,,
323-U1345D-5H-1-A,323,U1345,D,5,5-1,H,1,A,0,14,38,38.14,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-5H-1-A,323,U1345,D,5,5-1,H,1,A,14,39,38.14,38.39,clay [S54] ,,,clay,100,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-5H-2-A,323,U1345,D,5,5-2,H,2,A,0,2,38.39,38.41,clay [S54] ,,,clay,100,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-5H-2-A,323,U1345,D,5,5-2,H,2,A,2,5,38.41,38.44,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-5H-2-A,323,U1345,D,5,5-2,H,2,A,5,67,38.44,39.06,clay [S54] ,,,clay,100,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-5H-2-A,323,U1345,D,5,5-2,H,2,A,67,106,39.06,39.45,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,laminated with 5Y 3/2 5Y 4/2,,,,,,,,,,,
323-U1345D-5H-2-A,323,U1345,D,5,5-2,H,2,A,106,150,39.45,39.89,clay [S54] ,,,clay,100,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-5H-3-A,323,U1345,D,5,5-3,H,3,A,0,4,39.89,39.93,clay [S54] ,,,clay,100,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-5H-3-A,323,U1345,D,5,5-3,H,3,A,4,10,39.93,39.99,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-5H-3-A,323,U1345,D,5,5-3,H,3,A,10,150,39.99,41.39,clay [S54] ,,,clay,100,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-5H-4-A,323,U1345,D,5,5-4,H,4,A,0,150,41.39,42.89,clay [S54] ,,,clay,100,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-5H-5-A,323,U1345,D,5,5-5,H,5,A,0,150,42.89,44.39,clay [S54] ,,,clay,100,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-5H-6-A,323,U1345,D,5,5-6,H,6,A,0,105,44.39,45.44,clay [S54] ,,,clay,100,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-5H-6-A,323,U1345,D,5,5-6,H,6,A,105,144,45.44,45.83,sandy silt [S54],"Shepard, 1954",,sandy silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-5H-6-A,323,U1345,D,5,5-6,H,6,A,144,150,45.83,45.89,clay [S54] ,,,clay,100,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-5H-7-A,323,U1345,D,5,5-7,H,7,A,0,131,45.89,47.2,clay [S54] ,,,clay,100,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-5H-CC-A,323,U1345,D,5,5-CC,H,CC,A,0,24,47.2,47.44,clay [S54] ,,,clay,100,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-6H-1-A,323,U1345,D,6,6-1,H,1,A,0,20,47.5,47.7,silty sand [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty sand,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-6H-1-A,323,U1345,D,6,6-1,H,1,A,20,70,47.7,48.2,silt [S54],,diatom-rich,diatom-rich silt,50,soft,5GY 2.5/N,,,,,,,,,,,,,,,,
323-U1345D-6H-1-A,323,U1345,D,6,6-1,H,1,A,20,70,47.7,48.2,silty sand [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty sand,50,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-6H-1-A,323,U1345,D,6,6-1,H,1,A,70,150,48.2,49,silt [S54],,diatom-rich,diatom-rich silt,100,soft,5GY 2.5/N,,,,,,,,,,,,,,,,
323-U1345D-6H-2-A,323,U1345,D,6,6-2,H,2,A,0,85,49,49.85,silt [S54],,diatom-rich,diatom-rich silt,100,soft,5GY 2.5/N,,,,,,,,,,,,,,,,
323-U1345D-6H-2-A,323,U1345,D,6,6-2,H,2,A,85,96,49.85,49.96,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,50,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-6H-2-A,323,U1345,D,6,6-2,H,2,A,85,96,49.85,49.96,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,50,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-6H-2-A,323,U1345,D,6,6-2,H,2,A,96,150,49.96,50.5,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5GY 3/1,,,,,,,,,,,,,,,,
323-U1345D-6H-3-A,323,U1345,D,6,6-3,H,3,A,0,40,50.5,50.9,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5GY 3/1,,,,,,,,,,,,,,,,
323-U1345D-6H-3-A,323,U1345,D,6,6-3,H,3,A,40,48,50.9,50.98,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,40,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-6H-3-A,323,U1345,D,6,6-3,H,3,A,40,48,50.9,50.98,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,60,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-6H-3-A,323,U1345,D,6,6-3,H,3,A,48,150,50.98,52,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5GY 3/1,,,,,,,,,,,,,,,,
323-U1345D-6H-4-A,323,U1345,D,6,6-4,H,4,A,0,26,52,52.26,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5GY 3/1,,,,,,,,,,,,,,,,
323-U1345D-6H-4-A,323,U1345,D,6,6-4,H,4,A,26,33,52.26,52.33,silty clay [S54],"Shepard, 1954",authigenic carbonate diatom-bearing,authigenic carbonate diatom-bearing silty clay,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-6H-4-A,323,U1345,D,6,6-4,H,4,A,33,128,52.33,53.28,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5GY 3/1,,,,,,,,,,,,,,,,
323-U1345D-6H-4-A,323,U1345,D,6,6-4,H,4,A,128,150,53.28,53.5,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,50,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-6H-4-A,323,U1345,D,6,6-4,H,4,A,128,150,53.28,53.5,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,50,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-6H-5-A,323,U1345,D,6,6-5,H,5,A,0,43,53.5,53.93,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,50,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-6H-5-A,323,U1345,D,6,6-5,H,5,A,0,43,53.5,53.93,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,50,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-6H-5-A,323,U1345,D,6,6-5,H,5,A,43,144,53.93,54.94,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5GY 3/1,,,,,,,,,,,,,,,,
323-U1345D-6H-6-A,323,U1345,D,6,6-6,H,6,A,0,80,54.94,55.74,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5GY 3/1,,,,,,,,,,,,,,,,
323-U1345D-6H-6-A,323,U1345,D,6,6-6,H,6,A,80,126,55.74,56.2,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100,soft,5GY 3/1,,,,,,,,,,,,,,,,
323-U1345D-6H-6-A,323,U1345,D,6,6-6,H,6,A,126,143,56.2,56.37,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-6H-CC-A,323,U1345,D,6,6-CC,H,CC,A,0,35,56.37,56.72,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-7H-1-A,323,U1345,D,7,7-1,H,1,A,0,52,57,57.52,diatom silty clay,Leg 323,foraminifer-bearing,foraminifer-bearing diatom silty clay,100,soft,10Y 5/1,,,,,,,,,,,,,,,,
323-U1345D-7H-2-A,323,U1345,D,7,7-2,H,2,A,0,100,57.52,58.52,diatom silty clay,Leg 323,foraminifer-bearing,foraminifer-bearing diatom silty clay,100,soft,10Y 5/1,,,,,,,,,,,,,,,,
323-U1345D-7H-2-A,323,U1345,D,7,7-2,H,2,A,100,150,58.52,59.02,sand [S54],,,sand,100,soft,10Y 5/1,,,,,,,,,,,,,,,,
323-U1345D-7H-3-A,323,U1345,D,7,7-3,H,3,A,0,20,59.02,59.22,sand [S54],,,sand,100,soft,10Y 5/1,,,,,,,,,,,,,,,,
323-U1345D-7H-3-A,323,U1345,D,7,7-3,H,3,A,20,150,59.22,60.52,diatom silty clay,Leg 323,foraminifer-bearing,foraminifer-bearing diatom silty clay,100,soft,10Y 5/1,,,,,,,,,,,,,,,,
323-U1345D-7H-4-A,323,U1345,D,7,7-4,H,4,A,0,152,60.52,62.04,diatom silty clay,Leg 323,foraminifer-bearing,foraminifer-bearing diatom silty clay,100,soft,10Y 5/1,,,,,,,,,,,,,,,,
323-U1345D-7H-5-A,323,U1345,D,7,7-5,H,5,A,0,0.0141999995708466,62.04,62.04,diatom silty clay,Leg 323,foraminifer-bearing,foraminifer-bearing diatom silty clay,100,soft,10Y 5/1,,,,,,,,,,,,,,,,
323-U1345D-7H-5-A,323,U1345,D,7,7-5,H,5,A,0,142,62.04,63.46,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-7H-6-A,323,U1345,D,7,7-6,H,6,A,0,50,63.46,63.96,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-7H-6-A,323,U1345,D,7,7-6,H,6,A,50,102,63.96,64.48,silt [S54],,,silt,100,soft,10Y 5/1,,,,,,,,,,,,,,,,
323-U1345D-7H-6-A,323,U1345,D,7,7-6,H,6,A,102,127,64.48,64.73,sand [S54],,,sand,100,soft,10Y 5/1,,,,,,,,,,,,,,,,
323-U1345D-7H-6-A,323,U1345,D,7,7-6,H,6,A,102,144,64.48,64.9,silt [S54],,,silt,100,soft,10Y 5/1,,,,,,,,,,,,,,,,
323-U1345D-7H-7-A,323,U1345,D,7,7-7,H,7,A,0,88,64.9,65.78,silt [S54],,,silt,100,soft,10Y 5/1,,,,,,,,,,,,,,,,
323-U1345D-7H-CC-A,323,U1345,D,7,7-CC,H,CC,A,0,50,65.78,66.28,silt [S54],,,silt,100,soft,10Y 5/1,,,,,,,,,,,,,,,,
