Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
317-U1353A-3H-2-A,317,U1353,A,3,3-2,H,2,A,,0,140,10.8,12.2,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",v f sandy calcareous mud ,,,,,,11
317-U1353A-3H-3-A,317,U1353,A,3,3-3,H,3,A,,0,15,12.3,12.45,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",v f sandy calcareous mud ,,,,,,12
317-U1353A-3H-3-A,317,U1353,A,3,3-3,H,3,A,,15,120,12.45,13.5,,Very fine-fine sandstone [S54-W22],,Very fine-fine sandstone,,loose,,,"Shepard, 1954; Wentworth, 1922",well sorted v f to f (mostly v f) highly micaceous sand,,,,,,13
317-U1353A-3H-4-A,317,U1353,A,3,3-4,H,4,A,,0,130,13.8,15.1,,Very fine-fine sandstone [S54-W22],,Very fine-fine sandstone,,loose,,,"Shepard, 1954; Wentworth, 1922",well sorted v f to f (mostly v f) highly micaceous sand,,,,,,14
317-U1353A-3H-5-A,317,U1353,A,3,3-5,H,5,A,,0,121,15.3,16.51,,Very fine-fine sandstone [S54-W22],,Very fine-fine sandstone,,loose,,,"Shepard, 1954; Wentworth, 1922",well sorted v f to f (mostly v f) highly micaceous sand,,,,,,15
317-U1353A-3H-6-A,317,U1353,A,3,3-6,H,6,A,,0,143,16.51,17.94,,Very fine-fine sandstone [S54-W22],,Very fine-fine sandstone,,loose,,,"Shepard, 1954; Wentworth, 1922",well sorted v f to f (mostly v f) highly micaceous sand,,,,,,16
317-U1353A-4H-1-A,317,U1353,A,4,4-1,H,1,A,,0,80,18.2,19,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","greenish gray (10Y 5/1) micaceous, calcareous, homogeneous-mottled mud, rare shell fragments and shells are scattered, with burrows of < 1mm dark spot and mud-filled <6mm ones.  shelly patches are included.  ",,,,,,17
317-U1353A-4H-2-A,317,U1353,A,4,4-2,H,2,A,,0,140,19.7,21.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","greenish gray (10Y 5/1) micaceous, calcareous, homogeneous-mottled mud, rare shell fragments and shells are scattered, with burrows of < 1mm dark spot and mud-filled <6mm ones.  shelly patches are included.  ",,,,,,18
317-U1353A-4H-3-A,317,U1353,A,4,4-3,H,3,A,,0,130,21.2,22.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","greenish gray (10Y 5/1) micaceous, calcareous, homogeneous-mottled mud, rare shell fragments and shells are scattered, with burrows of < 1mm dark spot and mud-filled <6mm ones.  shelly patches are included.  ",,,,,,19
317-U1353A-4H-4-A,317,U1353,A,4,4-4,H,4,A,,0,130,22.7,24,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","greenish gray (10Y 5/1) micaceous, calcareous, homogeneous-mottled mud, rare shell fragments and shells are scattered, with burrows of < 1mm dark spot and mud-filled <6mm ones.  shelly patches are included.  ",,,,,,20
317-U1353A-4H-5-A,317,U1353,A,4,4-5,H,5,A,,0,23,24.2,24.43,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","greenish gray (10Y 5/1) micaceous, calcareous, homogeneous-mottled mud, rare shell fragments and shells are scattered, with burrows of < 1mm dark spot and mud-filled <6mm ones.  shelly patches are included.  ",,,,,,21
317-U1353A-4H-5-A,317,U1353,A,4,4-5,H,5,A,,23,130,24.43,25.5,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","dark greenish gray (10Y 4/) v.f. sandy mud, with abundant shell fragments and shells.",,,,,,22
317-U1353A-4H-6-A,317,U1353,A,4,4-6,H,6,A,,0,38,25.7,26.08,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","dark greenish gray (10Y 4/) v.f. sandy mud, with abundant shell fragments and shells.",,,,,,23
317-U1353A-4H-6-A,317,U1353,A,4,4-6,H,6,A,,38,102,26.08,26.72,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision","dark greenish gray (10Y 4/) muddy v.f. sand, with abundant shell fragments and shells (tritella, Tawera).",,,,,,24
317-U1353A-5H-1-A,317,U1353,A,5,5-1,H,1,A,,0,58,26.7,27.28,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision","moderately well sorted, v f to med (lower) mostly f, calcareous sandy mud.",,,,,,25
317-U1353A-5H-2-A,317,U1353,A,5,5-2,H,2,A,,0,120,27.97,29.17,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",well sorted v f to fine (mostly f) micaceous sand,,,,,,26
317-U1353A-5H-3-A,317,U1353,A,5,5-3,H,3,A,,0,97,29.27,30.24,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",well sorted v f to fine (mostly f) micaceous sand,,,,,,27
317-U1353A-5H-4-A,317,U1353,A,5,5-4,H,4,A,,0,117,30.44,31.61,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",well sorted v f to fine (mostly f) micaceous sand,,,,,,28
317-U1353A-5H-5-A,317,U1353,A,5,5-5,H,5,A,,0,102,31.71,32.73,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",well sorted v f to fine (mostly f) micaceous sand,,,,,,29
317-U1353A-5H-6-A,317,U1353,A,5,5-6,H,6,A,,0,80,32.93,33.73,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",well sorted v f to fine (mostly f) micaceous sand,,,,,,30
317-U1353A-5H-CC-A,317,U1353,A,5,5-CC,H,CC,A,,0,37,33.73,34.1,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",well sorted v f to fine (mostly f) micaceous sand,,,,,,31
317-U1353A-6H-1-A,317,U1353,A,6,6-1,H,1,A,,0,80,34.2,35,,Shell hash,,Shell hash,,,,,Leg 150,fining upward sequence,,,,,,32
317-U1353A-6H-2-A,317,U1353,A,6,6-2,H,2,A,,0,140,35.7,37.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,,,33
317-U1353A-6H-3-A,317,U1353,A,6,6-3,H,3,A,,0,130,37.2,38.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,,,34
317-U1353A-6H-4-A,317,U1353,A,6,6-4,H,4,A,,0,130,38.7,40,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,,,35
317-U1353A-6H-5-A,317,U1353,A,6,6-5,H,5,A,,0,77,40.2,40.97,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,,,36
317-U1353A-6H-CC-1-A,317,U1353,A,6,6-CC,H,CC,1,A,0,150,0,1.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,,,37
317-U1353A-6H-CC-2-A,317,U1353,A,6,6-CC,H,CC,2,A,0,150,0,1.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,,,38
317-U1353A-6H-CC-3-A,317,U1353,A,6,6-CC,H,CC,3,A,0,150,0,1.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,,,39
317-U1353A-6H-CC-4-A,317,U1353,A,6,6-CC,H,CC,4,A,0,150,0,1.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,,,40
317-U1353A-6H-CC-5-A,317,U1353,A,6,6-CC,H,CC,5,A,0,90,0,0.9,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,,,41
317-U1353A-6H-CC-CC-A,317,U1353,A,6,6-CC,H,CC,CC,A,0,28,0,0.28,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,,,42
317-U1353A-6H-CC-A,317,U1353,A,6,6-CC,H,CC,A,,0,18,41.17,41.35,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,,,,,43
317-U1353A-7H-1-A,317,U1353,A,7,7-1,H,1,A,,0,80,41.2,42,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,,44
317-U1353A-7H-2-A,317,U1353,A,7,7-2,H,2,A,,0,140,42.7,44.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,,45
317-U1353A-7H-3-A,317,U1353,A,7,7-3,H,3,A,,0,130,44.2,45.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,,46
317-U1353A-7H-4-A,317,U1353,A,7,7-4,H,4,A,,0,130,45.7,47,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,,47
317-U1353A-7H-5-A,317,U1353,A,7,7-5,H,5,A,,0,70,47.2,47.9,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,,48
317-U1353A-7H-CC-A,317,U1353,A,7,7-CC,H,CC,A,,0,20,48.1,48.3,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,,49
317-U1353A-8H-1-A,317,U1353,A,8,8-1,H,1,A,,0,60,48.2,48.8,,Shell hash,,Shell hash,,,,,Leg 150,"soupy, probably fall in material",,,,,,50
317-U1353A-8H-2-A,317,U1353,A,8,8-2,H,2,A,,0,140,49.54,50.94,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous calcareous sandy mud,,,,,,51
317-U1353A-8H-2-A,317,U1353,A,8,8-2,H,2,A,,0,140,49.54,50.94,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,,,52
317-U1353A-8H-3-A,317,U1353,A,8,8-3,H,3,A,,0,130,51.04,52.34,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous calcareous sandy mud,,,,,,53
317-U1353A-8H-3-A,317,U1353,A,8,8-3,H,3,A,,0,130,51.04,52.34,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,,,54
317-U1353A-8H-4-A,317,U1353,A,8,8-4,H,4,A,,0,50,52.54,53.04,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,,55
317-U1353A-8H-4-A,317,U1353,A,8,8-4,H,4,A,,50,100,53.04,53.54,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,,56
317-U1353A-8H-4-A,317,U1353,A,8,8-4,H,4,A,,100,130,53.54,53.84,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",calcareous sandy mud (s.s. data),,,,,,57
317-U1353A-8H-5-A,317,U1353,A,8,8-5,H,5,A,,0,45,54.04,54.49,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",calcareous sandy mud (s.s. data),,,,,,58
317-U1353A-8H-5-A,317,U1353,A,8,8-5,H,5,A,,45,85,54.49,54.89,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl (s.s. data),,,,,,59
317-U1353A-8H-6-A,317,U1353,A,8,8-6,H,6,A,,0,53,55.09,55.62,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl (s.s. data),,,,,,60
317-U1353A-8H-CC-A,317,U1353,A,8,8-CC,H,CC,A,,0,25,55.72,55.97,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous marl (s.s. data),,,,,,61
