Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
353-U1446A-5H-CC-A,0,26,42.64,42.9,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 3/10Y) to greenish gray (GLEY 1 5/10Y) with mottling.,,,,353,U1446,A,5,H,CC,A,,,,42
353-U1446A-6H-1-A,0,145,42.3,43.75,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Shell fragment between 115 and 117 cm. Faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,6,H,1,A,,,,43
353-U1446A-6H-2-A,0,121,43.75,44.96,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,6,H,2,A,,,,44
353-U1446A-6H-3-A,0,82,44.96,45.78,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,6,H,3,A,,,,45
353-U1446A-6H-4-A,0,140,45.78,47.18,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,6,H,4,A,,,,46
353-U1446A-6H-5-A,0,142,47.18,48.6,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,6,H,5,A,,,,47
353-U1446A-6H-6-A,0,147,48.6,50.07,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,6,H,6,A,,,,48
353-U1446A-6H-7-A,0,102,50.07,51.09,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,,,,,,,,,353,U1446,A,6,H,7,A,,,,49
353-U1446A-6H-8-A,0,67,51.09,51.76,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,,,,,,,,,353,U1446,A,6,H,8,A,,,,50
353-U1446A-6H-CC-A,0,19,51.76,51.95,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,,,,,,,,,353,U1446,A,6,H,CC,A,,,,51
353-U1446A-7H-1-A,0,7.5,51.8,51.875,,,clay,with biosilica,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),gradational,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,7,H,1,A,,,,52
353-U1446A-7H-1-A,7.5,11,51.875,51.91,,clayey,silt,,clayey silt,clayey silt,silt,,gray,GLEY 1 4/10Y (dark greenish gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1446,A,7,H,1,A,,,,53
353-U1446A-7H-1-A,11,146,51.91,53.26,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,7,H,1,A,,,,54
353-U1446A-7H-2-A,0,131,53.26,54.57,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,7,H,2,A,,,,55
353-U1446A-7H-3-A,0,76,54.57,55.33,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,7,H,3,A,,,,56
353-U1446A-7H-4-A,0,140,55.33,56.73,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,7,H,4,A,,,,57
353-U1446A-7H-5-A,0,140,56.73,58.13,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,7,H,5,A,,,,58
353-U1446A-7H-6-A,0,141,58.13,59.54,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,7,H,6,A,,,,59
353-U1446A-7H-7-A,0,94,59.54,60.48,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,7,H,7,A,,,,60
353-U1446A-7H-8-A,0,59,60.48,61.07,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,7,H,8,A,,,,61
353-U1446A-7H-CC-A,0,41,61.07,61.48,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,7,H,CC,A,,,,62
353-U1446A-8H-1-A,0,110,61.3,62.4,,,clay,with silt,clay,clay with silt,clay with silt,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,"Gradual color change from 0 to 78 cm, respectively from GLEY 1 4/10Y to to GLEY 1 3/10Y. A sharp color change is observed at 78 cm between GLEY 1 3/10Y to GLEY 1 4/10Y again.",,,,353,U1446,A,8,H,1,A,,,,63
353-U1446A-8H-2-A,0,128,62.4,63.68,,foraminifer rich,clay,with silt,foraminifer rich clay,foraminifer rich clay with silt,clay with silt,,gray,2.5Y 6/1 (gray),,,,,,,,,mottling,,,,"Gradual color change to lighter (2.5Y 6/2) from the top of the section to near 60 cm, and to darker (GLEY 1 4/10Y) from near 60 cm to bottom of the section.",,,,353,U1446,A,8,H,2,A,,,,64
353-U1446A-8H-3-A,0,10,63.68,63.78,,foraminifer rich,clay,with silt,foraminifer rich clay,foraminifer rich clay with silt,clay with silt,,gray,2.5Y 6/1 (gray),gradational,,,,,,,,mottling,,,,,,,,353,U1446,A,8,H,3,A,,,,65
353-U1446A-8H-3-A,10,110,63.78,64.78,,,clay,with silt,clay,clay with silt,clay with silt,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,8,H,3,A,,,,66
353-U1446A-8H-4-A,0,128,64.78,66.06,,,clay,with silt,clay,clay with silt,clay with silt,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Olive brown sandy blebs between 77-79 cm. Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,8,H,4,A,,,,67
353-U1446A-8H-5-A,0,148,66.06,67.54,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,8,H,5,A,,,,68
353-U1446A-8H-6-A,0,146,67.54,69,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,8,H,6,A,,,,69
353-U1446A-8H-7-A,0,139,69,70.39,,,clay,with biosilica,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,8,H,7,A,,,,70
353-U1446A-8H-8-A,0,108,70.39,71.47,,,clay,with biosilica,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,8,H,8,A,,,,71
353-U1446A-8H-CC-A,0,43,71.47,71.9,,,clay,with biosilica,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Very faint color variations from dark greenish gray (GLEY 1 4/5GY) to more brownish (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,8,H,CC,A,,,,72
353-U1446A-9H-1-A,0,149,70.8,72.29,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,A,9,H,1,A,,,,73
353-U1446A-9H-2-A,0,146,72.29,73.75,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Wood fragment at ~5 cm,,,,353,U1446,A,9,H,2,A,,,,74
353-U1446A-9H-3-A,0,74,73.75,74.49,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,A,9,H,3,A,,,,75
353-U1446A-9H-4-A,0,95,74.49,75.44,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,,,,,353,U1446,A,9,H,4,A,,,,76
353-U1446A-9H-5-A,0,77,75.44,76.21,,,clay,,clay,clay,clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,A,9,H,5,A,,,,77
353-U1446A-9H-6-A,0,72,76.21,76.93,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,,,,,353,U1446,A,9,H,6,A,,,,78
353-U1446A-9H-7-A,0,136,76.93,78.29,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,A,9,H,7,A,,,,79
353-U1446A-9H-8-A,0,84,78.33,79.17,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,A,9,H,8,A,,,,80
353-U1446A-9H-CC-A,0,47,79.17,79.64,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,A,9,H,CC,A,,,,81
353-U1446A-10H-1-A,0,37,80.3,80.67,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,A,10,H,1,A,,,,82
353-U1446A-10H-2-A,0,142,80.67,82.09,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,A,10,H,2,A,,,,83
